name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Alphonso Davies,96153.84615384616,5000000,50961.53846153846,2650000,80116.63461538461,4166065,42461.807692307695,2208014,108857.92307692308,5660612,57694.692307692305,3000124,4-yrs,20000000,10600000,16664259,8832057,22642446,12000496,Reserve,D,LB,21,Canada,Bayern Munich
Donyell Malen,86538.46153846153,4500000,45961.53846153846,2390000,72104.96153846153,3749458,38295.75,1991379,97972.11538461539,5094550,52034.07692307692,2705772,5-yrs,22500000,11950000,18747292,9956895,25472752,13528861,Reserve,F,CF,23,Netherlands,Borussia Dortmund
Sebastian Rudy,84615.38461538461,4400000,44807.692307692305,2330000,70502.63461538461,3666137,37334.346153846156,1941386,95794.96153846153,4981338,50727.78846153846,2637845,2-yrs,8800000,4660000,7332274,3882772,9962676,5275690,Reserve,M,DM,31,Germany,Hoffenheim
Breel Embolo,80769.23076923077,4200000,42884.61538461538,2230000,67297.96153846153,3499494,35732.019230769234,1858065,91440.65384615384,4754914,48550.63461538462,2524633,2-yrs,8400000,4460000,6998989,3716130,9509827,5049265,Starter,F,CF,24,Switzerland,Monchengladbach
Mahmoud Dahoud,76923.07692307692,4000000,40769.230769230766,2120000,64093.307692307695,3332852,33969.442307692305,1766411,87086.32692307692,4528489,46155.75,2400099,2-yrs,8000000,4240000,6665704,3532823,9056978,4800199,Starter,M,CM,26,Germany,Borussia Dortmund
Julian Brandt,76923.07692307692,4000000,40769.230769230766,2120000,64093.307692307695,3332852,33969.442307692305,1766411,87086.32692307692,4528489,46155.75,2400099,3-yrs,12000000,6360000,9998556,5299234,13585468,7200298,Starter,F,AM,25,Germany,Borussia Dortmund
Xaver Schlager,76923.07692307692,4000000,40769.230769230766,2120000,64093.307692307695,3332852,33969.442307692305,1766411,87086.32692307692,4528489,46155.75,2400099,2-yrs,8000000,4240000,6665704,3532823,9056978,4800199,Reserve,M,CM,24,Austria,Wolfsburg
Emil Forsberg,76923.07692307692,4000000,40769.230769230766,2120000,64093.307692307695,3332852,33969.442307692305,1766411,87086.32692307692,4528489,46155.75,2400099,4-yrs,16000000,8480000,13331408,7065646,18113957,9600397,Reserve,F,LW,30,Sweden,Leipzig
Yussuf Poulsen,76923.07692307692,4000000,40769.230769230766,2120000,64093.307692307695,3332852,33969.442307692305,1766411,87086.32692307692,4528489,46155.75,2400099,3-yrs,12000000,6360000,9998556,5299234,13585468,7200298,Reserve,F,CF,27,Denmark,Leipzig
John Anthony Brooks,75961.53846153847,3950000,40192.307692307695,2090000,63292.13461538462,3291191,33488.75,1741415,85997.75,4471883,45502.61538461538,2366136,1-yr,3950000,2090000,3291191,1741415,4471883,2366136,Starter,D,CB,29,United States,Wolfsburg
Diadié Samassékou,75000,3900000,39807.692307692305,2070000,62490.980769230766,3249531,33168.28846153846,1724751,84909.17307692308,4415277,45067.17307692308,2343493,3-yrs,11700000,6210000,9748592,5174253,13245831,7030479,Reserve,M,DM,26,Mali,Hoffenheim
Max Kruse,73076.92307692308,3800000,38653.846153846156,2010000,60888.63461538462,3166209,32206.884615384617,1674758,82732.01923076923,4302065,43760.88461538462,2275566,2-yrs,7600000,4020000,6332419,3349516,8604129,4551132,Starter,F,SS,33,Germany,Wolfsburg
Yannick Gerhardt,69230.76923076923,3600000,36730.769230769234,1910000,57683.980769230766,2999567,30604.55769230769,1591437,78377.69230769231,4075640,41583.730769230766,2162354,4-yrs,14400000,7640000,11998267,6365747,16302561,8649414,Starter,M,CM,27,Germany,Wolfsburg
Marcel Schmelzer,69230.76923076923,3600000,36730.769230769234,1910000,57683.980769230766,2999567,30604.55769230769,1591437,78377.69230769231,4075640,41583.730769230766,2162354,1-yr,3600000,1910000,2999567,1591437,4075640,2162354,Reserve,D,LB,34,Germany,Borussia Dortmund
Eric Maxim Choupo-Moting,67307.69230769231,3500000,35769.230769230766,1860000,56081.63461538462,2916245,29803.384615384617,1549776,76200.53846153847,3962428,40495.13461538462,2105747,2-yrs,7000000,3720000,5832491,3099552,7924856,4211495,Reserve,F,CF,32,Cameroon,Bayern Munich
Raphaël Guerreiro,67307.69230769231,3500000,35769.230769230766,1860000,56081.63461538462,2916245,29803.384615384617,1549776,76200.53846153847,3962428,40495.13461538462,2105747,2-yrs,7000000,3720000,5832491,3099552,7924856,4211495,Starter,D,LB,28,Portugal,Borussia Dortmund
Christoph Kramer,67307.69230769231,3500000,35769.230769230766,1860000,56081.63461538462,2916245,29803.384615384617,1549776,76200.53846153847,3962428,40495.13461538462,2105747,2-yrs,7000000,3720000,5832491,3099552,7924856,4211495,Reserve,M,DM,30,Germany,Monchengladbach
Kevin Kampl,67307.69230769231,3500000,35769.230769230766,1860000,56081.63461538462,2916245,29803.384615384617,1549776,76200.53846153847,3962428,40495.13461538462,2105747,2-yrs,7000000,3720000,5832491,3099552,7924856,4211495,Starter,M,CM,31,Slovenia,Leipzig
Angeliño,66538.46153846153,3460000,35192.307692307695,1830000,55440.71153846154,2882917,29322.69230769231,1524780,75329.67307692308,3917143,39842,2071784,4-yrs,13840000,7320000,11531668,6099119,15668573,8287135,Starter,M,LM,25,Spain,Leipzig
Koen Casteels,65384.61538461538,3400000,34615.38461538462,1800000,54479.307692307695,2832924,28841.98076923077,1499783,74023.38461538461,3849216,39188.846153846156,2037820,3-yrs,10200000,5400000,8498772,4499350,11547647,6113460,Starter,K,GK,29,Belgium,Wolfsburg
Marius Wolf,63461.53846153846,3300000,33653.846153846156,1750000,52876.980769230766,2749603,28040.826923076922,1458123,71846.23076923077,3736004,38100.269230769234,1981214,3-yrs,9900000,5250000,8248808,4374368,11208011,5943642,Reserve,F,RW,26,Germany,Borussia Dortmund
Jonas Hector,63461.53846153846,3300000,33653.846153846156,1750000,52876.980769230766,2749603,28040.826923076922,1458123,71846.23076923077,3736004,38100.269230769234,1981214,2-yrs,6600000,3500000,5499206,2916245,7472007,3962428,Starter,D,LB,31,Germany,Koln
Marcus Thuram,61538.46153846154,3200000,32692.30769230769,1700000,51274.653846153844,2666282,27239.653846153848,1416462,69669.05769230769,3622791,37011.692307692305,1924608,2-yrs,6400000,3400000,5332563,2832924,7245583,3849216,Reserve,F,LW,24,France,Monchengladbach
Kerem Demirbay,61538.46153846154,3200000,32692.30769230769,1700000,51274.653846153844,2666282,27239.653846153848,1416462,69669.05769230769,3622791,37011.692307692305,1924608,3-yrs,9600000,5100000,7998845,4249386,10868374,5773824,Starter,M,CM,28,Germany,Bayer Leverkusen
Anthony Modeste,61538.46153846154,3200000,32692.30769230769,1700000,51274.653846153844,2666282,27239.653846153848,1416462,69669.05769230769,3622791,37011.692307692305,1924608,2-yrs,6400000,3400000,5332563,2832924,7245583,3849216,Starter,F,CF,33,France,Koln
Sardar Azmoun,61538.46153846154,3200000,32692.30769230769,1700000,51274.653846153844,2666282,27239.653846153848,1416462,69669.05769230769,3622791,37011.692307692305,1924608,6-yrs,19200000,10200000,15997689,8498772,21736748,11547647,Reserve,F,CF,27,Iran,Bayer Leverkusen
Oliver Baumann,60576.92307692308,3150000,32115.384615384617,1670000,50473.480769230766,2624621,26758.96153846154,1391466,68580.48076923077,3566185,36358.53846153846,1890644,3-yrs,9450000,5010000,7873863,4174397,10698556,5671933,Starter,K,GK,31,Germany,Hoffenheim
Suat Serdar,60192.307692307695,3130000,31923.076923076922,1660000,50153.019230769234,2607957,26598.73076923077,1383134,68145.05769230769,3543543,36140.82692307692,1879323,5-yrs,15650000,8300000,13039783,6915668,17717714,9396615,Reserve,M,CM,24,Germany,Hertha Berlin
Alassane Plea,59615.38461538462,3100000,31538.46153846154,1640000,49672.307692307695,2582960,26278.25,1366469,67491.90384615384,3509579,35705.403846153844,1856681,2-yrs,6200000,3280000,5165920,2732939,7019158,3713361,Starter,F,CF,28,France,Monchengladbach
