Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
458,Timothy Tillman,de GER,MF,Greuther Fürth,23-075,1999,22,16,1413,15.7,1,2,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,1.6,1.6,1.9,3.5,0.10,0.12,0.23,0.10,0.23,Matches
459,Corentin Tolisso,fr FRA,MF,Bayern Munich,27-229,1994,13,8,661,7.3,2,1,2,0,0,0,0,0.27,0.14,0.41,0.27,0.41,1.3,1.3,1.8,3.1,0.18,0.24,0.42,0.18,0.42,Matches
460,Tiago Tomás,pt POR,FWMF,Stuttgart,19-277,2002,7,6,517,5.7,3,0,3,0,0,1,0,0.52,0.00,0.52,0.52,0.52,2.1,2.1,0.0,2.1,0.36,0.01,0.37,0.36,0.37,Matches
461,Jordan Torunarigha,de GER,DF,Hertha BSC,24-225,1997,7,6,483,5.4,0,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,0.2,0.2,0.0,0.2,0.04,0.01,0.05,0.04,0.05,Matches
462,Almamy Touré,ml MLI,DF,Eint Frankfurt,25-326,1996,8,4,403,4.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.18,0.00,0.18,0.18,0.18,Matches
463,Lucas Tousart,fr FRA,MF,Hertha BSC,24-325,1997,23,15,1333,14.8,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.1,1.1,0.5,1.7,0.08,0.04,0.11,0.08,0.11,Matches
464,Kevin Trapp,de GER,GK,Eint Frankfurt,31-255,1990,25,25,2250,25.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
465,Christopher Trimmel,at AUT,DF,Union Berlin,35-024,1987,18,17,1458,16.2,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,1.3,2.0,0.05,0.08,0.13,0.05,0.13,Matches
466,Tuta,br BRA,DF,Eint Frankfurt,22-259,1999,18,18,1584,17.6,3,0,3,0,0,4,1,0.17,0.00,0.17,0.17,0.17,1.9,1.9,0.1,2.0,0.11,0.01,0.11,0.11,0.11,Matches
467,Anthony Ujah,ng NGA,FWMF,Union Berlin,31-157,1990,3,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.63,0.00,0.63,0.63,0.63,Matches
468,Sven Ulreich,de GER,GK,Bayern Munich,33-229,1988,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
469,Dayot Upamecano,fr FRA,DF,Bayern Munich,23-144,1998,22,19,1671,18.6,1,4,1,0,0,2,0,0.05,0.22,0.27,0.05,0.27,0.5,0.5,0.9,1.4,0.03,0.05,0.08,0.03,0.08,Matches
