Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
403,Unai Núñez,es ESP,DF,Athletic Club,25-049,1997,5.9,266,308,86.4,5961,2206,66,76,86.8,146,153,95.4,52,73,71.2,0,0.1,-0.1,1,21,1,1,24,Matches
404,Allan Nyom,cm CMR,DF,Getafe,33-314,1988,2.7,63,90,70.0,1182,408,24,28,85.7,33,43,76.7,6,19,31.6,0,0.1,-0.1,2,5,3,2,2,Matches
405,Jan Oblak,si SVN,GK,Atlético Madrid,29-072,1993,29.0,468,781,59.9,15510,9878,68,69,98.6,185,188,98.4,213,522,40.8,0,0.0,0.0,0,9,1,0,0,Matches
406,Lucas Ocampos,ar ARG,FWDF,Sevilla,27-252,1994,17.6,500,652,76.7,8783,2071,256,291,88.0,184,229,80.3,51,99,51.5,2,0.8,+1.2,11,20,12,3,47,Matches
407,Lucas Olaza,uy URU,MF,Elche,27-242,1994,0.1,11,13,84.6,174,71,6,7,85.7,5,6,83.3,0,0,,0,0.0,0.0,1,1,0,0,3,Matches
408,Brian Oliván,es ESP,DF,Mallorca,27-353,1994,16.5,458,700,65.4,8805,3928,181,208,87.0,213,281,75.8,55,176,31.3,0,1.8,-1.8,13,27,10,5,42,Matches
409,Mathías Olivera,uy URU,DF,Getafe,24-140,1997,23.1,795,1100,72.3,13155,5703,435,523,83.2,279,388,71.9,67,142,47.2,2,2.3,-0.3,25,45,17,6,88,Matches
410,Javier Ontiveros,es ESP,MFFW,Osasuna,24-192,1997,0.4,25,32,78.1,439,120,14,18,77.8,8,10,80.0,3,4,75.0,0,0.0,0.0,0,5,1,1,1,Matches
411,Pedro Ortiz,es ESP,MF,Sevilla,21-213,2000,0.1,14,14,100.0,324,68,5,5,100.0,7,7,100.0,2,2,100.0,0,0.4,-0.4,1,2,1,0,3,Matches
412,Milutin Osmajić,me MNE,FWMF,Cádiz,22-238,1999,2.9,27,50,54.0,341,58,19,30,63.3,6,12,50.0,0,2,0.0,0,0.0,0.0,0,1,0,0,1,Matches
413,Jesús Owono,gq EQG,GK,Alavés,21-019,2001,1.0,11,23,47.8,557,454,0,0,,2,2,100.0,9,21,42.9,0,0.0,0.0,0,1,0,0,0,Matches
414,Mikel Oyarzabal,es ESP,FWMF,Real Sociedad,24-333,1997,18.6,441,652,67.6,7679,2079,215,260,82.7,164,214,76.6,49,126,38.9,3,3.4,-0.4,39,14,23,6,38,Matches
415,Fernando Pacheco,es ESP,GK,Alavés,29-306,1992,25.9,505,745,67.8,22065,16860,54,55,98.2,116,116,100.0,332,570,58.2,0,0.3,-0.3,2,27,2,0,0,Matches
416,Jon Pacheco,es ESP,DF,Real Sociedad,21-071,2001,4.2,190,220,86.4,3889,1064,67,71,94.4,89,96,92.7,32,48,66.7,0,0.0,0.0,0,6,1,0,8,Matches
417,Gavi Paez,es ESP,MFFW,Barcelona,17-227,2004,17.3,759,858,88.5,11466,2554,453,478,94.8,235,266,88.3,54,75,72.0,4,2.7,+1.3,14,87,18,2,57,Matches
418,Helibelton Palacios,co COL,DF,Elche,28-284,1993,17.2,582,756,77.0,10250,4479,255,290,87.9,269,326,82.5,48,99,48.5,0,0.2,-0.2,5,42,6,3,45,Matches
419,Isaac Palazón Camacho,es ESP,FWMF,Rayo Vallecano,27-083,1994,19.2,469,643,72.9,8712,2153,227,273,83.2,167,216,77.3,65,122,53.3,1,1.4,-0.4,15,53,16,2,60,Matches
420,Daniel Parejo,es ESP,MF,Villarreal,32-338,1989,22.4,1399,1671,83.7,29575,9214,488,538,90.7,619,681,90.9,267,398,67.1,6,5.2,+0.8,55,180,35,8,169,Matches
421,Raúl Parra,es ESP,DF,Cádiz,22-114,1999,0.1,5,8,62.5,89,59,1,1,100.0,4,6,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,1,Matches
422,Javier Pastore,ar ARG,MFFW,Elche,32-273,1989,4.7,164,218,75.2,2836,862,78,96,81.3,63,76,82.9,17,32,53.1,0,0.5,-0.5,7,14,7,2,17,Matches
