Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
229,Rani Khedira,de GER,MF,Union Berlin,28-052,1994,23.7,53,32,28,19,6,13,38,34.2,25,528,157,29.7,154,304,70,42,6,0,36,35,88,35,0,Matches
230,Luca Kilian,de GER,FW,Mainz 05,22-200,1999,0.0,0,0,0,0,0,0,1,0.0,1,4,0,0.0,2,2,0,0,0,0,0,0,0,0,0,Matches
231,Luca Kilian,de GER,DF,Köln,22-200,1999,17.6,31,17,20,10,1,12,29,41.4,17,218,88,40.4,133,76,9,36,14,0,22,43,74,88,0,Matches
232,Joshua Kimmich,de GER,MF,Bayern Munich,27-040,1995,20.6,30,23,12,13,5,13,46,28.3,33,338,118,34.9,100,190,48,37,4,0,33,56,86,25,2,Matches
233,Philipp Klement,de GER,MFFW,Stuttgart,29-192,1992,3.8,7,7,2,4,1,1,2,50.0,1,53,22,41.5,8,33,12,6,1,0,5,1,8,1,0,Matches
234,Mateo Klimowicz,de GER,FWMF,Stuttgart,21-257,2000,6.7,12,6,9,3,0,6,14,42.9,8,123,40,32.5,31,54,38,3,0,0,3,3,15,2,0,Matches
235,Fabian Klos,de GER,FW,Arminia,34-108,1987,15.5,6,1,1,5,0,0,9,0.0,9,244,63,25.8,14,97,133,12,2,0,10,6,12,27,1,Matches
236,Lukas Klostermann,de GER,DF,RB Leipzig,25-291,1996,15.2,29,11,8,20,1,8,14,57.1,6,155,52,33.5,64,68,23,23,3,0,20,34,63,63,0,Matches
237,Lukas Klünter,de GER,DF,Hertha BSC,25-298,1996,2.2,2,2,1,1,0,2,5,40.0,3,22,8,36.4,9,11,2,2,0,0,2,2,4,1,0,Matches
238,Ansgar Knauff,de GER,FWMF,Dortmund,20-069,2002,1.3,5,2,1,3,1,0,2,0.0,2,32,10,31.3,13,9,10,3,0,0,3,0,5,2,0,Matches
239,Ansgar Knauff,de GER,DFFW,Eint Frankfurt,20-069,2002,2.9,12,7,5,3,4,6,9,66.7,3,77,23,29.9,19,36,22,5,0,0,5,1,13,2,0,Matches
240,Robin Knoche,de GER,DF,Union Berlin,29-302,1992,26.0,37,22,27,10,0,14,31,45.2,17,270,101,37.4,161,99,10,53,25,0,28,59,96,141,4,Matches
241,Gregor Kobel,ch SUI,GK,Dortmund,24-104,1997,24.5,0,0,0,0,0,0,2,0.0,2,1,0,0.0,1,0,0,0,0,0,0,0,0,2,1,Matches
242,Dominik Kohr,de GER,MF,Mainz 05,28-048,1994,12.1,26,17,10,15,1,10,31,32.3,21,224,81,36.2,57,128,39,25,4,0,21,25,51,19,0,Matches
243,Kouadio Koné,fr FRA,MF,M'Gladbach,20-307,2001,17.6,49,31,19,26,4,19,37,51.4,18,382,142,37.2,117,221,44,29,4,0,25,52,101,19,0,Matches
244,Odilon Kossonou,ci CIV,DF,Leverkusen,21-075,2001,12.0,19,11,14,5,0,10,18,55.6,8,118,40,33.9,78,39,1,33,14,0,19,22,41,40,0,Matches
245,Filip Kostić,rs SRB,DFFW,Eint Frankfurt,29-139,1992,21.3,30,22,18,5,7,11,39,28.2,28,313,94,30.0,102,118,93,22,0,0,22,19,49,12,0,Matches
246,Nianzou Kouassi,fr FRA,DFMF,Bayern Munich,19-286,2002,3.0,8,4,4,3,1,6,10,60.0,4,49,16,32.7,17,28,4,7,1,0,6,6,14,10,0,Matches
247,Andrej Kramarić,hr CRO,FWMF,Hoffenheim,30-274,1991,23.1,9,7,1,4,4,3,8,37.5,5,197,47,23.9,18,79,100,10,1,0,9,12,21,4,0,Matches
248,Christoph Kramer,de GER,MF,M'Gladbach,31-029,1991,7.4,31,18,16,11,4,13,31,41.9,18,199,69,34.7,70,97,32,14,4,0,10,13,44,17,1,Matches
249,Florian Krüger,de GER,FWMF,Arminia,23-035,1999,9.8,3,2,0,2,1,1,6,16.7,5,137,39,28.5,22,59,56,15,1,0,14,3,6,12,0,Matches
250,Max Kruse,de GER,MFFW,Wolfsburg,34-001,1988,5.7,4,3,2,2,0,2,7,28.6,5,82,22,26.8,13,40,29,3,0,0,3,3,7,3,0,Matches
251,Max Kruse,de GER,FWMF,Union Berlin,34-001,1988,14.1,6,3,1,1,4,2,12,16.7,10,177,47,26.6,26,71,80,9,0,0,9,9,15,5,0,Matches
252,Lukas Kübler,de GER,DF,Freiburg,29-202,1992,20.7,52,25,35,11,6,20,36,55.6,16,250,83,33.2,121,95,34,33,8,1,25,51,103,60,0,Matches
253,Fabian Kunze,de GER,MF,Arminia,23-279,1998,11.8,32,20,13,19,0,14,27,51.9,13,240,63,26.3,77,143,20,18,0,0,18,22,54,32,0,Matches
254,Maxence Lacroix,fr FRA,DF,Wolfsburg,21-348,2000,21.4,51,24,33,15,3,22,33,66.7,11,268,90,33.6,162,93,13,39,10,0,29,85,136,98,2,Matches
255,Konrad Laimer,at AUT,MF,RB Leipzig,24-297,1997,8.2,27,16,8,16,3,11,34,32.4,23,265,78,29.4,65,158,42,18,3,0,15,13,40,10,0,Matches
256,Stefan Lainer,at AUT,DF,M'Gladbach,29-205,1992,9.4,17,8,4,7,6,10,26,38.5,16,166,48,28.9,58,69,39,23,2,0,21,15,32,20,0,Matches
257,Vassilis Lambropoulos,gr GRE,DF,Bochum,31-354,1990,13.0,25,18,20,4,1,10,21,47.6,11,149,56,37.6,94,49,6,29,10,1,19,33,58,77,1,Matches
258,Sam Lammers,nl NED,FW,Eint Frankfurt,24-324,1997,4.6,4,2,1,2,1,1,2,50.0,1,92,20,21.7,7,37,48,4,1,0,3,4,8,4,0,Matches
259,Bryan Lasme,fr FRA,FWMF,Arminia,23-126,1998,9.3,6,4,0,3,3,1,3,33.3,2,189,46,24.3,10,72,107,10,0,0,10,1,7,11,0,Matches
260,Maxim Leitsch,de GER,DF,Bochum,23-306,1998,11.1,17,12,9,7,1,7,13,53.8,6,140,53,37.9,66,68,6,25,14,0,11,34,51,61,0,Matches
261,Tim Lemperle,de GER,FWMF,Köln,20-043,2002,0.9,1,1,0,1,0,0,0,,0,27,8,29.6,4,15,8,0,0,0,0,0,1,0,0,Matches
262,Christopher Lenz,de GER,DF,Eint Frankfurt,27-179,1994,6.6,25,11,17,6,2,7,16,43.8,9,97,33,34.0,46,28,23,12,4,0,8,14,39,30,0,Matches
263,Robert Lewandowski,pl POL,FW,Bayern Munich,33-211,1988,26.1,9,7,1,4,4,3,9,33.3,6,251,84,33.5,9,74,168,19,3,0,16,8,17,7,0,Matches
