,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
10,14,Marcos Alonso,es ESP,DF,Chelsea,31-081,1990.0,19,16,1448,16.1,1,3,1,0,0,6,0,0.06,0.19,0.25,0.06,0.25,1.8,1.8,2.8,4.6,0.11,0.18,0.29,0.11,0.29,Matches,120017.34615384616,6240902,66009.53846153847,3432496,100000.0,5200000,55000.0,2860000,135874.3076923077,7065464,74730.86538461539,3886005,2-yrs,12481803,6864992,10400000,5720000,14130927,7772010,Starter,D,LB,31,Spain,Chelsea
11,15,Steven Alzate,co COL,MF,Brighton,23-192,1998.0,9,5,404,4.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches,18002.596153846152,936135,9924.51923076923,516075,15000.0,780000,8269.23076923077,430000,20381.153846153848,1059820,11235.75,584259,3-yrs,2808406,1548224,2340000,1290000,3179459,1752778,Starter,M,CM,23,Colombia,Brighton
12,16,Daniel Amartey,gh GHA,DF,Leicester City,27-088,1994.0,17,16,1416,15.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.01,0.01,0.0,0.01,Matches,25157.48076923077,1308189,13848.153846153846,720104,20961.53846153846,1090000,11538.46153846154,600000,28481.346153846152,1481030,15677.807692307691,815246,1-yr,1308189,720104,1090000,600000,1481030,815246,Starter,D,CB,27,Ghana,Leicester
13,17,Joachim Andersen,dk DEN,DF,Crystal Palace,25-292,1996.0,25,23,2106,23.4,0,1,0,0,0,3,0,0.0,0.04,0.04,0.0,0.04,0.4,0.4,1.1,1.5,0.02,0.04,0.06,0.02,0.06,Matches,95321.46153846152,4956716,52392.19230769231,2724394,79423.07692307692,4130000,43653.84615384616,2270000,107915.55769230767,5611609,59314.36538461538,3084347,5-yrs,24783581,13621968,20650000,11350000,28058043,15421733,Starter,D,CB,25,Denmark,Crystal Palace
14,18,Michail Antonio,jm JAM,FW,West Ham,31-356,1990.0,28,27,2427,27.0,8,7,8,0,1,7,1,0.3,0.26,0.56,0.3,0.56,8.4,8.1,6.1,14.3,0.31,0.23,0.54,0.3,0.53,Matches,84012.13461538461,4368631,46160.519230769234,2400347,70000.0,3640000,38461.53846153846,2000000,95112.01923076923,4945825,52259.34615384616,2717486,3-yrs,13105894,7201040,10920000,6000000,14837474,8152458,Starter,F,CF,31,Jamaica,West Ham
15,20,Alphonse Areola,fr FRA,GK,West Ham,29-020,1993.0,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,168024.26923076922,8737262,92321.03846153848,4800694,140000.0,7280000,76923.07692307692,4000000,190224.0192307692,9891649,104518.69230769233,5434972,1-yr,8737262,4800694,7280000,4000000,9891649,5434972,Reserve,K,GK,28,France,West Ham
16,21,Adam Armstrong,eng ENG,FWMF,Southampton,25-037,1997.0,20,14,1216,13.5,2,2,2,0,0,1,0,0.15,0.15,0.3,0.15,0.3,4.1,4.1,1.7,5.8,0.3,0.13,0.43,0.3,0.43,Matches,57469.84615384616,2988432,31619.96153846154,1644238,47884.61538461538,2490000,26346.153846153848,1370000,65062.88461538462,3383270,35797.653846153844,1861478,4-yrs,11953727,6576950,9960000,5480000,13533080,7445912,Reserve,F,CF,24,England,Southampton
17,22,Stuart Armstrong,sct SCO,MF,Southampton,29-354,1992.0,16,10,967,10.7,2,0,2,0,0,1,0,0.19,0.0,0.19,0.19,0.19,2.4,2.4,1.0,3.4,0.23,0.09,0.32,0.23,0.32,Matches,60008.67307692308,3120451,33004.769230769234,1716248,50000.0,2600000,27500.0,1430000,67937.15384615384,3532732,37365.42307692308,1943002,3-yrs,9361353,5148744,7800000,4290000,10598195,5829007,Starter,M,CM,29,Scotland,Southampton
18,23,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-167,1994.0,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,180026.01923076922,9361353,99014.30769230767,5148744,150000.0,7800000,82500.0,4290000,203811.4423076923,10598195,112096.28846153848,5829007,4-yrs,37445410,20594976,31200000,17160000,42392782,23316030,Starter,K,GK,27,Spain,Chelsea
19,26,Jordan Ayew,gh GHA,FW,Crystal Palace,30-189,1991.0,25,18,1557,17.3,1,3,1,0,0,1,0,0.06,0.17,0.23,0.06,0.23,2.5,2.5,2.2,4.8,0.15,0.13,0.28,0.15,0.28,Matches,39005.63461538462,2028293,21464.634615384617,1116161,32500.0,1690000,17884.615384615383,930000,44159.15384615384,2296276,24300.596153846152,1263631,1-yr,2028293,1116161,1690000,930000,2296276,1263631,Reserve,F,CF,30,Ghana,Crystal Palace
20,27,Luke Ayling,eng ENG,DF,Leeds United,30-206,1991.0,21,21,1888,21.0,2,2,2,0,0,3,0,0.1,0.1,0.19,0.1,0.19,1.4,1.4,0.6,2.0,0.07,0.03,0.09,0.07,0.09,Matches,9693.71153846154,504073,5308.461538461538,276040,8076.923076923077,420000,4423.076923076923,230000,10974.46153846154,570672,6009.826923076923,312511,2-yrs,1008146,552080,840000,460000,1141344,625022,Starter,D,RB,30,England,Leeds
21,28,César Azpilicueta,es ESP,DF,Chelsea,32-203,1989.0,18,17,1435,15.9,0,2,0,0,0,0,0,0.0,0.13,0.13,0.0,0.13,0.7,0.7,1.9,2.6,0.04,0.12,0.16,0.04,0.16,Matches,180026.01923076922,9361353,99014.30769230767,5148744,150000.0,7800000,82500.0,4290000,203811.4423076923,10598195,112096.28846153848,5829007,1-yr,9361353,5148744,7800000,4290000,10598195,5829007,Starter,D,RB,32,Spain,Chelsea
22,29,Daniel Bachmann,at AUT,GK,Watford,27-253,1994.0,11,11,990,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3923.6346153846152,204029,2077.230769230769,108016,3269.230769230769,170000,1730.7692307692307,90000,4442.038461538462,230986,2351.673076923077,122287,3-yrs,612088,324047,510000,270000,692959,366861,Reserve,K,GK,27,Austria,Watford
23,30,Leon Bailey,jm JAM,FWMF,Aston Villa,24-222,1997.0,13,4,499,5.5,1,2,1,0,0,2,0,0.18,0.36,0.54,0.18,0.54,1.2,1.2,0.6,1.8,0.22,0.11,0.33,0.22,0.33,Matches,78472.88461538461,4080590,43160.07692307692,2244324,65384.61538461538,3400000,35961.53846153846,1870000,88840.88461538461,4619726,48862.480769230766,2540849,4-yrs,16322358,8977297,13600000,7480000,18478905,10163398,Reserve,F,LW,24,Jamaica,Aston Villa
24,31,Eric Bailly,ci CIV,DF,Manchester Utd,27-341,1994.0,4,3,217,2.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,96013.8653846154,4992721,52853.78846153846,2748397,80000.0,4160000,44038.46153846154,2290000,108699.44230769233,5652371,59836.94230769231,3111521,3-yrs,14978164,8245191,12480000,6870000,16957113,9334564,Reserve,D,CB,27,Cote d&#39;Ivoire,Manchester United
25,33,Patrick Bamford,eng ENG,FW,Leeds United,28-195,1993.0,9,7,559,6.2,2,2,2,0,0,2,0,0.32,0.32,0.64,0.32,0.64,4.0,4.0,1.0,5.0,0.64,0.16,0.8,0.64,0.8,Matches,42006.07692307692,2184316,23080.25,1200173,35000.0,1820000,19230.76923076923,1000000,47556.0,2472912,26129.67307692308,1358743,5-yrs,10921578,6000867,9100000,5000000,12364561,6793715,Reserve,F,CF,28,England,Leeds
26,34,Shandon Baptiste,gd GRN,MF,Brentford,23-345,1998.0,19,9,845,9.4,1,1,1,0,0,2,1,0.11,0.11,0.21,0.11,0.21,0.5,0.5,0.4,0.9,0.05,0.04,0.1,0.05,0.1,Matches,14309.76923076923,744108,7847.288461538462,408059,11923.076923076924,620000,6538.461538461538,340000,16200.403846153846,842421,8884.096153846154,461973,3-yrs,2232323,1224177,1860000,1020000,2527262,1385918,Reserve,M,CM,23,Grenada,Brentford
27,35,Ross Barkley,eng ENG,MF,Chelsea,28-104,1993.0,5,1,154,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,1.4,0.48,0.32,0.8,0.48,0.8,Matches,115401.28846153848,6000867,63470.71153846154,3300477,96153.84615384616,5000000,52884.61538461538,2750000,130648.3653846154,6793715,71856.59615384616,3736543,2-yrs,12001734,6600954,10000000,5500000,13587430,7473086,Reserve,M,CM,28,England,Chelsea
28,36,Ashley Barnes,eng ENG,FW,Burnley,32-140,1989.0,15,4,425,4.7,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,1.4,0.14,0.17,0.31,0.14,0.31,Matches,48006.94230769231,2496361,26311.5,1368198,40000.0,2080000,21923.07692307692,1140000,54349.71153846154,2826185,29787.82692307692,1548967,1-yr,2496361,1368198,2080000,1140000,2826185,1548967,Reserve,F,CF,32,England,Burnley
29,37,Harvey Barnes,eng ENG,FWMF,Leicester City,24-100,1997.0,21,18,1476,16.4,3,5,3,0,0,2,0,0.18,0.3,0.49,0.18,0.49,4.5,4.5,2.5,7.0,0.27,0.16,0.43,0.27,0.43,Matches,12001.73076923077,624090,6693.269230769231,348050,10000.0,520000,5576.923076923077,290000,13587.423076923076,706546,7577.596153846154,394035,4-yrs,2496361,1392201,2080000,1160000,2826185,1576142,Reserve,M,LM,24,England,Leicester
30,40,Jan Bednarek,pl POL,DF,Southampton,25-341,1996.0,24,23,1999,22.2,3,0,3,0,0,7,0,0.14,0.0,0.14,0.14,0.14,2.2,2.2,0.6,2.7,0.1,0.03,0.12,0.1,0.12,Matches,24003.46153846154,1248180,13155.75,684099,20000.0,1040000,10961.53846153846,570000,27174.865384615383,1413093,14893.923076923076,774484,4-yrs,4992721,2736395,4160000,2280000,5652371,3097934,Starter,D,CB,25,Poland,Southampton
31,41,Donny van de Beek,nl NED,MF,Manchester Utd,24-335,1997.0,8,0,75,0.8,1,0,1,0,0,0,0,1.2,0.0,1.2,1.2,1.2,0.7,0.7,0.5,1.2,0.88,0.58,1.46,0.88,1.46,Matches,144020.8076923077,7489082,79165.28846153847,4116595,120000.0,6240000,65961.53846153847,3430000,163049.15384615384,8478556,89624.76923076923,4660488,1-yr,7489082,4116595,6240000,3430000,8478556,4660488,Reserve,M,CM,24,Netherlands,Everton
32,42,Donny van de Beek,nl NED,MF,Everton,24-335,1997.0,6,5,429,4.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.01,0.04,0.03,0.04,Matches,144020.8076923077,7489082,79165.28846153847,4116595,120000.0,6240000,65961.53846153847,3430000,163049.15384615384,8478556,89624.76923076923,4660488,1-yr,7489082,4116595,6240000,3430000,8478556,4660488,Reserve,M,CM,24,Netherlands,Everton
33,44,Saïd Benrahma,dz ALG,FWMF,West Ham,26-221,1995.0,25,21,1705,18.9,5,6,5,0,0,0,0,0.26,0.32,0.58,0.26,0.58,3.9,3.9,2.7,6.6,0.21,0.14,0.35,0.21,0.35,Matches,24003.46153846154,1248180,13155.75,684099,20000.0,1040000,10961.53846153846,570000,27174.865384615383,1413093,14893.923076923076,774484,5-yrs,6240902,3420494,5200000,2850000,7065464,3872418,Starter,F,LW,26,Algeria,West Ham
34,45,Rodrigo Bentancur,uy URU,MF,Tottenham,24-287,1997.0,7,6,523,5.8,0,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,0.2,0.2,0.8,0.9,0.03,0.13,0.16,0.03,0.16,Matches,90013.0,4680676,49622.557692307695,2580373,75000.0,3900000,41346.15384615384,2150000,101905.73076923077,5299098,56178.78846153846,2921297,5-yrs,23403381,12901864,19500000,10750000,26495488,14606487,Reserve,M,CM,24,Uruguay,Tottenham
35,46,Christian Benteke,be BEL,FW,Crystal Palace,31-106,1990.0,22,11,1115,12.4,4,1,4,0,0,3,0,0.32,0.08,0.4,0.32,0.4,5.4,5.4,1.1,6.4,0.43,0.09,0.52,0.43,0.52,Matches,144020.8076923077,7489082,79165.28846153847,4116595,120000.0,6240000,65961.53846153847,3430000,163049.15384615384,8478556,89624.76923076923,4660488,2-yrs,14978164,8233190,12480000,6860000,16957113,9320977,Reserve,F,CF,31,Belgium,Crystal Palace
36,48,Steven Bergwijn,nl NED,FWMF,Tottenham,24-162,1997.0,17,4,496,5.5,2,1,2,0,0,1,0,0.36,0.18,0.54,0.36,0.54,2.3,2.3,0.5,2.8,0.41,0.09,0.51,0.41,0.51,Matches,90013.0,4680676,49622.557692307695,2580373,75000.0,3900000,41346.15384615384,2150000,101905.73076923077,5299098,56178.78846153846,2921297,4-yrs,18722705,10321491,15600000,8600000,21196391,11685190,Reserve,F,LW,24,Netherlands,Tottenham
37,49,Ryan Bertrand,eng ENG,DF,Leicester City,32-226,1989.0,4,4,337,3.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.08,0.08,0.0,0.08,Matches,53084.59615384616,2760399,29311.92307692308,1524220,44230.769230769234,2300000,24423.07692307692,1270000,60098.25,3125109,33184.692307692305,1725604,2-yrs,5520798,3048440,4600000,2540000,6250218,3451207,Reserve,D,LB,32,England,Leicester
38,51,Yves Bissouma,ml MLI,MF,Brighton,25-201,1996.0,20,19,1633,18.1,0,1,0,0,0,8,0,0.0,0.06,0.06,0.0,0.06,0.8,0.8,0.6,1.4,0.04,0.03,0.08,0.04,0.08,Matches,30004.32692307692,1560225,16617.78846153846,864125,25000.0,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,2-yrs,3120451,1728250,2600000,1440000,3532732,1956590,Starter,M,CM,25,Mali,Brighton
39,52,Willy Boly,ci CIV,DF,Wolves,31-044,1991.0,2,2,180,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,60008.67307692308,3120451,33004.769230769234,1716248,50000.0,2600000,27500.0,1430000,67937.15384615384,3532732,37365.42307692308,1943002,2-yrs,6240902,3432496,5200000,2860000,7065464,3886005,Reserve,D,CB,30,Cote d&#39;Ivoire,Wolverhampton
40,53,Jarrod Bowen,eng ENG,FW,West Ham,25-089,1996.0,28,27,2356,26.2,8,8,8,0,0,3,0,0.31,0.31,0.61,0.31,0.61,8.9,8.9,5.1,14.0,0.34,0.19,0.53,0.34,0.53,Matches,115401.28846153848,6000867,63470.71153846154,3300477,96153.84615384616,5000000,52884.61538461538,2750000,130648.3653846154,6793715,71856.59615384616,3736543,4-yrs,24003468,13201907,20000000,11000000,27174860,14946173,Starter,F,RW,25,England,West Ham
41,54,Jarrad Branthwaite,eng ENG,DF,Everton,19-265,2002.0,3,1,191,2.1,1,0,1,0,0,0,0,0.47,0.0,0.47,0.47,0.47,0.4,0.4,0.0,0.4,0.2,0.0,0.2,0.2,0.2,Matches,18002.596153846152,936135,9924.51923076923,516075,15000.0,780000,8269.23076923077,430000,20381.153846153848,1059820,11235.75,584259,4-yrs,3744541,2064298,3120000,1720000,4239278,2337038,Reserve,D,CB,19,England,Everton
42,55,Armando Broja,al ALB,FW,Southampton,20-190,2001.0,25,16,1514,16.8,6,0,6,0,0,1,0,0.36,0.0,0.36,0.36,0.36,6.3,6.3,1.0,7.3,0.37,0.06,0.43,0.37,0.43,Matches,7847.288461538462,408059,4385.25,228033,6538.461538461538,340000,3653.846153846154,190000,8884.096153846154,461973,4964.634615384615,258161,1-yr,408059,228033,340000,190000,461973,258161,Starter,F,CF,20,Albania,Southampton
43,56,Josh Brownhill,eng ENG,MF,Burnley,26-090,1995.0,24,22,2013,22.4,1,1,1,0,0,8,0,0.04,0.04,0.09,0.04,0.09,1.0,1.0,1.5,2.5,0.04,0.07,0.11,0.04,0.11,Matches,48006.94230769231,2496361,26311.5,1368198,40000.0,2080000,21923.07692307692,1140000,54349.71153846154,2826185,29787.82692307692,1548967,3-yrs,7489082,4104593,6240000,3420000,8478556,4646901,Starter,M,CM,26,England,Burnley
44,59,Dan Burn,eng ENG,DF,Brighton,29-314,1992.0,13,12,1022,11.4,1,0,1,0,0,4,0,0.09,0.0,0.09,0.09,0.09,1.3,1.3,0.0,1.3,0.11,0.0,0.12,0.11,0.12,Matches,23080.25,1200173,12694.134615384615,660095,19230.76923076923,1000000,10576.923076923076,550000,26129.67307692308,1358743,14371.326923076924,747309,3-yrs,3600520,1980286,3000000,1650000,4076229,2241926,Reserve,D,CB,29,England,Newcastle
45,60,Dan Burn,eng ENG,DF,Newcastle Utd,29-314,1992.0,7,7,630,7.0,0,1,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,0.3,0.3,0.2,0.5,0.04,0.03,0.07,0.04,0.07,Matches,23080.25,1200173,12694.134615384615,660095,19230.76923076923,1000000,10576.923076923076,550000,26129.67307692308,1358743,14371.326923076924,747309,3-yrs,3600520,1980286,3000000,1650000,4076229,2241926,Reserve,D,CB,29,England,Newcastle
46,61,Jack Butland,eng ENG,GK,Crystal Palace,29-009,1993.0,6,5,495,5.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,54007.807692307695,2808406,29773.53846153846,1548224,45000.0,2340000,24807.69230769231,1290000,61143.44230769231,3179459,33707.269230769234,1752778,2-yrs,5616812,3096447,4680000,2580000,6358917,3505557,Reserve,K,GK,28,England,Crystal Palace
47,62,Sam Byram,eng ENG,DFMF,Norwich City,28-184,1993.0,6,2,272,3.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.17,0.03,0.2,0.17,0.2,Matches,36005.21153846154,1872271,19849.01923076923,1032149,30000.0,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,2-yrs,3744541,2064298,3120000,1720000,4239278,2337038,Reserve,D,RB,28,England,Norwich
48,63,Willy Caballero,ar ARG,GK,Southampton,40-172,1981.0,2,2,180,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,20541.42307692308,1068154,11309.326923076924,588085,17115.384615384617,890000,9423.076923076924,490000,23255.403846153848,1209281,12803.53846153846,665784,1-yr,1068154,588085,890000,490000,1209281,665784,Reserve,K,GK,40,Argentina,Southampton
49,64,Dominic Calvert-Lewin,eng ENG,FW,Everton,25-003,1997.0,10,9,762,8.5,3,1,1,2,3,2,0,0.35,0.12,0.47,0.12,0.24,5.7,3.5,0.7,4.2,0.68,0.09,0.76,0.41,0.49,Matches,24003.46153846154,1248180,13155.75,684099,20000.0,1040000,10961.53846153846,570000,27174.865384615383,1413093,14893.923076923076,774484,4-yrs,4992721,2736395,4160000,2280000,5652371,3097934,Reserve,F,CF,24,England,Everton
50,65,João Cancelo,pt POR,DF,Manchester City,27-296,1994.0,27,27,2417,26.9,1,5,1,0,0,5,0,0.04,0.19,0.22,0.04,0.22,2.9,2.9,3.3,6.2,0.11,0.12,0.23,0.11,0.23,Matches,96013.8653846154,4992721,52853.78846153846,2748397,80000.0,4160000,44038.46153846154,2290000,108699.44230769233,5652371,59836.94230769231,3111521,6-yrs,29956328,16490383,24960000,13740000,33914225,18669129,Starter,D,RB,27,Portugal,Manchester City
51,66,Sergi Canós,es ESP,DF,Brentford,25-045,1997.0,28,25,2050,22.8,2,2,2,0,0,6,0,0.09,0.09,0.18,0.09,0.18,2.9,2.9,1.9,4.9,0.13,0.09,0.21,0.13,0.21,Matches,18002.596153846152,936135,9924.51923076923,516075,15000.0,780000,8269.23076923077,430000,20381.153846153848,1059820,11235.75,584259,2-yrs,1872271,1032149,1560000,860000,2119639,1168519,Starter,F,RW,25,Spain,Brentford
52,68,Matty Cash,pl POL,DF,Aston Villa,24-224,1997.0,28,28,2477,27.5,3,3,3,0,0,8,0,0.11,0.11,0.22,0.11,0.22,1.7,1.7,1.8,3.6,0.06,0.07,0.13,0.06,0.13,Matches,78011.26923076923,4056586,42929.28846153846,2232323,65000.0,3380000,35769.230769230766,1860000,88318.28846153847,4592551,48601.19230769231,2527262,4-yrs,16226344,8929290,13520000,7440000,18370205,10109048,Starter,D,RB,24,Poland,Aston Villa
53,69,Timothy Castagne,be BEL,DF,Leicester City,26-104,1995.0,16,12,1273,14.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.0,0.03,0.03,0.0,0.03,Matches,75703.25,3936569,41544.46153846154,2160312,63076.92307692308,3280000,34615.38461538462,1800000,85705.32692307692,4456677,47033.40384615384,2445737,4-yrs,15746275,8641248,13120000,7200000,17826708,9782950,Reserve,D,RB,26,Belgium,Leicester
54,71,Craig Cathcart,nir NIR,DF,Watford,33-041,1989.0,26,25,2184,24.3,0,1,0,0,0,3,0,0.0,0.04,0.04,0.0,0.04,0.1,0.1,0.3,0.4,0.0,0.01,0.02,0.0,0.02,Matches,28157.92307692308,1464212,15463.76923076923,804116,23461.53846153846,1220000,12884.615384615385,670000,31878.19230769231,1657666,17506.884615384617,910358,2-yrs,2928423,1608232,2440000,1340000,3315333,1820716,Starter,D,CB,32,Northern Ireland,Watford
55,72,Edinson Cavani,uy URU,FW,Manchester Utd,35-033,1987.0,12,6,615,6.8,2,1,2,0,0,0,0,0.29,0.15,0.44,0.29,0.44,3.1,3.1,1.1,4.2,0.45,0.17,0.62,0.45,0.62,Matches,300043.3461538461,15602254,165023.84615384616,8581240,250000.0,13000000,137500.0,7150000,339685.75,17663659,186827.15384615384,9715012,1-yr,15602254,8581240,13000000,7150000,17663659,9715012,Reserve,F,CF,34,Uruguay,Manchester United
56,74,Trevoh Chalobah,eng ENG,DF,Chelsea,22-257,1999.0,17,14,1179,13.1,3,1,3,0,0,2,0,0.23,0.08,0.31,0.23,0.31,0.8,0.8,0.1,0.9,0.06,0.01,0.07,0.06,0.07,Matches,24003.46153846154,1248180,13155.75,684099,20000.0,1040000,10961.53846153846,570000,27174.865384615383,1413093,14893.923076923076,774484,5-yrs,6240902,3420494,5200000,2850000,7065464,3872418,Reserve,D,CB,22,England,Chelsea
57,75,Calum Chambers,eng ENG,DF,Arsenal,27-058,1995.0,2,2,170,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07,Matches,32312.365384615383,1680243,17771.80769230769,924134,26923.07692307692,1400000,14807.692307692309,770000,36581.53846153846,1902240,20119.846153846152,1046232,4-yrs,6720971,3696534,5600000,3080000,7608961,4184928,Reserve,D,CB,27,England,Aston Villa
58,76,Calum Chambers,eng ENG,DF,Aston Villa,27-058,1995.0,6,5,452,5.0,1,0,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,Matches,32312.365384615383,1680243,17771.80769230769,924134,26923.07692307692,1400000,14807.692307692309,770000,36581.53846153846,1902240,20119.846153846152,1046232,4-yrs,6720971,3696534,5600000,3080000,7608961,4184928,Reserve,D,CB,27,England,Aston Villa
59,78,Ben Chilwell,eng ENG,DF,Chelsea,25-088,1996.0,6,6,540,6.0,3,1,3,0,0,0,0,0.5,0.17,0.67,0.5,0.67,1.2,1.2,0.9,2.1,0.19,0.15,0.35,0.19,0.35,Matches,228032.9423076923,11857713,125325.80769230767,6516942,190000.0,9880000,104423.07692307692,5430000,258161.17307692303,13424381,141884.11538461538,7377974,4-yrs,47430853,26067766,39520000,21720000,53697523,29511898,Reserve,D,LB,25,England,Chelsea
60,79,Chiquinho,pt POR,MFDF,Wolves,22-042,2000.0,4,0,51,0.6,0,1,0,0,0,0,0,0.0,1.76,1.76,0.0,1.76,0.3,0.3,0.1,0.3,0.45,0.13,0.59,0.45,0.59,Matches,21926.25,1140165,12001.73076923077,624090,18269.23076923077,950000,10000.0,520000,24823.19230769231,1290806,13587.423076923076,706546,5-yrs,5700824,3120451,4750000,2600000,6454029,3532732,Reserve,F,LW,21,Portugal,Wolverhampton
61,80,Hamza Choudhury,eng ENG,DFMF,Leicester City,24-169,1997.0,5,4,284,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,9001.307692307691,468068,4846.846153846154,252036,7500.0,390000,4038.4615384615386,210000,10190.576923076924,529910,5487.2307692307695,285336,2-yrs,936135,504073,780000,420000,1059820,570672,Reserve,M,CM,24,England,Leicester
62,81,Andreas Christensen,dk DEN,DF,Chelsea,25-343,1996.0,16,14,1271,14.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,0.03,0.02,0.05,0.03,0.05,Matches,96013.8653846154,4992721,52853.78846153846,2748397,80000.0,4160000,44038.46153846154,2290000,108699.44230769233,5652371,59836.94230769231,3111521,1-yr,4992721,2748397,4160000,2290000,5652371,3111521,Reserve,D,CB,25,Denmark,Chelsea
63,82,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,18-071,2004.0,9,1,194,2.2,0,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,0.5,0.5,1.0,1.5,0.22,0.46,0.67,0.22,0.67,Matches,1846.423076923077,96014,923.2115384615385,48007,1538.4615384615386,80000,769.2307692307693,40000,2090.3653846153848,108699,1045.1923076923076,54350,2-yrs,192028,96014,160000,80000,217399,108699,Reserve,M,CM,18,England,Aston Villa
64,83,Ciaran Clark,ie IRL,DF,Newcastle Utd,32-174,1989.0,13,12,1014,11.3,0,1,0,0,0,2,1,0.0,0.09,0.09,0.0,0.09,0.8,0.8,0.3,1.1,0.07,0.03,0.1,0.07,0.1,Matches,42006.07692307692,2184316,23080.25,1200173,35000.0,1820000,19230.76923076923,1000000,47556.0,2472912,26129.67307692308,1358743,2-yrs,4368631,2400347,3640000,2000000,4945825,2717486,Reserve,D,CB,32,Ireland,Newcastle
65,84,Tom Cleverley,eng ENG,MF,Watford,32-219,1989.0,23,17,1365,15.2,0,2,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,0.8,0.8,1.5,2.3,0.05,0.1,0.15,0.05,0.15,Matches,60008.67307692308,3120451,33004.769230769234,1716248,50000.0,2600000,27500.0,1430000,67937.15384615384,3532732,37365.42307692308,1943002,1-yr,3120451,1716248,2600000,1430000,3532732,1943002,Starter,M,CM,32,England,Watford
