Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
13,Ethan Ampadu,wls WAL,MFDF,Venezia,21-187,2000,21,18,1564,17.4,0,2,0,0,0,9,1,0.0,0.12,0.12,0.0,0.12,0.1,0.1,1.4,1.5,0.01,0.08,0.08,0.01,0.08,Matches,17.4,50,27,25,19,6,9,29,31.0,20,304,87,28.6,150,131,23,42,11,0,31,41,91,50,0,,,,,,,,,,,,,,,578,767,75.4,11609,4047,208,247,84.2,272,328,82.9,92,163,56.4,2,1.4,0.6,13,47,8,5,57,8653.846153846154,450000,6730.769230769231,350000,7210.5,374946,5608.173076923077,291625,9797.21153846154,509455,7620.057692307692,396243,1-yr,450000,350000,374946,291625,509455,396243,Starter,D,CB,21,Wales,Venezia
14,Sofyan Amrabat,ma MAR,MF,Fiorentina,25-211,1996,16,3,460,5.1,1,0,1,0,0,4,0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1,0.01,0.02,0.02,0.01,0.02,Matches,5.1,19,13,10,7,2,10,18,55.6,8,126,35,27.8,33,78,15,18,6,0,12,5,24,3,1,,,,,,,,,,,,,,,272,304,89.5,5754,1200,87,94,92.6,129,140,92.1,51,57,89.5,0,0.1,-0.1,3,29,3,0,27,36923.07692307692,1920000,28846.153846153848,1500000,30764.78846153846,1599769,24034.98076923077,1249819,41801.44230769231,2173675,32657.365384615383,1698183,3-yrs,5760000,4500000,4799307,3749458,6521024,5094550,Reserve,M,DM,25,Morocco,Fiorentina
15,Felipe Anderson,br BRA,FW,Lazio,28-339,1993,29,24,2111,23.5,5,5,5,0,0,1,0,0.21,0.21,0.43,0.21,0.43,4.2,4.2,5.6,9.8,0.18,0.24,0.42,0.18,0.42,Matches,23.5,60,36,24,26,10,19,69,27.5,50,570,135,23.7,132,257,181,43,2,0,41,29,89,12,0,,,,,,,,,,,,,,,850,1084,78.4,13308,3388,487,569,85.6,281,348,80.7,62,104,59.6,5,5.6,-0.6,41,35,46,9,92,54230.769230769234,2820000,42307.69230769231,2200000,45185.78846153846,2349661,35251.32692307692,1833069,61395.86538461538,3192585,47897.480769230766,2490669,4-yrs,11280000,8800000,9398642,7332274,12770340,9962676,Reserve,F,LW,28,Brazil,Lazio
17,Cristian Ansaldi,ar ARG,DF,Torino,35-181,1986,14,4,532,5.9,0,3,0,0,0,1,0,0.0,0.51,0.51,0.0,0.51,0.2,0.2,1.0,1.3,0.03,0.18,0.21,0.03,0.21,Matches,5.9,12,4,9,3,0,6,9,66.7,3,60,17,28.3,21,22,17,7,1,0,6,4,16,7,0,,,,,,,,,,,,,,,220,314,70.1,4360,2250,99,109,90.8,76,107,71.0,40,81,49.4,3,1.0,2.0,13,35,10,8,35,35576.92307692308,1850000,19230.76923076923,1000000,29643.153846153848,1541444,16023.326923076924,833213,40277.42307692308,2094426,21771.57692307692,1132122,1-yr,1850000,1000000,1541444,833213,2094426,1132122,Reserve,D,LB,35,Argentina,Torino
18,Janis Antiste,fr FRA,FWMF,Spezia,19-214,2002,12,8,619,6.9,1,0,1,0,0,0,0,0.15,0.0,0.15,0.15,0.15,1.4,1.4,0.2,1.7,0.21,0.03,0.24,0.21,0.24,Matches,6.9,16,11,3,7,6,5,12,41.7,7,150,44,29.3,26,45,79,7,0,0,7,3,19,4,0,,,,,,,,,,,,,,,102,154,66.2,1396,261,60,83,72.3,34,47,72.3,3,8,37.5,0,0.2,-0.2,3,4,6,2,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5-yrs,0,0,0,0,0,0,Reserve,F,CF,19,France,Spezia
19,Mattia Aramu,it ITA,MFFW,Venezia,26-310,1995,23,19,1494,16.6,5,4,3,2,3,5,0,0.3,0.24,0.54,0.18,0.42,4.7,2.4,3.4,5.8,0.28,0.21,0.49,0.14,0.35,Matches,16.6,16,8,3,10,3,3,17,17.6,14,331,77,23.3,78,150,103,19,2,0,17,10,26,14,0,,,,,,,,,,,,,,,380,586,64.8,6820,2311,177,218,81.2,139,188,73.9,54,141,38.3,4,3.4,0.6,29,26,20,8,43,17884.615384615383,930000,9615.384615384615,500000,14901.692307692309,774888,8011.653846153846,416606,20247.57692307692,1052874,10885.78846153846,566061,2-yrs,1860000,1000000,1549776,833213,2105747,1132122,Reserve,F,AM,26,Italy,Venezia
21,Tolgay Arslan,de GER,MF,Udinese,31-216,1990,24,18,1423,15.8,1,0,1,0,0,7,0,0.06,0.0,0.06,0.06,0.06,1.2,1.2,1.3,2.5,0.08,0.09,0.17,0.08,0.17,Matches,15.8,27,19,14,8,5,10,37,27.0,27,258,68,26.4,81,134,43,22,2,0,20,23,50,17,0,,,,,,,,,,,,,,,414,522,79.3,7783,1846,169,200,84.5,177,208,85.1,58,90,64.4,0,1.3,-1.3,13,51,6,1,44,14807.692307692309,770000,11538.46153846154,600000,12337.96153846154,641574,9614.0,499928,16764.115384615383,871734,13062.942307692309,679273,1-yr,770000,600000,641574,499928,871734,679273,Starter,M,CM,31,Germany,Udinese
22,Arthur,br BRA,FW,Fiorentina,23-329,1998,5,1,150,1.7,1,1,1,0,0,0,0,0.6,0.6,1.2,0.6,1.2,0.9,0.9,0.0,1.0,0.56,0.02,0.59,0.56,0.59,Matches,1.7,2,1,0,1,1,0,2,0.0,2,33,9,27.3,0,9,24,2,0,0,2,2,4,2,0,,,,,,,,,,,,,,,23,34,67.6,337,81,16,21,76.2,5,9,55.6,2,3,66.7,1,0.0,1.0,1,2,0,0,3,123269.23076923077,6410000,96153.84615384616,5000000,102709.51923076923,5340895,80116.63461538461,4166065,139555.84615384616,7256904,108857.92307692308,5660612,4-yrs,25640000,20000000,21363581,16664259,29027616,22642446,Reserve,M,CM,25,Brazil,Juventus
23,Kristoffer Askildsen,no NOR,MF,Sampdoria,21-070,2001,17,7,727,8.1,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.4,0.03,0.02,0.05,0.03,0.05,Matches,8.1,15,9,5,9,1,7,15,46.7,8,130,34,26.2,44,64,22,22,10,0,12,18,33,19,0,,,,,,,,,,,,,,,146,215,67.9,2309,873,78,97,80.4,53,73,72.6,11,30,36.7,0,0.2,-0.2,2,13,2,0,22,2500.0,130000,1923.076923076923,100000,2083.038461538461,108318,1602.326923076923,83321,2830.3076923076924,147176,2177.153846153846,113212,3-yrs,390000,300000,324953,249964,441528,339637,Reserve,M,CM,21,Norway,Sampdoria
24,Kristjan Asllani,al ALB,MF,Empoli,20-011,2002,14,6,624,6.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,0.02,0.09,0.11,0.02,0.11,Matches,6.9,9,4,6,3,0,2,8,25.0,6,125,24,19.2,53,60,12,8,4,1,4,20,29,12,0,,,,,,,,,,,,,,,337,403,83.6,7113,1565,109,125,87.2,159,177,89.8,64,93,68.8,0,0.6,-0.6,5,31,0,0,24,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1-yr,0,0,0,0,0,0,Starter,M,DM,19,Albania,Empoli
