Player,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Jannik Vestergaard,78242.07692307692,4068588,42929.28846153846,2232323,65192.307692307695,3390000,35769.230769230766,1860000,88579.59615384616,4606139,48601.192307692305,2527262,3-yrs,12205763,6696968,10170000,5580000,13818416,7581786,Reserve,D,CB,29,Denmark,Leicester
Oriol Romeu,78011.26923076923,4056586,42929.28846153846,2232323,65000,3380000,35769.230769230766,1860000,88318.28846153847,4592551,48601.192307692305,2527262,2-yrs,8113172,4464645,6760000,3720000,9185103,5054524,Starter,M,DM,30,Spain,Southampton
Brandon Williams,78011.26923076923,4056586,42929.28846153846,2232323,65000,3380000,35769.230769230766,1860000,88318.28846153847,4592551,48601.192307692305,2527262,1-yr,4056586,2232323,3380000,1860000,4592551,2527262,Starter,D,LB,21,England,Norwich
Lukasz Fabianski,78011.26923076923,4056586,42929.28846153846,2232323,65000,3380000,35769.230769230766,1860000,88318.28846153847,4592551,48601.192307692305,2527262,1-yr,4056586,2232323,3380000,1860000,4592551,2527262,Starter,K,GK,36,Poland,West Ham
Davinson Sánchez,78011.26923076923,4056586,42929.28846153846,2232323,65000,3380000,35769.230769230766,1860000,88318.28846153847,4592551,48601.192307692305,2527262,3-yrs,12169758,6696968,10140000,5580000,13777654,7581786,Starter,D,CB,25,Colombia,Tottenham
Ederson,78011.26923076923,4056586,42929.28846153846,2232323,65000,3380000,35769.230769230766,1860000,88318.28846153847,4592551,48601.192307692305,2527262,5-yrs,20282930,11161613,16900000,9300000,22962757,12636310,Starter,K,GK,28,Brazil,Manchester City
Matty Cash,78011.26923076923,4056586,42929.28846153846,2232323,65000,3380000,35769.230769230766,1860000,88318.28846153847,4592551,48601.192307692305,2527262,4-yrs,16226344,8929290,13520000,7440000,18370205,10109048,Starter,D,RB,24,Poland,Aston Villa
Michael Keane,78011.26923076923,4056586,42929.28846153846,2232323,65000,3380000,35769.230769230766,1860000,88318.28846153847,4592551,48601.192307692305,2527262,4-yrs,16226344,8929290,13520000,7440000,18370205,10109048,Starter,D,CB,29,England,Everton
Cheikhou Kouyaté,78011.26923076923,4056586,42929.28846153846,2232323,65000,3380000,35769.230769230766,1860000,88318.28846153847,4592551,48601.192307692305,2527262,1-yr,4056586,2232323,3380000,1860000,4592551,2527262,Reserve,M,DM,32,Senegal,Crystal Palace
Raphinha,76164.84615384616,3960572,42006.07692307692,2184316,63461.53846153846,3300000,35000,1820000,86227.92307692308,4483852,47556,2472912,3-yrs,11881717,6552947,9900000,5460000,13451556,7418737,Starter,F,RW,25,Brazil,Leeds
Ismaïla Sarr,75703.25,3936569,41544.46153846154,2160312,63076.92307692308,3280000,34615.38461538462,1800000,85705.32692307692,4456677,47033.403846153844,2445737,3-yrs,11809706,6480936,9840000,5400000,13370031,7337212,Reserve,F,RW,23,Senegal,Watford
Timothy Castagne,75703.25,3936569,41544.46153846154,2160312,63076.92307692308,3280000,34615.38461538462,1800000,85705.32692307692,4456677,47033.403846153844,2445737,4-yrs,15746275,8641248,13120000,7200000,17826708,9782950,Reserve,D,RB,26,Belgium,Leicester
Patson Daka,74549.23076923077,3876560,41082.86538461538,2136309,62115.38461538462,3230000,34230.769230769234,1780000,84398.84615384616,4388740,46510.82692307692,2418563,5-yrs,19382800,10681543,16150000,8900000,21943699,12092813,Starter,F,CF,23,Zambia,Leicester
Konstantinos Tsimikas,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,4-yrs,14978164,8257193,12480000,6880000,16957113,9348152,Reserve,D,LB,25,Greece,Liverpool
Mohamed Elyounoussi,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,2-yrs,7489082,4128596,6240000,3440000,8478556,4674076,Starter,F,LW,27,Norway,Southampton
Cenk Tosun,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,1-yr,3744541,2064298,3120000,1720000,4239278,2337038,Reserve,F,CF,30,Turkey,Everton
Ruben Loftus-Cheek,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,3-yrs,11233623,6192895,9360000,5160000,12717834,7011114,Reserve,M,CM,26,England,Chelsea
Nathan Redmond,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,2-yrs,7489082,4128596,6240000,3440000,8478556,4674076,Reserve,F,LW,27,England,Southampton
Divock Origi,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,1-yr,3744541,2064298,3120000,1720000,4239278,2337038,Reserve,F,CF,26,Belgium,Liverpool
Kelechi Iheanacho,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,3-yrs,11233623,6192895,9360000,5160000,12717834,7011114,Reserve,F,CF,25,Nigeria,Leicester
Daniel Podence,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,3-yrs,11233623,6192895,9360000,5160000,12717834,7011114,Starter,F,RW,26,Portugal,Wolverhampton
Scott McTominay,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,4-yrs,14978164,8257193,12480000,6880000,16957113,9348152,Starter,M,DM,25,Scotland,Manchester United
Danny Rose,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,2-yrs,7489082,4128596,6240000,3440000,8478556,4674076,Reserve,D,LB,31,England,Watford
Ben Davies,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,3-yrs,11233623,6192895,9360000,5160000,12717834,7011114,Starter,D,LB,28,Wales,Tottenham
Shane Long,72010.40384615384,3744541,39698.03846153846,2064298,60000,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,1-yr,3744541,2064298,3120000,1720000,4239278,2337038,Reserve,F,CF,35,Ireland,Southampton
Adrián,69702.38461538461,3624524,38313.230769230766,1992288,58076.92307692308,3020000,31923.076923076922,1660000,78911.61538461539,4103404,43375.25,2255513,1-yr,3624524,1992288,3020000,1660000,4103404,2255513,Reserve,K,GK,35,Spain,Liverpool
Reece James,69702.38461538461,3624524,38313.230769230766,1992288,58076.92307692308,3020000,31923.076923076922,1660000,78911.61538461539,4103404,43375.25,2255513,4-yrs,14498095,7969151,12080000,6640000,16413615,9022054,Reserve,D,RB,22,England,Chelsea
Rodrigo,69240.76923076923,3600520,38082.42307692308,1980286,57692.307692307695,3000000,31730.76923076923,1650000,78389.01923076923,4076229,43113.96153846154,2241926,3-yrs,10801561,5940858,9000000,4950000,12228687,6725778,Starter,F,SS,30,Spain,Leeds
Ryan Sessegnon,69240.76923076923,3600520,38082.42307692308,1980286,57692.307692307695,3000000,31730.76923076923,1650000,78389.01923076923,4076229,43113.96153846154,2241926,4-yrs,14402081,7921144,12000000,6600000,16304916,8967704,Reserve,M,LM,21,England,Tottenham
Emil Krafth,69240.76923076923,3600520,38082.42307692308,1980286,57692.307692307695,3000000,31730.76923076923,1650000,78389.01923076923,4076229,43113.96153846154,2241926,2-yrs,7201040,3960572,6000000,3300000,8152458,4483852,Reserve,D,RB,27,Sweden,Newcastle
Luis Díaz,67209.71153846153,3494905,36928.403846153844,1920277,56000,2912000,30769.23076923077,1600000,76089.61538461539,3956660,41807.480769230766,2173989,6-yrs,20969430,11521665,17472000,9600000,23739958,13043933,Reserve,F,LW,25,Colombia,Liverpool
Jeffrey Schlupp,67163.55769230769,3492505,36928.403846153844,1920277,55961.53846153846,2910000,30769.23076923077,1600000,76037.34615384616,3953942,41807.480769230766,2173989,1-yr,3492505,1920277,2910000,1600000,3953942,2173989,Starter,M,LM,29,Ghana,Crystal Palace
Ben Mee,66009.53846153847,3432496,36236,1884272,55000,2860000,30192.30769230769,1570000,74730.86538461539,3886005,41023.596153846156,2133227,1-yr,3432496,1884272,2860000,1570000,3886005,2133227,Starter,D,CB,32,England,Burnley
Ibrahima Diallo,66009.53846153847,3432496,36236,1884272,55000,2860000,30192.30769230769,1570000,74730.86538461539,3886005,41023.596153846156,2133227,3-yrs,10297488,5652817,8580000,4710000,11658015,6399680,Reserve,M,DM,22,France,Southampton
Nampalys Mendy,66009.53846153847,3432496,36236,1884272,55000,2860000,30192.30769230769,1570000,74730.86538461539,3886005,41023.596153846156,2133227,2-yrs,6864992,3768544,5720000,3140000,7772010,4266453,Reserve,M,DM,29,Senegal,Leicester
James McArthur,66009.53846153847,3432496,36236,1884272,55000,2860000,30192.30769230769,1570000,74730.86538461539,3886005,41023.596153846156,2133227,1-yr,3432496,1884272,2860000,1570000,3886005,2133227,Reserve,M,CM,34,Scotland,Crystal Palace
Moussa Djenepo,66009.53846153847,3432496,36236,1884272,55000,2860000,30192.30769230769,1570000,74730.86538461539,3886005,41023.596153846156,2133227,2-yrs,6864992,3768544,5720000,3140000,7772010,4266453,Reserve,F,LW,23,Mali,Southampton
Luka Milivojevic,66009.53846153847,3432496,36236,1884272,55000,2860000,30192.30769230769,1570000,74730.86538461539,3886005,41023.596153846156,2133227,2-yrs,6864992,3768544,5720000,3140000,7772010,4266453,Reserve,M,DM,30,Serbia,Crystal Palace
Jairo Riedewald,66009.53846153847,3432496,36236,1884272,55000,2860000,30192.30769230769,1570000,74730.86538461539,3886005,41023.596153846156,2133227,3-yrs,10297488,5652817,8580000,4710000,11658015,6399680,Reserve,M,DM,25,Netherlands,Crystal Palace
Danny Welbeck,66009.53846153847,3432496,36236,1884272,55000,2860000,30192.30769230769,1570000,74730.86538461539,3886005,41023.596153846156,2133227,1-yr,3432496,1884272,2860000,1570000,3886005,2133227,Starter,F,CF,31,England,Brighton
Will Hughes,64624.730769230766,3360486,35543.596153846156,1848267,53846.153846153844,2800000,29615.384615384617,1540000,73163.07692307692,3804480,40239.692307692305,2092464,3-yrs,10081457,5544801,8400000,4620000,11413441,6277393,Starter,M,CM,26,England,Crystal Palace
Jean-Philippe Mateta,64163.11538461538,3336482,35312.78846153846,1836265,53461.53846153846,2780000,29423.076923076922,1530000,72640.5,3777306,39978.403846153844,2078877,5-yrs,16682410,9181327,13900000,7650000,18886528,10394384,Starter,F,CF,24,France,Crystal Palace
Sergio Reguilón,63609.192307692305,3307678,35082,1824264,53000,2756000,29230.76923076923,1520000,72013.38461538461,3744696,39717.096153846156,2065289,4-yrs,13230712,7297054,11024000,6080000,14978783,8261157,Starter,D,LB,25,Spain,Tottenham
Edouard Mendy,62316.692307692305,3240468,34389.57692307692,1788258,51923.07692307692,2700000,28653.846153846152,1490000,70550.11538461539,3668606,38933.21153846154,2024527,4-yrs,12961873,7153033,10800000,5960000,14674424,8098108,Reserve,K,GK,29,Senegal,Chelsea
Marc Guehi,60239.480769230766,3132453,33235.57692307692,1728250,50192.307692307695,2610000,27692.30769230769,1440000,68198.44230769231,3546319,37626.730769230766,1956590,5-yrs,15662263,8641248,13050000,7200000,17731596,9782950,Starter,D,CB,21,England,Crystal Palace
Marc Cucurella,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,5-yrs,15602254,8581240,13000000,7150000,17663659,9715012,Starter,D,LB,23,Spain,Brighton
Albert Sambi Lokonga,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,5-yrs,15602254,8581240,13000000,7150000,17663659,9715012,Reserve,M,CM,22,Belgium,Arsenal
Alex Iwobi,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,3-yrs,9361353,5148744,7800000,4290000,10598195,5829007,Reserve,F,LW,25,Nigeria,Everton
Alex McCarthy,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,1-yr,3120451,1716248,2600000,1430000,3532732,1943002,Reserve,K,GK,32,England,Southampton
Andrew Robertson,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,5-yrs,15602254,8581240,13000000,7150000,17663659,9715012,Starter,D,LB,27,Scotland,Liverpool
Daniel James,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,5-yrs,15602254,8581240,13000000,7150000,17663659,9715012,Starter,F,LW,24,Wales,Leeds
Gabriel Magalhães,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,4-yrs,12481803,6864992,10400000,5720000,14130927,7772010,Starter,D,CB,24,Brazil,Arsenal
Harry Winks,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,3-yrs,9361353,5148744,7800000,4290000,10598195,5829007,Starter,M,DM,26,England,Tottenham
James Tarkowski,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,1-yr,3120451,1716248,2600000,1430000,3532732,1943002,Starter,D,CB,29,England,Burnley
James Tomkins,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,1-yr,3120451,1716248,2600000,1430000,3532732,1943002,Reserve,D,CB,32,England,Crystal Palace
Aaron Cresswell,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,2-yrs,6240902,3432496,5200000,2860000,7065464,3886005,Starter,D,LB,32,England,West Ham
Mark Noble,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,1-yr,3120451,1716248,2600000,1430000,3532732,1943002,Reserve,M,CM,34,England,West Ham
Mohamed Elneny,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,1-yr,3120451,1716248,2600000,1430000,3532732,1943002,Reserve,M,DM,29,Egypt,Arsenal
Neal Maupay,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,2-yrs,6240902,3432496,5200000,2860000,7065464,3886005,Reserve,F,CF,25,France,Brighton
Pascal Groß,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,1-yr,3120451,1716248,2600000,1430000,3532732,1943002,Starter,M,CM,30,Germany,Brighton
Pedro Neto,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,4-yrs,12481803,6864992,10400000,5720000,14130927,7772010,Reserve,F,LW,21,Portugal,Wolverhampton
Rúben Neves,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,3-yrs,9361353,5148744,7800000,4290000,10598195,5829007,Starter,M,DM,24,Portugal,Wolverhampton
Stuart Armstrong,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,3-yrs,9361353,5148744,7800000,4290000,10598195,5829007,Starter,M,CM,29,Scotland,Southampton
Tom Cleverley,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,1-yr,3120451,1716248,2600000,1430000,3532732,1943002,Starter,M,CM,32,England,Watford
Willy Boly,60008.67307692308,3120451,33004.769230769234,1716248,50000,2600000,27500,1430000,67937.15384615384,3532732,37365.42307692308,1943002,2-yrs,6240902,3432496,5200000,2860000,7065464,3886005,Reserve,D,CB,30,Cote d&#39;Ivoire,Wolverhampton
Ashley Young,59316.269230769234,3084446,32543.153846153848,1692244,49423.07692307692,2570000,27115.384615384617,1410000,67153.26923076923,3491970,36842.846153846156,1915828,1-yr,3084446,1692244,2570000,1410000,3491970,1915828,Reserve,D,LB,36,England,Aston Villa
Moisés Caicedo,57700.653846153844,3000434,31850.75,1656239,48076.92307692308,2500000,26538.46153846154,1380000,65324.192307692305,3396858,36058.942307692305,1875065,4-yrs,12001734,6624957,10000000,5520000,13587430,7500261,Reserve,M,CM,20,Ecuador,Brighton
Morgan Sanson,57700.653846153844,3000434,31850.75,1656239,48076.92307692308,2500000,26538.46153846154,1380000,65324.192307692305,3396858,36058.942307692305,1875065,4-yrs,12001734,6624957,10000000,5520000,13587430,7500261,Reserve,M,CM,27,France,Aston Villa
Erik Pieters,57700.653846153844,3000434,31850.75,1656239,48076.92307692308,2500000,26538.46153846154,1380000,65324.192307692305,3396858,36058.942307692305,1875065,1-yr,3000434,1656239,2500000,1380000,3396858,1875065,Starter,D,LB,33,Netherlands,Burnley
Lyanco,57700.653846153844,3000434,31850.75,1656239,48076.92307692308,2500000,26538.46153846154,1380000,65324.192307692305,3396858,36058.942307692305,1875065,4-yrs,12001734,6624957,10000000,5520000,13587430,7500261,Reserve,D,CB,25,Brazil,Southampton
Jack Stephens,57469.846153846156,2988432,31619.96153846154,1644238,47884.61538461538,2490000,26346.153846153848,1370000,65062.88461538462,3383270,35797.653846153844,1861478,1-yr,2988432,1644238,2490000,1370000,3383270,1861478,Reserve,D,CB,28,England,Southampton
Adam Armstrong,57469.846153846156,2988432,31619.96153846154,1644238,47884.61538461538,2490000,26346.153846153848,1370000,65062.88461538462,3383270,35797.653846153844,1861478,4-yrs,11953727,6576950,9960000,5480000,13533080,7445912,Reserve,F,CF,24,England,Southampton
Michael Olise,57008.230769230766,2964428,31389.153846153848,1632236,47500,2470000,26153.846153846152,1360000,64540.28846153846,3356095,35536.346153846156,1847890,5-yrs,14822141,8161179,12350000,6800000,16780476,9239452,Starter,F,AM,20,France,Crystal Palace
Emiliano Martínez,57008.230769230766,2964428,31389.153846153848,1632236,47500,2470000,26153.846153846152,1360000,64540.28846153846,3356095,35536.346153846156,1847890,6-yrs,17786570,9793415,14820000,8160000,20136571,11087343,Starter,K,GK,29,Argentina,Aston Villa
Federico Fernández,56777.442307692305,2952427,31158.346153846152,1620234,47307.692307692305,2460000,25961.53846153846,1350000,64279,3342508,35275.057692307695,1834303,2-yrs,5904853,3240468,4920000,2700000,6685016,3668606,Reserve,D,CB,32,Argentina,Newcastle
Robin Koch,55392.61538461538,2880416,30465.94230769231,1584229,46153.846153846156,2400000,25384.615384615383,1320000,62711.21153846154,3260983,34491.17307692308,1793541,3-yrs,8641248,4752687,7200000,3960000,9782950,5380622,Starter,D,CB,25,Germany,Leeds
Callum Wilson,55392.61538461538,2880416,30465.94230769231,1584229,46153.846153846156,2400000,25384.615384615383,1320000,62711.21153846154,3260983,34491.17307692308,1793541,3-yrs,8641248,4752687,7200000,3960000,9782950,5380622,Reserve,F,CF,29,England,Newcastle
Zack Steffen,55207.980769230766,2870815,30465.94230769231,1584229,46000,2392000,25384.615384615383,1320000,62502.17307692308,3250113,34491.17307692308,1793541,4-yrs,11483259,6336916,9568000,5280000,13000453,7174163,Reserve,K,GK,26,United States,Manchester City
Ayoze Pérez,54007.807692307695,2808406,29773.53846153846,1548224,45000,2340000,24807.69230769231,1290000,61143.442307692305,3179459,33707.269230769234,1752778,2-yrs,5616812,3096447,4680000,2580000,6358917,3505557,Reserve,F,SS,28,Spain,Leicester
James Ward-Prowse,54007.807692307695,2808406,29773.53846153846,1548224,45000,2340000,24807.69230769231,1290000,61143.442307692305,3179459,33707.269230769234,1752778,5-yrs,14042029,7741118,11700000,6450000,15897293,8763892,Starter,M,CM,27,England,Southampton
Jack Butland,54007.807692307695,2808406,29773.53846153846,1548224,45000,2340000,24807.69230769231,1290000,61143.442307692305,3179459,33707.269230769234,1752778,2-yrs,5616812,3096447,4680000,2580000,6358917,3505557,Reserve,K,GK,28,England,Crystal Palace
Matt Ritchie,54007.807692307695,2808406,29773.53846153846,1548224,45000,2340000,24807.69230769231,1290000,61143.442307692305,3179459,33707.269230769234,1752778,2-yrs,5616812,3096447,4680000,2580000,6358917,3505557,Reserve,D,LB,32,Scotland,Newcastle
Lewis Dunk,54007.807692307695,2808406,29773.53846153846,1548224,45000,2340000,24807.69230769231,1290000,61143.442307692305,3179459,33707.269230769234,1752778,4-yrs,11233623,6192895,9360000,5160000,12717834,7011114,Reserve,D,CB,30,England,Brighton
Caglar Söyüncü,54007.807692307695,2808406,29773.53846153846,1548224,45000,2340000,24807.69230769231,1290000,61143.442307692305,3179459,33707.269230769234,1752778,2-yrs,5616812,3096447,4680000,2580000,6358917,3505557,Reserve,D,CB,25,Turkey,Leicester
Eddie Nketiah,54007.807692307695,2808406,29773.53846153846,1548224,45000,2340000,24807.69230769231,1290000,61143.442307692305,3179459,33707.269230769234,1752778,1-yr,2808406,1548224,2340000,1290000,3179459,1752778,Reserve,F,CF,22,England,Arsenal
Marc Albrighton,54007.807692307695,2808406,29773.53846153846,1548224,45000,2340000,24807.69230769231,1290000,61143.442307692305,3179459,33707.269230769234,1752778,3-yrs,8425217,4644671,7020000,3870000,9538376,5258335,Starter,M,RM,32,England,Leicester
Ryan Bertrand,53084.596153846156,2760399,29311.923076923078,1524220,44230.769230769234,2300000,24423.076923076922,1270000,60098.25,3125109,33184.692307692305,1725604,2-yrs,5520798,3048440,4600000,2540000,6250218,3451207,Reserve,D,LB,32,England,Leicester
Demarai Gray,53084.596153846156,2760399,29311.923076923078,1524220,44230.769230769234,2300000,24423.076923076922,1270000,60098.25,3125109,33184.692307692305,1725604,3-yrs,8281196,4572661,6900000,3810000,9375327,5176811,Starter,F,LW,25,England,Everton
Billy Gilmour,51930.57692307692,2700390,28619.51923076923,1488215,43269.230769230766,2250000,23846.153846153848,1240000,58791.769230769234,3057172,32400.78846153846,1684841,1-yr,2700390,1488215,2250000,1240000,3057172,1684841,Reserve,M,CM,20,Scotland,Norwich
Craig Dawson,51007.36538461538,2652383,28157.923076923078,1464212,42500,2210000,23461.53846153846,1220000,57746.57692307692,3002822,31878.19230769231,1657666,2-yrs,5304766,2928423,4420000,2440000,6005644,3315333,Starter,D,CB,31,England,West Ham
Leandro Trossard,51007.36538461538,2652383,28157.923076923078,1464212,42500,2210000,23461.53846153846,1220000,57746.57692307692,3002822,31878.19230769231,1657666,2-yrs,5304766,2928423,4420000,2440000,6005644,3315333,Reserve,F,LW,27,Belgium,Brighton
Miguel Almirón,50776.557692307695,2640381,27927.115384615383,1452210,42307.692307692305,2200000,23269.23076923077,1210000,57485.28846153846,2989235,31616.903846153848,1644079,3-yrs,7921144,4356629,6600000,3630000,8967704,4932237,Reserve,F,AM,27,Paraguay,Newcastle
Junior Firpo,50776.557692307695,2640381,27927.115384615383,1452210,42307.692307692305,2200000,23269.23076923077,1210000,57485.28846153846,2989235,31616.903846153848,1644079,4-yrs,10561526,5808839,8800000,4840000,11956938,6576316,Reserve,D,LB,25,Dominican Republic,Leeds
Tom Heaton,50407.28846153846,2621179,27696.30769230769,1440208,42000,2184000,23076.923076923078,1200000,57067.21153846154,2967495,31355.615384615383,1630492,2-yrs,5242357,2880416,4368000,2400000,5934989,3260983,Reserve,K,GK,35,England,Manchester United
Emerson,50084.153846153844,2604376,27465.5,1428206,41730.769230769234,2170000,22884.615384615383,1190000,56701.38461538462,2948472,31094.30769230769,1616904,5-yrs,13021881,7141032,10850000,5950000,14742362,8084521,Starter,D,RB,23,Brazil,Tottenham
Raúl Jiménez,49391.75,2568371,27234.71153846154,1416205,41153.846153846156,2140000,22692.30769230769,1180000,55917.5,2907710,30833.01923076923,1603317,3-yrs,7705113,4248614,6420000,3540000,8723130,4809950,Starter,F,CF,30,Mexico,Wolverhampton
Ki-Jana Hoever,48468.53846153846,2520364,26773.096153846152,1392201,40384.61538461538,2100000,22307.69230769231,1160000,54872.307692307695,2853360,30310.423076923078,1576142,4-yrs,10081457,5568805,8400000,4640000,11413441,6304568,Reserve,D,RB,20,Netherlands,Wolverhampton
Charly Musonda Jr,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,1-yr,2496361,1368198,2080000,1140000,2826185,1548967,Reserve,F,AM,25,Belgium,Chelsea
Arthur Masuaku,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,3-yrs,7489082,4104593,6240000,3420000,8478556,4646901,Reserve,D,LB,28,Democratic Republic of the Congo,West Ham
Shane Duffy,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,2-yrs,4992721,2736395,4160000,2280000,5652371,3097934,Reserve,D,CB,30,Ireland,Brighton
Ashley Barnes,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,1-yr,2496361,1368198,2080000,1140000,2826185,1548967,Reserve,F,CF,32,England,Burnley
Rob Holding,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,3-yrs,7489082,4104593,6240000,3420000,8478556,4646901,Reserve,D,CB,26,England,Arsenal
Josh Brownhill,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,3-yrs,7489082,4104593,6240000,3420000,8478556,4646901,Starter,M,CM,26,England,Burnley
Ben Gibson,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,3-yrs,7489082,4104593,6240000,3420000,8478556,4646901,Starter,D,CB,29,England,Norwich
Dwight Gayle,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,3-yrs,7489082,4104593,6240000,3420000,8478556,4646901,Reserve,F,CF,32,England,Newcastle
Jamaal Lascelles,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,3-yrs,7489082,4104593,6240000,3420000,8478556,4646901,Starter,D,CB,28,England,Newcastle
Fabian Schär,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,1-yr,2496361,1368198,2080000,1140000,2826185,1548967,Starter,D,CB,30,Switzerland,Newcastle
Takehiro Tomiyasu,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,4-yrs,9985443,5472791,8320000,4560000,11304742,6195868,Reserve,D,RB,23,Japan,Arsenal
Ryan Fredericks,48006.942307692305,2496361,26311.5,1368198,40000,2080000,21923.076923076922,1140000,54349.71153846154,2826185,29787.826923076922,1548967,1-yr,2496361,1368198,2080000,1140000,2826185,1548967,Reserve,D,RB,29,England,West Ham
