Player,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Dele Alli,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,3-yrs,18722705,10297488,15600000,8580000,21196391,11658015,Reserve,F,AM,25,England,Everton
Sadio Mané,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,2-yrs,12481803,6864992,10400000,5720000,14130927,7772010,Starter,F,LW,29,Senegal,Liverpool
Marcos Alonso,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,2-yrs,12481803,6864992,10400000,5720000,14130927,7772010,Starter,D,LB,31,Spain,Chelsea
Dean Henderson,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,4-yrs,24963607,13729984,20800000,11440000,28261854,15544020,Reserve,K,GK,24,England,Manchester United
Antonio Rüdiger,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,1-yr,6240902,3432496,5200000,2860000,7065464,3886005,Starter,D,CB,28,Germany,Chelsea
Hugo Lloris,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,3-yrs,18722705,10297488,15600000,8580000,21196391,11658015,Starter,K,GK,35,France,Tottenham
João Moutinho,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,1-yr,6240902,3432496,5200000,2860000,7065464,3886005,Reserve,M,CM,35,Portugal,Wolverhampton
Jordan Pickford,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,3-yrs,18722705,10297488,15600000,8580000,21196391,11658015,Starter,K,GK,27,England,Everton
Joel Matip,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,3-yrs,18722705,10297488,15600000,8580000,21196391,11658015,Starter,D,CB,30,Cameroon,Liverpool
Granit Xhaka,120017.34615384616,6240902,66009.53846153847,3432496,100000,5200000,55000,2860000,135874.3076923077,7065464,74730.86538461539,3886005,3-yrs,18722705,10297488,15600000,8580000,21196391,11658015,Starter,M,DM,29,Switzerland,Arsenal
