,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
31,Eric Bailly,ci CIV,DF,Manchester Utd,27-342,1994,2.4,64,80,80.0,1365,459,24,26,92.3,26,30,86.7,14,22,63.6,0,0.0,0.0,0,2,0,0,3,Matches
32,Folarin Balogun,eng ENG,FW,Arsenal,20-260,2001,0.8,4,8,50.0,60,6,2,4,50.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
33,Patrick Bamford,eng ENG,FW,Leeds United,28-196,1993,6.2,85,103,82.5,1349,211,48,53,90.6,26,31,83.9,9,13,69.2,2,1.0,+1.0,6,6,5,2,7,Matches
34,Shandon Baptiste,gd GRN,MF,Brentford,23-346,1998,9.4,218,265,82.3,3771,776,108,123,87.8,82,97,84.5,22,32,68.8,1,0.4,+0.6,7,21,5,1,19,Matches
35,Ross Barkley,eng ENG,MF,Chelsea,28-105,1993,1.7,90,110,81.8,1500,342,50,55,90.9,26,32,81.3,11,14,78.6,0,0.5,-0.5,7,6,6,0,10,Matches
36,Ashley Barnes,eng ENG,FW,Burnley,32-141,1989,4.7,68,102,66.7,985,272,45,59,76.3,17,25,68.0,5,10,50.0,0,0.8,-0.8,7,9,3,0,9,Matches
37,Harvey Barnes,eng ENG,FWMF,Leicester City,24-101,1997,16.4,368,504,73.0,5208,1520,232,274,84.7,104,151,68.9,18,42,42.9,5,2.5,+2.5,20,18,16,2,51,Matches
38,Lewis Bate,eng ENG,MF,Leeds United,19-142,2002,0.5,15,19,78.9,181,31,12,15,80.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Matches
39,Mads Bech Sørensen,dk DEN,DF,Brentford,23-072,1999,4.2,180,240,75.0,3602,1485,59,69,85.5,94,111,84.7,24,52,46.2,0,0.1,-0.1,3,13,2,2,5,Matches
40,Jan Bednarek,pl POL,DF,Southampton,25-342,1996,22.2,974,1165,83.6,19950,5913,323,354,91.2,511,565,90.4,130,228,57.0,0,0.6,-0.6,5,62,1,1,40,Matches
41,Donny van de Beek,nl NED,MF,Manchester Utd,24-336,1997,0.8,25,32,78.1,385,184,14,18,77.8,8,10,80.0,2,2,100.0,0,0.5,-0.5,3,2,2,0,3,Matches
42,Donny van de Beek,nl NED,MF,Everton,24-336,1997,4.8,194,230,84.3,3020,892,99,111,89.2,77,85,90.6,10,22,45.5,0,0.1,-0.1,2,15,3,0,14,Matches
43,Asmir Begović,ba BIH,GK,Everton,34-273,1987,2.0,21,55,38.2,994,775,1,1,100.0,5,5,100.0,15,49,30.6,0,0.0,0.0,0,1,0,0,0,Matches
44,Saïd Benrahma,dz ALG,FWMF,West Ham,26-222,1995,18.9,489,654,74.8,7788,1782,286,337,84.9,151,195,77.4,40,78,51.3,6,2.7,+3.3,25,28,26,9,51,Matches
45,Rodrigo Bentancur,uy URU,MF,Tottenham,24-288,1997,5.8,358,403,88.8,6711,1427,149,159,93.7,150,164,91.5,51,59,86.4,1,0.8,+0.2,6,31,3,0,34,Matches
46,Christian Benteke,be BEL,FW,Crystal Palace,31-107,1990,12.4,198,282,70.2,3024,547,113,148,76.4,58,91,63.7,18,26,69.2,1,1.1,-0.1,10,10,9,0,16,Matches
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,31-144,1990,12.2,218,345,63.2,3487,903,134,165,81.2,58,89,65.2,22,63,34.9,1,0.3,+0.7,6,6,12,11,13,Matches
48,Steven Bergwijn,nl NED,FWMF,Tottenham,24-163,1997,5.5,127,154,82.5,1737,387,84,92,91.3,30,38,78.9,6,10,60.0,1,0.5,+0.5,6,7,8,0,13,Matches
49,Ryan Bertrand,eng ENG,DF,Leicester City,32-227,1989,3.7,154,191,80.6,2609,1077,75,81,92.6,65,78,83.3,9,18,50.0,0,0.3,-0.3,2,11,1,0,7,Matches
50,Mads Bidstrup,dk DEN,MF,Brentford,21-023,2001,0.5,8,11,72.7,142,17,5,6,83.3,2,4,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
51,Yves Bissouma,ml MLI,MF,Brighton,25-202,1996,18.1,844,942,89.6,15809,2766,359,395,90.9,367,395,92.9,108,132,81.8,1,0.6,+0.4,6,53,10,0,40,Matches
