,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
134,Shane Duffy,ie IRL,DF,Brighton,30-078,1992,16.0,894,1007,88.8,20678,5681,171,184,92.9,541,578,93.6,180,237,75.9,0,0.1,-0.1,3,55,2,0,35,Matches
135,Paul Dummett,wls WAL,DF,Newcastle Utd,30-175,1991,2.2,51,68,75.0,867,436,24,28,85.7,25,31,80.6,2,8,25.0,0,0.0,0.0,0,5,0,0,3,Matches
136,Lewis Dunk,eng ENG,DF,Brighton,30-119,1991,19.6,1353,1484,91.2,31166,8148,304,325,93.5,758,794,95.5,281,351,80.1,0,0.2,-0.2,1,74,2,1,40,Matches
137,Ederson,br BRA,GK,Manchester City,28-215,1993,28.0,739,828,89.3,19192,10764,147,147,100.0,377,377,100.0,212,300,70.7,0,0.1,-0.1,1,8,1,0,1,Matches
138,Odsonne Édouard,fr FRA,FW,Crystal Palace,24-063,1998,14.1,252,349,72.2,3640,812,158,197,80.2,79,109,72.5,11,17,64.7,3,2.1,+0.9,16,20,9,1,31,Matches
139,Anthony Elanga,se SWE,FW,Manchester Utd,19-327,2002,6.1,177,217,81.6,2509,513,104,115,90.4,56,66,84.8,10,15,66.7,0,0.6,-0.6,3,6,5,3,11,Matches
140,Harvey Elliott,eng ENG,MF,Liverpool,18-350,2003,3.1,176,208,84.6,2984,803,90,101,89.1,70,80,87.5,16,21,76.2,0,0.3,-0.3,5,20,7,1,29,Matches
141,Mohamed Elneny,eg EGY,MF,Arsenal,29-252,1992,2.0,107,116,92.2,1987,399,46,49,93.9,40,43,93.0,18,18,100.0,1,0.2,+0.8,4,16,1,0,2,Matches
142,Mohamed Elyounoussi,no NOR,MF,Southampton,27-228,1994,16.8,352,497,70.8,5309,1225,215,266,80.8,112,158,70.9,18,45,40.0,1,1.9,-0.9,22,33,15,1,36,Matches
143,Emerson,br BRA,DF,Tottenham,23-065,1999,16.7,789,986,80.0,12400,3909,447,500,89.4,281,346,81.2,48,93,51.6,1,1.7,-0.7,20,25,21,7,59,Matches
144,Christian Eriksen,dk DEN,MF,Brentford,30-034,1992,2.4,104,146,71.2,2234,675,44,53,83.0,34,45,75.6,25,42,59.5,1,0.6,+0.4,5,13,4,2,11,Matches
145,Oghenekaro Etebo,ng NGA,MF,Watford,26-131,1995,4.3,138,154,89.6,3210,710,33,36,91.7,77,83,92.8,28,34,82.4,0,0.1,-0.1,2,11,3,1,11,Matches
146,Jonny Evans,nir NIR,DF,Leicester City,34-076,1988,8.4,401,492,81.5,9063,3250,84,102,82.4,248,270,91.9,67,117,57.3,1,0.5,+0.5,2,22,1,0,20,Matches
147,Eberechi Eze,eng ENG,MFFW,Crystal Palace,23-264,1998,1.6,50,68,73.5,774,144,31,35,88.6,15,21,71.4,3,8,37.5,0,0.1,-0.1,1,2,1,0,3,Matches
148,Łukasz Fabiański,pl POL,GK,West Ham,36-336,1985,28.0,461,732,63.0,17838,11855,41,41,100.0,152,153,99.3,267,535,49.9,0,0.0,0.0,1,8,0,0,0,Matches
149,Fabinho,br BRA,MF,Liverpool,28-148,1993,20.9,1027,1169,87.9,18797,4340,417,461,90.5,483,526,91.8,106,140,75.7,1,0.7,+0.3,12,116,13,1,86,Matches
150,Kiko Femenía,es ESP,DF,Watford,31-046,1991,17.8,637,898,70.9,10583,4971,339,381,89.0,250,348,71.8,41,139,29.5,5,2.0,+3.0,16,38,12,6,59,Matches
151,Evan Ferguson,ie IRL,MF,Brighton,17-152,2004,0.3,6,7,85.7,98,5,3,4,75.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,1,1,0,Matches
152,Nathan Ferguson,eng ENG,DF,Crystal Palace,21-165,2000,0.1,3,5,60.0,23,20,1,1,100.0,0,0,,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches
153,Bruno Fernandes,pt POR,MF,Manchester Utd,27-193,1994,25.6,1055,1451,72.7,20423,5854,476,551,86.4,399,510,78.2,165,328,50.3,6,7.9,-1.9,77,116,65,13,146,Matches
154,Álvaro Fernández,es ESP,GK,Brentford,23-341,1998,12.0,322,500,64.4,9413,5300,64,66,97.0,147,150,98.0,110,283,38.9,0,0.0,0.0,0,10,0,0,1,Matches
155,Federico Fernández,ar ARG,DF,Newcastle Utd,33-027,1989,5.8,183,214,85.5,4199,1503,41,46,89.1,109,114,95.6,33,53,62.3,0,0.3,-0.3,1,12,0,0,8,Matches
156,Fernandinho,br BRA,MF,Manchester City,36-320,1985,6.8,446,499,89.4,8159,1953,187,205,91.2,210,224,93.8,44,62,71.0,1,0.8,+0.2,8,55,15,1,38,Matches
157,Roberto Firmino,br BRA,FW,Liverpool,30-169,1991,8.8,303,383,79.1,4564,997,172,190,90.5,101,135,74.8,18,24,75.0,3,2.0,+1.0,13,19,7,0,25,Matches
158,Junior Firpo,es ESP,DF,Leeds United,25-210,1996,14.8,635,765,83.0,11095,3849,276,314,87.9,303,347,87.3,48,83,57.8,1,1.7,-0.7,17,49,15,5,63,Matches
159,Ashley Fletcher,eng ENG,FW,Watford,26-169,1995,0.3,3,9,33.3,74,28,0,6,0.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1,Matches
160,Phil Foden,eng ENG,FW,Manchester City,21-296,2000,17.9,707,876,80.7,11596,2356,401,443,90.5,235,274,85.8,62,122,50.8,3,4.6,-1.6,30,42,30,6,57,Matches
161,Pablo Fornals,es ESP,FWMF,West Ham,26-026,1996,23.7,749,1001,74.8,13717,4626,339,395,85.8,293,373,78.6,97,169,57.4,2,3.5,-1.5,34,77,41,7,128,Matches
162,Adam Forshaw,eng ENG,MF,Leeds United,30-163,1991,16.0,632,751,84.2,11790,2897,295,323,91.3,226,264,85.6,91,126,72.2,1,1.1,-0.1,13,57,8,0,53,Matches
163,Marcus Forss,fi FIN,FWMF,Brentford,22-275,1999,2.3,24,41,58.5,380,110,16,22,72.7,3,11,27.3,4,6,66.7,1,0.0,+1.0,0,4,1,0,5,Matches
164,Fraser Forster,eng ENG,GK,Southampton,34-003,1988,12.0,243,395,61.5,8377,5317,32,33,97.0,103,105,98.1,107,255,42.0,0,0.0,0.0,0,4,0,0,0,Matches
165,Ben Foster,eng ENG,GK,Watford,38-351,1983,18.0,312,615,50.7,13994,10552,19,20,95.0,90,94,95.7,203,501,40.5,1,0.1,+0.9,1,29,2,0,0,Matches
166,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,28-024,1994,15.0,304,438,69.4,5263,1704,160,191,83.8,97,140,69.3,39,89,43.8,3,2.0,+1.0,23,16,22,13,26,Matches
167,Fred,br BRA,MF,Manchester Utd,29-015,1993,19.6,949,1113,85.3,17688,4440,407,461,88.3,398,445,89.4,126,159,79.2,4,1.5,+2.5,22,103,11,1,87,Matches
168,Ryan Fredericks,eng ENG,DF,West Ham,29-161,1992,1.4,30,48,62.5,518,185,16,22,72.7,12,19,63.2,2,5,40.0,0,0.0,0.0,1,1,1,0,3,Matches
169,Leo Fuhr Hjelde,no NOR,DF,Leeds United,18-206,2003,1.7,84,111,75.7,1317,504,47,55,85.5,30,35,85.7,6,14,42.9,0,0.0,0.0,1,4,0,0,5,Matches
170,Conor Gallagher,eng ENG,MF,Crystal Palace,22-042,2000,24.4,708,922,76.8,12703,3075,331,380,87.1,266,325,81.8,92,175,52.6,3,3.2,-0.2,31,55,19,7,47,Matches
171,Dwight Gayle,eng ENG,FW,Newcastle Utd,31-154,1990,0.4,6,8,75.0,69,2,5,6,83.3,1,1,100.0,0,0,,0,0.0,0.0,1,0,0,0,0,Matches
172,Jean-Philippe Gbamin,ci CIV,MF,Everton,26-176,1995,0.7,16,21,76.2,224,20,12,14,85.7,3,5,60.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
173,David de Gea,es ESP,GK,Manchester Utd,31-133,1990,29.0,481,692,69.5,14088,8351,81,82,98.8,216,223,96.9,180,381,47.2,0,0.0,0.0,0,1,0,0,0,Matches
174,Joe Gelhardt,eng ENG,FWMF,Leeds United,19-320,2002,5.2,63,87,72.4,790,231,37,48,77.1,19,26,73.1,1,5,20.0,1,0.4,+0.6,5,5,4,0,9,Matches
175,Anwar El Ghazi,nl NED,FW,Everton,26-321,1995,0.1,8,9,88.9,92,33,7,8,87.5,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
176,Anwar El Ghazi,nl NED,FWMF,Aston Villa,26-321,1995,4.3,82,115,71.3,1262,370,50,58,86.2,26,41,63.4,5,8,62.5,1,0.4,+0.6,4,1,6,4,7,Matches
177,Saman Ghoddos,ir IRN,MFDF,Brentford,28-195,1993,4.8,128,190,67.4,2354,793,63,87,72.4,41,56,73.2,21,39,53.8,1,1.2,-0.2,6,12,10,2,17,Matches
178,Dimitris Giannoulis,gr GRE,DF,Norwich City,26-154,1995,6.1,248,328,75.6,4019,1636,129,146,88.4,97,124,78.2,19,47,40.4,1,0.3,+0.7,5,8,5,1,16,Matches
179,Morgan Gibbs-White,eng ENG,FWMF,Wolves,22-052,2000,0.1,7,10,70.0,74,28,5,6,83.3,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,Matches
180,Ben Gibson,eng ENG,DF,Norwich City,29-064,1993,23.7,964,1173,82.2,22828,8871,228,248,91.9,513,561,91.4,219,347,63.1,0,0.0,0.0,2,83,8,0,74,Matches
181,Billy Gilmour,sct SCO,MF,Norwich City,20-282,2001,15.7,742,939,79.0,16064,3989,260,296,87.8,302,343,88.0,165,270,61.1,1,2.0,-1.0,24,72,14,1,71,Matches
182,Ben Godfrey,eng ENG,DF,Everton,24-064,1998,18.5,512,670,76.4,9631,3542,191,225,84.9,252,318,79.2,58,101,57.4,0,0.7,-0.7,12,40,13,7,30,Matches
183,André Gomes,pt POR,MF,Everton,28-233,1993,5.6,189,248,76.2,3426,1037,88,105,83.8,72,84,85.7,23,43,53.5,1,0.2,+0.8,4,26,3,0,19,Matches
184,Toti Gomes,pt POR,DF,Wolves,23-063,1999,2.0,53,83,63.9,949,361,21,23,91.3,26,36,72.2,4,21,19.0,0,0.0,0.0,0,4,0,0,3,Matches
185,Joe Gomez,eng ENG,DF,Liverpool,24-301,1997,1.2,85,102,83.3,1788,368,29,34,85.3,39,45,86.7,16,20,80.0,0,0.0,0.0,1,10,0,0,5,Matches
186,Charlie Goode,eng ENG,DF,Brentford,26-229,1995,5.0,190,300,63.3,4717,1455,35,53,66.0,97,140,69.3,57,99,57.6,0,0.3,-0.3,7,16,2,1,12,Matches
187,Anthony Gordon,eng ENG,MFFW,Everton,21-024,2001,16.7,351,518,67.8,5680,1679,186,233,79.8,108,145,74.5,38,89,42.7,2,1.8,+0.2,19,19,16,7,44,Matches
188,Kaide Gordon,eng ENG,FW,Liverpool,17-166,2004,0.1,4,4,100.0,50,0,2,2,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
189,Dan Gosling,eng ENG,MF,Watford,32-047,1990,0.2,5,7,71.4,61,6,4,5,80.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
190,Demarai Gray,eng ENG,MFFW,Everton,25-265,1996,18.8,383,544,70.4,7242,1602,164,197,83.2,141,180,78.3,60,123,48.8,2,2.7,-0.7,30,15,20,6,32,Matches
191,Jack Grealish,eng ENG,FW,Manchester City,26-191,1995,16.1,638,738,86.4,9254,1802,383,424,90.3,205,227,90.3,32,41,78.0,2,5.0,-3.0,42,18,30,3,57,Matches
192,Mason Greenwood,eng ENG,FWMF,Manchester Utd,20-170,2001,14.1,397,504,78.8,7344,1629,185,214,86.4,164,195,84.1,43,75,57.3,1,1.6,-0.6,15,26,13,3,36,Matches
193,Sam Greenwood,eng ENG,FWMF,Leeds United,20-053,2002,0.9,21,25,84.0,311,70,7,9,77.8,8,8,100.0,2,3,66.7,1,0.2,+0.8,1,1,0,0,2,Matches
194,Pascal Groß,de GER,MFDF,Brighton,30-278,1991,15.3,729,955,76.3,14409,3936,298,335,89.0,300,365,82.2,121,216,56.0,3,3.2,-0.2,40,55,23,10,68,Matches
195,Vicente Guaita,es ESP,GK,Crystal Palace,35-069,1987,23.5,590,738,79.9,15711,8077,153,153,100.0,245,246,99.6,182,329,55.3,0,0.0,0.0,0,2,0,0,0,Matches
196,Marc Guéhi,eng ENG,DF,Crystal Palace,21-250,2000,28.0,1487,1709,87.0,31574,10280,409,437,93.6,868,933,93.0,203,321,63.2,0,0.4,-0.4,3,97,2,0,83,Matches
197,Bruno Guimarães,br BRA,MF,Newcastle Utd,24-124,1997,3.2,139,167,83.2,2887,585,57,64,89.1,41,49,83.7,35,41,85.4,0,0.5,-0.5,2,11,5,1,11,Matches
198,İlkay Gündoğan,de GER,MF,Manchester City,31-147,1990,15.0,779,908,85.8,13571,2762,390,418,93.3,284,317,89.6,89,137,65.0,4,3.9,+0.1,30,47,22,2,57,Matches
199,Angus Gunn,eng ENG,GK,Norwich City,26-057,1996,7.0,156,224,69.6,4841,2532,38,38,100.0,49,50,98.0,68,135,50.4,0,0.0,0.0,0,1,0,0,0,Matches
200,Grant Hanley,sct SCO,DF,Norwich City,30-120,1991,23.2,795,938,84.8,17781,4174,201,227,88.5,415,449,92.4,167,240,69.6,0,0.2,-0.2,3,20,2,0,22,Matches
201,Jack Harrison,eng ENG,FWMF,Leeds United,25-120,1996,21.9,501,786,63.7,7884,2804,294,367,80.1,153,242,63.2,41,115,35.7,1,2.2,-1.2,35,28,34,8,83,Matches
202,Kortney Hause,eng ENG,DF,Aston Villa,26-247,1995,4.4,162,206,78.6,3509,992,53,58,91.4,75,90,83.3,33,54,61.1,0,0.0,0.0,0,8,0,0,6,Matches
203,Kai Havertz,de GER,FWMF,Chelsea,22-282,1999,14.5,372,458,81.2,5175,901,237,266,89.1,92,122,75.4,21,26,80.8,2,1.1,+0.9,8,19,11,1,30,Matches
204,Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26-363,1995,11.1,255,318,80.2,4657,912,111,130,85.4,114,134,85.1,28,41,68.3,0,0.1,-0.1,2,19,1,1,9,Matches
205,Hwang Hee-chan,kr KOR,FWMF,Wolves,26-053,1996,15.0,378,465,81.3,6328,956,201,240,83.8,130,148,87.8,39,54,72.2,1,1.4,-0.4,10,19,8,0,21,Matches
206,Jordan Henderson,eng ENG,MF,Liverpool,31-276,1990,22.3,1379,1662,83.0,25980,6286,577,640,90.2,603,696,86.6,177,260,68.1,5,3.4,+1.6,31,150,41,9,134,Matches
207,Jeff Hendrick,ie IRL,MF,Newcastle Utd,30-048,1992,0.8,24,27,88.9,452,30,10,11,90.9,11,11,100.0,3,4,75.0,0,0.0,0.0,1,2,0,0,1,Matches
208,Wayne Hennessey,wls WAL,GK,Burnley,35-055,1987,2.0,40,80,50.0,2119,1850,1,1,100.0,8,8,100.0,31,71,43.7,0,0.1,-0.1,3,5,0,0,0,Matches
209,Rico Henry,eng ENG,DF,Brentford,24-255,1997,22.4,571,808,70.7,9412,2901,282,334,84.4,223,296,75.3,51,117,43.6,0,0.6,-0.6,9,38,13,6,54,Matches
210,Son Heung-min,kr KOR,FWMF,Tottenham,29-255,1992,23.9,708,919,77.0,10873,2582,411,454,90.5,216,258,83.7,59,154,38.3,5,6.5,-1.5,49,24,32,2,53,Matches
211,Ki-Jana Hoever,nl NED,DF,Wolves,20-061,2002,3.4,113,159,71.1,1953,647,51,62,82.3,52,72,72.2,8,14,57.1,0,0.0,0.0,1,4,2,1,8,Matches
212,Rob Holding,eng ENG,DF,Arsenal,26-181,1995,4.8,201,233,86.3,4159,886,58,63,92.1,112,118,94.9,29,48,60.4,0,0.0,0.0,0,3,0,0,7,Matches
213,Mason Holgate,eng ENG,DF,Everton,25-149,1996,14.8,428,592,72.3,10197,3380,116,137,84.7,199,253,78.7,109,195,55.9,0,0.0,0.0,0,25,1,0,23,Matches
214,Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,21-133,2000,10.7,313,393,79.6,4959,1083,173,201,86.1,108,132,81.8,22,41,53.7,2,2.3,-0.3,24,9,20,5,31,Matches
215,Will Hughes,eng ENG,MF,Crystal Palace,26-337,1995,9.1,336,415,81.0,6373,1404,139,159,87.4,148,162,91.4,43,78,55.1,1,0.6,+0.4,7,20,7,3,21,Matches
216,Pierre Højbjerg,dk DEN,MF,Tottenham,26-227,1995,25.5,1549,1753,88.4,29859,7997,623,677,92.0,698,766,91.1,206,272,75.7,2,1.4,+0.6,20,161,26,2,143,Matches
217,Adam Idah,ie IRL,FWMF,Norwich City,21-009,2001,6.9,96,142,67.6,1650,322,44,66,66.7,40,50,80.0,8,12,66.7,1,0.6,+0.4,4,7,4,2,7,Matches
218,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,25-168,1996,8.3,168,224,75.0,2450,579,91,111,82.0,56,69,81.2,9,21,42.9,5,2.3,+2.7,12,12,8,1,23,Matches
219,Danny Ings,eng ENG,FW,Aston Villa,29-240,1992,16.9,208,306,68.0,2950,694,129,166,77.7,47,72,65.3,18,34,52.9,5,1.6,+3.4,11,13,11,3,22,Matches
220,Tim Iroegbunam,,MF,Aston Villa,,,0.1,4,4,100.0,82,24,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
221,Alex Iwobi,ng NGA,MFFW,Everton,25-321,1996,11.6,262,334,78.4,4243,1276,138,154,89.6,90,115,78.3,22,40,55.0,1,1.4,-0.4,18,19,12,4,32,Matches
222,Daniel James,wls WAL,FWMF,Leeds United,24-130,1997,22.5,289,440,65.7,4383,1158,155,202,76.7,103,151,68.2,19,44,43.2,3,2.4,+0.6,21,16,18,1,44,Matches
223,Daniel James,wls WAL,FW,Manchester Utd,24-130,1997,1.4,22,32,68.8,233,36,18,24,75.0,3,5,60.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0,Matches
224,Reece James,eng ENG,DF,Chelsea,22-102,1999,13.1,830,981,84.6,13919,3723,419,454,92.3,324,378,85.7,76,111,68.5,6,4.3,+1.7,32,36,32,7,77,Matches
225,Vitaly Janelt,de GER,MF,Brentford,23-314,1998,19.2,551,736,74.9,10522,3492,209,257,81.3,249,304,81.9,72,139,51.8,0,1.5,-1.5,14,62,16,3,79,Matches
226,Pontus Jansson,se SWE,DF,Brentford,31-035,1991,28.9,931,1142,81.5,19453,5596,263,309,85.1,522,605,86.3,139,209,66.5,1,0.4,+0.6,2,28,0,0,44,Matches
227,Mathias Jensen,dk DEN,MF,Brentford,26-078,1996,12.6,384,546,70.3,8524,2729,154,181,85.1,127,168,75.6,100,183,54.6,1,2.8,-1.8,28,39,18,10,41,Matches
228,Gabriel Jesus,br BRA,FW,Manchester City,24-351,1997,14.9,486,575,84.5,7230,1278,260,289,90.0,190,224,84.8,20,30,66.7,7,3.4,+3.6,23,12,23,5,41,Matches
229,Raúl Jiménez,mx MEX,FW,Wolves,30-319,1991,23.9,455,646,70.4,6750,1324,278,363,76.6,128,164,78.0,31,61,50.8,3,2.0,+1.0,27,30,10,1,35,Matches
230,Joelinton,br BRA,MFFW,Newcastle Utd,25-218,1996,20.9,565,719,78.6,8799,2220,308,364,84.6,193,244,79.1,43,60,71.7,1,1.3,-0.3,22,44,17,3,54,Matches
231,Ben Johnson,eng ENG,DF,West Ham,22-055,2000,12.4,408,606,67.3,7983,3500,174,201,86.6,167,239,69.9,59,132,44.7,0,0.6,-0.6,6,37,15,10,41,Matches
232,Curtis Jones,eng ENG,MF,Liverpool,21-049,2001,7.1,399,439,90.9,6640,1350,208,217,95.9,156,166,94.0,32,47,68.1,1,0.4,+0.6,5,30,4,0,23,Matches
233,Phil Jones,eng ENG,DF,Manchester Utd,30-027,1992,1.0,46,50,92.0,879,246,15,16,93.8,28,29,96.6,2,3,66.7,0,0.0,0.0,1,7,0,0,4,Matches
234,Jorginho,it ITA,MF,Chelsea,30-090,1991,20.8,1284,1445,88.9,22721,5474,564,616,91.6,583,631,92.4,114,162,70.4,2,2.4,-0.4,17,108,27,0,101,Matches
235,Diogo Jota,pt POR,FW,Liverpool,25-106,1996,19.4,418,568,73.6,6739,1630,212,269,78.8,165,207,79.7,29,51,56.9,1,4.1,-3.1,28,36,25,2,54,Matches
236,James Justin,eng ENG,DF,Leicester City,24-025,1998,3.1,132,168,78.6,1987,724,69,74,93.2,54,65,83.1,6,21,28.6,0,0.3,-0.3,3,7,1,0,14,Matches
237,Mathias Jørgensen,dk DEN,DF,Brentford,31-331,1990,4.8,196,274,71.5,3678,1613,80,92,87.0,96,130,73.8,18,44,40.9,0,0.1,-0.1,2,13,3,3,13,Matches
238,Ozan Kabak,tr TUR,DF,Norwich City,21-360,2000,10.2,341,414,82.4,7111,2287,92,112,82.1,197,216,91.2,45,71,63.4,0,0.0,0.0,2,17,0,0,18,Matches
239,Christian Kabasele,be BEL,DF,Watford,31-024,1991,5.3,191,223,85.7,4593,1487,28,36,77.8,119,128,93.0,42,57,73.7,0,0.0,0.0,1,12,2,1,13,Matches
240,Samuel Kalu,ng NGA,FWMF,Watford,24-206,1997,0.5,3,5,60.0,47,17,1,1,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
241,Hassane Kamara,ci CIV,DF,Watford,27-182,1994,10.9,430,610,70.5,7372,3251,186,217,85.7,204,262,77.9,28,93,30.1,0,0.4,-0.4,7,19,6,2,30,Matches
242,Harry Kane,eng ENG,FW,Tottenham,28-235,1993,25.9,512,718,71.3,9883,2840,233,296,78.7,173,227,76.2,89,135,65.9,3,5.4,-2.4,30,68,29,5,83,Matches
243,N'Golo Kanté,fr FRA,MF,Chelsea,30-356,1991,13.3,677,799,84.7,11510,3119,329,377,87.3,274,314,87.3,58,73,79.5,3,1.5,+1.5,14,56,20,0,78,Matches
244,Edo Kayembe,cd COD,MF,Watford,23-229,1998,4.6,196,240,81.7,3884,878,84,93,90.3,77,91,84.6,35,49,71.4,0,0.2,-0.2,4,18,0,0,20,Matches
245,Moise Kean,it ITA,FW,Everton,22-020,2000,0.0,1,1,100.0,17,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
246,Michael Keane,eng ENG,DF,Everton,29-068,1993,24.5,737,943,78.2,17435,5762,216,253,85.4,327,387,84.5,186,287,64.8,2,0.6,+1.4,4,65,4,0,59,Matches
247,Naby Keïta,gn GUI,MF,Liverpool,27-038,1995,9.2,485,559,86.8,7839,2023,240,264,90.9,199,221,90.0,31,42,73.8,1,1.1,-0.1,10,46,16,0,62,Matches
248,Caoimhín Kelleher,ie IRL,GK,Liverpool,23-117,1998,2.0,81,90,90.0,1869,742,17,17,100.0,50,50,100.0,14,23,60.9,0,0.0,0.0,0,0,0,0,0,Matches
249,Jonjoe Kenny,eng ENG,DF,Everton,25-005,1997,7.8,253,335,75.5,4633,1937,116,124,93.5,105,140,75.0,30,57,52.6,1,0.3,+0.7,5,24,5,3,22,Matches
250,Max Kilman,eng ENG,DF,Wolves,24-301,1997,27.9,1174,1357,86.5,24779,8628,376,414,90.8,600,648,92.6,190,277,68.6,0,0.0,0.0,2,83,2,0,86,Matches
251,Joshua King,no NOR,FW,Watford,30-064,1992,21.9,334,459,72.8,5109,1018,180,226,79.6,124,175,70.9,19,27,70.4,3,3.1,-0.1,33,24,13,2,28,Matches
252,Kristoffer Klaesson,no NOR,GK,Leeds United,21-113,2000,0.4,9,11,81.8,250,164,2,2,100.0,3,3,100.0,4,6,66.7,0,0.0,0.0,0,0,0,0,0,Matches
253,Mateusz Klich,pl POL,MF,Leeds United,31-280,1990,18.3,613,783,78.3,9686,2881,331,380,87.1,210,259,81.1,46,91,50.5,2,2.0,0.0,28,58,21,3,83,Matches
254,Robin Koch,de GER,MFDF,Leeds United,25-246,1996,11.2,330,410,80.5,7047,1895,94,113,83.2,171,200,85.5,61,84,72.6,0,0.5,-0.5,6,24,6,0,22,Matches
255,Sead Kolašinac,ba BIH,DF,Arsenal,28-273,1993,1.0,10,13,76.9,167,64,4,4,100.0,5,8,62.5,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches
256,Ibrahima Konaté,fr FRA,DF,Liverpool,22-299,1999,8.0,433,493,87.8,9117,3339,108,121,89.3,257,271,94.8,62,89,69.7,0,0.1,-0.1,1,34,3,0,29,Matches
257,Ezri Konsa,eng ENG,DF,Aston Villa,24-148,1997,22.0,641,740,86.6,12669,3861,195,215,90.7,353,380,92.9,82,128,64.1,0,0.3,-0.3,4,20,0,0,28,Matches
258,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,32-089,1989,18.5,542,651,83.3,9208,2292,247,290,85.2,226,264,85.6,49,68,72.1,1,0.7,+0.3,4,38,3,1,42,Matches
259,Mateo Kovačić,hr CRO,MF,Chelsea,27-318,1994,14.2,862,965,89.3,16041,3581,377,407,92.6,363,395,91.9,108,140,77.1,5,2.8,+2.2,18,90,19,0,85,Matches
260,Emil Krafth,se SWE,DF,Newcastle Utd,27-230,1994,11.5,338,457,74.0,5756,2540,156,178,87.6,131,176,74.4,36,71,50.7,1,0.6,+0.4,3,26,6,1,35,Matches
261,Alex Král,cz CZE,MF,West Ham,23-305,1998,0.0,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
262,Tim Krul,nl NED,GK,Norwich City,33-351,1988,22.0,568,814,69.8,18268,10293,75,76,98.7,234,237,98.7,257,498,51.6,0,0.4,-0.4,2,6,1,0,1,Matches
263,Juraj Kucka,sk SVK,MF,Watford,35-022,1987,17.6,395,565,69.9,7220,2213,179,234,76.5,151,202,74.8,52,95,54.7,1,1.0,0.0,10,31,7,2,45,Matches
264,Dejan Kulusevski,se SWE,MFFW,Tottenham,21-329,2000,6.6,195,234,83.3,2954,620,110,122,90.2,74,86,86.0,8,14,57.1,4,1.8,+2.2,12,11,10,2,18,Matches
265,Alexandre Lacazette,fr FRA,FWMF,Arsenal,30-296,1991,17.0,309,405,76.3,4210,921,193,239,80.8,74,101,73.3,19,29,65.5,7,1.9,+5.1,23,26,19,1,34,Matches
266,Adam Lallana,eng ENG,MF,Brighton,33-314,1988,16.8,807,922,87.5,12810,2718,435,476,91.4,301,329,91.5,52,78,66.7,1,0.7,+0.3,8,61,17,0,58,Matches
267,Tariq Lamptey,eng ENG,DFFW,Brighton,21-171,2000,14.2,513,661,77.6,7710,1838,289,330,87.6,187,234,79.9,23,55,41.8,2,1.8,+0.2,19,15,19,12,38,Matches
268,Manuel Lanzini,ar ARG,MF,West Ham,29-033,1993,13.8,742,829,89.5,11598,2672,410,429,95.6,260,295,88.1,51,76,67.1,2,1.9,+0.1,19,47,16,0,56,Matches
269,Aymeric Laporte,es ESP,DF,Manchester City,27-297,1994,23.1,2017,2115,95.4,43689,12836,556,576,96.5,1088,1119,97.2,361,406,88.9,0,0.3,-0.3,7,260,8,0,164,Matches
270,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28-129,1993,18.8,402,517,77.8,8633,2361,94,126,74.6,239,275,86.9,61,102,59.8,0,0.3,-0.3,2,15,2,0,18,Matches
271,Pierre Lees-Melou,fr FRA,MF,Norwich City,28-299,1993,17.8,572,729,78.5,11124,3040,253,293,86.3,204,239,85.4,98,156,62.8,0,1.3,-1.3,18,55,22,8,66,Matches
272,Aaron Lennon,eng ENG,MFFW,Burnley,34-338,1987,11.9,172,248,69.4,2592,594,106,125,84.8,51,75,68.0,12,32,37.5,0,0.3,-0.3,4,7,3,1,12,Matches
