Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
15,Angeliño,es ESP,DF,RB Leipzig,25-075,1997,22,21,1807,20.1,2,5,2,0,0,3,0,0.1,0.25,0.35,0.1,0.35,1.4,1.4,4.9,6.3,0.07,0.25,0.31,0.07,0.31,Matches,20.1,29,14,12,14,3,13,27,48.1,14,212,80,37.7,83,74,55,35,4,0,31,24,53,39,0,,,,,,,,,,,,,,,907,1237,73.3,16451,6334,445,491,90.6,314,416,75.5,124,280,44.3,5,4.9,0.1,41,63,49,27,94,66538.46153846153,3460000,35192.307692307695,1830000,55440.71153846154,2882917,29322.69230769231,1524780,75329.67307692308,3917143,39842.0,2071784,4-yrs,13840000,7320000,11531668,6099119,15668573,8287135,Starter,M,LM,25,Spain,Leipzig
16,Waldemar Anton,de GER,DF,Stuttgart,25-243,1996,23,23,2055,22.8,2,1,2,0,0,5,1,0.09,0.04,0.13,0.09,0.13,1.5,1.5,1.2,2.7,0.07,0.05,0.12,0.07,0.12,Matches,22.8,39,27,21,16,2,14,34,41.2,20,256,101,39.5,136,106,14,44,16,1,28,55,94,123,1,,,,,,,,,,,,,,,1317,1515,86.9,28546,9543,378,406,93.1,715,767,93.2,210,315,66.7,1,1.2,-0.2,8,76,8,2,71,14423.076923076924,750000,7692.307692307692,400000,12017.5,624910,6409.326923076923,333285,16328.692307692309,849092,8708.634615384615,452849,4-yrs,3000000,1600000,2499639,1333141,3396367,1811396,Starter,D,CB,25,Germany,Stuttgart
17,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,28-041,1994,23,11,1017,11.3,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,2.5,2.5,0.8,3.3,0.22,0.07,0.29,0.22,0.29,Matches,11.3,27,19,9,12,6,8,21,38.1,13,261,80,30.7,49,107,105,18,1,0,17,7,34,7,0,,,,,,,,,,,,,,,161,258,62.4,2563,787,88,117,75.2,59,89,66.3,11,30,36.7,1,0.8,0.2,7,10,10,3,17,576.9230769230769,30000,384.61538461538464,20000,480.6923076923077,24996,320.46153846153845,16664,653.1538461538462,33964,435.4230769230769,22642,3-yrs,90000,60000,74989,49993,101891,67927,Reserve,F,LW,27,Ghana,Bochum
18,Charles Aránguiz,cl CHI,MF,Leverkusen,32-337,1989,18,10,1025,11.4,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,1.4,1.4,0.7,2.1,0.12,0.06,0.18,0.12,0.18,Matches,11.4,35,24,17,11,7,10,43,23.3,33,282,97,34.4,107,145,30,26,2,0,24,27,62,12,0,,,,,,,,,,,,,,,594,699,85.0,11633,3402,217,247,87.9,273,302,90.4,89,118,75.4,1,0.7,0.3,12,60,5,1,56,28846.153846153848,1500000,15384.615384615385,800000,24034.98076923077,1249819,12818.653846153846,666570,32657.365384615383,1698183,17417.26923076923,905698,2-yrs,3000000,1600000,2499639,1333141,3396367,1811396,Reserve,M,CM,32,Chile,Bayer Leverkusen
19,Maximilian Arnold,de GER,MF,Wolfsburg,27-297,1994,26,26,2295,25.5,3,1,3,0,0,4,0,0.12,0.04,0.16,0.12,0.16,1.2,1.2,3.5,4.7,0.05,0.14,0.19,0.05,0.19,Matches,25.5,36,25,20,14,2,11,34,32.4,23,448,153,34.2,174,231,43,35,11,0,24,49,85,35,0,,,,,,,,,,,,,,,1116,1440,77.5,25805,8393,311,364,85.4,504,564,89.4,280,467,60.0,1,3.5,-2.5,45,117,28,5,122,105769.23076923077,5500000,56153.84615384616,2920000,88128.28846153847,4582671,46788.11538461538,2432982,119743.71153846152,6226673,63573.019230769234,3305797,5-yrs,27500000,14600000,22913357,12164909,31133363,16528986,Starter,M,CM,27,Germany,Wolfsburg
20,Takuma Asano,jp JPN,FWMF,Bochum,27-130,1994,20,13,1073,11.9,1,1,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,2.2,2.2,1.3,3.5,0.19,0.11,0.3,0.19,0.3,Matches,11.9,7,5,2,3,2,4,15,26.7,11,264,78,29.5,54,99,111,16,2,0,14,9,16,6,0,,,,,,,,,,,,,,,165,248,66.5,2434,833,89,116,76.7,58,85,68.2,10,17,58.8,1,1.3,-0.3,12,12,9,4,21,961.5384615384615,50000,576.9230769230769,30000,801.1730769230769,41661,480.6923076923077,24996,1088.576923076923,56606,653.1538461538462,33964,3-yrs,150000,90000,124982,74989,169818,101891,Starter,F,RW,27,Japan,Bochum
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,25-023,1997,21,20,1765,19.6,0,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,0.9,0.9,0.3,1.2,0.05,0.01,0.06,0.05,0.06,Matches,19.6,76,52,42,30,4,28,70,40.0,42,464,153,33.0,205,220,39,37,5,0,32,50,126,28,1,,,,,,,,,,,,,,,799,962,83.1,13798,3728,381,443,86.0,317,361,87.8,79,107,73.8,1,0.3,0.7,8,53,2,0,62,30769.23076923077,1600000,16346.153846153846,850000,25637.32692307692,1333141,13619.826923076924,708231,34834.53846153846,1811396,18505.846153846152,962304,3-yrs,4800000,2550000,3999422,2124693,5434187,2886912,Starter,M,DM,24,Argentina,Hertha Berlin
22,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,19-224,2002,2,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.1,0,0,0,0,0,0,0,,0,5,3,60.0,0,3,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6,8,75.0,89,13,4,4,100.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,2307.692307692308,120000,1153.8461538461538,60000,1922.8076923076924,99986,961.4038461538462,49993,2612.596153846154,135855,1306.2884615384614,67927,3-yrs,360000,180000,299957,149978,407564,203782,Reserve,F,CF,19,Germany,Hoffenheim
23,Simon Asta,de GER,DF,Greuther Fürth,21-054,2001,7,4,370,4.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.01,0.01,0.01,0.01,Matches,4.1,6,3,3,2,1,3,5,60.0,2,69,23,33.3,30,23,16,12,2,0,10,12,18,2,0,,,,,,,,,,,,,,,146,204,71.6,2803,1323,64,73,87.7,56,74,75.7,25,45,55.6,0,0.0,0.0,1,9,2,1,11,6346.153846153846,330000,3269.230769230769,170000,5287.692307692308,274960,2723.9615384615386,141646,7184.615384615385,373600,3701.173076923077,192461,1-yr,330000,170000,274960,141646,373600,192461,Starter,D,RB,21,Germany,Furth
24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,24-220,1997,24,22,1621,18.0,11,0,10,1,1,0,0,0.61,0.0,0.61,0.56,0.56,10.7,10.0,1.0,11.0,0.6,0.06,0.65,0.55,0.61,Matches,18.0,12,8,1,5,6,0,9,0.0,9,271,88,32.5,21,126,124,14,3,0,11,5,17,21,0,,,,,,,,,,,,,,,238,345,69.0,3792,991,122,163,74.8,88,124,71.0,18,30,60.0,0,1.0,-1.0,15,23,13,2,31,28846.153846153848,1500000,15384.615384615385,800000,24034.98076923077,1249819,12818.653846153846,666570,32657.365384615383,1698183,17417.26923076923,905698,1-yr,1500000,800000,1249819,666570,1698183,905698,Starter,F,CF,24,Nigeria,Union Berlin
