,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
440,Sergio Canales,es ESP,MFFW,Betis,es La Liga,28,1991,36,36,3163,35.1,6,6,3,3,4,5,0,0.17,0.17,0.34,0.09,0.26,7.0,4.0,5.7,9.7,0.20,0.16,0.36,0.11,0.28,Matches
441,João Cancelo,pt POR,DF,Manchester City,eng Premier League,25,1994,17,13,1208,13.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.7,2.2,0.04,0.13,0.17,0.04,0.17,Matches
442,Antonio Candreva,it ITA,DF,Inter,it Serie A,32,1987,32,24,1993,22.1,5,7,5,0,0,5,0,0.23,0.32,0.54,0.23,0.54,2.4,2.4,5.6,8.0,0.11,0.25,0.36,0.11,0.36,Matches
443,Gianmarco Cangiano,it ITA,MFFW,Bologna,it Serie A,17,2001,3,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
444,Todd Cantwell,eng ENG,FWMF,Norwich City,eng Premier League,21,1998,37,30,2489,27.7,6,2,6,0,0,6,0,0.22,0.07,0.29,0.22,0.29,5.8,5.8,2.8,8.6,0.21,0.10,0.31,0.21,0.31,Matches
445,Ander Capa,es ESP,DF,Athletic Club,es La Liga,27,1992,35,32,2872,31.9,3,4,3,0,0,10,0,0.09,0.13,0.22,0.09,0.22,1.1,1.1,3.4,4.5,0.04,0.11,0.14,0.04,0.14,Matches
446,Pierrick Capelle,fr FRA,MFDF,Angers,fr Ligue 1,32,1987,24,20,1747,19.4,1,2,1,0,0,7,0,0.05,0.10,0.15,0.05,0.15,2.0,2.0,1.6,3.6,0.11,0.08,0.19,0.11,0.19,Matches
447,Étienne Capoue,fr FRA,MF,Watford,eng Premier League,31,1988,30,30,2627,29.2,0,3,0,0,0,8,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,3.1,3.9,0.03,0.11,0.13,0.03,0.13,Matches
448,Gianluca Caprari,it ITA,FWMF,Sampdoria,it Serie A,26,1993,18,5,667,7.4,3,0,3,0,0,4,1,0.40,0.00,0.40,0.40,0.40,1.9,1.9,0.5,2.3,0.26,0.06,0.32,0.26,0.32,Matches
449,Gianluca Caprari,it ITA,FWMF,Parma,it Serie A,26,1993,12,7,589,6.5,2,0,1,1,1,1,0,0.31,0.00,0.31,0.15,0.15,2.5,1.7,1.4,3.1,0.38,0.22,0.59,0.26,0.48,Matches
450,Francesco Caputo,it ITA,FW,Sassuolo,it Serie A,31,1987,36,33,2931,32.6,21,7,19,2,2,3,0,0.64,0.21,0.86,0.58,0.80,15.7,14.2,6.0,20.1,0.48,0.18,0.66,0.43,0.62,Matches
451,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,19,2000,8,7,568,6.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.03,0.05,0.09,0.03,0.09,Matches
452,Andrea Carboni,it ITA,DFMF,Cagliari,it Serie A,18,2001,7,5,368,4.1,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
453,Irvin Cardona,fr FRA,FWMF,Brest,fr Ligue 1,21,1997,21,15,1450,16.1,6,3,6,0,0,3,0,0.37,0.19,0.56,0.37,0.56,6.2,6.2,1.8,8.0,0.39,0.11,0.50,0.39,0.50,Matches
454,Marc Cardona,es ESP,FW,Osasuna,es La Liga,24,1995,19,9,705,7.8,1,2,1,0,0,1,0,0.13,0.26,0.38,0.13,0.38,1.9,1.9,1.4,3.3,0.24,0.18,0.42,0.24,0.42,Matches
455,Diego Carlos,br BRA,DF,Sevilla,es La Liga,26,1993,35,35,3134,34.8,2,0,2,0,0,7,0,0.06,0.00,0.06,0.06,0.06,2.0,2.0,0.5,2.5,0.06,0.01,0.07,0.06,0.07,Matches
456,Lionel Carole,fr FRA,DF,Strasbourg,fr Ligue 1,28,1991,18,14,1272,14.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.9,0.01,0.05,0.06,0.01,0.06,Matches
457,Yannick Carrasco,be BEL,MFFW,Atlético Madrid,es La Liga,25,1993,15,6,631,7.0,1,2,1,0,0,2,0,0.14,0.29,0.43,0.14,0.43,1.7,1.7,0.7,2.5,0.25,0.10,0.35,0.25,0.35,Matches
458,Daniel Carriço,pt POR,DF,Sevilla,es La Liga,30,1988,11,10,847,9.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches
459,Guido Carrillo,ar ARG,FW,Leganés,es La Liga,28,1991,24,13,1213,13.5,1,2,1,0,0,2,0,0.07,0.15,0.22,0.07,0.22,4.9,4.7,0.3,5.0,0.36,0.02,0.38,0.35,0.37,Matches
460,Andy Carroll,eng ENG,FW,Newcastle Utd,eng Premier League,30,1989,19,4,632,7.0,0,4,0,0,0,1,0,0.00,0.57,0.57,0.00,0.57,0.9,0.9,1.6,2.5,0.13,0.23,0.36,0.13,0.36,Matches
461,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,27,1992,31,31,2738,30.4,1,5,1,0,0,11,0,0.03,0.16,0.20,0.03,0.20,2.7,2.7,4.3,7.0,0.09,0.14,0.23,0.09,0.23,Matches
462,Matis Carvalho,pt POR,GK,Montpellier,fr Ligue 1,20,1999,1,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
463,William Carvalho,pt POR,MF,Betis,es La Liga,27,1992,13,11,892,9.9,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.8,1.4,0.05,0.08,0.14,0.05,0.14,Matches
464,Casemiro,br BRA,MF,Real Madrid,es La Liga,27,1992,35,35,3088,34.3,4,3,4,0,0,12,0,0.12,0.09,0.20,0.12,0.20,3.6,3.6,0.4,4.0,0.11,0.01,0.12,0.11,0.12,Matches
465,Moreto Cassamã,gw GNB,MF,Reims,fr Ligue 1,21,1998,7,7,592,6.6,0,1,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.4,0.5,0.01,0.07,0.08,0.01,0.08,Matches
466,Francesco Cassata,it ITA,MF,Genoa,it Serie A,22,1997,24,18,1458,16.2,2,0,2,0,0,11,2,0.12,0.00,0.12,0.12,0.12,1.3,1.3,1.4,2.7,0.08,0.09,0.17,0.08,0.17,Matches
467,Timothy Castagne,be BEL,DF,Atalanta,it Serie A,23,1995,27,19,1769,19.7,1,2,1,0,0,4,0,0.05,0.10,0.15,0.05,0.15,1.6,1.6,2.5,4.1,0.08,0.13,0.21,0.08,0.21,Matches
468,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,27,1992,26,26,2340,26.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
469,Jean-Charles Castelletto,cm CMR,DF,Brest,fr Ligue 1,24,1995,22,22,1838,20.4,1,0,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05,0.6,0.6,0.1,0.7,0.03,0.01,0.03,0.03,0.03,Matches
470,Samu Castillejo,es ESP,FWMF,Milan,it Serie A,24,1995,22,16,1209,13.4,2,3,2,0,0,3,1,0.15,0.22,0.37,0.15,0.37,3.0,3.0,2.9,5.8,0.22,0.21,0.43,0.22,0.43,Matches
471,Jonny Castro,es ESP,DF,Wolves,eng Premier League,25,1994,35,33,2887,32.1,2,2,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,1.3,1.3,0.9,2.2,0.04,0.03,0.07,0.04,0.07,Matches
472,Lucas Castro,ar ARG,MF,SPAL,it Serie A,30,1989,7,6,425,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.13,0.06,0.19,0.13,0.19,Matches
473,Lucas Castro,ar ARG,MF,Cagliari,it Serie A,30,1989,15,6,606,6.7,2,0,2,0,0,2,0,0.30,0.00,0.30,0.30,0.30,0.8,0.8,0.5,1.3,0.12,0.07,0.19,0.12,0.19,Matches
474,Gaetano Castrovilli,it ITA,MF,Fiorentina,it Serie A,22,1997,33,31,2673,29.7,3,2,3,0,0,10,0,0.10,0.07,0.17,0.10,0.17,3.1,3.1,2.7,5.8,0.10,0.09,0.20,0.10,0.20,Matches
475,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,24,1994,21,3,592,6.6,1,0,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,0.5,0.5,0.6,1.1,0.08,0.09,0.17,0.08,0.17,Matches
476,Craig Cathcart,nir NIR,DF,Watford,eng Premier League,30,1989,29,28,2488,27.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.01,0.00,0.01,0.01,0.01,Matches
477,Edinson Cavani,uy URU,FW,Paris S-G,fr Ligue 1,32,1987,14,7,605,6.7,4,1,3,1,1,2,0,0.60,0.15,0.74,0.45,0.60,7.6,6.9,1.5,8.4,1.14,0.22,1.36,1.02,1.25,Matches
478,Santi Cazorla,es ESP,MF,Villarreal,es La Liga,34,1984,35,29,2450,27.2,11,9,3,8,8,3,0,0.40,0.33,0.73,0.11,0.44,8.5,2.4,6.6,9.0,0.31,0.24,0.55,0.09,0.33,Matches
479,Dani Ceballos,es ESP,MF,Arsenal,eng Premier League,22,1996,24,18,1692,18.8,0,2,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,1.9,2.4,0.03,0.10,0.13,0.03,0.13,Matches
480,Federico Ceccherini,it ITA,DF,Fiorentina,it Serie A,27,1992,15,8,835,9.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.03,0.02,0.03,Matches
481,Christian Celesia,it ITA,DF,Torino,it Serie A,17,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,25.40,25.40,0.00,25.40,Matches
482,Zeki Çelik,tr TUR,DF,Lille,fr Ligue 1,22,1997,23,23,2070,23.0,0,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,1.7,2.0,0.01,0.08,0.09,0.01,0.09,Matches
483,Fabien Centonze,fr FRA,DF,Metz,fr Ligue 1,23,1996,28,28,2520,28.0,0,3,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.4,0.4,2.3,2.7,0.01,0.08,0.10,0.01,0.10,Matches
484,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,29,1989,16,15,1246,13.8,2,0,2,0,0,5,0,0.14,0.00,0.14,0.14,0.14,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04,Matches
485,Alberto Cerri,it ITA,FW,SPAL,it Serie A,23,1996,8,5,420,4.7,1,0,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,1.2,1.2,0.7,1.9,0.26,0.16,0.42,0.26,0.42,Matches
486,Alberto Cerri,it ITA,FW,Cagliari,it Serie A,23,1996,11,1,244,2.7,1,0,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,0.6,0.6,0.2,0.8,0.23,0.06,0.29,0.23,0.29,Matches
487,Julian Chabot,de GER,DF,Sampdoria,it Serie A,21,1998,8,7,569,6.3,1,0,1,0,0,1,1,0.16,0.00,0.16,0.16,0.16,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
488,Florian Chabrolle,fr FRA,MF,Marseille,fr Ligue 1,21,1998,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
489,Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,32,1986,20,18,1528,17.0,0,2,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,1.9,2.1,0.01,0.11,0.12,0.01,0.12,Matches
490,Sofian Chakla,ma MAR,DF,Villarreal,es La Liga,25,1993,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
491,Nathaniel Chalobah,eng ENG,MF,Watford,eng Premier League,24,1994,22,10,930,10.3,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,1.1,1.6,0.04,0.11,0.15,0.04,0.15,Matches
492,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,24,1995,14,13,1102,12.2,1,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,0.7,0.7,0.7,1.4,0.06,0.06,0.11,0.06,0.11,Matches
493,Jhon Chancellor,ve VEN,DF,Brescia,it Serie A,27,1992,26,26,2244,24.9,3,0,3,0,0,3,0,0.12,0.00,0.12,0.12,0.12,2.0,2.0,0.0,2.0,0.08,0.00,0.08,0.08,0.08,Matches
494,Timothy Chandler,us USA,DFMF,Eint Frankfurt,de Bundesliga,29,1990,22,12,1220,13.6,5,1,5,0,0,4,0,0.37,0.07,0.44,0.37,0.44,1.8,1.8,1.0,2.8,0.13,0.07,0.20,0.13,0.20,Matches
495,Kwon Chang-hoon,kr KOR,MFFW,Freiburg,de Bundesliga,25,1994,23,6,676,7.5,2,0,2,0,0,0,0,0.27,0.00,0.27,0.27,0.27,1.9,1.9,1.1,2.9,0.25,0.14,0.39,0.25,0.39,Matches
496,Gaëtan Charbonnier,fr FRA,FWMF,Brest,fr Ligue 1,30,1988,26,23,2065,22.9,4,5,4,0,2,5,0,0.17,0.22,0.39,0.17,0.39,6.5,5.0,3.2,8.2,0.29,0.14,0.42,0.22,0.36,Matches
497,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,24,1994,12,9,823,9.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.01,0.01,0.01,0.01,Matches
498,Charles,br BRA,FW,Eibar,es La Liga,35,1984,30,13,1301,14.5,6,0,5,1,2,8,0,0.42,0.00,0.42,0.35,0.35,4.5,3.0,0.8,3.8,0.31,0.06,0.37,0.20,0.26,Matches
499,Xavier Chavalerin,fr FRA,MF,Reims,fr Ligue 1,28,1991,24,24,2147,23.9,1,3,1,0,0,6,0,0.04,0.13,0.17,0.04,0.17,0.7,0.7,2.2,2.9,0.03,0.09,0.12,0.03,0.12,Matches
500,Pablo Chavarría,ar ARG,FWMF,Mallorca,es La Liga,31,1988,13,1,209,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.24,0.29,0.52,0.24,0.52,Matches
501,Aurélien Chedjou,cm CMR,DF,Amiens,fr Ligue 1,34,1985,22,22,1971,21.9,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.02,0.01,0.03,0.02,0.03,Matches
502,Pape Cheikh Diop,sn SEN,MF,Celta Vigo,es La Liga,21,1997,16,6,599,6.7,0,1,0,0,0,5,1,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.3,0.4,0.02,0.04,0.06,0.02,0.06,Matches
503,Chema,es ESP,DF,Getafe,es La Liga,27,1992,4,3,309,3.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
504,Rayan Cherki,fr FRA,MFFW,Lyon,fr Ligue 1,15,2003,6,1,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.10,0.06,0.16,0.10,0.16,Matches
505,Denis Cheryshev,ru RUS,MFFW,Valencia,es La Liga,28,1990,24,9,926,10.3,1,2,1,0,0,5,0,0.10,0.19,0.29,0.10,0.29,2.9,2.9,1.2,4.1,0.28,0.12,0.39,0.28,0.39,Matches
506,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,34,1984,4,3,202,2.2,1,0,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45,0.2,0.2,0.0,0.2,0.10,0.00,0.10,0.10,0.10,Matches
507,Federico Chiesa,it ITA,FWDF,Fiorentina,it Serie A,21,1997,34,31,2637,29.3,11,6,10,1,2,7,0,0.38,0.20,0.58,0.34,0.55,11.3,9.8,5.5,15.3,0.38,0.19,0.57,0.33,0.52,Matches
508,Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,22,1996,27,27,2373,26.4,3,3,3,0,0,3,0,0.11,0.11,0.23,0.11,0.23,1.0,1.0,3.6,4.6,0.04,0.14,0.17,0.04,0.17,Matches
509,Vlad Chiricheș,ro ROU,DF,Sassuolo,it Serie A,29,1989,9,8,707,7.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
510,Tahith Chong,nl NED,FWDF,Manchester Utd,eng Premier League,19,1999,3,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.15,0.00,0.15,0.15,0.15,Matches
511,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,17,2001,20,13,1251,13.9,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.02,0.03,0.05,0.02,0.05,Matches
512,Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,21,1997,20,10,893,9.9,1,1,1,0,0,4,1,0.10,0.10,0.20,0.10,0.20,0.5,0.5,0.1,0.6,0.05,0.01,0.06,0.05,0.06,Matches
513,Mounir Chouiar,fr FRA,MFFW,Dijon,fr Ligue 1,20,1999,20,18,1506,16.7,4,0,4,0,0,4,1,0.24,0.00,0.24,0.24,0.24,3.8,3.8,2.9,6.7,0.23,0.17,0.40,0.23,0.40,Matches
514,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,23,1996,21,21,1751,19.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.0,1.8,0.04,0.05,0.09,0.04,0.09,Matches
515,Samuel Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,20,1999,37,20,2048,22.8,3,2,3,0,0,2,0,0.13,0.09,0.22,0.13,0.22,3.6,3.6,3.3,6.8,0.16,0.14,0.30,0.16,0.30,Matches
516,Darko Churlinov,mk MKD,FW,Köln,de Bundesliga,19,2000,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.15,0.15,0.00,0.15,Matches
517,Churripi,es ESP,GK,Valladolid,es La Liga,25,1994,3,3,244,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
518,Luca Cigarini,it ITA,MF,Cagliari,it Serie A,33,1986,22,19,1598,17.8,0,4,0,0,0,8,1,0.00,0.23,0.23,0.00,0.23,0.3,0.3,3.0,3.3,0.02,0.17,0.19,0.02,0.19,Matches
519,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,32,1987,24,21,1628,18.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
520,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,30,1989,24,24,2096,23.3,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
521,Thiago Cionek,pl POL,DF,SPAL,it Serie A,33,1986,28,23,2169,24.1,0,1,0,0,0,11,0,0.00,0.04,0.04,0.00,0.04,0.4,0.4,1.0,1.4,0.02,0.04,0.06,0.02,0.06,Matches
522,Ibrahim Cissé,sn SEN,DF,Angers,fr Ligue 1,23,1996,1,1,60,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.20,0.20,0.00,0.20,Matches
523,Ibrahim Cissé,ci CIV,DFFW,Nice,fr Ligue 1,20,1999,2,0,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.28,0.00,0.28,0.28,0.28,Matches
524,Andrea Cistana,it ITA,DF,Brescia,it Serie A,22,1997,21,21,1838,20.4,1,0,1,0,0,7,1,0.05,0.00,0.05,0.05,0.05,0.4,0.4,0.6,1.0,0.02,0.03,0.05,0.02,0.05,Matches
525,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,29,1989,14,14,1186,13.2,2,0,2,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.3,1.3,0.0,1.3,0.10,0.00,0.10,0.10,0.10,Matches
526,Leon Clarke,eng ENG,FWMF,Sheffield Utd,eng Premier League,34,1985,2,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.85,0.00,0.85,0.85,0.85,Matches
527,Alexis Claude-Maurice,fr FRA,MFFW,Nice,fr Ligue 1,21,1998,22,19,1629,18.1,1,1,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,3.0,3.0,0.8,3.8,0.16,0.04,0.21,0.16,0.21,Matches
528,Christian Clemens,de GER,MFFW,Köln,de Bundesliga,27,1991,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
529,Óscar Clemente,es ESP,MF,Atlético Madrid,es La Liga,20,1999,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
530,Yannis Clementia,mq MTQ,GK,Nice,fr Ligue 1,22,1997,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
531,Denilho Cleonise,nl NED,FW,Genoa,it Serie A,17,2001,4,0,47,0.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.51,0.00,0.51,0.51,0.51,Matches
532,Carlos Clerc,es ESP,DF,Levante,es La Liga,27,1992,23,20,1848,20.5,0,2,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,1.8,2.0,0.01,0.09,0.10,0.01,0.10,Matches
533,Tom Cleverley,eng ENG,MF,Watford,eng Premier League,29,1989,18,11,971,10.8,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.6,1.6,0.5,2.1,0.15,0.05,0.20,0.15,0.20,Matches
534,Conor Coady,eng ENG,DF,Wolves,eng Premier League,26,1993,38,38,3420,38.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.7,0.00,0.02,0.02,0.00,0.02,Matches
535,Marcus Coco,fr FRA,FW,Nantes,fr Ligue 1,23,1996,1,1,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
536,Renaud Cohade,fr FRA,MF,Metz,fr Ligue 1,34,1984,12,9,764,8.5,1,0,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,0.4,0.4,0.5,1.0,0.05,0.06,0.11,0.05,0.11,Matches
537,Coke,es ESP,DF,Levante,es La Liga,32,1987,17,11,989,11.0,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.4,0.9,0.05,0.03,0.09,0.05,0.09,Matches
538,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,30,1988,27,21,1839,20.4,0,1,0,0,0,5,1,0.00,0.05,0.05,0.00,0.05,0.7,0.7,0.6,1.3,0.03,0.03,0.06,0.03,0.06,Matches
539,Álex Collado,es ESP,DF,Barcelona,es La Liga,20,1999,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
540,Ebrima Colley,gm GAM,FW,Atalanta,it Serie A,19,2000,5,0,82,0.9,0,1,0,0,0,1,0,0.00,1.10,1.10,0.00,1.10,0.4,0.4,0.6,1.0,0.46,0.62,1.08,0.46,1.08,Matches
541,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,26,1992,31,30,2772,30.8,0,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,2.9,2.9,0.4,3.3,0.09,0.01,0.11,0.09,0.11,Matches
542,Jamilu Collins,ng NGA,DF,Paderborn 07,de Bundesliga,24,1994,30,30,2668,29.6,1,2,1,0,1,9,1,0.03,0.07,0.10,0.03,0.10,1.7,1.0,1.4,2.4,0.06,0.05,0.11,0.03,0.08,Matches
543,Simone Colombi,it ITA,GK,Parma,it Serie A,28,1991,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
544,Lorenzo Colombo,it ITA,FW,Milan,it Serie A,17,2002,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
545,Racine Coly,sn SEN,DFFW,Nice,fr Ligue 1,23,1995,10,8,649,7.2,1,0,1,0,0,5,2,0.14,0.00,0.14,0.14,0.14,1.3,1.3,0.0,1.3,0.18,0.00,0.18,0.18,0.18,Matches
546,Kingsley Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,23,1996,24,17,1505,16.7,4,3,4,0,0,2,0,0.24,0.18,0.42,0.24,0.42,4.2,4.2,3.9,8.1,0.25,0.23,0.48,0.25,0.48,Matches
547,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,34,1985,24,23,1941,21.6,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.7,0.7,0.2,0.9,0.03,0.01,0.04,0.03,0.04,Matches
548,Aaron Connolly,ie IRL,FW,Brighton,eng Premier League,19,2000,24,14,1258,14.0,3,1,3,0,0,0,0,0.21,0.07,0.29,0.21,0.29,3.2,3.2,0.3,3.5,0.23,0.02,0.25,0.23,0.25,Matches
549,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,32,1987,31,31,2790,31.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.8,0.00,0.02,0.02,0.00,0.02,Matches
550,Andrea Conti,it ITA,DF,Milan,it Serie A,25,1994,23,21,1725,19.2,0,2,0,0,0,8,0,0.00,0.10,0.10,0.00,0.10,0.0,0.0,1.5,1.5,0.00,0.08,0.08,0.00,0.08,Matches
551,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,22,1997,27,14,1352,15.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.0,1.3,0.02,0.06,0.08,0.02,0.08,Matches
552,Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,28,1991,29,28,2428,27.0,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.3,1.0,0.03,0.01,0.04,0.03,0.04,Matches
