,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
497,Mama Samba Baldé,gw GNB,FWMF,Troyes,26-134,1995,16.9,41,23,18,11,12,7,23,30.4,16,383,99,25.8,71,185,127,27,1,0,26,15,56,7,0,Matches
498,Junior Sambia,fr FRA,DFFW,Montpellier,25-194,1996,15.5,18,7,9,6,3,4,15,26.7,11,176,43,24.4,66,65,45,41,4,0,37,25,43,23,0,Matches
499,Renato Sanches,pt POR,MF,Lille,24-214,1997,12.7,20,13,9,9,2,4,17,23.5,13,195,67,34.4,54,104,37,9,1,0,8,11,31,7,0,Matches
500,Philippe Sandler,nl NED,DF,Troyes,25-038,1997,0.8,1,1,1,0,0,0,1,0.0,1,7,3,42.9,5,2,0,3,1,0,2,1,2,5,0,Matches
501,Baptiste Santamaria,fr FRA,MF,Rennes,27-011,1995,18.0,33,17,11,17,5,13,35,37.1,22,316,90,28.5,86,164,66,27,7,0,20,29,62,30,0,Matches
502,Pablo Sarabia,es ESP,FW,Paris S-G,29-313,1992,0.2,0,0,0,0,0,0,1,0.0,1,10,3,30.0,1,3,6,0,0,0,0,0,0,0,0,Matches
503,Martin Satriano,it ITA,FW,Brest,21-028,2001,4.5,0,0,0,0,0,0,1,0.0,1,65,11,16.9,6,24,35,2,0,0,2,2,2,1,0,Matches
504,Téji Savanier,fr FRA,MF,Montpellier,30-088,1991,21.9,51,34,19,23,9,19,55,34.5,36,412,116,28.2,95,215,102,25,0,0,25,42,93,7,1,Matches
505,Morgan Schneiderlin,fr FRA,MF,Nice,32-132,1989,5.3,15,8,8,6,1,3,12,25.0,9,100,34,34.0,37,54,9,7,2,0,5,15,30,8,0,Matches
506,Alidu Seidu,ci CIV,DFFW,Clermont Foot,21-289,2000,9.6,17,13,13,4,0,11,14,78.6,3,92,29,31.5,50,28,14,23,8,0,15,30,47,28,0,Matches
507,Matz Sels,be BEL,GK,Strasbourg,30-022,1992,27.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
508,Xherdan Shaqiri,ch SUI,FWMF,Lyon,30-161,1991,7.5,7,4,0,5,2,2,10,20.0,8,66,22,33.3,7,33,26,4,0,0,4,3,10,1,0,Matches
509,Mahame Siby,ml MLI,MFDF,Strasbourg,25-256,1996,0.2,0,0,0,0,0,0,0,,0,8,0,0.0,6,2,0,1,0,0,1,0,0,0,0,Matches
510,Aboubakar Sidibé,fr FRA,FW,Clermont Foot,25-321,1996,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
511,Djibril Sidibé,fr FRA,DF,Monaco,29-234,1992,10.0,24,15,13,8,3,6,19,31.6,13,122,41,33.6,38,55,29,12,1,0,11,23,47,19,0,Matches
512,Kaj Sierhuis,nl NED,FW,Reims,23-327,1998,0.9,1,1,1,0,0,1,1,100.0,0,9,2,22.2,3,4,2,0,0,0,0,0,1,1,0,Matches
513,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,24-232,1997,19.8,35,17,15,17,3,18,42,42.9,24,224,73,32.6,84,93,47,25,3,0,22,37,72,36,3,Matches
514,Gabriel Silva,br BRA,DF,Saint-Étienne,30-311,1991,4.5,8,6,3,4,1,4,5,80.0,1,57,20,35.1,26,22,9,11,2,0,9,10,18,7,0,Matches
515,Moses Simon,ng NGA,FWMF,Nantes,26-251,1995,21.3,22,14,5,9,8,8,15,53.3,7,241,68,28.2,45,100,96,24,3,0,21,18,40,7,0,Matches
516,Xavi Simons,nl NED,FWMF,Paris S-G,18-333,2003,1.2,1,1,0,1,0,1,1,100.0,0,24,5,20.8,4,7,13,1,0,0,1,0,1,1,0,Matches
517,Issouf Sissokho,ml MLI,MF,Bordeaux,20-049,2002,4.8,17,12,3,12,2,7,19,36.8,12,156,35,22.4,36,91,29,8,1,0,7,10,27,0,0,Matches
518,Ibrahima Sissoko,fr FRA,MFDF,Strasbourg,24-144,1997,20.1,39,23,15,17,7,6,24,25.0,18,331,96,29.0,99,170,62,46,9,0,37,36,75,32,0,Matches
519,Nelson Sissoko,fr FRA,DF,Saint-Étienne,25-013,1997,0.5,1,0,1,0,0,1,1,100.0,0,11,2,18.2,6,4,1,0,0,0,0,1,2,3,0,Matches
520,Sambou Sissoko,fr FRA,MFDF,Reims,22-327,1999,2.0,12,8,5,4,3,3,9,33.3,6,56,22,39.3,29,18,9,2,0,0,2,5,17,7,0,Matches
521,Islam Slimani,dz ALG,FW,Lyon,33-275,1988,6.4,2,2,0,1,1,0,5,0.0,5,85,18,21.2,5,36,44,6,0,0,6,0,2,4,0,Matches
522,Florian Sotoca,fr FRA,FWMF,Lens,31-146,1990,20.5,27,15,7,15,5,10,36,27.8,26,334,99,29.6,47,147,140,23,3,0,20,23,50,19,0,Matches
523,Sambou Soumano,sn SEN,FW,Lorient,21-076,2001,3.8,1,0,0,0,1,0,0,,0,66,20,30.3,3,28,35,3,0,0,3,3,4,2,0,Matches
524,Arnaud Souquet,fr FRA,DF,Montpellier,30-036,1992,16.6,36,17,24,9,3,18,46,39.1,28,263,90,34.2,132,79,52,20,5,0,15,33,69,39,0,Matches
525,Saidou Sow,gn GUI,DF,Saint-Étienne,19-259,2002,9.3,24,13,17,7,0,7,13,53.8,6,111,57,51.4,71,39,1,13,5,1,8,23,47,36,0,Matches
526,Calvin Stengs,nl NED,MF,Nice,23-092,1998,9.9,14,6,5,8,1,6,14,42.9,8,156,33,21.2,23,90,43,10,0,0,10,18,32,7,0,Matches
527,Kamaldeen Sulemana,gh GHA,MFFW,Rennes,20-033,2002,11.3,27,18,10,9,8,7,18,38.9,11,181,58,32.0,48,75,58,8,1,0,7,9,36,3,0,Matches
528,Abdoulaye Sylla,gn GUI,DF,Nantes,21-344,2000,0.7,3,2,1,1,1,1,4,25.0,3,17,5,29.4,13,3,1,2,1,0,1,2,5,1,0,Matches
529,Waniss Taibi,fr FRA,MFDF,Angers,20-013,2002,1.3,6,5,4,1,1,0,1,0.0,1,40,13,32.5,11,19,10,2,0,0,2,0,6,2,0,Matches
530,Flavien Tait,fr FRA,MF,Rennes,29-046,1993,15.3,23,16,8,11,4,10,33,30.3,23,192,51,26.6,52,95,45,21,3,0,18,15,38,6,0,Matches
531,Florian Tardieu,fr FRA,MF,Troyes,29-332,1992,20.2,38,26,16,19,3,14,63,22.2,49,339,107,31.6,128,184,27,39,7,0,32,40,78,30,0,Matches
532,Oussama Targhalline,ma MAR,FW,Marseille,19-304,2002,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
533,Loum Tchaouna,fr FRA,MFFW,Rennes,18-193,2003,0.5,0,0,0,0,0,0,2,0.0,2,12,4,33.3,1,8,3,1,0,0,1,1,1,0,0,Matches
534,Warren Tchimbembé,cg CGO,MF,Metz,23-333,1998,2.3,2,1,1,1,0,1,4,25.0,3,42,10,23.8,13,22,7,5,1,0,4,2,4,0,0,Matches
