Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
317,Grejohn Kyei,fr FRA,FW,Clermont Foot,26-220,1995,6,2,212,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.7,1.8,0.46,0.30,0.75,0.46,0.75,Matches
318,Gaëtan Laborde,fr FRA,FW,Rennes,27-321,1994,24,24,2074,23.0,11,7,9,2,2,1,0,0.48,0.30,0.78,0.39,0.69,13.3,11.8,3.3,15.2,0.58,0.15,0.72,0.51,0.66,Matches
319,Gaëtan Laborde,fr FRA,FW,Montpellier,27-321,1994,4,4,341,3.8,3,0,3,0,0,1,0,0.79,0.00,0.79,0.79,0.79,1.8,1.8,0.5,2.3,0.48,0.12,0.59,0.48,0.59,Matches
320,Tom Lacoux,fr FRA,MFDF,Bordeaux,20-054,2002,8,7,532,5.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.06,0.06,0.00,0.06,Matches
321,Lenny Lacroix,fr FRA,DF,Metz,19-042,2003,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
322,Alban Lafont,fr FRA,GK,Nantes,23-056,1999,29,29,2610,29.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
323,Julien Laporte,fr FRA,DF,Lorient,28-136,1993,25,25,2171,24.1,2,0,2,0,0,6,0,0.08,0.00,0.08,0.08,0.08,0.9,0.9,0.4,1.3,0.04,0.02,0.05,0.04,0.05,Matches
324,Yasser Larouci,dz ALG,DF,Troyes,21-078,2001,5,1,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches
325,Paul Lasne,fr FRA,MFFW,Brest,33-063,1989,8,2,244,2.7,0,1,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,0.2,0.2,0.5,0.7,0.08,0.18,0.26,0.08,0.26,Matches
326,Armand Lauriente,fr FRA,FWMF,Lorient,23-106,1998,25,21,1822,20.2,4,1,3,1,1,3,0,0.20,0.05,0.25,0.15,0.20,4.9,4.1,3.7,7.8,0.24,0.18,0.42,0.20,0.39,Matches
327,Théo Le Bris,fr FRA,MF,Lorient,19-170,2002,4,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
328,Jérémy Le Douaron,fr FRA,FW,Brest,23-333,1998,28,16,1369,15.2,5,3,5,0,0,0,0,0.33,0.20,0.53,0.33,0.53,3.9,3.9,2.6,6.5,0.26,0.17,0.43,0.26,0.43,Matches
329,Enzo Le Fée,fr FRA,MF,Lorient,22-045,2000,27,17,1492,16.6,0,2,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0.9,0.9,1.8,2.7,0.06,0.11,0.16,0.06,0.16,Matches
330,Vincent Le Goff,fr FRA,DF,Lorient,32-156,1989,24,24,2160,24.0,1,0,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04,1.2,1.2,1.6,2.8,0.05,0.07,0.12,0.05,0.12,Matches
331,Maxime Le Marchand,fr FRA,DF,Strasbourg,32-160,1989,8,7,650,7.2,1,0,1,0,0,4,0,0.14,0.00,0.14,0.14,0.14,0.3,0.3,0.1,0.3,0.04,0.01,0.05,0.04,0.05,Matches
332,Jean-Louis Leca,fr FRA,GK,Lens,36-180,1985,23,23,2025,22.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
333,Félix Lemaréchal,ci CIV,MF,Monaco,18-225,2003,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
334,Mario Lemina,ga GAB,MF,Nice,28-200,1993,25,19,1577,17.5,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.1,1.0,0.05,0.01,0.05,0.05,0.05,Matches
335,Fabien Lemoine,fr FRA,MF,Lorient,35-004,1987,12,10,853,9.5,0,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.8,0.9,0.01,0.08,0.09,0.01,0.09,Matches
336,Léo Leroy,fr FRA,MF,Montpellier,22-034,2000,15,2,201,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.01,0.05,0.04,0.05,Matches
337,Yanis Lhery,fr FRA,FWMF,Saint-Étienne,18-317,2003,5,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.39,0.00,0.39,0.39,0.39,Matches
338,Dimitri Liénard,fr FRA,DFMF,Strasbourg,34-035,1988,25,15,1398,15.5,2,2,2,0,0,4,0,0.13,0.13,0.26,0.13,0.26,1.1,1.1,2.1,3.2,0.07,0.14,0.20,0.07,0.20,Matches
339,Isaac Lihadji,fr FRA,MFDF,Lille,19-344,2002,9,1,162,1.8,1,2,1,0,0,1,0,0.56,1.11,1.67,0.56,1.67,0.9,0.9,0.6,1.6,0.52,0.35,0.87,0.52,0.87,Matches
340,Pol Lirola,es ESP,DFMF,Marseille,24-219,1997,25,17,1506,16.7,1,2,1,0,0,1,0,0.06,0.12,0.18,0.06,0.18,1.3,1.3,2.7,4.0,0.08,0.16,0.24,0.08,0.24,Matches
341,Banzouzi Locko,fr FRA,DFMF,Reims,19-318,2002,15,7,677,7.5,1,0,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,0.1,0.1,0.3,0.4,0.02,0.03,0.05,0.02,0.05,Matches
342,Anthony Lopes,pt POR,GK,Lyon,31-170,1990,27,27,2413,26.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
343,Pau López,es ESP,GK,Marseille,27-097,1994,24,24,2160,24.0,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.6,0.6,0.00,0.03,0.03,0.00,0.03,Matches
344,Dion Lopy,sn SEN,MF,Reims,20-046,2002,16,12,1005,11.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.03,0.02,0.05,0.03,0.05,Matches
345,Samuel Loric,fr FRA,DF,Lorient,21-258,2000,3,3,269,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
346,Jordan Lotomba,ch SUI,DF,Nice,23-172,1998,22,14,1296,14.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.9,0.01,0.05,0.06,0.01,0.06,Matches
347,Jean Lucas,br BRA,MF,Monaco,23-271,1998,22,17,1322,14.7,1,1,1,0,0,3,1,0.07,0.07,0.14,0.07,0.14,1.9,1.9,1.7,3.5,0.13,0.11,0.24,0.13,0.24,Matches
348,Castello Lukeba,fr FRA,DF,Lyon,19-093,2002,15,15,1285,14.3,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.1,0.8,0.05,0.01,0.06,0.05,0.06,Matches
349,Levi Lumeka,eng ENG,DFFW,Troyes,23-196,1998,5,0,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
350,Yannis M'Bemba,fr FRA,DFFW,Nantes,20-262,2001,2,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,2.37,0.00,2.37,2.37,2.37,Matches
351,Deiver Machado,co COL,DF,Lens,28-199,1993,14,4,322,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.3,0.01,0.06,0.07,0.01,0.07,Matches
352,Yvann Macon,fr FRA,DF,Saint-Étienne,23-170,1998,18,15,1239,13.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.5,1.9,0.03,0.11,0.13,0.03,0.13,Matches
353,Louis Mafouta,cf CTA,FW,Metz,27-261,1994,7,5,359,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.7,0.16,0.01,0.18,0.16,0.18,Matches
354,Hugo Magnetti,fr FRA,MF,Brest,23-294,1998,21,14,1256,14.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.9,0.04,0.03,0.07,0.04,0.07,Matches
