,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
440,Otávio,br BRA,MF,Bordeaux,27-320,1994,12.7,630,707,89.1,12514,3037,233,247,94.3,292,320,91.3,92,117,78.6,0,0.1,-0.1,6,38,5,0,42,Matches
441,Dango Ouattara,bf BFA,MFFW,Lorient,20-037,2002,6.0,125,204,61.3,2163,550,61,91,67.0,40,67,59.7,19,33,57.6,0,0.3,-0.3,5,5,5,2,11,Matches
442,Remi Oudin,fr FRA,MFFW,Bordeaux,25-122,1996,17.4,405,622,65.1,7963,2343,166,212,78.3,174,237,73.4,56,139,40.3,5,2.5,+2.5,18,26,19,4,44,Matches
443,Alexandre Oukidja,dz ALG,GK,Metz,33-244,1988,18.0,316,499,63.3,12223,8471,26,26,100.0,107,109,98.2,181,362,50.0,0,0.0,0.0,0,8,1,0,0,Matches
444,Azzedine Ounahi,ma MAR,MF,Angers,21-335,2000,13.7,605,705,85.8,10486,2646,280,317,88.3,248,273,90.8,60,82,73.2,0,0.9,-0.9,11,66,13,2,62,Matches
445,Ambroise Oyongo,cm CMR,DF,Montpellier,30-271,1991,3.1,109,149,73.2,1776,749,59,72,81.9,39,54,72.2,9,18,50.0,0,0.0,0.0,2,5,5,3,9,Matches
446,Vincent Pajot,fr FRA,MF,Metz,31-213,1990,19.3,687,796,86.3,13682,2912,251,276,90.9,311,334,93.1,109,151,72.2,0,0.2,-0.2,9,70,2,1,45,Matches
447,Nicolas Pallois,fr FRA,DF,Nantes,34-182,1987,22.4,741,908,81.6,16323,5334,208,238,87.4,368,421,87.4,161,232,69.4,0,0.1,-0.1,2,52,0,0,50,Matches
448,Erik Palmer-Brown,us USA,DF,Troyes,24-330,1997,10.7,308,380,81.1,6127,2208,110,126,87.3,157,173,90.8,40,73,54.8,0,0.0,0.0,1,12,1,0,17,Matches
449,Emerson Palmieri,it ITA,DF,Lyon,27-229,1994,21.1,1290,1505,85.7,20951,6841,668,712,93.8,492,568,86.6,100,166,60.2,2,2.2,-0.2,23,68,14,7,64,Matches
450,Lucas Paquetá,br BRA,FWMF,Lyon,24-205,1997,21.9,883,1113,79.3,13254,3738,500,579,86.4,259,322,80.4,70,112,62.5,4,4.0,0.0,32,82,21,2,95,Matches
451,Rubén Pardo,es ESP,MF,Bordeaux,29-149,1992,0.1,1,1,100.0,11,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
452,Leandro Paredes,ar ARG,MF,Paris S-G,27-264,1994,8.1,790,829,95.3,14779,3840,324,337,96.1,368,375,98.1,92,104,88.5,2,0.2,+1.8,5,76,3,0,42,Matches
453,Strahinja Pavlović,rs SRB,DF,Monaco,20-300,2001,5.0,334,394,84.8,7161,2326,101,108,93.5,174,187,93.0,55,91,60.4,0,0.0,0.0,0,26,7,2,20,Matches
454,Dimitri Payet,fr FRA,FWMF,Marseille,34-356,1987,23.1,998,1339,74.5,19385,5667,454,524,86.6,362,450,80.4,165,324,50.9,9,8.8,+0.2,86,99,52,14,133,Matches
455,Timothee Pembele,fr FRA,DF,Bordeaux,19-192,2002,15.4,458,624,73.4,7017,2539,257,304,84.5,166,232,71.6,22,40,55.0,1,2.1,-1.1,13,29,10,5,37,Matches
456,Mathias Pereira Lage,pt POR,DFFW,Angers,25-110,1996,6.1,197,281,70.1,3168,1056,95,124,76.6,83,107,77.6,12,34,35.3,1,0.6,+0.4,4,13,4,0,17,Matches
457,Brayann Pereira,fr FRA,DF,Lens,18-303,2003,0.2,13,15,86.7,174,47,8,8,100.0,5,5,100.0,0,1,0.0,0,0.2,-0.2,1,1,1,1,0,Matches
458,Danilo Pereira,pt POR,MF,Paris S-G,30-192,1991,14.8,1016,1076,94.4,19041,4254,382,401,95.3,504,527,95.6,116,129,89.9,0,0.1,-0.1,2,63,1,0,32,Matches
459,Luan Peres Petroni,br BRA,DF,Marseille,27-244,1994,22.8,1313,1477,88.9,23567,6592,580,617,94.0,581,642,90.5,134,190,70.5,1,1.3,-0.3,14,108,8,5,66,Matches
460,Lucas Perrin,fr FRA,DF,Strasbourg,23-121,1998,21.1,950,1111,85.5,20505,7562,285,306,93.1,500,540,92.6,159,242,65.7,0,0.6,-0.6,8,111,14,2,102,Matches
461,Danijel Petković,me MNE,GK,Angers,28-299,1993,15.0,355,460,77.2,9547,4689,51,51,100.0,194,195,99.5,108,212,50.9,0,0.0,0.0,0,1,0,0,0,Matches
462,Léo Pétrot,fr FRA,DF,Lorient,24-339,1997,13.2,567,673,84.2,12366,4189,160,174,92.0,295,323,91.3,109,165,66.1,0,0.0,0.0,1,26,0,0,29,Matches
463,Romain Philippoteaux,fr FRA,MF,Brest,34-018,1988,0.3,5,7,71.4,67,11,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
464,Jérôme Phojo,fr FRA,DF,Clermont Foot,28-339,1993,0.1,2,2,100.0,28,19,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
465,Ronaël Pierre-Gabriel,fr FRA,DF,Brest,23-280,1998,23.3,978,1176,83.2,16326,6523,490,532,92.1,390,460,84.8,79,135,58.5,1,0.7,+0.3,14,82,18,5,98,Matches
466,Julian Pollersbeck,de GER,GK,Lyon,27-216,1994,1.2,28,34,82.4,709,460,10,10,100.0,11,11,100.0,7,13,53.8,0,0.0,0.0,0,1,0,0,0,Matches
467,Gaëtan Poussin,fr FRA,GK,Bordeaux,23-066,1999,7.0,211,268,78.7,6135,3601,33,34,97.1,102,102,100.0,75,130,57.7,0,0.0,0.0,0,1,0,0,0,Matches
468,Sanjin Prcić,ba BIH,MF,Strasbourg,28-120,1993,19.1,921,1089,84.6,19638,4806,324,369,87.8,372,412,90.3,204,273,74.7,0,1.8,-1.8,20,110,24,1,104,Matches
469,Nicolas de Préville,fr FRA,FWMF,Metz,31-071,1991,14.0,258,391,66.0,4418,1116,129,176,73.3,87,128,68.0,32,63,50.8,1,1.2,-0.2,10,19,10,5,23,Matches
470,Nemanja Radonjić,rs SRB,MF,Marseille,26-033,1996,0.2,9,10,90.0,103,43,8,9,88.9,1,1,100.0,0,0,,0,0.2,-0.2,1,0,0,0,0,Matches
471,Rafinha,br BRA,FWMF,Paris S-G,29-036,1993,2.4,168,185,90.8,2567,439,92,101,91.1,63,67,94.0,9,11,81.8,0,0.1,-0.1,2,15,0,0,10,Matches
472,Predrag Rajković,rs SRB,GK,Reims,26-140,1995,28.0,624,903,69.1,18869,10771,104,104,100.0,247,254,97.2,268,538,49.8,0,0.0,0.0,1,12,0,0,0,Matches
473,Adil Rami,fr FRA,DF,Troyes,36-083,1985,11.9,386,460,83.9,8812,3243,124,138,89.9,175,194,90.2,84,121,69.4,0,0.0,0.0,1,19,1,0,20,Matches
474,Sergio Ramos,es ESP,DF,Paris S-G,35-355,1986,2.7,273,291,93.8,6427,1984,69,72,95.8,136,143,95.1,67,75,89.3,0,0.0,0.0,0,42,2,0,28,Matches
475,Elba Rashani,xk KVX,FWMF,Clermont Foot,28-315,1993,18.5,413,533,77.5,5945,1471,251,284,88.4,130,168,77.4,19,37,51.4,3,2.8,+0.2,12,25,11,6,31,Matches
476,Jeff Reine-Adélaïde,fr FRA,MF,Lyon,24-062,1998,0.2,24,26,92.3,378,93,10,10,100.0,11,11,100.0,2,4,50.0,0,0.1,-0.1,1,0,0,0,0,Matches
477,Tiago Ribeiro,pt POR,FW,Monaco,20-006,2002,0.0,2,2,100.0,36,5,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
478,Sergio Rico,es ESP,GK,Paris S-G,28-200,1993,0.3,7,8,87.5,204,116,1,1,100.0,3,3,100.0,3,4,75.0,0,0.0,0.0,0,0,0,0,0,Matches
479,Renaud Ripart,fr FRA,FWDF,Troyes,29-006,1993,14.7,357,502,71.1,5948,1512,193,236,81.8,117,166,70.5,34,60,56.7,1,1.2,-0.2,11,26,14,5,39,Matches
480,Mihailo Ristić,rs SRB,DF,Montpellier,26-140,1995,17.2,689,896,76.9,12928,5241,313,340,92.1,274,342,80.1,91,182,50.0,2,1.8,+0.2,14,50,13,10,61,Matches
481,Maxence Rivera,fr FRA,FW,Saint-Étienne,19-294,2002,0.1,0,2,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
482,Patrick Roberts,eng ENG,DF,Troyes,25-043,1997,0.2,5,6,83.3,72,13,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
483,Stian Rode Gregersen,no NOR,DF,Bordeaux,26-307,1995,18.1,666,773,86.2,13289,4690,219,237,92.4,348,387,89.9,87,127,68.5,1,0.3,+0.7,1,32,1,0,29,Matches
484,Gerson Rodrigues,lu LUX,FW,Troyes,26-273,1995,9.4,166,221,75.1,2634,498,94,113,83.2,48,59,81.4,17,29,58.6,1,0.2,+0.8,6,17,8,1,14,Matches
485,Valentin Rongier,fr FRA,MFDF,Marseille,27-103,1994,16.6,1242,1367,90.9,22284,5496,543,579,93.8,558,609,91.6,126,151,83.4,1,0.7,+0.3,10,110,16,2,111,Matches
486,Pablo Rosario,nl NED,MF,Nice,25-072,1997,21.8,1059,1211,87.4,19991,4213,422,457,92.3,490,545,89.9,128,170,75.3,2,0.9,+1.1,16,87,11,1,87,Matches
487,Roli Pereira de Sa,fr FRA,MF,Nantes,25-100,1996,5.8,209,251,83.3,3435,920,110,127,86.6,73,82,89.0,20,27,74.1,0,0.5,-0.5,6,15,2,1,12,Matches
488,Mathys Saban,fr FRA,FWMF,Saint-Étienne,19-309,2002,0.8,13,18,72.2,191,56,8,11,72.7,3,4,75.0,1,1,100.0,0,0.0,0.0,0,1,2,0,2,Matches
489,Falaye Sacko,ml MLI,DF,Saint-Étienne,26-323,1995,6.1,297,350,84.9,5947,2139,102,109,93.6,145,157,92.4,46,74,62.2,0,0.1,-0.1,2,29,0,0,19,Matches
490,Rafiki Said Ahamada,fr FRA,MFFW,Brest,22-005,2000,0.7,28,37,75.7,408,114,16,20,80.0,9,10,90.0,2,5,40.0,0,0.0,0.0,0,1,3,0,8,Matches
491,Wesley Saïd,fr FRA,FWMF,Lens,26-335,1995,6.0,141,193,73.1,2470,561,69,80,86.3,53,69,76.8,15,30,50.0,0,0.6,-0.6,10,10,5,0,22,Matches
492,Mamadou Sakho,fr FRA,DF,Montpellier,32-035,1990,20.6,964,1085,88.8,18842,7684,339,360,94.2,475,507,93.7,135,193,69.9,0,0.1,-0.1,2,45,1,0,53,Matches
493,Bakary Sako,ml MLI,FWMF,Saint-Étienne,33-328,1988,1.2,20,27,74.1,334,87,8,11,72.7,10,14,71.4,1,1,100.0,0,0.0,0.0,2,3,0,0,1,Matches
494,William Saliba,fr FRA,DF,Marseille,20-361,2001,27.0,2133,2284,93.4,41802,12587,709,752,94.3,1161,1204,96.4,249,299,83.3,0,0.6,-0.6,4,150,7,1,136,Matches
495,Romain Salin,fr FRA,GK,Rennes,37-234,1984,1.0,29,32,90.6,849,494,7,7,100.0,12,12,100.0,10,13,76.9,0,0.0,0.0,0,1,0,0,0,Matches
496,Yoann Salmier,gf GUF,DF,Troyes,29-119,1992,25.5,960,1126,85.3,19004,6958,370,398,93.0,429,480,89.4,137,206,66.5,1,0.3,+0.7,5,52,4,1,67,Matches
497,Mama Samba Baldé,gw GNB,FWMF,Troyes,26-134,1995,16.9,258,376,68.6,4064,941,148,188,78.7,80,115,69.6,22,37,59.5,1,1.1,-0.1,13,20,12,0,37,Matches
498,Junior Sambia,fr FRA,DFFW,Montpellier,25-194,1996,15.5,495,643,77.0,8476,3452,258,289,89.3,175,232,75.4,48,93,51.6,0,0.4,-0.4,8,39,14,7,50,Matches
499,Renato Sanches,pt POR,MF,Lille,24-214,1997,12.7,631,787,80.2,13201,4242,235,269,87.4,261,307,85.0,121,178,68.0,5,2.8,+2.2,26,78,26,5,103,Matches
500,Philippe Sandler,nl NED,DF,Troyes,25-038,1997,0.8,20,27,74.1,316,205,13,14,92.9,6,8,75.0,1,5,20.0,0,0.0,0.0,0,2,0,0,0,Matches
501,Baptiste Santamaria,fr FRA,MF,Rennes,27-011,1995,18.0,735,877,83.8,14488,2832,284,325,87.4,324,368,88.0,111,146,76.0,1,0.8,+0.2,18,57,11,4,59,Matches
502,Pablo Sarabia,es ESP,FW,Paris S-G,29-313,1992,0.2,13,20,65.0,202,14,9,10,90.0,3,5,60.0,1,4,25.0,0,0.0,0.0,0,0,0,0,0,Matches
503,Martin Satriano,it ITA,FW,Brest,21-028,2001,4.5,44,62,71.0,635,59,26,32,81.3,12,18,66.7,4,7,57.1,0,0.0,0.0,0,1,0,0,2,Matches
504,Téji Savanier,fr FRA,MF,Montpellier,30-088,1991,21.9,878,1310,67.0,19362,6710,351,434,80.9,281,374,75.1,224,438,51.1,6,5.2,+0.8,49,125,38,15,130,Matches
505,Morgan Schneiderlin,fr FRA,MF,Nice,32-132,1989,5.3,267,310,86.1,4690,1262,128,138,92.8,108,125,86.4,28,40,70.0,1,0.2,+0.8,4,20,2,1,20,Matches
506,Alidu Seidu,ci CIV,DFFW,Clermont Foot,21-289,2000,9.6,365,419,87.1,6781,1643,165,186,88.7,148,162,91.4,48,67,71.6,0,0.1,-0.1,3,10,0,0,12,Matches
507,Matz Sels,be BEL,GK,Strasbourg,30-022,1992,27.0,486,688,70.6,15189,10054,89,89,100.0,196,197,99.5,196,397,49.4,0,0.0,0.0,0,4,0,0,1,Matches
508,Xherdan Shaqiri,ch SUI,FWMF,Lyon,30-161,1991,7.5,265,346,76.6,4762,1488,142,159,89.3,70,85,82.4,45,83,54.2,3,2.4,+0.6,16,23,18,2,39,Matches
509,Mahame Siby,ml MLI,MFDF,Strasbourg,25-256,1996,0.2,4,6,66.7,78,5,2,2,100.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
510,Aboubakar Sidibé,fr FRA,FW,Clermont Foot,25-321,1996,0.1,3,4,75.0,42,9,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,Matches
511,Djibril Sidibé,fr FRA,DF,Monaco,29-234,1992,10.0,576,718,80.2,10757,3949,259,286,90.6,248,289,85.8,66,126,52.4,0,0.9,-0.9,6,59,13,7,54,Matches
512,Kaj Sierhuis,nl NED,FW,Reims,23-327,1998,0.9,22,27,81.5,322,50,11,14,78.6,6,6,100.0,2,3,66.7,0,0.1,-0.1,1,1,1,0,1,Matches
513,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,24-232,1997,19.8,968,1252,77.3,16620,5550,446,502,88.8,434,532,81.6,76,160,47.5,5,4.2,+0.8,27,42,27,7,98,Matches
514,Gabriel Silva,br BRA,DF,Saint-Étienne,30-311,1991,4.5,142,198,71.7,2331,1096,64,75,85.3,62,76,81.6,10,31,32.3,0,0.0,0.0,2,11,1,0,14,Matches
515,Moses Simon,ng NGA,FWMF,Nantes,26-251,1995,21.3,453,698,64.9,8078,2624,236,287,82.2,143,204,70.1,63,161,39.1,7,6.4,+0.6,58,16,32,17,40,Matches
516,Xavi Simons,nl NED,FWMF,Paris S-G,18-333,2003,1.2,43,50,86.0,560,78,30,32,93.8,8,11,72.7,2,2,100.0,0,0.1,-0.1,1,0,1,0,1,Matches
517,Issouf Sissokho,ml MLI,MF,Bordeaux,20-049,2002,4.8,185,213,86.9,3434,611,72,77,93.5,82,91,90.1,27,34,79.4,0,0.4,-0.4,7,9,7,1,10,Matches
518,Ibrahima Sissoko,fr FRA,MFDF,Strasbourg,24-144,1997,20.1,700,857,81.7,13370,4139,282,324,87.0,312,348,89.7,93,145,64.1,5,3.8,+1.2,21,64,17,4,73,Matches
519,Nelson Sissoko,fr FRA,DF,Saint-Étienne,25-013,1997,0.5,8,10,80.0,146,83,3,4,75.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
520,Sambou Sissoko,fr FRA,MFDF,Reims,22-327,1999,2.0,71,97,73.2,1309,459,25,33,75.8,38,44,86.4,8,14,57.1,0,0.3,-0.3,3,2,2,1,7,Matches
521,Islam Slimani,dz ALG,FW,Lyon,33-275,1988,6.4,151,193,78.2,2018,263,88,110,80.0,43,51,84.3,7,10,70.0,1,0.7,+0.3,7,2,10,0,12,Matches
522,Florian Sotoca,fr FRA,FWMF,Lens,31-146,1990,20.5,659,868,75.9,12490,2604,300,385,77.9,237,303,78.2,102,137,74.5,4,2.5,+1.5,24,75,16,6,82,Matches
523,Sambou Soumano,sn SEN,FW,Lorient,21-076,2001,3.8,36,63,57.1,561,89,21,30,70.0,9,16,56.3,4,9,44.4,0,0.1,-0.1,4,3,1,1,1,Matches
524,Arnaud Souquet,fr FRA,DF,Montpellier,30-036,1992,16.6,563,771,73.0,9175,3994,292,335,87.2,218,283,77.0,40,104,38.5,2,0.5,+1.5,12,27,11,2,56,Matches
525,Saidou Sow,gn GUI,DF,Saint-Étienne,19-259,2002,9.3,423,496,85.3,8743,2678,136,152,89.5,216,238,90.8,66,95,69.5,1,0.6,+0.4,3,25,1,1,25,Matches
526,Calvin Stengs,nl NED,MF,Nice,23-092,1998,9.9,255,348,73.3,4512,1633,128,159,80.5,83,109,76.1,38,63,60.3,1,2.1,-1.1,18,30,12,5,30,Matches
527,Kamaldeen Sulemana,gh GHA,MFFW,Rennes,20-033,2002,11.3,287,359,79.9,5610,1310,129,150,86.0,106,123,86.2,46,65,70.8,2,1.4,+0.6,21,14,21,7,35,Matches
528,Abdoulaye Sylla,gn GUI,DF,Nantes,21-344,2000,0.7,22,34,64.7,485,78,5,6,83.3,11,15,73.3,6,12,50.0,0,0.0,0.0,0,1,0,0,0,Matches
529,Waniss Taibi,fr FRA,MFDF,Angers,20-013,2002,1.3,46,57,80.7,745,126,26,30,86.7,16,20,80.0,4,6,66.7,0,0.0,0.0,0,2,0,0,1,Matches
530,Flavien Tait,fr FRA,MF,Rennes,29-046,1993,15.3,715,828,86.4,14116,3004,293,338,86.7,276,314,87.9,133,150,88.7,3,2.7,+0.3,24,92,20,4,80,Matches
531,Florian Tardieu,fr FRA,MF,Troyes,29-332,1992,20.2,1172,1429,82.0,23620,7205,462,507,91.1,496,560,88.6,190,323,58.8,1,2.3,-1.3,34,115,16,3,114,Matches
532,Oussama Targhalline,ma MAR,FW,Marseille,19-304,2002,0.0,2,2,100.0,21,4,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
533,Loum Tchaouna,fr FRA,MFFW,Rennes,18-193,2003,0.5,18,24,75.0,332,52,8,9,88.9,7,11,63.6,2,2,100.0,0,0.0,0.0,1,0,0,0,0,Matches
534,Warren Tchimbembé,cg CGO,MF,Metz,23-333,1998,2.3,86,98,87.8,1689,385,34,37,91.9,38,40,95.0,13,20,65.0,0,0.1,-0.1,2,9,2,1,6,Matches
535,Aurélien Tchouaméni,fr FRA,MF,Monaco,22-052,2000,23.6,1351,1555,86.9,27058,7038,498,550,90.5,627,703,89.2,212,266,79.7,1,2.0,-1.0,14,134,23,3,140,Matches
536,Mathys Tel,fr FRA,FWMF,Rennes,16-327,2005,0.5,14,20,70.0,307,86,6,8,75.0,4,7,57.1,4,4,100.0,0,0.1,-0.1,1,1,0,0,1,Matches
537,Jordan Tell,fr FRA,FW,Clermont Foot,24-283,1997,3.2,72,87,82.8,1078,180,43,46,93.5,22,28,78.6,5,6,83.3,1,1.0,0.0,3,3,2,0,4,Matches
538,Martin Terrier,fr FRA,FWMF,Rennes,25-016,1997,21.5,511,652,78.4,8425,1827,274,315,87.0,157,211,74.4,59,83,71.1,0,2.4,-2.4,26,37,27,6,65,Matches
539,Sada Thioub,sn SEN,MF,Angers,26-292,1995,0.0,2,4,50.0,15,0,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
540,Sada Thioub,sn SEN,DF,Saint-Étienne,26-292,1995,6.7,281,362,77.6,4580,1635,146,168,86.9,106,128,82.8,23,48,47.9,1,0.9,+0.1,8,19,10,3,27,Matches
541,Romain Thomas,fr FRA,DF,Angers,33-281,1988,20.8,1149,1288,89.2,26768,9247,257,273,94.1,618,660,93.6,264,338,78.1,0,0.1,-0.1,2,63,0,0,66,Matches
542,Adrien Thomasson,fr FRA,MF,Strasbourg,28-100,1993,21.1,826,1066,77.5,14174,3474,401,477,84.1,325,385,84.4,81,140,57.9,4,3.3,+0.7,27,79,29,8,89,Matches
543,Thuler,br BRA,DF,Montpellier,23-010,1999,8.3,254,300,84.7,5310,1697,73,84,86.9,141,154,91.6,38,56,67.9,0,0.0,0.0,0,5,0,0,10,Matches
544,Khéphren Thuram-Ulie,fr FRA,MF,Nice,20-359,2001,14.9,682,785,86.9,12484,2622,273,300,91.0,303,332,91.3,89,114,78.1,2,2.2,-0.2,16,64,10,0,60,Matches
545,Cheikh Tidiane Sabaly,sn SEN,FWMF,Metz,23-016,1999,1.7,33,36,91.7,465,102,21,22,95.5,12,12,100.0,0,2,0.0,0,0.1,-0.1,2,1,1,0,3,Matches
546,Jean-Clair Todibo,fr FRA,DF,Nice,22-080,1999,24.7,1475,1668,88.4,32211,9547,365,396,92.2,869,909,95.6,236,345,68.4,0,0.7,-0.7,11,110,6,1,78,Matches
547,Karl Toko Ekambi,cm CMR,FW,Lyon,29-187,1992,18.3,559,705,79.3,8823,1832,296,339,87.3,207,254,81.5,39,68,57.4,3,2.8,+0.2,25,16,33,12,49,Matches
548,Yoann Touzghar,tn TUN,FW,Troyes,35-112,1986,12.6,187,239,78.2,2733,271,115,141,81.6,57,69,82.6,11,14,78.6,0,0.5,-0.5,10,4,4,0,7,Matches
549,Amadou Traore,fr FRA,FW,Bordeaux,20-013,2002,0.2,2,4,50.0,32,0,1,3,33.3,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
550,Boubacar Traoré,ml MLI,MF,Metz,20-212,2001,12.7,416,505,82.4,8777,1969,133,159,83.6,206,230,89.6,71,99,71.7,0,0.2,-0.2,7,32,8,0,44,Matches
551,Charles Traore,ml MLI,DF,Nantes,30-078,1992,8.0,337,419,80.4,6273,2601,143,159,89.9,149,180,82.8,41,68,60.3,0,0.0,0.0,0,27,3,0,32,Matches
552,Hamari Traoré,ml MLI,DF,Rennes,30-052,1992,22.3,1242,1488,83.5,24277,8344,435,489,89.0,637,724,88.0,159,241,66.0,6,3.4,+2.6,24,87,35,11,113,Matches
553,Ismaël Traoré,ci CIV,DF,Angers,35-214,1986,26.7,1238,1366,90.6,28369,8272,238,260,91.5,747,781,95.6,248,304,81.6,0,0.4,-0.4,6,32,1,1,41,Matches
554,Miguel Trauco,pe PER,DF,Saint-Étienne,29-207,1992,8.3,336,471,71.3,5852,2387,160,187,85.6,139,177,78.5,29,77,37.7,0,0.2,-0.2,6,19,10,4,29,Matches
555,Adrien Truffert,fr FRA,DF,Rennes,20-120,2001,10.7,546,668,81.7,9042,3184,275,307,89.6,231,273,84.6,33,61,54.1,1,1.5,-0.5,9,39,13,7,50,Matches
556,Matthieu Udol,fr FRA,DF,Metz,26-000,1996,11.2,380,492,77.2,7058,2788,164,183,89.6,168,196,85.7,46,92,50.0,0,0.4,-0.4,5,17,1,1,28,Matches
557,Ike Ugbo,ca CAN,FW,Troyes,23-180,1998,4.5,61,81,75.3,793,126,45,49,91.8,9,18,50.0,4,4,100.0,0,0.0,0.0,2,6,1,0,4,Matches
558,Chimuanya Ugochukwu,fr FRA,MF,Rennes,17-359,2004,4.1,180,202,89.1,3570,545,60,65,92.3,92,100,92.0,25,33,75.8,0,0.1,-0.1,2,8,1,0,8,Matches
559,Hwang Ui-jo,kr KOR,FW,Bordeaux,29-204,1992,20.6,253,304,83.2,3956,450,134,150,89.3,95,104,91.3,16,30,53.3,2,0.9,+1.1,8,6,8,2,15,Matches
560,Cengiz Ünder,tr TUR,FWMF,Marseille,24-249,1997,17.5,519,699,74.2,9113,2484,266,311,85.5,177,233,76.0,63,115,54.8,1,2.8,-1.8,23,23,35,8,65,Matches
561,Jere Uronen,fi FIN,DF,Brest,27-250,1994,7.6,289,354,81.6,5380,2001,128,142,90.1,123,144,85.4,34,56,60.7,0,0.1,-0.1,2,24,9,2,28,Matches
562,Vanderson,br BRA,DFMF,Monaco,20-272,2001,5.3,227,307,73.9,4310,1391,104,121,86.0,81,107,75.7,35,60,58.3,0,0.8,-0.8,5,25,10,3,23,Matches
563,Jonathan Varane,fr FRA,MF,Lens,20-192,2001,0.0,3,3,100.0,24,3,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
564,Marco Verratti,it ITA,MF,Paris S-G,29-135,1992,13.9,1300,1425,91.2,21525,5630,652,691,94.4,492,528,93.2,116,146,79.5,1,1.6,-0.6,17,120,30,1,108,Matches
565,Kevin Volland,de GER,FWMF,Monaco,29-233,1992,19.5,329,483,68.1,5964,1772,157,205,76.6,117,164,71.3,43,70,61.4,5,2.7,+2.3,21,45,20,2,49,Matches
566,Timothy Weah,us USA,MFFW,Lille,22-026,2000,11.8,255,357,71.4,3796,1005,156,186,83.9,79,115,68.7,15,28,53.6,3,2.7,+0.3,18,8,16,6,29,Matches
567,Georginio Wijnaldum,nl NED,MF,Paris S-G,31-129,1990,14.8,560,616,90.9,8479,1386,323,341,94.7,191,210,91.0,28,34,82.4,3,2.1,+0.9,9,36,11,0,27,Matches
568,Christopher Wooh,fr FRA,DF,Lens,20-183,2001,7.7,334,383,87.2,7243,1830,80,87,92.0,194,207,93.7,56,78,71.8,1,0.5,+0.5,4,17,1,0,11,Matches
569,Xeka,pt POR,MF,Lille,27-130,1994,16.4,628,791,79.4,12397,3121,243,277,87.7,278,320,86.9,94,160,58.8,0,1.4,-1.4,13,51,5,1,55,Matches
570,Sekou Yansané,gn GUI,FW,Paris S-G,18-326,2003,0.2,2,2,100.0,21,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
571,Yusuf Yazıcı,tr TUR,MFFW,Lille,25-050,1997,5.7,179,243,73.7,3795,1244,72,89,80.9,67,80,83.8,36,57,63.2,1,1.3,-0.3,10,17,7,0,19,Matches
572,Burak Yılmaz,tr TUR,FW,Lille,36-248,1985,19.0,317,449,70.6,4851,744,186,241,77.2,103,143,72.0,19,36,52.8,3,3.4,-0.4,21,13,14,5,18,Matches
573,Zaydou Youssouf,fr FRA,MF,Saint-Étienne,22-252,1999,14.1,524,624,84.0,10697,2151,226,249,90.8,173,199,86.9,108,147,73.5,0,0.5,-0.5,8,42,11,1,46,Matches
574,Akim Zedadka,fr FRA,DF,Clermont Foot,26-294,1995,28.9,1318,1644,80.2,21857,7794,690,783,88.1,498,618,80.6,105,181,58.0,3,2.1,+0.9,27,61,41,26,94,Matches
575,Arber Zeneli,xk KVX,FW,Reims,27-023,1995,1.1,28,34,82.4,446,219,17,19,89.5,6,8,75.0,5,7,71.4,3,1.6,+1.4,6,2,2,1,3,Matches
576,Mehdi Zerkane,dz ALG,MFDF,Bordeaux,22-248,1999,0.9,43,46,93.5,600,196,21,23,91.3,18,19,94.7,1,1,100.0,0,0.0,0.0,1,0,0,0,2,Matches
577,Edon Zhegrova,xk KVX,MF,Lille,22-354,1999,0.6,24,30,80.0,297,70,18,19,94.7,6,7,85.7,0,2,0.0,0,0.2,-0.2,1,0,2,1,2,Matches
