,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
364,Reinildo Mandava,mz MOZ,DF,Lille,28-058,1994,16.9,804,962,83.6,12915,4512,415,444,93.5,316,362,87.3,55,117,47.0,0,0.2,-0.2,4,47,4,1,50,Matches
365,Eliaquim Mangala,fr FRA,DF,Saint-Étienne,31-035,1991,5.5,252,272,92.6,5439,1197,51,52,98.1,163,171,95.3,35,44,79.5,0,0.0,0.0,0,6,1,0,7,Matches
366,Thomas Mangani,fr FRA,MF,Angers,34-325,1987,21.4,1019,1274,80.0,19966,5700,438,495,88.5,408,488,83.6,157,252,62.3,2,1.0,+1.0,20,97,10,3,105,Matches
367,Ricardo Mangas,pt POR,DF,Bordeaux,24-001,1998,18.3,615,779,78.9,11712,4712,242,284,85.2,290,349,83.1,72,116,62.1,1,0.2,+0.8,7,37,9,1,56,Matches
368,Myziane Maolida,fr FRA,MFFW,Nice,23-034,1999,0.4,4,7,57.1,43,0,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
369,Sekou Mara,fr FRA,FW,Bordeaux,19-233,2002,5.4,80,125,64.0,1207,268,48,64,75.0,22,36,61.1,7,15,46.7,0,0.1,-0.1,2,8,2,0,11,Matches
370,Marcelo,br BRA,DF,Bordeaux,34-304,1987,5.0,276,318,86.8,6391,1943,71,76,93.4,139,148,93.9,64,90,71.1,0,0.1,-0.1,1,13,0,0,14,Matches
371,Marcelo,br BRA,DF,Lyon,34-304,1987,2.0,149,165,90.3,3320,836,37,42,88.1,78,85,91.8,32,35,91.4,0,0.0,0.0,0,4,0,0,10,Matches
372,Guillermo Maripán,cl CHI,DF,Monaco,27-318,1994,18.2,1121,1240,90.4,25469,7596,243,263,92.4,654,683,95.8,214,273,78.4,0,0.5,-0.5,1,83,1,0,75,Matches
373,Marquinhos,br BRA,DF,Paris S-G,27-310,1994,23.0,1622,1738,93.3,35116,10165,436,452,96.5,882,914,96.5,289,354,81.6,0,0.3,-0.3,5,122,7,1,73,Matches
374,Jonas Martin,fr FRA,MF,Rennes,31-345,1990,17.7,1094,1223,89.5,20248,5253,472,513,92.0,472,511,92.4,132,165,80.0,1,1.3,-0.3,10,107,6,0,83,Matches
375,Gelson Martins,pt POR,FWMF,Monaco,26-313,1995,19.1,470,608,77.3,6868,1406,270,314,86.0,165,213,77.5,18,32,56.3,2,2.3,-0.3,20,19,14,4,35,Matches
