Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Unnamed: 0,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,29,14,1356,15.1,1,2,1,0,0,4,0,0.07,0.13,0.2,0.07,0.2,1.9,1.9,0.7,2.7,0.13,0.05,0.18,0.13,0.18,Matches,15.1,50,30,12,25,13,10,35,28.6,25,356,100,28.1,64,150,142,30,0,0,30,5,55,7,0,,,,,,,,,,,,,,,,232,320,72.5,4192,919,109,133,82.0,88,115,76.5,29,49,59.2,2,0.7,1.3,11,18,12,0,30,348,14230.76923076923,740000,7692.307692307692,400000,11857.26923076923,616578,6409.326923076923,333285,16110.98076923077,837771,8708.634615384615,452849,1-yr,740000,400000,616578,333285,837771,452849,Reserve,F,RW,23,Colombia,Spezia
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,35,3147,35.0,3,1,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,2.9,2.9,0.9,3.8,0.08,0.03,0.11,0.08,0.11,Matches,35.0,55,37,41,14,0,19,36,52.8,17,270,105,38.9,159,101,10,43,24,0,19,39,94,181,1,,,,,,,,,,,,,,,,2430,2658,91.4,49991,18054,825,862,95.7,1173,1227,95.6,404,535,75.5,1,0.9,0.1,4,137,0,0,136,352,4230.769230769231,220000,2307.692307692308,120000,3525.1346153846152,183307,1922.8076923076924,99986,4789.75,249067,2612.596153846154,135855,4-yrs,880000,480000,733227,399942,996268,543419,Starter,D,CB,25,Morocco,Rennes
32,Ruben Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,27,1993,33,27,2225,24.7,1,3,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,1.2,1.2,4.6,5.8,0.05,0.19,0.23,0.05,0.23,Matches,24.7,84,48,39,29,16,33,58,56.9,25,413,147,35.6,149,168,96,38,2,0,36,37,121,54,1,,,,,,,,,,,,,,,,1317,1599,82.4,22448,6842,627,682,91.9,532,636,83.6,121,214,56.5,3,4.6,-1.6,44,77,37,17,94,109,23461.53846153846,1220000,20384.615384615383,1060000,19548.46153846154,1016520,16984.73076923077,883206,26561.32692307692,1381189,23077.884615384617,1200050,3-yrs,3660000,3180000,3049559,2649617,4143568,3600149,Starter,D,RB,28,France,Monaco
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,6,3,252,2.8,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,0.12,0.02,0.13,0.12,0.13,Matches,2.8,2,1,1,1,0,2,3,66.7,1,41,12,29.3,15,25,1,5,0,0,5,4,6,1,0,,,,,,,,,,,,,,,,108,120,90.0,1889,330,47,52,90.4,48,50,96.0,10,13,76.9,0,0.0,0.0,1,12,0,0,7,506,384.61538461538464,20000,192.30769230769232,10000,320.46153846153845,16664,160.23076923076923,8332,435.4230769230769,22642,217.71153846153845,11321,4-yrs,80000,40000,66657,33329,90570,45285,Reserve,M,DM,19,France,Stuttgart
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,27,26,2146,23.8,2,2,2,0,0,9,0,0.08,0.08,0.17,0.08,0.17,2.3,2.0,1.2,3.1,0.1,0.05,0.15,0.08,0.13,Matches,23.8,55,35,19,34,2,10,41,24.4,31,397,122,30.7,121,231,45,26,5,0,21,54,109,41,1,,,,,,,,,,,,,,,,706,839,84.1,12961,2838,309,352,87.8,286,328,87.2,93,128,72.7,2,1.2,0.8,7,67,7,0,55,137,17884.615384615383,930000,9807.692307692309,510000,14901.692307692309,774888,8171.903846153846,424939,20247.57692307692,1052874,11103.5,577382,1-yr,930000,510000,774888,424939,1052874,577382,Reserve,M,DM,27,Cote d&#39;Ivoire,Strasbourg
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,2,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.26,0.0,0.26,0.26,0.26,Matches,23.8,55,35,19,34,2,10,41,24.4,31,397,122,30.7,121,231,45,26,5,0,21,54,109,41,1,,,,,,,,,,,,,,,,706,839,84.1,12961,2838,309,352,87.8,286,328,87.2,93,128,72.7,2,1.2,0.8,7,67,7,0,55,137,17884.615384615383,930000,9807.692307692309,510000,14901.692307692309,774888,8171.903846153846,424939,20247.57692307692,1052874,11103.5,577382,1-yr,930000,510000,774888,424939,1052874,577382,Reserve,M,DM,27,Cote d&#39;Ivoire,Strasbourg
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,25,14,1289,14.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.4,0.06,0.04,0.1,0.06,0.1,Matches,14.3,28,17,22,5,1,11,21,52.4,10,171,55,32.2,109,61,1,20,4,0,16,16,44,111,2,,,,,,,,,,,,,,,,518,627,82.6,11583,3515,118,130,90.8,300,335,89.6,97,146,66.4,0,0.6,-0.6,2,36,2,0,39,161,37500.0,1950000,18076.92307692308,940000,31245.48076923077,1624765,15061.923076923076,783220,42454.57692307692,2207638,20465.28846153846,1064195,3-yrs,5850000,2820000,4874296,2349661,6622915,3192585,Starter,D,CB,26,Ghana,Celta Vigo
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,31,31,2664,29.6,2,1,2,0,0,3,0,0.07,0.03,0.1,0.07,0.1,1.0,1.0,1.4,2.3,0.03,0.05,0.08,0.03,0.08,Matches,29.6,47,25,27,14,6,17,41,41.5,24,261,65,24.9,143,96,22,47,8,0,39,53,100,121,0,,,,,,,,,,,,,,,,1329,1711,77.7,25538,10322,526,584,90.1,617,717,86.1,170,354,48.0,1,1.4,-0.4,14,98,15,9,98,192,35576.92307692308,1850000,19230.76923076923,1000000,29643.153846153848,1541444,16023.326923076924,833213,40277.42307692308,2094426,21771.57692307692,1132122,2-yrs,3700000,2000000,3082888,1666426,4188853,2264245,Reserve,D,RB,25,Nigeria,Torino
42,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,35,34,2967,33.0,16,4,12,4,5,5,0,0.49,0.12,0.61,0.36,0.49,16.5,12.7,3.7,16.4,0.5,0.11,0.61,0.39,0.5,Matches,33.0,33,16,3,20,10,3,29,10.3,26,396,96,24.2,31,186,179,17,7,0,10,12,45,47,0,,,,,,,,,,,,,,,,645,907,71.1,10718,1987,353,455,77.6,204,290,70.3,63,97,64.9,4,3.7,0.3,34,48,22,7,60,236,9423.076923076924,490000,5192.307692307692,270000,7851.423076923077,408274,4326.307692307692,224968,10668.076923076924,554740,5878.326923076923,305673,3-yrs,1470000,810000,1224823,674903,1664220,917019,Starter,F,CF,27,France,Strasbourg
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,28,26,2350,26.1,2,0,2,0,0,4,0,0.08,0.0,0.08,0.08,0.08,1.8,1.8,0.1,1.9,0.07,0.0,0.07,0.07,0.07,Matches,26.1,46,30,28,13,5,16,32,50.0,16,264,99,37.5,136,108,20,38,11,0,27,38,84,106,1,,,,,,,,,,,,,,,,1949,2097,92.9,41126,12696,592,623,95.0,1029,1068,96.3,315,374,84.2,0,0.1,-0.1,2,150,4,0,128,79,48076.92307692308,2500000,25576.92307692308,1330000,40058.307692307695,2083032,21311.01923076923,1108173,54428.96153846154,2830306,28956.21153846154,1505723,2-yrs,5000000,2660000,4166065,2216347,5660612,3011445,Starter,D,CB,26,Switzerland,Borussia Dortmund
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,13,10,865,9.6,1,0,1,0,0,3,1,0.1,0.0,0.1,0.1,0.1,0.4,0.4,0.3,0.6,0.04,0.03,0.07,0.04,0.07,Matches,9.6,28,13,22,6,0,15,25,60.0,10,110,31,28.2,69,36,5,30,4,0,26,13,41,40,2,,,,,,,,,,,,,,,,233,349,66.8,4349,1848,98,115,85.2,101,148,68.2,29,74,39.2,0,0.3,-0.3,2,10,5,3,13,391,8653.846153846154,450000,4230.769230769231,220000,7210.5,374946,3525.1346153846152,183307,9797.21153846154,509455,4789.75,249067,1-yr,450000,220000,374946,183307,509455,249067,Reserve,D,RB,28,Equatorial Guinea,Cadiz
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,10,9,797,8.9,1,0,1,0,0,4,0,0.11,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.01,0.0,0.02,0.01,0.02,Matches,8.9,15,6,7,6,2,4,5,80.0,1,73,25,34.2,35,30,8,6,2,0,4,6,21,26,0,,,,,,,,,,,,,,,,702,755,93.0,12873,3534,289,299,96.7,349,372,93.8,60,73,82.2,0,0.0,0.0,1,60,2,0,36,96,110785.23076923077,5760832,60931.88461538462,3168458,92307.69230769233,4800000,50769.230769230766,2640000,125422.42307692308,6521966,68982.34615384616,3587082,4-yrs,23043329,12673831,19200000,10560000,26087866,14348326,Reserve,D,CB,26,Netherlands,Manchester City
47,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,10,4,378,4.2,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.08,0.08,0.0,0.08,Matches,4.2,12,8,3,9,0,2,5,40.0,3,75,20,26.7,18,52,5,6,1,0,5,6,18,8,0,,,,,,,,,,,,,,,,168,183,91.8,3248,590,59,64,92.2,83,86,96.5,22,28,78.6,0,0.4,-0.4,2,14,1,1,6,368,9807.692307692309,510000,4615.384615384615,240000,8171.903846153846,424939,3845.596153846154,199971,11103.5,577382,5225.173076923077,271709,3-yrs,1530000,720000,1274816,599913,1732147,815128,Reserve,M,DM,24,Cote d&#39;Ivoire,Real Betis
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,16,14,1184,13.2,1,0,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,0.1,0.1,0.4,0.4,0.0,0.03,0.03,0.0,0.03,Matches,13.2,24,12,15,8,1,9,13,69.2,4,178,64,36.0,80,83,15,39,16,2,23,10,34,44,1,,,,,,,,,,,,,,,,606,737,82.2,12535,4237,188,213,88.3,320,349,91.7,91,156,58.3,0,0.4,-0.4,2,33,2,0,46,219,16730.76923076923,870000,8846.153846153846,460000,13940.28846153846,724895,7370.7307692307695,383278,18941.26923076923,984946,10014.923076923076,520776,3-yrs,2610000,1380000,2174686,1149834,2954839,1562329,Reserve,D,CB,26,Nigeria,Hoffenheim
50,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,32,30,2675,29.7,2,4,2,0,0,4,0,0.07,0.13,0.2,0.07,0.2,1.3,1.3,2.3,3.6,0.04,0.08,0.12,0.04,0.12,Matches,29.7,41,30,13,25,3,12,37,32.4,25,346,131,37.9,120,176,50,47,15,0,32,36,77,94,2,,,,,,,,,,,,,,,,1916,2251,85.1,39628,12716,625,685,91.2,994,1097,90.6,282,420,67.1,4,2.3,1.7,25,232,37,4,189,3,432692.3076923077,22500000,207692.3076923077,10800000,360524.8461538461,18747292,173051.92307692306,8998700,489860.6153846154,25472752,235133.09615384616,12226921,5-yrs,112500000,54000000,93736459,44993500,127363759,61134604,Starter,D,CB,29,Austria,Real Madrid
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,22,17,1505,16.7,0,2,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,1.2,1.3,0.01,0.07,0.08,0.01,0.08,Matches,16.7,62,32,36,15,11,31,47,66.0,16,262,87,33.2,150,73,39,35,2,0,33,34,96,46,0,,,,,,,,,,,,,,,,726,912,79.6,12649,5072,343,382,89.8,302,359,84.1,67,127,52.8,2,1.2,0.8,5,62,11,1,65,251,8653.846153846154,450000,4807.692307692308,250000,7210.5,374946,4005.826923076923,208303,9797.21153846154,509455,5442.903846153846,283031,4-yrs,1800000,1000000,1499783,833213,2037820,1132122,Reserve,D,RB,23,Morocco,Metz
53,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,25,12,1245,13.8,11,2,9,2,2,2,0,0.8,0.14,0.94,0.65,0.8,6.5,5.0,0.7,5.7,0.47,0.05,0.52,0.36,0.41,Matches,13.8,8,6,3,3,2,1,4,25.0,3,152,50,32.9,5,46,101,9,2,0,7,3,11,9,0,,,,,,,,,,,,,,,,239,315,75.9,3394,332,142,177,80.2,71,92,77.2,15,20,75.0,2,0.7,1.3,12,12,4,0,10,58,56923.07692307692,2960000,30192.30769230769,1570000,47429.03846153846,2466310,25156.615384615383,1308144,64443.88461538462,3351082,34181.38461538462,1777432,3-yrs,8880000,4710000,7398931,3924433,10053246,5332296,Reserve,F,CF,29,Argentina,Bayer Leverkusen
54,Jordi Alba,es ESP,DF,Barcelona,es La Liga,31,1989,35,34,3025,33.6,3,5,3,0,0,9,0,0.09,0.15,0.24,0.09,0.24,2.4,2.4,7.4,9.8,0.07,0.22,0.29,0.07,0.29,Matches,33.6,49,24,25,16,8,26,64,40.6,38,346,97,28.0,124,156,66,64,4,0,60,43,92,46,0,,,,,,,,,,,,,,,,2507,2933,85.5,39805,12496,1391,1508,92.2,909,1051,86.5,170,267,63.7,5,7.4,-2.4,51,125,83,19,211,7,400576.9230769231,20830000,192307.6923076923,10000000,333765.8846153846,17355826,160233.26923076922,8332130,453502.07692307694,23582108,217715.8269230769,11321223,3-yrs,62490000,30000000,52067478,24996389,70746323,33963669,Starter,D,LB,32,Spain,Barcelona
55,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,34,33,2618,29.1,9,2,9,0,0,5,0,0.31,0.07,0.38,0.31,0.38,5.5,5.3,8.2,13.5,0.19,0.28,0.47,0.18,0.46,Matches,29.1,43,32,17,18,8,14,66,21.2,52,537,155,28.9,131,275,131,38,2,0,36,21,64,12,0,,,,,,,,,,,,,,,,1520,1941,78.3,28479,11069,640,728,87.9,617,741,83.3,230,401,57.4,2,8.2,-6.2,82,262,90,9,290,50,89038.46153846153,4630000,48076.92307692308,2500000,74188.0,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,4-yrs,18520000,10000000,15431104,8332130,20966905,11321223,Starter,M,CM,29,Spain,Lazio
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,35,35,3115,34.6,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,1.6,0.02,0.03,0.05,0.02,0.05,Matches,34.6,29,21,22,7,0,12,24,50.0,12,200,79,39.5,107,85,8,47,24,1,23,23,52,170,1,,,,,,,,,,,,,,,,1795,2007,89.4,42528,12143,384,416,92.3,953,1015,93.9,450,554,81.2,0,1.0,-1.0,4,98,5,0,111,107,57884.61538461538,3010000,27692.30769230769,1440000,48230.21153846154,2507971,23073.596153846152,1199827,65532.46153846154,3407688,31351.07692307692,1630256,2-yrs,6020000,2880000,5015942,2399653,6815376,3260512,Starter,D,CB,36,Spain,Villarreal
57,Marc Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,31,17,1746,19.4,1,5,1,0,0,2,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,4.4,5.7,0.07,0.23,0.29,0.07,0.29,Matches,19.4,43,31,16,18,9,20,55,36.4,35,340,129,37.9,111,144,85,32,2,1,30,28,71,26,0,,,,,,,,,,,,,,,,635,923,68.8,11394,4629,319,383,83.3,211,263,80.2,84,199,42.2,5,4.4,0.6,39,51,42,16,87,238,54007.807692307695,2808406,29773.53846153846,1548224,45000.0,2340000,24807.69230769231,1290000,61143.44230769231,3179459,33707.269230769234,1752778,3-yrs,8425217,4644671,7020000,3870000,9538376,5258335,Starter,M,RM,32,England,Leicester
58,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,27,19,1544,17.2,6,4,5,1,2,0,0,0.35,0.23,0.58,0.29,0.52,8.3,6.7,3.2,9.9,0.48,0.19,0.67,0.39,0.58,Matches,17.2,5,4,1,2,2,1,9,11.1,8,167,46,27.5,8,76,83,11,0,0,11,7,12,5,0,,,,,,,,,,,,,,,,202,275,73.5,2844,482,128,161,79.5,39,59,66.1,18,24,75.0,4,3.2,0.8,17,5,7,1,9,45,132884.61538461538,6910000,63846.15384615384,3320000,110721.19230769233,5757502,53197.44230769231,2766267,150441.63461538462,7822965,72281.65384615384,3758646,4-yrs,27640000,13280000,23030006,11065068,31291860,15034584,Starter,F,CF,28,Spain,Villarreal
