Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Unnamed: 0,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,33,2889,32.1,3,0,3,0,0,4,1,0.09,0.0,0.09,0.09,0.09,1.7,1.7,0.3,1.9,0.05,0.01,0.06,0.05,0.06,Matches,32.1,71,45,51,20,0,15,37,40.5,22,379,146,38.5,252,110,17,51,20,2,31,56,127,170,0,,,,,,,,,,,,,,,,1506,1715,87.8,33695,11616,336,377,89.1,893,951,93.9,267,366,73.0,0,0.3,-0.3,4,81,1,0,91,238,9230.76923076923,480000,5000.0,260000,7691.192307692308,399942,4166.057692307692,216635,10450.365384615385,543419,5660.615384615385,294352,1-yr,480000,260000,399942,216635,543419,294352,Starter,D,CB,34,Morocco,Reims
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,32,2963,32.9,3,1,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,1.3,1.3,1.4,2.7,0.04,0.04,0.08,0.04,0.08,Matches,32.9,160,108,65,79,16,53,179,29.6,126,958,269,28.1,323,539,96,51,6,1,45,46,206,13,0,,,,,,,,,,,,,,,,1330,1592,83.5,25834,6519,530,603,87.9,575,639,90.0,200,289,69.2,1,1.4,-0.4,21,113,17,4,111,343,4615.384615384615,240000,2500.0,130000,3845.596153846154,199971,2083.038461538461,108318,5225.173076923077,271709,2830.3076923076924,147176,4-yrs,960000,520000,799884,433271,1086837,588704,Reserve,M,DM,29,France,Lorient
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,22,12,1040,11.6,6,1,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,7.3,0.56,0.07,0.63,0.56,0.63,Matches,11.6,8,4,3,4,1,1,6,16.7,5,162,38,23.5,13,71,78,9,2,0,7,2,10,17,0,,,,,,,,,,,,,,,,149,218,68.3,2057,327,92,118,78.0,39,64,60.9,9,15,60.0,1,0.9,0.1,8,12,2,0,11,33,110961.53846153848,5770000,86538.46153846153,4500000,92454.59615384616,4807639,72104.96153846153,3749458,125622.03846153848,6532346,97972.1153846154,5094550,5-yrs,28850000,22500000,24038194,18747292,32661728,25472752,Starter,F,CF,24,England,Roma
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,32,32,2813,31.3,0,1,0,0,0,9,1,0.0,0.03,0.03,0.0,0.03,1.0,1.0,1.0,1.9,0.03,0.03,0.06,0.03,0.06,Matches,31.3,55,38,36,16,3,11,37,29.7,26,350,146,41.7,201,119,30,51,19,0,32,62,117,155,1,,,,,,,,,,,,,,,,1804,2035,88.6,38629,10443,558,605,92.2,867,918,94.4,344,456,75.4,1,1.0,0.0,12,115,20,9,99,49,89038.46153846153,4630000,48076.92307692308,2500000,74188.0,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,4-yrs,18520000,10000000,15431104,8332130,20966905,11321223,Reserve,D,CB,33,Italy,Lazio
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,7,0,100,1.1,1,0,1,0,0,1,0,0.9,0.0,0.9,0.9,0.9,0.3,0.3,0.0,0.3,0.24,0.0,0.24,0.24,0.24,Matches,1.1,1,0,0,0,1,0,3,0.0,3,29,5,17.2,1,18,10,2,0,0,2,0,1,1,0,,,,,,,,,,,,,,,,19,35,54.3,228,29,13,21,61.9,5,9,55.6,0,0,,0,0.0,0.0,0,1,0,0,1,347,6730.769230769231,350000,3653.846153846154,190000,5608.173076923077,291625,3044.423076923077,158310,7620.057692307692,396243,4136.596153846154,215103,4-yrs,1400000,760000,1166498,633242,1584971,860413,Reserve,F,CF,23,Germany,Eintracht Frankfurt
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,30,26,2330,25.9,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.1,1.1,2.8,4.0,0.04,0.11,0.15,0.04,0.15,Matches,25.9,72,47,39,23,10,23,39,59.0,16,345,117,33.9,153,132,60,39,3,0,36,25,97,34,0,,,,,,,,,,,,,,,,1426,1771,80.5,28082,11413,558,612,91.2,656,750,87.5,196,359,54.6,2,2.8,-0.8,33,110,36,18,122,117,54615.38461538462,2840000,26153.846153846152,1360000,45506.25,2366325,21791.73076923077,1133170,61831.28846153846,3215227,29609.346153846152,1539686,3-yrs,8520000,4080000,7098975,3399509,9645682,4619059,Starter,D,LB,30,Argentina,Sevilla
19,Tyler Adams,us USA,DFMF,RB Leipzig,de Bundesliga,21,1999,27,21,1850,20.6,1,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,0.9,0.9,0.9,1.8,0.04,0.04,0.09,0.04,0.09,Matches,20.6,52,31,19,26,7,15,36,41.7,21,362,118,32.6,94,202,66,37,6,0,31,31,83,40,0,,,,,,,,,,,,,,,,1184,1375,86.1,19562,5363,587,648,90.6,488,542,90.0,88,140,62.9,1,0.9,0.1,13,85,19,2,90,193,19230.76923076923,1000000,10192.307692307691,530000,16023.326923076924,833213,8492.365384615385,441603,21771.57692307692,1132122,11538.942307692309,600025,4-yrs,4000000,2120000,3332852,1766411,4528489,2400099,Reserve,M,DM,22,United States,Leipzig
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,35,25,2418,26.9,2,5,2,0,0,6,0,0.07,0.19,0.26,0.07,0.26,1.4,1.4,4.7,6.1,0.05,0.18,0.23,0.05,0.23,Matches,26.9,91,62,39,40,12,28,86,32.6,58,695,186,26.8,210,358,127,36,4,0,32,41,132,24,2,,,,,,,,,,,,,,,,1346,1629,82.6,27385,6812,507,569,89.1,561,646,86.8,245,347,70.6,5,4.7,0.3,53,148,24,4,142,159,15961.53846153846,830000,8846.153846153846,460000,13299.365384615385,691567,7370.7307692307695,383278,18070.42307692308,939662,10014.923076923076,520776,1-yr,830000,460000,691567,383278,939662,520776,Starter,F,AM,21,France,Bordeaux
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,9.0,3.0,19.0,10.0,52.6,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,,76,99,76.8,2031,1135,16,16,100.0,37,38,97.4,21,43,48.8,0,0.0,0.0,0,0,0,0,0,178,69702.38461538461,3624524,38313.230769230766,1992288,58076.92307692308,3020000,31923.07692307692,1660000,78911.61538461539,4103404,43375.25,2255513,1-yr,3624524,1992288,3020000,1660000,4103404,2255513,Reserve,K,GK,35,Spain,Liverpool
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,12,9,800,8.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Matches,8.9,14,11,9,5,0,2,13,15.4,11,151,43,28.5,51,86,14,18,4,0,14,20,34,14,1,,,,,,,,,,,,,,,,443,494,89.7,8945,1965,159,170,93.5,201,219,91.8,74,92,80.4,0,0.1,-0.1,2,39,4,0,36,248,8653.846153846154,450000,4807.692307692308,250000,7210.5,374946,4005.826923076923,208303,9797.21153846154,509455,5442.903846153846,283031,1-yr,450000,250000,374946,208303,509455,283031,Reserve,M,DM,19,France,Brest
