Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Unnamed: 0,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
2181,Mário Rui,pt POR,DF,Napoli,it Serie A,28,1991,24,22,1966,21.8,0,2,0,0,0,8,0,0.0,0.09,0.09,0.0,0.09,1.2,1.2,3.3,4.5,0.05,0.15,0.2,0.05,0.2,Matches,21.8,37,25,17,13,7,12,27,44.4,15,229,81,35.4,90,85,54,43,6,1,37,13,50,46,0,,,,,,,,,,,,,,,,1652,1994,82.8,28137,9723,825,886,93.1,662,758,87.3,138,268,51.5,2,3.3,-1.3,34,114,47,17,135,69,74807.69230769231,3890000,40384.61538461538,2100000,62330.730769230766,3241198,33648.980769230766,1749747,84691.46153846153,4403956,45720.32692307692,2377457,4-yrs,15560000,8400000,12964794,6998989,17615823,9509827,Starter,D,LB,30,Portugal,Napoli
2182,Aitor Ruibal,es ESP,DFFW,Leganés,es La Liga,23,1996,25,13,1220,13.6,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,1.6,0.05,0.06,0.12,0.05,0.12,Matches,13.6,30,18,16,13,1,13,42,31.0,29,284,79,27.8,94,115,75,18,2,0,16,11,41,15,0,,,,,,,,,,,,,,,,306,414,73.9,4825,1624,163,191,85.3,112,142,78.9,20,54,37.0,0,0.8,-0.8,11,24,9,3,37,398,8461.538461538461,440000,4038.4615384615386,210000,7050.269230769231,366614,3364.903846153846,174975,9579.5,498134,4572.038461538462,237746,4-yrs,1760000,840000,1466455,699899,1992535,950983,Reserve,F,RW,25,Spain,Real Betis
2184,Gerónimo Rulli,ar ARG,GK,Montpellier,fr Ligue 1,27,1992,25,25,2250,25.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.01,0.01,0.0,0.01,Matches,25.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,1,0,0,1,0,0,2,0,27.0,1.08,112.0,89.0,78.6,11.0,7.0,7.0,8.0,32.0,5.0,3.0,1.0,1.0,25.0,673,883,76.2,22650,14950,88,88,100.0,264,269,98.1,321,525,61.1,0,0.2,-0.2,2,8,1,0,1,113,55769.230769230766,2900000,26730.76923076923,1390000,46467.65384615384,2416318,22272.42307692308,1158166,63137.59615384616,3283155,30262.5,1573650,3-yrs,8700000,4170000,7248953,3474498,9849464,4720950,Starter,K,GK,29,Argentina,Villarreal
2185,Lukas Rupp,de GER,MFFW,Hoffenheim,de Bundesliga,28,1991,7,4,340,3.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.08,0.02,0.1,0.08,0.1,Matches,3.8,11,3,3,7,1,5,7,71.4,2,74,18,24.3,24,37,13,8,1,0,7,5,16,2,0,,,,,,,,,,,,,,,,135,155,87.1,2127,462,75,85,88.2,52,57,91.2,5,7,71.4,0,0.1,-0.1,1,17,2,0,13,355,27003.903846153848,1404203,14771.365384615385,768111,22500.0,1170000,12307.692307692309,640000,30571.71153846154,1589729,16723.0,869596,1-yr,1404203,768111,1170000,640000,1589729,869596,Reserve,M,CM,31,Germany,Norwich
2186,Lukas Rupp,de GER,FWMF,Norwich City,eng Premier League,28,1991,12,8,695,7.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,0.04,0.1,0.14,0.04,0.14,Matches,3.8,11,3,3,7,1,5,7,71.4,2,74,18,24.3,24,37,13,8,1,0,7,5,16,2,0,,,,,,,,,,,,,,,,135,155,87.1,2127,462,75,85,88.2,52,57,91.2,5,7,71.4,0,0.1,-0.1,1,17,2,0,13,355,27003.903846153848,1404203,14771.365384615385,768111,22500.0,1170000,12307.692307692309,640000,30571.71153846154,1589729,16723.0,869596,1-yr,1404203,768111,1170000,640000,1589729,869596,Reserve,M,CM,31,Germany,Norwich
2187,Mathew Ryan,au AUS,GK,Brighton,eng Premier League,27,1992,38,38,3420,38.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,38.0,0,0,0,0,0,0,5,0.0,5,10,4,40.0,10,0,0,0,0,0,0,0,0,2,4,54.0,1.42,164.0,114.0,68.3,9.0,14.0,15.0,9.0,23.7,2.0,2.0,0.0,0.0,0.0,1173,1462,80.2,34327,19316,209,211,99.1,537,541,99.3,426,707,60.3,0,0.0,0.0,0,9,0,0,0,377,9615.384615384615,500000,4615.384615384615,240000,8011.653846153846,416606,3845.596153846154,199971,10885.78846153846,566061,5225.173076923077,271709,2-yrs,1000000,480000,833213,399942,1132122,543419,Reserve,K,GK,29,Australia,Real Sociedad
2188,Julian Ryerson,no NOR,DFFW,Union Berlin,de Bundesliga,21,1997,14,3,368,4.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.7,0.16,0.02,0.18,0.16,0.18,Matches,4.1,8,5,2,2,4,4,9,44.4,5,64,22,34.4,22,22,20,9,3,0,6,5,13,7,0,,,,,,,,,,,,,,,,123,179,68.7,2025,976,65,78,83.3,48,63,76.2,9,25,36.0,0,0.1,-0.1,1,5,3,2,10,286,10384.615384615385,540000,5576.923076923077,290000,8652.596153846154,449935,4646.769230769231,241632,11756.653846153846,611346,6313.75,328315,2-yrs,1080000,580000,899870,483264,1222692,656631,Reserve,D,RB,24,Norway,Union Berlin
2191,Roli Pereira de Sa,fr FRA,MF,Nantes,fr Ligue 1,22,1996,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.32,1.65,1.97,0.32,1.97,Matches,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,11,12,91.7,200,62,6,6,100.0,4,5,80.0,1,1,100.0,0,0.1,-0.1,2,1,0,0,0,460,1153.8461538461538,60000,576.9230769230769,30000,961.4038461538462,49993,480.6923076923077,24996,1306.2884615384614,67927,653.1538461538462,33964,1-yr,60000,30000,49993,24996,67927,33964,Reserve,F,AM,25,France,Nantes
2192,Youssouf Sabaly,sn SEN,DF,Bordeaux,fr Ligue 1,26,1993,12,10,913,10.1,0,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,0.3,0.3,1.3,1.6,0.03,0.13,0.16,0.03,0.16,Matches,10.1,24,19,13,5,6,7,20,35.0,13,144,49,34.0,59,60,25,16,2,0,14,9,33,33,0,,,,,,,,,,,,,,,,488,597,81.7,8028,2863,236,268,88.1,204,240,85.0,37,62,59.7,1,1.3,-0.3,12,35,11,6,50,307,14423.076923076924,750000,6923.076923076923,360000,12017.5,624910,5768.403846153846,299957,16328.692307692309,849092,7837.7692307692305,407564,5-yrs,3750000,1800000,3124549,1499783,4245459,2037820,Reserve,D,RB,28,Senegal,Real Betis
2194,Abdelhamid Sabiri,de GER,MF,Paderborn 07,de Bundesliga,22,1996,24,9,1048,11.6,4,1,3,1,1,6,0,0.34,0.09,0.43,0.26,0.34,2.7,1.9,0.4,2.3,0.23,0.03,0.26,0.17,0.2,Matches,11.6,22,17,8,13,1,7,23,30.4,16,202,58,28.7,58,106,38,16,4,0,12,8,30,19,0,,,,,,,,,,,,,,,,351,441,79.6,7223,1933,153,176,86.9,119,139,85.6,67,101,66.3,1,0.4,0.6,7,40,3,0,36,448,2115.3846153846152,110000,1153.8461538461538,60000,1762.5576923076924,91653,961.4038461538462,49993,2394.8653846153848,124533,1306.2884615384614,67927,1-yr,110000,60000,91653,49993,124533,67927,Reserve,F,AM,25,Germany,Sampdoria
2195,Marcel Sabitzer,at AUT,MFFW,RB Leipzig,de Bundesliga,25,1994,32,30,2499,27.8,9,7,9,0,0,4,0,0.32,0.25,0.58,0.32,0.58,7.0,7.0,4.7,11.7,0.25,0.17,0.42,0.25,0.42,Matches,27.8,38,29,13,18,7,17,59,28.8,42,485,179,36.9,107,271,107,34,5,0,29,14,52,29,0,,,,,,,,,,,,,,,,1163,1532,75.9,20425,7057,572,677,84.5,407,510,79.8,145,245,59.2,7,4.7,2.3,56,115,57,11,173,6,240384.61538461532,12500000,127500.0,6630000,200291.5769230769,10415162,106234.65384615384,5524202,272144.78846153844,14151529,144345.59615384616,7505971,4-yrs,50000000,26520000,41660648,22096808,56606115,30023883,Reserve,M,CM,27,Austria,Bayern Munich
2196,Ihsan Sacko,fr FRA,FWDF,Nice,fr Ligue 1,22,1997,3,2,145,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.17,0.17,0.0,0.17,Matches,1.6,1,1,1,0,0,0,0,,0,25,7,28.0,6,11,8,2,0,0,2,0,1,0,0,,,,,,,,,,,,,,,,32,43,74.4,606,137,11,16,68.8,20,26,76.9,1,1,100.0,0,0.3,-0.3,3,1,3,0,6,416,2500.0,130000,1346.1538461538462,70000,2083.038461538461,108318,1121.6346153846157,58325,2830.3076923076924,147176,1524.0192307692307,79249,1-yr,130000,70000,108318,58325,147176,79249,Reserve,F,AM,24,France,Nice
2197,Alexis Saelemaekers,be BEL,FWDF,Milan,it Serie A,20,1999,13,6,684,7.6,1,0,1,0,0,4,1,0.13,0.0,0.13,0.13,0.13,0.8,0.8,0.9,1.7,0.1,0.12,0.23,0.1,0.23,Matches,7.6,14,6,4,7,3,7,21,33.3,14,127,34,26.8,36,59,32,12,0,0,12,9,23,2,0,,,,,,,,,,,,,,,,279,340,82.1,4147,952,152,171,88.9,102,121,84.3,14,27,51.9,0,0.9,-0.9,9,15,10,4,23,266,24615.384615384617,1280000,19230.76923076923,1000000,20509.865384615383,1066513,16023.326923076924,833213,27867.634615384617,1449117,21771.57692307692,1132122,5-yrs,6400000,5000000,5332563,4166065,7245583,5660612,Reserve,F,RW,22,Belgium,AC Milan
2200,Wesley Saïd,fr FRA,MFFW,Toulouse,fr Ligue 1,24,1995,23,14,1160,12.9,2,1,2,0,0,2,0,0.16,0.08,0.23,0.16,0.23,2.4,2.4,1.3,3.7,0.19,0.1,0.29,0.19,0.29,Matches,12.9,15,12,10,4,1,2,14,14.3,12,208,47,22.6,66,90,52,15,0,0,15,5,20,10,0,,,,,,,,,,,,,,,,331,403,82.1,5315,1578,183,203,90.1,106,127,83.5,33,53,62.3,1,1.3,-0.3,11,31,14,3,39,257,8269.23076923077,430000,4615.384615384615,240000,6890.038461538462,358282,3845.596153846154,199971,9361.78846153846,486813,5225.173076923077,271709,3-yrs,1290000,720000,1074845,599913,1460438,815128,Starter,F,LW,26,France,Lens
