Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
320,Dwight McNeil,eng ENG,MF,Burnley,22-118,1999,26.0,53,26,20,28,5,17,62,27.4,45,522,133,25.5,184,220,118,64,10,2,54,54,107,15,0,Matches
321,Scott McTominay,sct SCO,MF,Manchester Utd,25-102,1996,20.9,61,30,34,22,5,30,61,49.2,31,380,106,27.9,139,200,41,41,9,0,32,37,98,51,0,Matches
322,Ben Mee,eng ENG,DF,Burnley,32-178,1989,20.4,27,16,15,9,3,11,22,50.0,11,109,39,35.8,61,42,6,39,25,1,14,34,61,124,0,Matches
323,Benjamin Mendy,fr FRA,DF,Manchester City,27-246,1994,0.9,3,1,1,1,1,2,4,50.0,2,12,2,16.7,3,8,1,0,0,0,0,0,3,3,0,Matches
324,Edouard Mendy,sn SEN,GK,Chelsea,30-019,1992,24.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,0,0,0,3,Matches
325,Nampalys Mendy,sn SEN,MF,Leicester City,29-270,1992,0.8,2,0,2,0,0,1,2,50.0,1,7,3,42.9,4,2,1,2,2,0,0,2,4,1,0,Matches
326,Illan Meslier,fr FRA,GK,Leeds United,22-018,2000,29.6,0,0,0,0,0,0,0,,0,5,2,40.0,5,0,0,0,0,0,0,0,0,2,1,Matches
327,Luka Milivojević,rs SRB,MF,Crystal Palace,30-347,1991,7.2,16,8,8,6,2,10,17,58.8,7,109,36,33.0,46,50,13,7,1,0,6,7,23,17,0,Matches
328,James Milner,eng ENG,MFDF,Liverpool,36-075,1986,7.1,27,17,12,12,3,13,32,40.6,19,127,54,42.5,29,73,25,13,4,0,9,19,46,20,0,Matches
329,Yerry Mina,co COL,DF,Everton,27-178,1994,7.2,14,9,14,0,0,7,12,58.3,5,59,23,39.0,41,15,3,14,7,0,7,5,19,36,0,Matches
330,Takumi Minamino,jp JPN,FWMF,Liverpool,27-063,1995,1.1,2,2,1,1,0,1,6,16.7,5,40,18,45.0,3,23,14,1,0,0,1,0,2,0,0,Matches
331,Tyrone Mings,eng ENG,DF,Aston Villa,29-007,1993,26.4,27,15,18,7,2,8,16,50.0,8,143,42,29.4,79,47,17,53,26,3,27,61,88,126,2,Matches
332,Tyrick Mitchell,eng ENG,DF,Crystal Palace,22-200,1999,28.9,97,48,66,24,7,40,58,69.0,18,582,189,32.5,340,165,77,64,5,0,59,68,165,77,1,Matches
333,Jakub Moder,pl POL,MFFW,Brighton,22-347,1999,18.8,42,29,19,14,9,18,40,45.0,22,362,116,32.0,118,135,109,30,1,0,29,22,64,25,1,Matches
334,Wesley Moraes,br BRA,FW,Aston Villa,25-114,1996,0.0,0,0,0,0,0,0,0,,0,2,1,50.0,1,0,1,0,0,0,0,0,0,0,0,Matches
335,Tyler Morton,eng ENG,MF,Liverpool,19-140,2002,0.7,0,0,0,0,0,0,2,0.0,2,12,4,33.3,1,9,2,0,0,0,0,2,2,0,0,Matches
336,Mason Mount,eng ENG,MFFW,Chelsea,23-069,1999,18.5,29,17,9,10,10,8,28,28.6,20,364,108,29.7,64,138,162,15,0,0,15,14,43,8,0,Matches
337,Lucas Moura,br BRA,FWMF,Tottenham,29-219,1992,17.1,22,11,3,13,6,4,24,16.7,20,247,61,24.7,60,123,64,10,0,0,10,18,40,21,0,Matches
338,João Moutinho,pt POR,MF,Wolves,35-193,1986,25.1,58,44,26,24,8,20,71,28.2,51,461,147,31.9,183,233,45,41,5,0,36,45,103,30,0,Matches
339,Bali Mumba,eng ENG,DF,Norwich City,20-163,2001,0.5,1,0,1,0,0,0,0,,0,12,3,25.0,10,2,0,2,0,0,2,1,2,5,0,Matches
340,Jacob Murphy,eng ENG,DFFW,Newcastle Utd,27-024,1995,13.5,37,16,24,10,3,11,26,42.3,15,267,57,21.3,120,89,58,27,2,0,25,29,66,14,0,Matches
341,Enock Mwepu,zm ZAM,MF,Brighton,24-078,1998,7.1,19,10,5,10,4,5,21,23.8,16,147,40,27.2,45,62,40,13,1,0,12,9,28,10,0,Matches
