,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
551,Juan Cuadrado,co COL,MFDF,Juventus,it Serie A,30,1988,18,14,1220,13.6,1,2,1,0,0,4,0,0.07,0.15,0.22,0.07,0.22,1.2,1.2,1.8,3.0,0.09,0.13,0.22,0.09,0.22,Matches
552,Cucho,co COL,FW,Huesca,es La Liga,19,1999,34,25,2150,23.9,4,3,2,2,2,6,0,0.17,0.13,0.29,0.08,0.21,10.0,8.5,2.1,10.5,0.42,0.09,0.50,0.35,0.44,Matches
553,Marc Cucurella,es ESP,MFFW,Eibar,es La Liga,20,1998,31,26,2354,26.2,1,2,1,0,0,6,0,0.04,0.08,0.11,0.04,0.11,1.8,1.8,3.4,5.2,0.07,0.13,0.20,0.07,0.20,Matches
554,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,34,1984,34,34,3055,33.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
555,Mickaël Cuisance,fr FRA,MF,M'Gladbach,de Bundesliga,18,1999,11,1,279,3.1,0,1,0,0,0,3,0,0.00,0.32,0.32,0.00,0.32,0.4,0.4,0.1,0.5,0.14,0.03,0.17,0.14,0.17,Matches
556,Matheus Cunha,br BRA,FWMF,RB Leipzig,de Bundesliga,19,1999,25,9,853,9.5,2,0,2,0,0,1,0,0.21,0.00,0.21,0.21,0.21,3.4,3.4,0.9,4.4,0.36,0.10,0.46,0.36,0.46,Matches
557,Greg Cunningham,ie IRL,DF,Cardiff City,eng Premier League,27,1991,7,7,630,7.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.02,0.03,0.00,0.03,Matches
558,Patrick Cutrone,it ITA,FW,Milan,it Serie A,20,1998,34,12,1457,16.2,3,2,3,0,0,2,0,0.19,0.12,0.31,0.19,0.31,4.1,4.1,2.4,6.5,0.25,0.15,0.40,0.25,0.40,Matches
559,Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,23,1995,29,27,2360,26.2,4,1,3,1,2,2,1,0.15,0.04,0.19,0.11,0.15,4.9,3.4,3.8,7.3,0.19,0.15,0.33,0.13,0.28,Matches
560,Marco D'Alessandro,it ITA,DFMF,Udinese,it Serie A,27,1991,24,16,1495,16.6,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.8,0.7,1.6,2.3,0.05,0.10,0.14,0.04,0.14,Matches
561,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,29,1988,30,29,2579,28.7,2,5,2,0,0,6,0,0.07,0.17,0.24,0.07,0.24,2.3,2.3,3.9,6.2,0.08,0.14,0.22,0.08,0.22,Matches
562,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,30,1988,33,32,2874,31.9,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,1.3,1.3,0.1,1.5,0.04,0.00,0.05,0.04,0.05,Matches
563,Kouadio-Yves Dabila,ci CIV,DF,Lille,fr Ligue 1,21,1997,12,8,782,8.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
564,Abdoulaye Dabo,fr FRA,FW,Nantes,fr Ligue 1,17,2001,2,2,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.14,0.14,0.00,0.14,Matches
565,Bryan Dabo,bf BFA,MFDF,Fiorentina,it Serie A,26,1992,23,6,831,9.2,1,1,1,0,0,4,0,0.11,0.11,0.22,0.11,0.22,1.0,1.0,0.7,1.8,0.11,0.08,0.19,0.11,0.19,Matches
566,Christoph Daferner,de GER,FW,Freiburg,de Bundesliga,20,1998,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
567,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,19,1998,17,9,918,10.2,0,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,0.1,0.1,1.4,1.5,0.01,0.14,0.14,0.01,0.14,Matches
568,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,22,1996,14,7,697,7.7,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.7,0.7,0.8,1.6,0.09,0.11,0.20,0.09,0.20,Matches
569,Leon Dajaku,de GER,MFFW,Stuttgart,de Bundesliga,17,2001,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
570,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,34,1984,30,27,2361,26.2,3,2,3,0,0,13,0,0.11,0.08,0.19,0.11,0.19,2.1,2.1,0.1,2.2,0.08,0.00,0.08,0.08,0.08,Matches
571,Nicola Dalmonte,it ITA,MFFW,Genoa,it Serie A,20,1997,3,0,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.54,0.07,0.60,0.54,0.60,Matches
572,Diogo Dalot,pt POR,DFMF,Manchester Utd,eng Premier League,19,1999,16,12,1013,11.3,0,2,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.5,0.5,2.0,2.5,0.04,0.17,0.22,0.04,0.22,Matches
573,Matty Daly,eng ENG,MF,Huddersfield,eng Premier League,17,2001,2,0,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
574,Vitalie Damașcan,md MDA,MF,Torino,it Serie A,19,1999,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
575,Loïc Damour,fr FRA,MF,Cardiff City,eng Premier League,27,1991,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches
576,Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,31,1986,21,17,1585,17.6,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.6,1.0,0.02,0.03,0.06,0.02,0.06,Matches
577,Danilo,br BRA,DF,Manchester City,eng Premier League,27,1991,11,9,807,9.0,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.5,0.5,0.2,0.7,0.05,0.02,0.08,0.05,0.08,Matches
578,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,31,1987,10,7,663,7.4,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches
579,Kevin Danso,at AUT,DF,Augsburg,de Bundesliga,19,1998,18,13,1247,13.9,1,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,0.5,0.5,0.0,0.6,0.04,0.00,0.04,0.04,0.04,Matches
580,Dante,br BRA,DF,Nice,fr Ligue 1,34,1983,36,36,3226,35.8,1,1,1,0,0,11,0,0.03,0.03,0.06,0.03,0.06,1.2,1.2,0.3,1.5,0.03,0.01,0.04,0.03,0.04,Matches
581,Palkó Dárdai,hu HUN,MFFW,Hertha BSC,de Bundesliga,19,1999,7,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.09,0.06,0.15,0.09,0.15,Matches
582,Sergi Darder,es ESP,MF,Espanyol,es La Liga,24,1993,34,32,2709,30.1,5,2,5,0,0,8,1,0.17,0.07,0.23,0.17,0.23,3.5,3.5,4.4,8.0,0.12,0.15,0.26,0.12,0.26,Matches
583,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,27,1990,10,3,376,4.2,0,1,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,1.1,1.1,1.0,2.2,0.27,0.25,0.52,0.27,0.52,Matches
584,Matteo Darmian,it ITA,DF,Manchester Utd,eng Premier League,28,1989,6,5,443,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches
585,Alphonso Davies,ca CAN,FWMF,Bayern Munich,de Bundesliga,17,2000,6,0,80,0.9,1,0,1,0,0,1,0,1.13,0.00,1.13,1.13,1.13,0.2,0.2,0.0,0.2,0.19,0.00,0.19,0.19,0.19,Matches
586,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,25,1993,27,20,1844,20.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,2.0,2.9,0.04,0.10,0.14,0.04,0.14,Matches
587,Tom Davies,eng ENG,MF,Everton,eng Premier League,20,1998,16,10,980,10.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.03,0.05,0.08,0.03,0.08,Matches
588,Steven Davis,nir NIR,MF,Southampton,eng Premier League,33,1985,3,1,98,1.1,0,1,0,0,0,0,0,0.00,0.92,0.92,0.00,0.92,0.0,0.0,0.7,0.7,0.00,0.62,0.62,0.00,0.62,Matches
589,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,27,1991,19,11,975,10.8,2,2,2,0,0,2,0,0.18,0.18,0.37,0.18,0.37,2.1,2.1,3.5,5.6,0.19,0.32,0.51,0.19,0.51,Matches
590,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,31,1987,16,13,1173,13.0,1,0,1,0,0,1,1,0.08,0.00,0.08,0.08,0.08,0.9,0.9,0.1,0.9,0.07,0.01,0.07,0.07,0.07,Matches
591,Sebastien De Maio,fr FRA,DF,Bologna,it Serie A,31,1987,6,6,491,5.5,0,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.0,0.0,0.1,0.1,0.00,0.01,0.02,0.00,0.02,Matches
592,Rodrigo De Paul,ar ARG,MFFW,Udinese,it Serie A,24,1994,36,36,3189,35.4,9,9,6,3,6,7,0,0.25,0.25,0.51,0.17,0.42,9.4,4.9,8.1,12.9,0.27,0.23,0.49,0.14,0.37,Matches
593,Daniele De Rossi,it ITA,MF,Roma,it Serie A,35,1983,18,15,1270,14.1,1,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,0.9,0.9,0.9,1.8,0.07,0.06,0.13,0.07,0.13,Matches
594,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,25,1992,22,19,1743,19.4,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,0.8,0.9,0.01,0.04,0.05,0.01,0.05,Matches
595,Lorenzo De Silvestri,it ITA,DFMF,Torino,it Serie A,30,1988,32,30,2415,26.8,2,4,2,0,0,3,0,0.07,0.15,0.22,0.07,0.22,2.7,2.7,3.5,6.2,0.10,0.13,0.23,0.10,0.23,Matches
596,Lucas Deaux,fr FRA,MF,Guingamp,fr Ligue 1,29,1988,18,17,1188,13.2,3,1,3,0,0,4,0,0.23,0.08,0.30,0.23,0.30,1.7,1.7,1.2,2.9,0.13,0.09,0.22,0.13,0.22,Matches
597,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,33,1985,24,23,1941,21.6,4,3,4,0,0,5,1,0.19,0.14,0.32,0.19,0.32,2.3,2.3,1.4,3.6,0.11,0.06,0.17,0.11,0.17,Matches
598,Troy Deeney,eng ENG,FW,Watford,eng Premier League,30,1988,32,28,2545,28.3,9,5,8,1,1,4,1,0.32,0.18,0.50,0.28,0.46,9.7,8.9,4.8,13.8,0.34,0.17,0.51,0.32,0.49,Matches
599,Jermain Defoe,eng ENG,FW,Bournemouth,eng Premier League,35,1982,4,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,1.68,0.00,1.68,1.68,1.68,Matches
600,Steven Defour,be BEL,MF,Burnley,eng Premier League,30,1988,6,6,448,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
601,Grégoire Defrel,mq MTQ,FWMF,Sampdoria,it Serie A,27,1991,36,26,2339,26.0,11,3,11,0,0,2,0,0.42,0.12,0.54,0.42,0.54,7.7,7.7,3.1,10.8,0.30,0.12,0.42,0.30,0.42,Matches
602,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,22,1995,10,5,450,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.09,0.01,0.10,0.09,0.10,Matches
603,Alessandro Deiola,it ITA,MFFW,Parma,it Serie A,22,1995,10,5,545,6.1,0,1,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,0.3,0.3,0.0,0.3,0.05,0.01,0.06,0.05,0.06,Matches
604,Romain Del Castillo,fr FRA,FWMF,Rennes,fr Ligue 1,22,1996,29,15,1343,14.9,0,3,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.8,0.8,3.1,3.9,0.05,0.21,0.26,0.05,0.26,Matches
605,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,26,1991,30,27,2283,25.4,3,5,3,0,0,7,0,0.12,0.20,0.32,0.12,0.32,2.4,2.4,1.4,3.8,0.09,0.06,0.15,0.09,0.15,Matches
606,Moisés Delgado,es ESP,DF,Valladolid,es La Liga,24,1994,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.06,0.06,0.01,0.06,Matches
607,Cristian Dell'Orco,it ITA,DF,Empoli,it Serie A,24,1994,12,12,1035,11.5,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,1.0,1.0,0.1,1.0,0.09,0.00,0.09,0.09,0.09,Matches
608,Cristian Dell'Orco,it ITA,DF,Sassuolo,it Serie A,24,1994,3,1,110,1.2,0,1,0,0,0,0,0,0.00,0.82,0.82,0.00,0.82,0.1,0.1,0.2,0.3,0.05,0.18,0.23,0.05,0.23,Matches
609,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,26,1991,36,36,3115,34.6,14,7,11,3,3,4,0,0.40,0.20,0.61,0.32,0.52,13.7,11.5,5.9,17.3,0.40,0.17,0.57,0.33,0.50,Matches
610,Fabian Delph,eng ENG,DF,Manchester City,eng Premier League,28,1989,11,8,725,8.1,0,1,0,0,0,1,1,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.4,0.5,0.01,0.05,0.07,0.01,0.07,Matches
611,Mousa Dembélé,be BEL,MF,Tottenham,eng Premier League,31,1987,10,7,515,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
612,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,22,1996,33,21,2016,22.4,15,4,14,1,2,1,0,0.67,0.18,0.85,0.62,0.80,16.6,15.1,3.5,18.6,0.74,0.16,0.90,0.67,0.83,Matches
613,Ousmane Dembélé,fr FRA,FWMF,Barcelona,es La Liga,21,1997,29,20,1661,18.5,8,5,8,0,0,1,0,0.43,0.27,0.70,0.43,0.70,3.7,3.7,4.7,8.4,0.20,0.26,0.46,0.20,0.46,Matches
614,Jessy Deminguet,fr FRA,MFFW,Caen,fr Ligue 1,20,1998,20,15,1269,14.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.02,0.01,0.04,0.02,0.04,Matches
615,Merih Demiral,tr TUR,DF,Sassuolo,it Serie A,20,1998,14,14,1260,14.0,2,0,2,0,0,3,0,0.14,0.00,0.14,0.14,0.14,1.0,1.0,0.2,1.2,0.07,0.02,0.08,0.07,0.08,Matches
616,Kerem Demirbay,de GER,MF,Hoffenheim,de Bundesliga,25,1993,26,24,2017,22.4,4,9,4,0,0,6,0,0.18,0.40,0.58,0.18,0.58,4.0,4.0,8.5,12.5,0.18,0.38,0.56,0.18,0.56,Matches
617,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,26,1991,26,24,2055,22.8,0,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,2.0,2.3,0.01,0.09,0.10,0.01,0.10,Matches
618,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,23,1995,31,31,2754,30.6,2,0,2,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.3,1.3,0.1,1.4,0.04,0.00,0.05,0.04,0.05,Matches
619,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,23,1995,19,17,1467,16.3,2,0,2,0,0,1,0,0.12,0.00,0.12,0.12,0.12,2.5,2.5,1.2,3.7,0.15,0.07,0.23,0.15,0.23,Matches
620,Fabio Depaoli,it ITA,DF,Chievo,it Serie A,21,1997,33,27,2468,27.4,0,4,0,0,0,12,2,0.00,0.15,0.15,0.00,0.15,1.2,1.2,3.8,4.9,0.04,0.14,0.18,0.04,0.18,Matches
621,Memphis Depay,nl NED,FWMF,Lyon,fr Ligue 1,24,1994,36,29,2737,30.4,10,10,10,0,2,5,0,0.33,0.33,0.66,0.33,0.66,13.8,12.3,11.6,23.8,0.45,0.38,0.83,0.40,0.78,Matches
622,Laurent Depoitre,be BEL,FW,Huddersfield,eng Premier League,29,1988,23,10,1068,11.9,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,3.3,3.3,0.9,4.2,0.28,0.08,0.36,0.28,0.36,Matches
623,Clément Depres,fr FRA,FW,Nîmes,fr Ligue 1,23,1994,17,4,441,4.9,4,0,4,0,0,1,0,0.82,0.00,0.82,0.82,0.82,2.8,2.8,0.1,2.9,0.58,0.02,0.60,0.58,0.60,Matches
624,Kiril Despodov,bg BUL,FWMF,Cagliari,it Serie A,21,1996,4,0,105,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
625,Daniele Dessena,it ITA,MF,Cagliari,it Serie A,31,1987,11,3,352,3.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.12,0.01,0.13,0.12,0.13,Matches
626,Mattia Destro,it ITA,FWMF,Bologna,it Serie A,27,1991,17,5,493,5.5,4,1,4,0,0,3,0,0.73,0.18,0.91,0.73,0.91,2.5,2.5,0.6,3.1,0.46,0.11,0.57,0.46,0.57,Matches
627,Gerard Deulofeu,es ESP,FW,Watford,eng Premier League,24,1994,30,26,2066,23.0,10,5,10,0,0,3,0,0.44,0.22,0.65,0.44,0.65,8.0,8.0,5.1,13.1,0.35,0.22,0.57,0.35,0.57,Matches
628,Jacopo Dezi,it ITA,MF,Parma,it Serie A,26,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.08,0.00,0.08,0.08,0.08,Matches
629,Federico Di Francesco,it ITA,FWMF,Sassuolo,it Serie A,24,1994,19,14,1074,11.9,2,2,2,0,0,2,0,0.17,0.17,0.34,0.17,0.34,2.8,2.8,1.2,4.0,0.23,0.10,0.33,0.23,0.33,Matches
630,Antonio Di Gaudio,it ITA,FWMF,Parma,it Serie A,28,1989,12,9,699,7.8,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,1.3,1.3,0.3,1.6,0.17,0.04,0.21,0.17,0.21,Matches
631,Giovanni Di Lorenzo,it ITA,DF,Empoli,it Serie A,24,1993,37,37,3330,37.0,5,3,5,0,0,8,0,0.14,0.08,0.22,0.14,0.22,3.3,2.8,4.2,7.0,0.09,0.11,0.20,0.07,0.19,Matches
632,Ángel Di María,ar ARG,FWMF,Paris S-G,fr Ligue 1,30,1988,30,28,2324,25.8,12,11,12,0,0,2,0,0.46,0.43,0.89,0.46,0.89,9.5,9.5,8.7,18.2,0.37,0.34,0.70,0.37,0.70,Matches
633,Franco Di Santo,ar ARG,FWMF,Rayo Vallecano,es La Liga,29,1989,6,1,172,1.9,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
634,Franco Di Santo,ar ARG,FWMF,Schalke 04,de Bundesliga,29,1989,4,3,245,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.4,1.1,0.24,0.16,0.39,0.24,0.39,Matches
635,Boulaye Dia,sn SEN,FWMF,Reims,fr Ligue 1,21,1996,18,8,747,8.3,3,0,3,0,0,2,0,0.36,0.00,0.36,0.36,0.36,4.8,4.8,1.2,6.0,0.57,0.14,0.72,0.57,0.72,Matches
636,Fousseni Diabaté,ml MLI,FW,Leicester City,eng Premier League,22,1995,1,1,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.12,0.12,0.00,0.12,Matches
637,Moussa Diaby,fr FRA,MFFW,Paris S-G,fr Ligue 1,19,1999,25,10,1141,12.7,2,6,2,0,0,1,0,0.16,0.47,0.63,0.16,0.63,2.3,2.3,4.2,6.5,0.18,0.33,0.52,0.18,0.52,Matches
638,Adama Diakhaby,fr FRA,FWMF,Huddersfield,eng Premier League,22,1996,12,6,552,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.5,1.4,0.15,0.09,0.24,0.15,0.24,Matches
639,Mouctar Diakhaby,fr FRA,DF,Valencia,es La Liga,21,1996,22,16,1580,17.6,2,0,2,0,0,9,0,0.11,0.00,0.11,0.11,0.11,1.7,1.7,0.0,1.7,0.10,0.00,0.10,0.10,0.10,Matches
640,Bafodé Diakité,fr FRA,DF,Toulouse,fr Ligue 1,17,2001,9,7,633,7.0,1,0,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.1,0.1,0.0,0.2,0.02,0.00,0.03,0.02,0.03,Matches
641,Abdou Diallo,sn SEN,DF,Dortmund,de Bundesliga,22,1996,28,27,2379,26.4,1,1,1,0,0,1,1,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.7,1.5,0.03,0.03,0.06,0.03,0.06,Matches
642,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,6,6,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
643,Mustapha Diallo,sn SEN,MF,Nîmes,fr Ligue 1,32,1986,7,6,455,5.1,0,1,0,0,0,5,0,0.00,0.20,0.20,0.00,0.20,0.4,0.4,0.1,0.5,0.07,0.03,0.10,0.07,0.10,Matches
644,Mohamed Diamé,sn SEN,MF,Newcastle Utd,eng Premier League,31,1987,29,24,2166,24.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.04,0.00,0.04,0.04,0.04,Matches
645,Grady Diangana,eng ENG,MFFW,West Ham,eng Premier League,20,1998,17,6,609,6.8,0,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.7,0.7,1.1,1.8,0.10,0.16,0.27,0.10,0.27,Matches
646,Lassana Diarra,fr FRA,MF,Paris S-G,fr Ligue 1,33,1985,3,2,159,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
647,Amadou Diawara,gn GUI,MF,Napoli,it Serie A,21,1997,13,8,661,7.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.04,0.02,0.06,0.04,0.06,Matches
648,Brahim Díaz,es ESP,FW,Real Madrid,es La Liga,18,1999,9,5,376,4.2,1,1,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,0.6,0.6,1.2,1.7,0.13,0.28,0.41,0.13,0.41,Matches
649,Javier Díaz,es ESP,GK,Sevilla,es La Liga,21,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
650,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,28,1989,34,32,2942,32.7,1,1,1,0,0,5,1,0.03,0.03,0.06,0.03,0.06,1.3,1.3,0.3,1.6,0.04,0.01,0.05,0.04,0.05,Matches
651,Lorenzo Dickmann,it ITA,DFMF,SPAL,it Serie A,21,1996,6,2,175,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
652,Daniel Didavi,de GER,MFFW,Stuttgart,de Bundesliga,28,1990,20,8,956,10.6,2,2,2,0,0,0,0,0.19,0.19,0.38,0.19,0.38,1.9,1.9,3.3,5.2,0.18,0.31,0.49,0.18,0.49,Matches
653,Étienne Didot,fr FRA,MF,Guingamp,fr Ligue 1,35,1983,31,23,2105,23.4,1,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,0.6,0.6,1.5,2.1,0.03,0.06,0.09,0.03,0.09,Matches
654,Adrián Diéguez,es ESP,DF,Huesca,es La Liga,22,1996,9,8,749,8.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.01,0.01,0.01,Matches
655,Eric Dier,eng ENG,MFDF,Tottenham,eng Premier League,24,1994,20,18,1506,16.7,3,0,3,0,0,4,0,0.18,0.00,0.18,0.18,0.18,1.7,1.7,0.7,2.3,0.10,0.04,0.14,0.10,0.14,Matches
656,Tim Dierßen,de GER,FW,Hannover 96,de Bundesliga,22,1996,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
657,Lucas Digne,fr FRA,DF,Everton,eng Premier League,25,1993,35,33,2965,32.9,4,4,4,0,0,5,1,0.12,0.12,0.24,0.12,0.24,1.0,1.0,6.6,7.6,0.03,0.20,0.23,0.03,0.23,Matches
658,Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,27,1991,38,38,3384,37.6,4,2,4,0,0,1,0,0.11,0.05,0.16,0.11,0.16,3.1,3.1,1.2,4.3,0.08,0.03,0.11,0.08,0.11,Matches
659,Mitchell Dijks,nl NED,DFMF,Bologna,it Serie A,25,1993,25,23,2023,22.5,1,0,1,0,0,5,1,0.04,0.00,0.04,0.04,0.04,0.4,0.4,0.8,1.3,0.02,0.04,0.06,0.02,0.06,Matches
660,Javairô Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,20,1998,17,7,898,10.0,2,3,2,0,0,2,0,0.20,0.30,0.50,0.20,0.50,0.5,0.5,2.6,3.0,0.05,0.26,0.31,0.05,0.31,Matches
661,Federico Dimarco,it ITA,DF,Parma,it Serie A,20,1997,13,10,892,9.9,1,0,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,0.4,0.4,0.6,0.9,0.04,0.06,0.09,0.04,0.09,Matches
662,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21,21,1890,21.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
