,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
750,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,25,1993,19.9,49,39,15,32,2,14,52,26.9,38,405,119,29.4,81,252,72,38,2,0,36,19,68,27,0,Matches
751,Sergio Escudero,es ESP,DFMF,Sevilla,es La Liga,28,1989,17.2,41,20,25,14,2,18,41,43.9,23,281,84,29.9,152,92,37,47,5,0,42,17,58,55,0,Matches
752,Bernardo Espinosa,co COL,DF,Girona,es La Liga,29,1989,30.3,18,12,14,4,0,9,18,50.0,9,178,58,32.6,117,53,8,66,33,0,33,31,49,221,2,Matches
753,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32.0,2,1,2,0,0,1,4,25.0,3,5,0,0.0,5,0,0,1,0,0,1,0,2,3,0,Matches
754,Alexander Esswein,de GER,FWMF,Stuttgart,de Bundesliga,28,1990,13.9,23,12,10,3,10,4,19,21.1,15,301,90,29.9,49,161,91,21,2,0,19,10,33,12,0,Matches
755,Neil Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,0,0,Matches
756,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,31,1987,22.6,47,35,17,25,5,16,67,23.9,51,417,103,24.7,100,265,52,23,1,0,22,20,67,24,0,Matches
757,Xabier Etxeita,es ESP,DF,Huesca,es La Liga,30,1987,29.7,47,28,35,10,2,18,42,42.9,24,230,68,29.6,129,88,13,48,25,0,23,25,72,196,1,Matches
758,Lucas Evangelista,br BRA,FWMF,Nantes,fr Ligue 1,23,1995,8.0,24,16,6,10,8,8,21,38.1,13,187,45,24.1,44,103,40,12,0,0,12,5,29,7,0,Matches
759,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,30,1988,22.2,24,16,19,5,0,7,13,53.8,6,176,63,35.8,114,53,9,37,9,0,28,41,65,160,2,Matches
760,Ewerton,br BRA,DF,Nürnberg,de Bundesliga,29,1989,14.9,26,18,23,3,0,10,19,52.6,9,98,32,32.7,79,19,0,25,11,0,14,19,45,133,2,Matches
761,Valentin Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,26,1992,4.0,8,5,3,3,2,2,3,66.7,1,68,23,33.8,17,32,19,6,1,0,5,8,16,0,0,Matches
762,Valentin Eysseric,fr FRA,MFFW,Nantes,fr Ligue 1,26,1992,2.3,1,1,0,1,0,0,2,0.0,2,69,18,26.1,10,37,22,3,0,0,3,1,2,0,0,Matches
763,Marco Fabián,mx MEX,FW,Eint Frankfurt,de Bundesliga,29,1989,0.7,3,2,2,1,0,2,2,100.0,0,22,4,18.2,5,14,3,0,0,0,0,5,8,0,0,Matches
764,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,33,1985,38.0,0,0,0,0,0,0,2,0.0,2,5,1,20.0,5,0,0,0,0,0,0,0,0,3,0,Matches
765,Fabinho,br BRA,MF,Liverpool,eng Premier League,24,1993,22.4,58,35,20,32,6,19,57,33.3,38,444,136,30.6,135,248,61,38,6,0,32,28,86,46,0,Matches
766,Fábio,br BRA,DF,Nantes,fr Ligue 1,28,1990,14.2,55,34,26,27,2,23,61,37.7,38,250,83,33.2,107,121,22,23,5,0,18,19,74,37,2,Matches
767,Cesc Fàbregas,es ESP,MF,Chelsea,eng Premier League,31,1987,2.0,6,5,4,1,1,1,3,33.3,2,33,15,45.5,15,15,3,3,1,0,2,4,10,0,0,Matches
768,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,31,1987,10.7,16,12,7,5,4,6,27,22.2,21,243,63,25.9,76,127,40,21,2,0,19,6,22,9,1,Matches
769,Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2.0,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,0,0,0,0,0,0,0,1,Matches
770,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,16.3,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,1,Matches
771,Romain Faivre,fr FRA,MFFW,Monaco,fr Ligue 1,20,1998,1.0,1,1,0,1,0,0,2,0.0,2,13,1,7.7,5,6,2,0,0,0,0,1,2,0,0,Matches
772,Fayçal Fajr,ma MAR,MF,Caen,fr Ligue 1,29,1988,36.0,56,30,19,29,8,18,87,20.7,69,723,177,24.5,185,411,127,37,7,0,30,22,78,21,0,Matches
773,Radamel Falcao,co COL,FW,Monaco,fr Ligue 1,32,1986,28.4,28,17,7,14,7,6,30,20.0,24,545,127,23.3,18,265,262,12,7,0,5,5,33,21,0,Matches
774,Diego Falcinelli,it ITA,FW,Bologna,it Serie A,27,1991,7.8,8,6,1,1,6,2,6,33.3,4,170,31,18.2,15,90,65,8,1,0,7,0,8,2,0,Matches
775,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,26,1992,6.7,10,8,7,2,1,1,5,20.0,4,67,24,35.8,47,16,4,15,7,1,8,8,18,37,0,Matches
776,Iago Falque,es ESP,FWMF,Torino,it Serie A,28,1990,17.9,11,7,2,8,1,3,23,13.0,20,284,74,26.1,43,149,92,22,0,0,22,6,17,4,0,Matches
777,Paolo Faragò,it ITA,MFDF,Cagliari,it Serie A,25,1993,18.9,53,32,23,23,7,17,52,32.7,35,465,130,28.0,141,222,102,38,2,0,36,10,63,39,1,Matches
778,Mohamed Fares,dz ALG,DFMF,SPAL,it Serie A,22,1996,32.8,66,41,39,20,7,24,62,38.7,38,511,127,24.9,238,216,57,86,5,0,81,28,94,77,1,Matches
779,Diego Farias,br BRA,FW,Empoli,it Serie A,28,1990,13.3,8,6,2,4,2,0,8,0.0,8,242,42,17.4,35,128,79,9,1,0,8,2,10,3,0,Matches
780,Diego Farias,br BRA,FW,Cagliari,it Serie A,28,1990,7.8,12,8,4,6,2,0,8,0.0,8,150,36,24.0,21,54,75,9,1,0,8,4,16,5,0,Matches
781,Andrea Favilli,it ITA,FWMF,Genoa,it Serie A,21,1997,1.9,0,0,0,0,0,0,1,0.0,1,30,10,33.3,1,10,19,2,0,0,2,0,0,0,0,Matches
782,Federico Fazio,ar ARG,DF,Roma,it Serie A,31,1987,31.2,33,22,14,12,7,15,31,48.4,16,238,77,32.4,128,93,17,60,34,0,26,35,68,202,3,Matches
783,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,29,1989,18.9,38,18,29,7,2,13,29,44.8,16,155,46,29.7,92,55,8,33,10,0,23,15,53,109,0,Matches
784,Nabil Fekir,fr FRA,MF,Lyon,fr Ligue 1,25,1993,22.1,40,26,14,16,10,10,42,23.8,32,690,155,22.5,82,371,237,36,1,0,35,11,51,4,0,Matches
785,Yassin Fekir,fr FRA,FW,Lyon,fr Ligue 1,21,1997,0.1,1,1,1,0,0,1,2,50.0,1,4,1,25.0,2,1,1,0,0,0,0,0,1,0,0,Matches
786,Felipe,br BRA,DF,Hannover 96,de Bundesliga,31,1987,12.2,28,20,24,3,1,3,11,27.3,8,84,30,35.7,65,17,2,24,9,0,15,22,50,84,0,Matches
787,Luiz Felipe,it ITA,DF,Lazio,it Serie A,21,1997,14.3,26,16,19,7,0,7,20,35.0,13,156,45,28.8,97,50,9,42,21,0,21,21,47,51,0,Matches
788,Ohis Felix Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,20,1997,2.7,13,6,7,5,1,3,6,50.0,3,40,11,27.5,28,11,1,11,2,0,9,5,18,8,0,Matches
789,Marouane Fellaini,be BEL,MF,Manchester Utd,eng Premier League,30,1987,8.4,25,16,14,8,3,12,23,52.2,11,167,41,24.6,68,78,21,14,6,0,8,10,35,29,1,Matches
790,Kiko Femenía,es ESP,DF,Watford,eng Premier League,27,1991,22.8,55,35,41,12,2,27,60,45.0,33,289,78,27.0,156,107,26,42,4,0,38,42,97,69,0,Matches
791,Edimilson Fernandes,ch SUI,MF,Fiorentina,it Serie A,22,1996,21.9,43,29,21,20,2,19,44,43.2,25,395,111,28.1,120,221,54,40,3,0,37,30,73,28,1,Matches
792,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,31,1986,24.7,75,52,35,33,7,19,69,27.5,50,669,191,28.6,247,363,59,51,9,2,42,35,110,21,0,Matches
793,Aitor Fernández,es ESP,GK,Levante,es La Liga,27,1991,16.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,1,0,0,1,0,0,1,0,Matches
794,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,31,1986,6.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,0,0,0,1,Matches
795,Borja Fernández,es ESP,MFDF,Valladolid,es La Liga,37,1981,9.3,26,16,12,13,1,8,19,42.1,11,113,36,31.9,44,62,7,14,4,0,10,11,37,33,0,Matches
796,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,29,1989,16.5,29,21,23,6,0,13,26,50.0,13,136,49,36.0,100,31,5,29,12,0,17,34,63,122,0,Matches
797,Joaquín Fernández,es ESP,DFMF,Valladolid,es La Liga,22,1996,9.3,15,8,13,2,0,3,11,27.3,8,103,26,25.2,71,25,7,8,3,0,5,11,26,66,1,Matches
798,Fernandinho,br BRA,MF,Manchester City,eng Premier League,33,1985,26.4,64,50,20,38,6,24,42,57.1,18,359,127,35.4,116,198,45,37,6,0,31,44,108,89,0,Matches
799,Juan Ferney Otero,co COL,FWMF,Amiens,fr Ligue 1,23,1995,24.2,25,17,9,11,5,10,48,20.8,38,541,116,21.4,128,240,173,36,4,0,32,15,40,13,0,Matches
800,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,24,1994,6.0,16,8,8,7,1,6,11,54.5,5,55,21,38.2,33,21,1,10,4,0,6,5,21,29,0,Matches
801,David Ferreiro,es ESP,FWMF,Huesca,es La Liga,30,1988,25.3,37,21,11,19,7,17,70,24.3,53,463,108,23.3,120,234,109,34,2,0,32,16,53,21,1,Matches
802,Facundo Ferreyra,ar ARG,FWMF,Espanyol,es La Liga,27,1991,2.3,4,3,0,2,2,0,1,0.0,1,40,5,12.5,2,23,15,1,0,0,1,0,4,5,0,Matches
803,Jordan Ferri,fr FRA,MF,Nîmes,fr Ligue 1,26,1992,20.8,47,35,16,23,8,19,51,37.3,32,478,111,23.2,131,281,66,29,1,0,28,9,56,16,0,Matches
804,Jordan Ferri,fr FRA,MF,Lyon,fr Ligue 1,26,1992,1.3,4,4,3,0,1,1,4,25.0,3,34,8,23.5,15,16,3,4,2,0,2,2,6,4,0,Matches
805,Oliver Fink,de GER,MF,Düsseldorf,de Bundesliga,36,1982,11.7,45,33,16,25,4,10,38,26.3,28,417,99,23.7,125,239,53,13,3,0,10,9,54,20,0,Matches
806,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,29,1989,14.8,8,5,3,4,1,0,4,0.0,4,267,62,23.2,15,115,137,13,4,0,9,2,10,11,0,Matches
807,Roberto Firmino,br BRA,FWMF,Liverpool,eng Premier League,26,1991,29.0,39,30,6,20,13,5,33,15.2,28,640,196,30.6,82,298,260,39,2,0,37,14,53,14,0,Matches
808,Junior Firpo,es ESP,DFMF,Betis,es La Liga,21,1996,21.5,37,27,15,17,5,10,30,33.3,20,287,79,27.5,128,107,52,49,2,0,47,14,51,39,0,Matches
809,Mathieu Flamini,fr FRA,MF,Getafe,es La Liga,34,1984,5.0,7,5,2,4,1,0,2,0.0,2,95,24,25.3,26,62,7,7,3,0,4,4,11,10,0,Matches
810,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
811,Sergio Floccari,it ITA,FW,SPAL,it Serie A,36,1981,10.8,9,5,0,4,5,1,9,11.1,8,234,54,23.1,25,107,102,13,4,0,9,4,13,4,0,Matches
812,Alessandro Florenzi,it ITA,DFFW,Roma,it Serie A,27,1991,24.2,36,19,19,12,5,15,45,33.3,30,320,71,22.2,177,105,38,38,7,0,31,35,71,68,1,Matches
813,Phil Foden,eng ENG,MF,Manchester City,eng Premier League,18,2000,3.7,7,7,1,2,4,1,9,11.1,8,116,35,30.2,13,50,53,4,0,0,4,2,9,1,0,Matches
814,Guessouma Fofana,mr MTN,MF,Amiens,fr Ligue 1,25,1992,2.1,6,4,2,4,0,1,3,33.3,2,73,16,21.9,23,44,6,2,1,0,1,4,10,2,0,Matches
815,Guessouma Fofana,mr MTN,MF,Guingamp,fr Ligue 1,25,1992,5.3,18,11,5,8,5,3,11,27.3,8,144,26,18.1,35,89,20,7,0,0,7,5,23,9,0,Matches
816,Seko Fofana,ci CIV,MF,Udinese,it Serie A,23,1995,29.3,30,18,16,13,1,16,50,32.0,34,406,104,25.6,151,193,62,34,8,1,26,35,65,15,1,Matches
817,Wesley Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,17,2000,1.8,12,6,10,2,0,7,15,46.7,8,26,8,30.8,20,6,0,2,0,0,2,1,13,14,0,Matches
818,Youssouf Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,19,1999,10.1,28,19,6,18,4,7,28,25.0,21,260,65,25.0,104,139,17,12,0,0,12,12,40,9,0,Matches
819,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,23,1994,32.0,91,49,60,21,10,40,80,50.0,40,473,149,31.5,275,155,43,56,4,1,52,35,126,81,0,Matches
820,Thomas Fontaine,mg MAD,DFMF,Reims,fr Ligue 1,27,1991,4.7,7,4,6,0,1,2,5,40.0,3,42,11,26.2,32,8,2,7,2,0,5,3,10,26,0,Matches
821,José Fonte,pt POR,DF,Lille,fr Ligue 1,34,1983,34.6,28,19,15,10,3,14,28,50.0,14,185,71,38.4,110,61,14,41,22,0,19,25,53,209,0,Matches
822,Rui Fonte,pt POR,FWMF,Lille,fr Ligue 1,28,1990,7.0,23,15,3,11,9,7,18,38.9,11,170,42,24.7,11,88,71,7,0,0,7,1,24,6,0,Matches
823,Pablo Fornals,es ESP,MFFW,Villarreal,es La Liga,22,1996,27.5,47,30,16,24,7,16,68,23.5,52,798,169,21.2,156,422,220,49,4,0,45,21,68,20,0,Matches
824,Emil Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,26,1991,13.9,14,6,1,10,3,6,18,33.3,12,239,77,32.2,35,122,82,13,1,0,12,3,17,7,0,Matches
825,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
826,Steven Fortes,cv CPV,DF,Toulouse,fr Ligue 1,26,1992,1.5,3,3,3,0,0,0,0,,0,14,7,50.0,9,3,2,1,1,0,0,2,5,7,1,Matches
827,Iver Fossum,no NOR,MFFW,Hannover 96,de Bundesliga,22,1996,5.1,6,2,2,3,1,4,16,25.0,12,117,35,29.9,42,62,13,8,0,0,8,2,8,7,0,Matches
828,Ben Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38.0,0,0,0,0,0,0,5,0.0,5,11,3,27.3,11,0,0,0,0,0,0,0,0,8,1,Matches
829,Timothy Fosu-Mensah,nl NED,DF,Fulham,eng Premier League,20,1998,8.8,20,9,16,3,1,3,7,42.9,4,106,32,30.2,79,20,7,18,7,1,11,12,32,21,0,Matches
830,Dimitri Foulquier,fr FRA,MFFW,Getafe,es La Liga,25,1993,20.0,40,25,13,17,10,12,33,36.4,21,539,140,26.0,136,278,125,33,2,0,31,20,60,31,0,Matches
831,Juan Foyth,ar ARG,DF,Tottenham,eng Premier League,20,1998,9.9,34,19,25,9,0,10,16,62.5,6,103,34,33.0,70,32,1,19,7,0,12,17,51,40,0,Matches
832,Raphael Framberger,de GER,DFMF,Augsburg,de Bundesliga,22,1995,6.1,10,5,5,4,1,1,8,12.5,7,77,18,23.4,27,31,19,17,3,0,14,3,13,8,0,Matches
833,Simon Francis,eng ENG,DF,Bournemouth,eng Premier League,33,1985,13.7,30,18,21,6,3,8,17,47.1,9,143,46,32.2,80,49,14,24,6,0,18,33,63,45,0,Matches
834,Mike Frantz,de GER,MFFW,Freiburg,de Bundesliga,31,1986,24.6,31,19,12,14,5,3,21,14.3,18,344,82,23.8,115,151,78,36,4,0,32,9,40,34,0,Matches
835,Ryan Fraser,sct SCO,MFFW,Bournemouth,eng Premier League,24,1994,35.2,16,8,9,6,1,8,33,24.2,25,329,63,19.1,99,134,96,45,6,0,39,18,34,16,0,Matches
836,Pierluigi Frattali,it ITA,GK,Parma,it Serie A,32,1985,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
837,Fred,br BRA,MF,Manchester Utd,eng Premier League,25,1993,11.6,37,23,15,20,2,8,31,25.8,23,306,83,27.1,100,165,41,28,2,0,26,21,58,10,1,Matches
838,Ryan Fredericks,eng ENG,DF,West Ham,eng Premier League,25,1992,12.1,35,20,29,6,0,16,30,53.3,14,172,38,22.1,121,40,11,27,4,1,23,9,44,61,0,Matches
839,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,26,1992,33.6,100,70,43,40,17,42,110,38.2,68,809,250,30.9,228,438,143,81,10,0,71,28,128,49,0,Matches
840,Nicolas Frey,fr FRA,DF,Chievo,it Serie A,34,1984,2.5,4,2,1,3,0,1,4,25.0,3,29,7,24.1,12,14,3,7,3,0,4,4,8,16,0,Matches
841,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,20,1998,5.3,13,8,7,3,3,7,15,46.7,8,86,31,36.0,47,30,9,14,5,0,9,8,21,27,0,Matches
842,Alexander Fuchs,de GER,MF,Nürnberg,de Bundesliga,21,1997,7.3,14,11,3,9,2,3,8,37.5,5,133,25,18.8,28,76,29,12,0,0,12,6,20,4,0,Matches
843,Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,32,1986,2.3,4,2,1,2,1,1,1,100.0,0,43,17,39.5,20,18,5,5,1,0,4,4,8,8,0,Matches
844,Javi Fuego,es ESP,MF,Villarreal,es La Liga,34,1984,2.6,6,4,6,0,0,5,12,41.7,7,55,16,29.1,19,30,6,4,1,0,3,1,7,14,0,Matches
845,Angelo Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,21,1996,18.2,32,20,16,12,4,7,36,19.4,29,440,98,22.3,142,214,84,35,4,0,31,29,61,9,0,Matches
846,Niclas Füllkrug,de GER,FW,Hannover 96,de Bundesliga,25,1993,12.4,0,0,0,0,0,0,11,0.0,11,159,33,20.8,11,90,58,16,5,0,11,0,0,8,0,Matches
847,Ramiro Funes Mori,ar ARG,DFMF,Villarreal,es La Liga,27,1991,29.2,43,26,31,10,2,20,49,40.8,29,312,92,29.5,178,119,15,45,23,1,22,32,75,182,3,Matches
848,Manolo Gabbiadini,it ITA,FW,Southampton,eng Premier League,26,1991,5.3,7,3,1,3,3,0,1,0.0,1,63,21,33.3,10,27,26,8,0,0,8,3,10,4,0,Matches
849,Manolo Gabbiadini,it ITA,FW,Sampdoria,it Serie A,26,1991,9.0,3,1,0,1,2,0,10,0.0,10,244,59,24.2,15,115,114,8,2,0,6,4,7,4,0,Matches
850,Mijat Gaćinović,rs SRB,MFFW,Eint Frankfurt,de Bundesliga,23,1995,18.1,34,17,8,19,7,8,42,19.0,34,432,121,28.0,83,239,110,27,0,0,27,25,59,11,0,Matches
851,Gianluca Gaetano,it ITA,FW,Napoli,it Serie A,18,2000,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,2,0,0,0,0,0,0,0,0,0,Matches
852,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,24,1994,12.1,29,23,12,12,5,9,32,28.1,23,290,79,27.2,76,164,50,24,4,0,20,16,45,26,0,Matches
853,Riccardo Gagliolo,se SWE,DF,Parma,it Serie A,28,1990,33.8,64,38,43,19,2,25,75,33.3,50,426,123,28.9,307,93,26,79,33,1,46,52,116,207,4,Matches
854,Milan Gajić,rs SRB,DF,Bordeaux,fr Ligue 1,22,1996,1.0,2,2,1,0,1,1,1,100.0,0,23,6,26.1,17,3,3,3,0,0,3,1,3,5,0,Matches
855,Javi Galán,es ESP,DFMF,Huesca,es La Liga,23,1994,16.0,67,38,43,20,4,28,57,49.1,29,356,110,30.9,192,127,37,37,1,0,36,16,83,51,0,Matches
856,Sam Gallagher,eng ENG,FWDF,Southampton,eng Premier League,22,1995,0.4,0,0,0,0,0,0,0,,0,9,1,11.1,2,5,2,2,0,0,2,0,0,1,0,Matches
857,Álex Gallar,es ESP,MFFW,Huesca,es La Liga,26,1992,11.2,15,13,6,5,4,6,25,24.0,19,197,62,31.5,45,101,51,9,1,0,8,7,22,5,0,Matches
858,Enric Gallego,es ESP,FW,Huesca,es La Liga,31,1986,17.1,20,14,4,11,5,4,14,28.6,10,361,66,18.3,19,210,132,21,4,0,17,8,28,27,0,Matches
859,Álex Gálvez,es ESP,DF,Rayo Vallecano,es La Liga,29,1989,15.7,35,25,22,13,0,13,31,41.9,18,126,43,34.1,75,47,4,9,0,0,9,29,64,109,1,Matches
860,Kévin Gameiro,fr FRA,FW,Valencia,es La Liga,31,1987,17.9,11,9,3,5,3,3,17,17.6,14,400,76,19.0,37,209,154,15,3,0,12,6,17,5,0,Matches
861,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,28,1989,31.4,158,97,88,60,10,35,81,43.2,46,823,266,32.3,351,392,80,46,8,0,38,79,237,60,1,Matches
862,Ignatius Ganago,cm CMR,FW,Nice,fr Ligue 1,19,1999,11.5,5,4,0,3,2,1,7,14.3,6,193,41,21.2,14,86,93,6,1,0,5,1,6,7,0,Matches
863,Cristian Ganea,ro ROU,MF,Athletic Club,es La Liga,26,1992,0.5,0,0,0,0,0,0,2,0.0,2,5,2,40.0,2,0,3,2,0,0,2,2,2,1,0,Matches
864,Ganso,br BRA,MFFW,Amiens,fr Ligue 1,28,1989,5.8,12,9,2,8,2,7,25,28.0,18,118,29,24.6,19,72,27,11,2,0,9,4,16,0,0,Matches
865,Ezequiel Garay,ar ARG,DF,Valencia,es La Liga,31,1986,23.7,22,13,15,5,2,5,16,31.3,11,104,41,39.4,69,32,3,42,24,0,18,12,34,164,0,Matches
866,Borja Garcés,es ESP,FW,Atlético Madrid,es La Liga,18,1999,0.2,0,0,0,0,0,0,0,,0,8,4,50.0,0,8,0,0,0,0,0,0,0,0,0,Matches
867,Alberto García,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17.0,0,0,0,0,0,0,2,0.0,2,4,1,25.0,4,0,0,1,0,0,1,0,0,1,0,Matches
868,Aleix García,es ESP,MF,Girona,es La Liga,21,1997,18.5,34,20,15,16,3,15,41,36.6,26,472,91,19.3,145,261,66,28,7,0,21,22,56,23,0,Matches
869,Álvaro García,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,19.6,23,16,12,5,6,6,30,20.0,24,332,69,20.8,102,145,85,28,0,0,28,11,34,24,0,Matches
870,Borja García,es ESP,FWMF,Girona,es La Liga,27,1990,29.2,41,27,20,20,1,26,50,52.0,24,579,139,24.0,120,338,121,38,3,0,35,27,68,17,0,Matches
871,Dani García,es ESP,MF,Athletic Club,es La Liga,28,1990,27.5,59,40,25,31,3,23,76,30.3,53,439,119,27.1,125,263,51,36,8,0,28,42,101,72,1,Matches
872,Javi García,es ESP,DFMF,Betis,es La Liga,31,1987,5.8,1,0,1,0,0,0,2,0.0,2,47,15,31.9,30,15,2,11,2,0,9,6,7,27,0,Matches
873,Manu García,es ESP,MF,Alavés,es La Liga,32,1986,25.9,86,45,34,39,13,28,89,31.5,61,590,130,22.0,182,326,82,38,4,0,34,20,106,74,0,Matches
874,Manu García,es ESP,MF,Toulouse,fr Ligue 1,20,1998,20.5,36,22,15,16,5,13,51,25.5,38,482,104,21.6,134,259,89,23,1,0,22,12,48,5,0,Matches
875,Raúl García,es ESP,DF,Leganés,es La Liga,29,1989,4.2,9,7,5,4,0,5,8,62.5,3,44,11,25.0,30,11,3,9,2,0,7,2,11,18,1,Matches
876,Raúl García,es ESP,DF,Girona,es La Liga,29,1989,9.4,23,14,12,9,2,10,18,55.6,8,154,44,28.6,69,65,20,31,5,0,26,9,32,41,0,Matches
877,Raúl García,es ESP,MFFW,Athletic Club,es La Liga,32,1986,26.3,69,44,13,42,14,21,71,29.6,50,663,166,25.0,76,362,225,51,1,0,50,21,90,30,0,Matches
878,Sergio García,es ESP,FWMF,Espanyol,es La Liga,35,1983,16.5,13,8,4,7,2,4,18,22.2,14,233,53,22.7,38,112,83,6,1,0,5,13,26,5,0,Matches
879,James Garner,eng ENG,MF,Manchester Utd,eng Premier League,17,2001,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches
880,Mario Gaspar,es ESP,DF,Villarreal,es La Liga,27,1990,28.9,57,29,34,19,4,23,56,41.1,33,428,100,23.4,201,164,63,59,11,0,48,33,90,101,0,Matches
881,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,26,1992,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
882,Marcello Gazzola,it ITA,DFMF,Parma,it Serie A,33,1985,10.2,14,7,5,6,3,5,9,55.6,4,124,29,23.4,66,38,20,20,4,0,16,4,18,30,0,Matches
883,Jean-Philippe Gbamin,ci CIV,MF,Mainz 05,de Bundesliga,22,1995,29.7,46,32,30,12,4,13,51,25.5,38,588,143,24.3,226,294,68,43,7,0,36,31,77,39,0,Matches
884,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,27,1990,38.0,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,1,0,0,1,0,0,4,2,Matches
885,Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,de Bundesliga,31,1986,31.3,60,41,30,19,11,25,59,42.4,34,452,150,33.2,229,154,69,53,7,0,46,54,114,91,1,Matches
886,Dennis Geiger,de GER,MFFW,Hoffenheim,de Bundesliga,20,1998,2.7,1,1,0,1,0,0,5,0.0,5,62,13,21.0,21,26,15,3,0,0,3,3,4,1,0,Matches
887,Jérémy Gélin,fr FRA,DFMF,Rennes,fr Ligue 1,21,1997,14.2,23,16,13,8,2,15,35,42.9,20,199,55,27.6,91,94,14,23,8,1,15,20,43,24,0,Matches
888,Romain Genevois,ht HAI,DF,Caen,fr Ligue 1,30,1987,4.0,11,6,11,0,0,7,13,53.8,6,39,11,28.2,25,13,1,6,1,0,5,4,15,14,0,Matches
889,Christian Gentner,de GER,MF,Stuttgart,de Bundesliga,32,1985,22.4,58,34,27,26,5,9,47,19.1,38,519,132,25.4,150,267,102,35,4,0,31,22,80,34,1,Matches
890,Yannick Gerhardt,de GER,MF,Wolfsburg,de Bundesliga,24,1994,27.3,57,34,23,22,12,16,48,33.3,32,523,147,28.1,161,255,107,40,7,0,33,20,77,35,0,Matches
891,Valère Germain,fr FRA,FW,Marseille,fr Ligue 1,28,1990,24.1,30,17,7,16,7,7,36,19.4,29,550,140,25.5,51,250,249,25,7,0,18,7,37,30,0,Matches
892,Gerson,br BRA,MFFW,Fiorentina,it Serie A,21,1997,27.0,50,36,25,21,4,16,48,33.3,32,522,134,25.7,150,274,98,47,11,0,36,21,71,39,0,Matches
