,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
144,Floyd Ayité,tg TOG,FWMF,Fulham,eng Premier League,29,1988,5.3,7,5,3,2,2,3,7,42.9,4,94,23,24.5,29,43,22,12,2,0,10,6,13,4,0,Matches
145,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,37.8,105,60,62,32,11,28,66,42.4,38,576,167,29.0,276,210,90,91,19,0,72,52,157,89,0,Matches
146,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,23.4,48,28,39,7,2,22,37,59.5,15,191,52,27.2,133,53,5,46,19,1,27,26,74,180,5,Matches
147,Florian Baak,de GER,MF,Hertha BSC,de Bundesliga,19,1999,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,32,1986,1.4,3,1,3,0,0,0,1,0.0,1,20,8,40.0,13,5,2,1,0,0,1,0,3,2,0,Matches
149,Khouma Babacar,sn SEN,FW,Sassuolo,it Serie A,25,1993,16.5,8,8,2,5,1,1,13,7.7,12,293,58,19.8,19,128,146,7,3,0,4,6,14,23,0,Matches
150,Ryan Babel,nl NED,FW,Fulham,eng Premier League,31,1986,13.9,11,8,6,3,2,3,8,37.5,5,213,54,25.4,63,89,61,17,0,0,17,11,22,10,0,Matches
151,Carlos Bacca,co COL,FW,Villarreal,es La Liga,31,1986,14.1,6,5,3,1,2,2,10,20.0,8,176,28,15.9,14,95,67,5,0,0,5,6,12,4,0,Matches
152,Juninho Bacuna,cw CUW,MFDF,Huddersfield,eng Premier League,20,1997,15.7,40,24,21,14,5,15,55,27.3,40,375,102,27.2,130,194,51,30,1,0,29,28,68,14,0,Matches
153,Leandro Bacuna,cw CUW,MFDF,Cardiff City,eng Premier League,26,1991,6.2,15,9,8,5,2,6,22,27.3,16,177,36,20.3,69,93,15,11,2,0,9,13,28,16,0,Matches
154,Milan Badelj,hr CRO,MF,Lazio,it Serie A,29,1989,12.7,35,21,11,19,5,9,31,29.0,22,234,59,25.2,75,132,27,36,9,0,27,28,63,14,0,Matches
155,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,17,2001,19.6,31,18,21,10,0,11,29,37.9,18,130,39,30.0,79,46,5,16,9,0,7,20,51,89,1,Matches
156,Holger Badstuber,de GER,DF,Stuttgart,de Bundesliga,29,1989,5.8,9,5,8,1,0,2,4,50.0,2,48,16,33.3,33,14,1,9,3,0,6,7,16,23,0,Matches
157,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,26,1992,27.4,16,12,1,7,8,1,22,4.5,21,543,114,21.0,23,280,240,41,3,0,38,5,21,4,0,Matches
158,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,34,1984,31.3,65,38,30,28,7,22,70,31.4,48,473,118,24.9,197,234,42,43,7,0,36,44,109,68,0,Matches
159,Leon Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,20,1997,21.3,19,12,11,4,4,6,18,33.3,12,357,102,28.6,96,160,101,29,1,0,28,15,34,8,0,Matches
160,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,24,1994,7.1,17,8,13,4,0,6,8,75.0,2,74,20,27.0,48,26,0,15,5,0,10,21,38,33,0,Matches
161,Leighton Baines,eng ENG,DF,Everton,eng Premier League,33,1984,4.2,8,4,4,3,1,3,6,50.0,3,34,10,29.4,12,13,9,7,0,0,7,7,15,9,0,Matches
162,Marvin Bakalorz,de GER,MF,Hannover 96,de Bundesliga,28,1989,16.3,25,17,11,11,3,6,40,15.0,34,252,70,27.8,81,134,37,30,4,0,26,23,48,52,0,Matches
163,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,23,1994,25.6,80,60,36,35,9,22,59,37.3,37,572,170,29.7,182,325,65,38,5,0,33,44,124,51,0,Matches
164,Ridle Baku,de GER,MF,Mainz 05,de Bundesliga,20,1998,10.4,12,8,5,6,1,0,10,0.0,10,208,45,21.6,56,115,37,16,2,0,14,10,22,8,0,Matches
165,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,26,1991,22.4,56,38,44,12,0,14,44,31.8,30,231,81,35.1,161,66,4,42,16,0,26,52,108,169,0,Matches
