Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
440,Francesco Cassata,it ITA,MFFW,Frosinone,it Serie A,21,1997,12.5,270,352,76.7,5031,1336,110,136,80.9,111,134,82.8,39,61,63.9,2,0.5,+1.5,10,26,9,2,31,Matches
441,Timothy Castagne,be BEL,DFMF,Atalanta,it Serie A,22,1995,22.3,1043,1251,83.4,16384,5537,551,611,90.2,410,482,85.1,64,111,57.7,3,2.5,+0.5,24,48,19,11,91,Matches
442,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,26,1992,25.5,919,1191,77.2,30360,16626,53,54,98.1,470,472,99.6,396,665,59.5,0,0.0,0.0,0,12,0,0,2,Matches
443,Samu Castillejo,es ESP,FWMF,Milan,it Serie A,23,1995,11.4,409,508,80.5,6999,1633,214,232,92.2,146,178,82.0,41,75,54.7,2,1.8,+0.2,20,37,13,2,33,Matches
444,Gonzalo Castro,de GER,MF,Stuttgart,de Bundesliga,31,1987,18.8,688,927,74.2,13326,4236,284,329,86.3,290,346,83.8,104,220,47.3,4,1.9,+2.1,28,69,15,0,78,Matches
445,Jonny Castro,es ESP,DF,Wolves,eng Premier League,24,1994,30.8,1134,1405,80.7,17259,5667,674,749,90.0,378,452,83.6,67,136,49.3,1,1.8,-0.8,29,34,24,8,58,Matches
446,Lucas Castro,ar ARG,MFFW,Cagliari,it Serie A,29,1989,10.0,371,488,76.0,5923,1761,198,228,86.8,135,177,76.3,30,65,46.2,3,2.0,+1.0,13,28,13,4,40,Matches
447,Danilo Cataldi,it ITA,MFFW,Lazio,it Serie A,23,1994,6.4,307,385,79.7,5310,1821,154,169,91.1,123,148,83.1,28,57,49.1,1,1.5,-0.5,16,19,12,2,35,Matches
448,Catena,es ESP,DF,Rayo Vallecano,es La Liga,23,1994,2.0,78,88,88.6,1743,628,25,26,96.2,35,37,94.6,18,23,78.3,0,0.0,0.0,0,6,0,0,8,Matches
449,Craig Cathcart,nir NIR,DF,Watford,eng Premier League,29,1989,34.4,1061,1271,83.5,23432,7942,326,355,91.8,476,523,91.0,246,367,67.0,0,0.4,-0.4,1,57,3,1,53,Matches
450,Ivan Cavaleiro,pt POR,FW,Wolves,eng Premier League,24,1993,7.7,253,355,71.3,3997,997,147,172,85.5,65,100,65.0,29,55,52.7,1,1.3,-0.3,18,14,14,7,21,Matches
451,Edinson Cavani,uy URU,FW,Paris S-G,fr Ligue 1,31,1987,18.6,276,364,75.8,4114,519,168,208,80.8,86,114,75.4,17,24,70.8,5,2.5,+2.5,10,3,9,3,8,Matches
452,Santi Cazorla,es ESP,MFFW,Villarreal,es La Liga,33,1984,29.4,1413,1744,81.0,29624,9487,532,596,89.3,601,688,87.4,264,429,61.5,10,6.7,+3.3,73,163,50,10,176,Matches
453,Dani Ceballos,es ESP,MFFW,Real Madrid,es La Liga,21,1996,13.9,964,1045,92.2,15986,3292,495,527,93.9,365,382,95.5,84,97,86.6,0,1.7,-1.7,25,88,16,1,62,Matches
454,Federico Ceccherini,it ITA,DF,Fiorentina,it Serie A,26,1992,11.0,503,581,86.6,10451,3382,160,172,93.0,254,277,91.7,84,127,66.1,0,0.2,-0.2,2,34,2,1,29,Matches
455,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,36,1982,6.5,190,267,71.2,5792,3193,17,20,85.0,102,103,99.0,71,144,49.3,0,0.0,0.0,0,0,0,0,0,Matches
456,Žan Celar,si SVN,FW,Roma,it Serie A,19,1999,0.1,0,2,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
457,Zeki Çelik,tr TUR,DF,Lille,fr Ligue 1,21,1997,33.0,1294,1723,75.1,22202,8846,610,688,88.7,543,706,76.9,120,246,48.8,5,2.7,+2.3,34,91,37,18,123,Matches
458,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,28,1989,22.8,995,1186,83.9,21783,7609,287,315,91.1,495,544,91.0,203,307,66.1,1,0.5,+0.5,2,58,3,0,64,Matches
459,Fabio Ceravolo,it ITA,FW,Parma,it Serie A,31,1987,13.2,193,267,72.3,2666,537,126,158,79.7,51,74,68.9,9,17,52.9,0,0.6,-0.6,10,9,4,0,19,Matches
460,Alberto Cerri,it ITA,FW,Cagliari,it Serie A,22,1996,7.4,135,216,62.5,2040,277,63,94,67.0,50,72,69.4,10,18,55.6,0,0.8,-0.8,9,6,5,0,11,Matches
461,Boštjan Cesar,si SVN,DF,Chievo,it Serie A,36,1982,12.0,331,385,86.0,7675,2076,78,88,88.6,171,195,87.7,82,101,81.2,0,0.0,0.0,1,5,0,0,13,Matches
462,Nacer Chadli,be BEL,MFFW,Monaco,fr Ligue 1,28,1989,7.7,262,330,79.4,4281,1362,138,160,86.3,101,117,86.3,22,45,48.9,0,0.3,-0.3,7,12,9,2,33,Matches
463,Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,31,1986,20.5,706,944,74.8,12236,5355,331,369,89.7,301,400,75.3,62,136,45.6,2,1.6,+0.4,17,48,17,9,63,Matches
464,Nathaniel Chalobah,eng ENG,MF,Watford,eng Premier League,23,1994,3.0,89,116,76.7,1582,542,40,48,83.3,37,45,82.2,10,16,62.5,0,0.0,0.0,0,7,1,0,9,Matches
465,Calum Chambers,eng ENG,MFDF,Fulham,eng Premier League,23,1995,28.8,1192,1517,78.6,22564,6692,503,578,87.0,513,610,84.1,156,286,54.5,0,0.7,-0.7,15,122,17,0,120,Matches
466,Timothy Chandler,us USA,FW,Eint Frankfurt,de Bundesliga,28,1990,0.2,2,3,66.7,37,27,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,1,0,1,1,1,Matches
467,Kwon Chang-hoon,kr KOR,FWMF,Dijon,fr Ligue 1,24,1994,10.4,244,348,70.1,3856,1262,136,162,84.0,76,105,72.4,22,57,38.6,0,0.6,-0.6,12,10,11,3,28,Matches
468,Charles,br BRA,FW,Eibar,es La Liga,34,1984,19.3,386,561,68.8,5384,925,247,321,76.9,106,174,60.9,21,30,70.0,1,1.0,0.0,16,36,10,1,35,Matches
469,Xavier Chavalerin,fr FRA,MF,Reims,fr Ligue 1,27,1991,36.0,1178,1519,77.6,24435,8148,446,505,88.3,501,583,85.9,217,392,55.4,2,4.0,-2.0,49,107,25,3,129,Matches
470,Pablo Chavarría,ar ARG,FW,Reims,fr Ligue 1,30,1988,21.9,256,417,61.4,3623,937,156,225,69.3,84,146,57.5,9,23,39.1,3,1.8,+1.2,19,17,15,3,30,Matches
471,Chechu,es ESP,DF,Rayo Vallecano,es La Liga,36,1982,1.0,43,50,86.0,962,365,9,11,81.8,27,31,87.1,7,8,87.5,0,0.0,0.0,0,6,0,0,3,Matches
472,Pape Cheikh Diop,sn SEN,MF,Lyon,fr Ligue 1,20,1997,5.0,211,233,90.6,3820,712,94,109,86.2,86,90,95.6,24,25,96.0,0,0.1,-0.1,2,13,2,0,12,Matches
473,Chema,es ESP,DF,Levante,es La Liga,26,1992,13.9,285,380,75.0,6210,2839,94,111,84.7,133,152,87.5,56,111,50.5,0,0.1,-0.1,2,23,1,0,33,Matches
474,Denis Cheryshev,ru RUS,MFFW,Valencia,es La Liga,27,1990,19.0,472,722,65.4,8457,2608,215,287,74.9,194,283,68.6,55,119,46.2,2,6.8,-4.8,35,34,37,21,66,Matches
475,Raman Chibsah,gh GHA,MF,Frosinone,it Serie A,25,1993,29.1,761,941,80.9,13068,3647,372,431,86.3,314,367,85.6,64,107,59.8,0,0.6,-0.6,18,64,7,2,99,Matches
476,Leandro Chichizola,ar ARG,GK,Getafe,es La Liga,28,1990,1.0,12,26,46.2,597,454,0,0,,3,3,100.0,9,23,39.1,0,0.0,0.0,0,2,0,0,0,Matches
477,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,33,1984,22.1,1147,1339,85.7,26590,8756,286,307,93.2,594,645,92.1,259,369,70.2,1,0.3,+0.7,7,96,5,3,73,Matches
478,Federico Chiesa,it ITA,FWMF,Fiorentina,it Serie A,20,1997,33.7,673,981,68.6,11170,3218,354,453,78.1,242,345,70.1,60,124,48.4,3,5.7,-2.7,51,55,50,9,116,Matches
479,Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,21,1996,36.0,1583,2241,70.6,26092,9668,796,928,85.8,654,906,72.2,104,319,32.6,4,3.0,+1.0,39,102,37,16,144,Matches
480,Vlad Chiricheș,ro ROU,DF,Napoli,it Serie A,28,1989,1.6,124,134,92.5,2776,891,34,35,97.1,64,69,92.8,25,29,86.2,0,0.0,0.0,0,7,0,0,6,Matches
481,Tahith Chong,nl NED,FW,Manchester Utd,eng Premier League,18,1999,0.4,13,15,86.7,231,59,7,7,100.0,4,5,80.0,2,2,100.0,0,0.0,0.0,0,1,1,0,2,Matches
482,Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,20,1997,6.6,203,236,86.0,3757,689,88,99,88.9,83,90,92.2,30,38,78.9,0,0.4,-0.4,4,15,2,1,14,Matches
483,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,22,1996,6.9,416,447,93.1,8159,2538,135,141,95.7,221,237,93.2,53,58,91.4,0,0.0,0.0,0,22,0,0,32,Matches
484,Cyrus Christie,ie IRL,DF,Fulham,eng Premier League,25,1992,21.6,876,1201,72.9,15041,5523,411,471,87.3,384,505,76.0,71,182,39.0,1,1.2,-0.2,19,33,23,11,69,Matches
485,Samuel Chukwueze,ng NGA,FWMF,Villarreal,es La Liga,19,1999,19.0,387,540,71.7,6785,1823,190,240,79.2,148,193,76.7,45,73,61.6,2,1.5,+0.5,23,24,21,4,57,Matches
486,Camillo Ciano,it ITA,FWMF,Frosinone,it Serie A,28,1990,27.3,602,983,61.2,11498,3754,287,352,81.5,190,270,70.4,109,291,37.5,4,5.6,-1.6,59,55,37,18,72,Matches
487,Amato Ciciretti,it ITA,FWMF,Parma,it Serie A,24,1993,1.5,46,62,74.2,893,165,20,22,90.9,16,26,61.5,9,11,81.8,0,0.2,-0.2,2,1,2,0,5,Matches
488,Luca Cigarini,it ITA,MF,Cagliari,it Serie A,32,1986,18.7,1064,1366,77.9,20965,7326,435,493,88.2,448,523,85.7,171,323,52.9,2,2.4,-0.4,34,119,23,4,129,Matches
489,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,31,1987,11.1,493,572,86.2,8537,2178,221,252,87.7,221,251,88.0,43,59,72.9,1,0.4,+0.6,8,58,4,0,46,Matches
490,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,29,1989,3.0,102,115,88.7,2543,1438,16,16,100.0,59,59,100.0,25,38,65.8,0,0.0,0.0,0,0,0,0,0,Matches
491,Laurent Ciman,be BEL,DF,Dijon,fr Ligue 1,32,1985,8.0,495,568,87.1,11976,4203,96,101,95.0,268,281,95.4,129,179,72.1,0,0.3,-0.3,2,43,1,0,40,Matches
492,Daniel Ciofani,it ITA,FW,Frosinone,it Serie A,33,1985,18.0,234,341,68.6,3128,533,158,209,75.6,59,94,62.8,11,22,50.0,2,1.3,+0.7,13,15,5,0,13,Matches
493,Thiago Cionek,pl POL,DF,SPAL,it Serie A,32,1986,28.2,1303,1637,79.6,24167,10599,537,600,89.5,581,681,85.3,171,310,55.2,3,0.9,+2.1,15,116,14,7,92,Matches
494,Ibrahima Cissé,gn GUI,MF,Fulham,eng Premier League,24,1994,1.0,30,33,90.9,451,189,21,22,95.5,7,9,77.8,2,2,100.0,0,0.0,0.0,0,1,0,0,2,Matches
495,Till Cissokho,fr FRA,DF,Bordeaux,fr Ligue 1,18,2000,0.9,27,34,79.4,524,193,13,13,100.0,11,13,84.6,3,7,42.9,0,0.1,-0.1,1,1,1,0,0,Matches
496,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,28,1989,9.5,227,290,78.3,4392,1724,82,94,87.2,113,128,88.3,29,61,47.5,0,0.1,-0.1,1,16,1,0,21,Matches
497,Tom Cleverley,eng ENG,MF,Watford,eng Premier League,28,1989,5.3,177,225,78.7,3124,849,80,94,85.1,67,81,82.7,24,36,66.7,0,0.0,0.0,0,17,4,0,16,Matches
498,Nathaniel Clyne,eng ENG,DF,Bournemouth,eng Premier League,27,1991,12.7,452,594,76.1,7467,3212,224,255,87.8,186,237,78.5,34,69,49.3,1,0.1,+0.9,4,19,10,3,43,Matches
499,Nathaniel Clyne,eng ENG,DF,Liverpool,eng Premier League,27,1991,1.2,70,88,79.5,1057,417,38,44,86.4,24,29,82.8,5,11,45.5,0,0.0,0.0,0,4,1,0,3,Matches
500,Conor Coady,eng ENG,DF,Wolves,eng Premier League,25,1993,38.0,1426,1677,85.0,39750,12914,221,235,94.0,658,701,93.9,540,730,74.0,0,0.0,0.0,1,120,5,0,63,Matches
501,Marcus Coco,fr FRA,FWMF,Guingamp,fr Ligue 1,22,1996,20.4,368,587,62.7,5571,1391,207,278,74.5,128,202,63.4,23,64,35.9,2,1.3,+0.7,16,17,17,10,36,Matches
502,Coke,es ESP,DF,Levante,es La Liga,31,1987,20.2,700,925,75.7,12239,5761,348,406,85.7,282,354,79.7,64,133,48.1,0,1.5,-1.5,15,40,22,10,81,Matches
503,Joel Coleman,eng ENG,GK,Huddersfield,eng Premier League,22,1995,1.0,12,37,32.4,517,326,1,1,100.0,3,3,100.0,8,32,25.0,0,0.0,0.0,0,1,0,0,0,Matches
504,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,29,1988,28.4,1217,1573,77.4,20460,8691,637,718,88.7,460,578,79.6,105,219,47.9,2,2.6,-0.6,22,92,23,11,121,Matches
505,Álex Collado,es ESP,FW,Barcelona,es La Liga,19,1999,0.9,24,28,85.7,356,41,15,17,88.2,8,8,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches
506,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,25,1992,19.6,982,1110,88.5,20700,6020,248,269,92.2,539,582,92.6,168,222,75.7,0,0.0,0.0,1,42,0,0,38,Matches
507,Racine Coly,sn SEN,DFMF,Nice,fr Ligue 1,22,1995,5.6,255,307,83.1,4100,1315,134,149,89.9,106,119,89.1,14,31,45.2,1,0.2,+0.8,2,11,5,3,20,Matches
508,Kingsley Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,22,1996,15.3,545,685,79.6,8790,1497,292,341,85.6,213,260,81.9,34,56,60.7,4,3.4,+0.6,27,16,36,12,43,Matches
509,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,21,1996,22.6,916,1075,85.2,18193,5038,337,387,87.1,417,467,89.3,143,184,77.7,1,0.3,+0.7,10,70,9,3,80,Matches
510,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,33,1985,36.6,1250,1539,81.2,25965,11056,410,465,88.2,629,722,87.1,207,329,62.9,2,0.7,+1.3,7,147,5,1,135,Matches
511,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,31,1987,35.7,849,1172,72.4,25322,14578,144,144,100.0,377,385,97.9,326,641,50.9,0,0.0,0.0,0,10,0,0,0,Matches
512,Andrea Conti,it ITA,DF,Milan,it Serie A,24,1994,5.6,300,361,83.1,5067,1994,142,158,89.9,124,146,84.9,26,41,63.4,2,1.3,+0.7,9,18,9,6,29,Matches
513,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,21,1997,8.0,333,408,81.6,6824,1581,104,123,84.6,163,185,88.1,60,86,69.8,0,0.0,0.0,2,29,6,0,37,Matches
514,Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,27,1991,31.0,1214,1542,78.7,29081,10814,253,293,86.3,669,773,86.5,287,454,63.2,1,1.1,-0.1,12,87,5,1,94,Matches
515,Duje Čop,hr CRO,FW,Valladolid,es La Liga,28,1990,7.6,120,176,68.2,1589,298,73,92,79.3,29,51,56.9,9,13,69.2,0,1.2,-1.2,10,5,6,5,7,Matches
516,Francis Coquelin,fr FRA,MF,Valencia,es La Liga,27,1991,19.6,840,974,86.2,16494,4326,341,381,89.5,362,400,90.5,129,172,75.0,1,0.7,+0.3,16,89,7,0,73,Matches
517,Gabriele Corbo,it ITA,DF,Bologna,it Serie A,18,2000,0.1,5,5,100.0,81,33,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
518,Iñigo Córdoba,es ESP,FW,Athletic Club,es La Liga,21,1997,14.7,308,457,67.4,4828,1473,179,228,78.5,101,139,72.7,25,64,39.1,4,1.1,+2.9,16,16,20,9,28,Matches
519,Sergio Córdova,ve VEN,FW,Augsburg,de Bundesliga,20,1997,5.9,101,132,76.5,1511,254,50,61,82.0,38,49,77.6,7,10,70.0,0,0.2,-0.2,3,7,3,0,10,Matches
520,Benjamin Corgnet,fr FRA,MFFW,Strasbourg,fr Ligue 1,31,1987,7.5,178,286,62.2,2893,602,99,140,70.7,49,92,53.3,23,34,67.6,2,0.8,+1.2,8,13,5,3,17,Matches
521,Ante Ćorić,hr CRO,MF,Roma,it Serie A,21,1997,0.3,10,14,71.4,213,56,4,4,100.0,4,5,80.0,2,5,40.0,0,0.1,-0.1,1,2,0,0,0,Matches
522,Jack Cork,eng ENG,MF,Burnley,eng Premier League,29,1989,36.8,1087,1352,80.4,19916,4316,479,559,85.7,427,506,84.4,148,227,65.2,2,1.4,+0.6,15,104,16,3,88,Matches
523,Andreas Cornelius,dk DEN,FW,Bordeaux,fr Ligue 1,25,1993,8.8,160,253,63.2,2193,336,105,147,71.4,42,78,53.8,8,12,66.7,1,0.6,+0.4,10,12,2,0,9,Matches
524,Maxwel Cornet,ci CIV,FW,Lyon,fr Ligue 1,21,1996,14.2,348,485,71.8,5062,1058,206,251,82.1,119,153,77.8,16,51,31.4,5,3.9,+1.1,26,11,20,6,31,Matches
525,Quentin Cornette,fr FRA,MFFW,Amiens,fr Ligue 1,24,1994,2.3,44,64,68.8,719,247,27,33,81.8,14,21,66.7,3,8,37.5,0,0.0,0.0,0,4,0,0,3,Matches
526,Ángel Correa,ar ARG,MFFW,Atlético Madrid,es La Liga,23,1995,21.3,566,766,73.9,8494,2177,331,398,83.2,191,255,74.9,29,60,48.3,2,4.4,-2.4,33,54,22,3,62,Matches
527,Joaquín Correa,ar ARG,FWMF,Lazio,it Serie A,23,1994,21.4,748,883,84.7,10409,2456,477,540,88.3,192,228,84.2,47,58,81.0,6,5.2,+0.8,51,52,36,0,74,Matches
528,Danny da Costa,de GER,DFMF,Eint Frankfurt,de Bundesliga,25,1993,33.7,868,1368,63.5,15947,7866,389,488,79.7,373,574,65.0,100,236,42.4,4,3.8,+0.2,30,67,39,20,119,Matches
529,Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,29,1988,12.4,220,311,70.7,2992,414,144,177,81.4,56,87,64.4,10,14,71.4,2,1.7,+0.3,9,8,8,0,16,Matches
530,Douglas Costa,br BRA,FWMF,Juventus,it Serie A,27,1990,6.9,271,348,77.9,4896,1206,125,143,87.4,104,127,81.9,37,63,58.7,0,1.8,-1.8,20,20,17,7,33,Matches
531,Filippo Costa,it ITA,MFDF,SPAL,it Serie A,23,1995,6.3,179,248,72.2,3357,1583,80,90,88.9,72,93,77.4,24,56,42.9,0,0.5,-0.5,8,11,6,3,15,Matches
532,Hélder Costa,ao ANG,FWMF,Wolves,eng Premier League,24,1994,14.9,383,506,75.7,5877,1211,203,252,80.6,142,174,81.6,27,50,54.0,2,1.7,+0.3,18,16,19,4,32,Matches
533,Jaume Costa,es ESP,DF,Villarreal,es La Liga,30,1988,16.6,781,964,81.0,14164,5785,324,358,90.5,379,431,87.9,72,149,48.3,0,0.8,-0.8,10,75,19,6,88,Matches
534,Nuno da Costa,cv CPV,FW,Strasbourg,fr Ligue 1,27,1991,22.8,348,500,69.6,4946,1059,217,285,76.1,86,136,63.2,28,42,66.7,5,3.3,+1.7,22,25,10,2,31,Matches
535,David Costas,es ESP,DF,Celta Vigo,es La Liga,23,1995,13.0,614,689,89.1,12945,3973,177,190,93.2,325,344,94.5,107,142,75.4,0,0.0,0.0,0,34,0,0,21,Matches
536,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,31,1987,37.0,792,1150,68.9,28601,19331,64,66,97.0,339,345,98.3,389,739,52.6,0,0.1,-0.1,3,16,0,0,0,Matches
537,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,26,1991,19.5,252,443,56.9,3631,889,172,256,67.2,56,123,45.5,20,43,46.5,2,1.3,+0.7,20,28,8,4,26,Matches
538,Senou Coulibaly,ml MLI,DFMF,Dijon,fr Ligue 1,23,1994,4.6,149,201,74.1,3291,1070,36,43,83.7,87,105,82.9,24,47,51.1,0,0.4,-0.4,1,10,2,0,6,Matches
539,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,26,1992,27.0,643,831,77.4,18387,9686,76,76,100.0,371,374,99.2,194,378,51.3,0,0.0,0.0,0,0,0,0,0,Matches
540,Philippe Coutinho,br BRA,FWMF,Barcelona,es La Liga,26,1992,22.4,1260,1464,86.1,19541,4130,711,778,91.4,449,494,90.9,79,136,58.1,2,3.5,-1.5,32,94,51,3,108,Matches
541,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,19,1999,10.9,390,465,83.9,7543,2280,136,147,92.5,210,230,91.3,41,75,54.7,1,0.4,+0.6,2,30,0,0,25,Matches
542,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,24,1994,38.0,813,1252,64.9,31082,24482,116,118,98.3,274,281,97.5,418,846,49.4,0,0.0,0.0,0,18,1,0,0,Matches
543,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,28,1989,17.7,840,1066,78.8,13888,5694,445,491,90.6,304,364,83.5,71,148,48.0,1,1.0,0.0,16,57,16,5,62,Matches
544,Domenico Criscito,it ITA,DF,Genoa,it Serie A,31,1986,34.1,1267,1755,72.2,27360,12307,426,492,86.6,601,730,82.3,230,484,47.5,4,3.7,+0.3,47,158,55,15,187,Matches
545,Lorenzo Crisetig,it ITA,MF,Frosinone,it Serie A,25,1993,5.6,169,198,85.4,3322,598,64,70,91.4,82,95,86.3,22,31,71.0,0,0.2,-0.2,1,10,2,0,12,Matches
546,Bryan Cristante,it ITA,MF,Roma,it Serie A,23,1995,26.9,1085,1336,81.2,20411,6295,466,538,86.6,465,561,82.9,142,204,69.6,3,1.5,+1.5,24,143,22,3,159,Matches
547,Sebastián Cristóforo,uy URU,MFFW,Getafe,es La Liga,24,1993,5.0,120,155,77.4,2371,813,49,57,86.0,44,49,89.8,22,38,57.9,2,0.5,+1.5,6,16,2,0,15,Matches
548,Enzo Crivelli,fr FRA,FW,Caen,fr Ligue 1,23,1995,25.1,364,557,65.4,4958,810,219,305,71.8,104,167,62.3,23,50,46.0,1,0.8,+0.2,13,18,7,3,21,Matches
549,Peter Crouch,eng ENG,FW,Burnley,eng Premier League,37,1981,1.0,11,25,44.0,140,51,7,17,41.2,4,7,57.1,0,0,,0,0.0,0.0,0,1,1,0,2,Matches
550,Alessio da Cruz,cv CPV,FWMF,Parma,it Serie A,21,1997,1.6,23,29,79.3,370,38,12,16,75.0,10,10,100.0,1,2,50.0,0,0.0,0.0,0,4,0,0,0,Matches
551,Juan Cuadrado,co COL,MFDF,Juventus,it Serie A,30,1988,13.6,684,811,84.3,13464,3490,303,329,92.1,274,313,87.5,102,147,69.4,2,1.8,+0.2,28,56,32,12,83,Matches
552,Cucho,co COL,FW,Huesca,es La Liga,19,1999,23.9,403,606,66.5,6898,1888,214,285,75.1,122,184,66.3,53,93,57.0,3,2.1,+0.9,26,30,36,13,51,Matches
553,Marc Cucurella,es ESP,MFFW,Eibar,es La Liga,20,1998,26.2,763,997,76.5,12127,3490,408,474,86.1,296,385,76.9,48,90,53.3,2,3.4,-1.4,32,44,29,14,68,Matches
554,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,34,1984,33.9,576,1051,54.8,26398,19894,30,31,96.8,149,156,95.5,397,864,45.9,0,0.0,0.0,0,33,1,0,0,Matches
555,Mickaël Cuisance,fr FRA,MF,M'Gladbach,de Bundesliga,18,1999,3.1,121,156,77.6,2332,374,46,57,80.7,58,64,90.6,16,29,55.2,1,0.1,+0.9,3,11,4,0,12,Matches
556,Matheus Cunha,br BRA,FWMF,RB Leipzig,de Bundesliga,19,1999,9.5,161,235,68.5,2402,789,103,135,76.3,44,63,69.8,12,22,54.5,0,0.9,-0.9,8,15,9,1,29,Matches
557,Greg Cunningham,ie IRL,DF,Cardiff City,eng Premier League,27,1991,7.0,157,221,71.0,2717,1267,80,93,86.0,59,80,73.8,17,41,41.5,0,0.1,-0.1,5,13,5,3,9,Matches
558,Patrick Cutrone,it ITA,FW,Milan,it Serie A,20,1998,16.2,241,335,71.9,3355,573,163,203,80.3,64,91,70.3,11,20,55.0,2,2.4,-0.4,21,13,3,0,14,Matches
559,Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,23,1995,26.2,1688,2020,83.6,32576,8605,704,776,90.7,694,768,90.4,264,426,62.0,1,3.8,-2.8,58,143,13,2,139,Matches
560,Marco D'Alessandro,it ITA,DFMF,Udinese,it Serie A,27,1991,16.6,466,665,70.1,7511,2984,248,293,84.6,188,261,72.0,24,66,36.4,2,1.6,+0.4,18,28,11,6,46,Matches
561,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,29,1988,28.7,1615,1918,84.2,29686,11059,669,730,91.6,753,875,86.1,177,272,65.1,5,3.9,+1.1,33,130,33,15,135,Matches
562,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,30,1988,31.9,1247,1424,87.6,27022,7779,312,341,91.5,697,736,94.7,228,322,70.8,1,0.1,+0.9,1,56,3,0,58,Matches
563,Kouadio-Yves Dabila,ci CIV,DF,Lille,fr Ligue 1,21,1997,8.7,325,386,84.2,7187,2441,88,97,90.7,171,183,93.4,65,100,65.0,0,0.0,0.0,0,11,0,0,9,Matches
564,Abdoulaye Dabo,fr FRA,FW,Nantes,fr Ligue 1,17,2001,1.3,26,32,81.3,464,112,13,16,81.3,10,12,83.3,3,3,100.0,0,0.2,-0.2,3,1,2,0,5,Matches
565,Bryan Dabo,bf BFA,MFDF,Fiorentina,it Serie A,26,1992,9.2,342,423,80.9,5809,1598,155,176,88.1,152,181,84.0,28,51,54.9,1,0.7,+0.3,12,30,8,1,45,Matches
566,Christoph Daferner,de GER,FW,Freiburg,de Bundesliga,20,1998,0.3,2,4,50.0,23,0,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
567,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,19,1998,10.2,596,647,92.1,9022,2341,322,347,92.8,247,260,95.0,17,24,70.8,2,1.4,+0.6,13,29,7,6,25,Matches
568,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,22,1996,7.7,373,455,82.0,7448,1728,141,172,82.0,168,191,88.0,59,84,70.2,0,0.8,-0.8,8,35,8,0,45,Matches
569,Leon Dajaku,de GER,MFFW,Stuttgart,de Bundesliga,17,2001,0.3,4,6,66.7,52,4,3,3,100.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
570,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,34,1984,26.2,1090,1276,85.4,20733,9024,441,469,94.0,487,541,90.0,149,243,61.3,2,0.1,+1.9,6,65,4,1,71,Matches
571,Nicola Dalmonte,it ITA,MFFW,Genoa,it Serie A,20,1997,0.5,20,25,80.0,274,107,17,20,85.0,2,4,50.0,1,1,100.0,0,0.0,0.0,1,3,0,0,1,Matches
