Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
212,Michy Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,24,1993,8.3,111,162,68.5,1614,301,68,87,78.2,27,41,65.9,11,19,57.9,0,0.1,-0.1,1,5,2,0,7,Matches
213,Michy Batshuayi,be BEL,FW,Valencia,es La Liga,24,1993,5.9,106,140,75.7,1789,315,59,75,78.7,32,43,74.4,13,16,81.3,0,0.7,-0.7,8,5,4,0,8,Matches
214,Robert Bauer,de GER,DF,Nürnberg,de Bundesliga,23,1995,19.1,594,827,71.8,11390,5284,238,283,84.1,277,349,79.4,72,164,43.9,0,0.6,-0.6,11,63,8,5,63,Matches
215,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33.0,1015,1289,78.7,28202,17507,241,242,99.6,426,435,97.9,338,599,56.4,1,0.6,+0.4,3,23,0,0,0,Matches
216,Timo Baumgartl,de GER,DF,Stuttgart,de Bundesliga,22,1996,18.0,717,865,82.9,15481,6271,223,247,90.3,362,404,89.6,131,203,64.5,0,0.0,0.0,2,40,5,2,40,Matches
217,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,30,1988,17.3,1249,1394,89.6,22638,4905,579,640,90.5,479,523,91.6,163,187,87.2,1,0.9,+0.1,12,98,11,0,94,Matches
218,Christoph Baumgartner,at AUT,MF,Hoffenheim,de Bundesliga,18,1999,0.9,23,36,63.9,394,90,12,18,66.7,9,13,69.2,2,4,50.0,0,0.0,0.0,0,4,0,0,5,Matches
219,Jon Bautista,es ESP,FWMF,Real Sociedad,es La Liga,23,1995,6.6,83,136,61.0,1147,209,49,78,62.8,26,43,60.5,4,5,80.0,0,0.1,-0.1,3,5,2,0,9,Matches
220,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,30,1988,0.8,25,34,73.5,540,239,10,11,90.9,10,13,76.9,5,9,55.6,0,0.0,0.0,0,1,0,0,3,Matches
221,Paul Baysse,fr FRA,DF,Caen,fr Ligue 1,30,1988,19.9,662,813,81.4,16254,5133,142,165,86.1,328,366,89.6,187,268,69.8,0,0.2,-0.2,3,32,1,0,30,Matches
222,Noah Joel Sarenren Bazee,ng NGA,FW,Hannover 96,de Bundesliga,21,1996,1.7,11,22,50.0,154,38,6,8,75.0,5,7,71.4,0,4,0.0,0,0.0,0.0,0,0,0,0,1,Matches
223,Claudio Beauvue,gp GLP,FW,Caen,fr Ligue 1,30,1988,16.7,248,389,63.8,4032,863,136,191,71.2,81,127,63.8,24,48,50.0,0,1.5,-1.5,14,15,10,6,23,Matches
224,Bebé,pt POR,FWMF,Rayo Vallecano,es La Liga,28,1990,14.5,317,527,60.2,5820,1443,166,216,76.9,102,156,65.4,42,122,34.4,1,2.3,-1.3,20,27,16,15,28,Matches
225,Bebé,pt POR,MF,Eibar,es La Liga,28,1990,0.7,20,32,62.5,358,61,11,12,91.7,7,12,58.3,2,7,28.6,0,0.2,-0.2,1,0,1,1,1,Matches
226,Ihlas Bebou,tg TOG,FWMF,Hannover 96,de Bundesliga,24,1994,11.8,295,442,66.7,5206,1744,140,187,74.9,120,164,73.2,31,66,47.0,3,1.8,+1.2,14,26,17,6,46,Matches
227,Uffe Bech,dk DEN,FW,Hannover 96,de Bundesliga,25,1993,0.2,8,11,72.7,112,32,4,5,80.0,3,3,100.0,0,1,0.0,0,0.3,-0.3,2,0,0,0,1,Matches
228,Andreas Beck,de GER,DFMF,Stuttgart,de Bundesliga,31,1987,19.7,615,868,70.9,11863,5224,251,301,83.4,263,338,77.8,93,192,48.4,2,1.0,+1.0,14,48,15,9,57,Matches
229,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,22,1996,23.9,597,847,70.5,12227,5669,197,244,80.7,295,381,77.4,95,202,47.0,1,0.4,+0.6,7,53,3,0,63,Matches
230,Andrea Beghetto,it ITA,DFMF,Frosinone,it Serie A,23,1994,24.7,696,1095,63.6,14587,6402,249,301,82.7,296,409,72.4,141,327,43.1,3,3.7,-0.7,50,48,54,46,72,Matches
231,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,31,1987,24.0,445,660,67.4,15166,10158,53,53,100.0,197,199,99.0,195,408,47.8,0,0.0,0.0,0,2,0,0,0,Matches
232,Valon Behrami,ch SUI,MF,Udinese,it Serie A,33,1985,15.1,396,492,80.5,6534,1650,187,223,83.9,161,193,83.4,36,55,65.5,0,0.4,-0.4,6,20,0,0,25,Matches
233,Hanno Behrens,de GER,MF,Nürnberg,de Bundesliga,28,1990,29.3,620,909,68.2,10300,2853,292,399,73.2,261,347,75.2,56,126,44.4,1,1.6,-0.6,19,45,14,1,68,Matches
234,Ishak Belfodil,dz ALG,FW,Hoffenheim,de Bundesliga,26,1992,20.7,326,455,71.6,4543,904,201,254,79.1,99,152,65.1,12,22,54.5,3,3.5,-0.5,26,18,9,1,31,Matches
235,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,26,1991,25.0,970,1212,80.0,22908,9091,236,263,89.7,485,557,87.1,240,369,65.0,0,1.1,-1.1,20,125,19,3,133,Matches
