,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,30.0,53,1.77,127,80,60.6,14,4,12,9,30.0,4,3,1,0,25.0,Matches
2,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,1260,14.0,18,1.29,51,34,66.7,5,3,6,4,28.6,2,1,0,1,0.0,Matches
3,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19,19,1710,19.0,29,1.53,96,66,70.8,7,6,6,6,31.6,1,1,0,0,0.0,Matches
4,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,37,3330,37.0,28,0.76,135,107,81.5,22,8,7,17,45.9,5,3,2,0,40.0,Matches
5,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,17,16,1475,16.4,29,1.77,75,47,62.7,3,6,7,3,18.8,1,1,0,0,0.0,Matches
6,Ibrahim Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,1,0,17,26.7,2,10.59,2,1,50.0,0,0,0,0,,1,1,0,0,0.0,Matches
7,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1,1,90,1.0,2,2.00,9,7,77.8,1,0,0,0,0.0,0,0,0,0,,Matches
8,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,36,3240,36.0,71,1.97,231,167,71.9,7,4,25,7,19.4,8,6,2,0,25.0,Matches
9,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,33,1984,9,9,765,8.5,8,0.94,30,24,80.0,3,2,4,3,33.3,3,2,1,0,33.3,Matches
10,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34,34,3060,34.0,25,0.74,106,82,77.4,26,6,2,17,50.0,2,1,1,0,50.0,Matches
11,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30,30,2700,30.0,43,1.43,135,95,68.9,7,9,14,7,23.3,3,1,2,0,66.7,Matches
12,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23,23,2070,23.0,30,1.30,91,62,70.3,12,3,8,6,26.1,5,3,2,0,40.0,Matches
13,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,33,1984,13,12,1125,12.5,14,1.12,48,35,72.9,6,3,3,5,41.7,1,1,0,0,0.0,Matches
14,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34,34,3060,34.0,48,1.41,146,104,69.2,15,10,9,10,29.4,4,3,1,0,25.0,Matches
15,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38,38,3420,38.0,61,1.61,171,113,65.5,11,11,16,6,15.8,4,2,1,1,33.3,Matches
16,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,13,13,1113,12.4,32,2.59,73,51,60.3,2,0,10,1,7.7,3,3,0,0,0.0,Matches
17,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2,2,180,2.0,5,2.50,15,11,73.3,0,0,2,0,0.0,1,1,0,0,0.0,Matches
18,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,3,2,225,2.5,0,0.00,6,6,100.0,2,0,0,3,150.0,0,0,0,0,,Matches
19,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28,28,2520,28.0,36,1.29,114,83,71.1,12,8,8,7,25.0,5,3,2,0,40.0,Matches
20,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31,31,2790,31.0,34,1.10,99,66,66.7,13,10,8,8,25.8,2,1,1,0,50.0,Matches
21,Quentin Beunardeau,fr FRA,GK,Metz,fr Ligue 1,23,1994,1,0,38,0.4,2,4.74,4,2,50.0,0,0,0,0,,0,0,0,0,,Matches
22,Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,39,1977,32,32,2880,32.0,52,1.62,137,91,63.5,11,4,17,8,25.0,5,2,2,1,50.0,Matches
23,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,22,1995,22,22,1941,21.6,31,1.44,89,61,68.5,10,4,8,4,18.2,4,3,0,1,0.0,Matches
24,Landry Bonnefoi,fr FRA,GK,Strasbourg,fr Ligue 1,33,1983,4,3,271,3.0,6,1.99,17,11,64.7,2,0,1,0,0.0,0,0,0,0,,Matches
25,Jean-Christophe Bouet,fr FRA,GK,Amiens,fr Ligue 1,34,1983,1,1,90,1.0,1,1.00,6,5,83.3,0,0,1,0,0.0,0,0,0,0,,Matches
26,Yassine Bounou,ma MAR,GK,Girona,es La Liga,26,1991,30,30,2655,29.5,46,1.56,135,94,68.9,13,6,11,9,30.0,5,4,0,1,0.0,Matches
27,Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,34,1983,3,2,226,2.5,1,0.40,5,4,80.0,2,0,0,1,50.0,0,0,0,0,,Matches
28,Alberto Brignoli,it ITA,GK,Benevento,it Serie A,25,1991,13,11,1126,12.5,31,2.48,71,42,59.2,1,2,10,2,18.2,4,2,0,2,0.0,Matches
29,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,39,1978,21,21,1862,20.7,14,0.68,58,48,81.0,17,2,2,11,52.4,4,3,1,0,25.0,Matches
30,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,26,1990,33,33,2969,33.0,43,1.30,140,100,70.7,15,9,9,12,36.4,2,2,0,0,0.0,Matches
31,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,34,1983,19,19,1653,18.4,22,1.20,70,52,72.9,6,5,8,4,21.1,3,3,0,0,0.0,Matches
32,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,24,1993,35,35,3150,35.0,61,1.74,198,144,71.7,7,11,17,6,17.1,5,5,0,0,0.0,Matches
33,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,35,1981,3,3,270,3.0,4,1.33,12,8,66.7,1,1,1,1,33.3,0,0,0,0,,Matches
34,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,23,1994,10,10,900,10.0,16,1.60,43,28,62.8,3,1,6,3,30.0,0,0,0,0,,Matches
35,Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,30,1986,10,10,900,10.0,11,1.10,30,20,63.3,6,2,2,3,30.0,0,0,0,0,,Matches
36,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,25,1992,34,34,3060,34.0,48,1.41,143,102,70.6,6,15,13,8,23.5,10,6,3,1,33.3,Matches
37,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,35,1982,34,34,3039,33.8,48,1.42,129,84,66.7,16,6,12,11,32.4,6,5,1,0,16.7,Matches
38,Nereo Champagne,ar ARG,GK,Leganés,es La Liga,32,1985,2,2,180,2.0,6,3.00,9,4,44.4,0,0,2,0,0.0,1,1,0,0,0.0,Matches
39,Leandro Chichizola,ar ARG,GK,Las Palmas,es La Liga,27,1990,27,27,2430,27.0,47,1.74,151,108,70.9,4,5,18,4,14.8,3,3,0,0,0.0,Matches
40,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,28,1989,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches
41,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,30,1987,37,37,3316,36.8,58,1.57,172,117,67.4,11,10,16,10,27.0,3,2,1,0,33.3,Matches
42,Alex Cordaz,it ITA,GK,Crotone,it Serie A,34,1983,38,38,3420,38.0,66,1.74,199,138,69.8,9,8,21,5,13.2,8,6,1,1,14.3,Matches
43,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,33,1983,4,4,360,4.0,5,1.25,16,12,75.0,1,0,3,1,25.0,1,1,0,0,0.0,Matches
44,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,30,1987,36,36,3240,36.0,45,1.25,119,79,65.5,16,7,13,10,27.8,9,4,4,1,50.0,Matches
45,Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,25,1992,35,35,3150,35.0,34,0.97,104,73,69.2,20,6,9,15,42.9,2,2,0,0,0.0,Matches
46,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,23,1994,29,29,2536,28.2,47,1.67,121,80,66.1,7,4,17,7,24.1,10,6,2,2,25.0,Matches
