,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
354,Josip Brekalo,hr CRO,FWMF,Wolfsburg,de Bundesliga,19,1998,9.7,245,344,71.2,4448,1216,128,162,79.0,79,102,77.5,36,68,52.9,2,1.0,+1.0,13,16,6,1,24,Matches
355,Josip Brekalo,hr CRO,MFFW,Stuttgart,de Bundesliga,19,1998,8.1,208,303,68.6,4006,1027,98,130,75.4,77,106,72.6,31,53,58.5,1,1.2,-0.2,15,19,14,8,19,Matches
356,Jimmy Briand,fr FRA,FW,Guingamp,fr Ligue 1,31,1985,35.7,732,983,74.5,9961,2490,422,519,81.3,238,315,75.6,23,53,43.4,2,2.7,-0.7,26,53,22,1,68,Matches
357,Enrico Brignola,it ITA,FWMF,Benevento,it Serie A,18,1999,15.0,383,472,81.1,6296,1401,187,217,86.2,162,188,86.2,26,42,61.9,2,1.6,+0.4,17,16,16,1,35,Matches
358,Alberto Brignoli,it ITA,GK,Benevento,it Serie A,25,1991,12.5,292,477,61.2,10326,6118,35,36,97.2,116,118,98.3,140,322,43.5,0,0.0,0.0,0,8,0,0,0,Matches
359,Miguel Britos,uy URU,DF,Watford,eng Premier League,32,1985,8.9,309,377,82.0,7350,2851,71,81,87.7,156,170,91.8,81,121,66.9,0,0.1,-0.1,2,35,3,0,32,Matches
360,Leon Britton,eng ENG,MF,Swansea City,eng Premier League,34,1982,3.4,130,140,92.9,2366,402,52,56,92.9,68,71,95.8,10,12,83.3,0,0.0,0.0,0,10,1,0,4,Matches
361,Petar Brlek,hr CRO,MF,Genoa,it Serie A,23,1994,2.6,88,109,80.7,1660,333,36,40,90.0,44,54,81.5,8,13,61.5,0,0.2,-0.2,1,7,1,0,9,Matches
362,John Brooks,us USA,DF,Wolfsburg,de Bundesliga,24,1993,8.1,314,355,88.5,7368,2046,54,61,88.5,196,202,97.0,63,88,71.6,0,0.0,0.0,0,12,0,0,11,Matches
363,Daniel Brosinski,de GER,DFMF,Mainz 05,de Bundesliga,29,1988,27.8,950,1488,63.8,20520,9561,309,399,77.4,437,603,72.5,195,449,43.4,5,3.0,+2.0,42,76,32,10,128,Matches
364,Izzy Brown,eng ENG,MFFW,Brighton,eng Premier League,20,1997,3.5,98,132,74.2,1475,360,53,62,85.5,33,44,75.0,7,13,53.8,0,0.7,-0.7,6,8,4,3,7,Matches
365,Marcelo Brozović,hr CRO,MF,Inter,it Serie A,24,1992,21.4,1504,1781,84.4,30864,9216,587,658,89.2,610,686,88.9,294,397,74.1,8,4.8,+3.2,62,194,46,7,180,Matches
366,Bruma,pt POR,MFFW,RB Leipzig,de Bundesliga,22,1994,17.9,673,857,78.5,9662,2882,419,486,86.2,215,263,81.7,27,59,45.8,2,3.5,-1.5,25,55,35,1,88,Matches
367,Jeffrey Bruma,nl NED,DF,Wolfsburg,de Bundesliga,25,1991,11.0,543,621,87.4,12709,3645,124,143,86.7,287,302,95.0,130,169,76.9,0,0.1,-0.1,1,31,3,1,39,Matches
368,Bruno,es ESP,DF,Brighton,eng Premier League,36,1980,22.4,961,1217,79.0,18641,7705,407,446,91.3,386,467,82.7,154,266,57.9,0,0.9,-0.9,9,50,12,6,54,Matches
369,Chris Brunt,nir NIR,MFDF,West Brom,eng Premier League,32,1984,21.3,731,1054,69.4,16872,7300,252,286,88.1,289,365,79.2,180,378,47.6,7,4.1,+2.9,41,100,24,8,101,Matches
370,Jacob Bruun Larsen,dk DEN,MFDF,Stuttgart,de Bundesliga,18,1998,1.2,28,42,66.7,486,92,14,14,100.0,12,16,75.0,2,8,25.0,0,0.0,0.0,0,1,0,0,2,Matches
371,Jacob Bruun Larsen,dk DEN,DF,Dortmund,de Bundesliga,18,1998,0.1,2,2,100.0,31,13,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
372,Marcel Büchel,li LIE,MF,Hellas Verona,it Serie A,26,1991,18.8,647,843,76.7,11701,2306,290,345,84.1,263,313,84.0,77,149,51.7,0,0.3,-0.3,12,45,4,1,43,Matches
373,Ante Budimir,hr CRO,FW,Crotone,it Serie A,26,1991,17.6,256,391,65.5,3325,628,171,238,71.8,65,108,60.2,7,14,50.0,0,1.7,-1.7,18,17,8,1,21,Matches
374,Alberto Bueno,es ESP,FWMF,Málaga,es La Liga,29,1988,2.5,80,103,77.7,1606,309,35,43,81.4,30,36,83.3,14,22,63.6,0,0.3,-0.3,3,11,2,1,9,Matches
375,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,39,1978,20.7,422,532,79.3,12311,6368,59,61,96.7,209,214,97.7,153,256,59.8,0,0.0,0.0,1,0,0,0,0,Matches
376,Onur Bulut,tr TUR,MF,Freiburg,de Bundesliga,23,1994,0.4,3,6,50.0,51,36,2,4,50.0,0,0,,1,2,50.0,0,0.1,-0.1,1,1,1,1,0,Matches
377,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,18,1999,0.1,6,7,85.7,92,28,4,5,80.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
378,Nicolás Burdisso,ar ARG,DF,Torino,it Serie A,36,1981,23.0,947,1099,86.2,24452,7750,167,195,85.6,477,530,90.0,301,364,82.7,0,0.4,-0.4,3,36,3,1,46,Matches
379,Guido Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,28,1989,25.8,393,556,70.7,5842,1225,251,319,78.7,112,157,71.3,26,39,66.7,4,5.1,-1.1,29,31,9,2,43,Matches
380,Burgui,es ESP,MFFW,Alavés,es La Liga,23,1993,11.5,269,356,75.6,4642,1565,137,163,84.0,102,134,76.1,28,44,63.6,0,2.1,-2.1,17,27,13,1,48,Matches
381,Oliver Burke,sct SCO,FWMF,West Brom,eng Premier League,20,1997,4.1,111,146,76.0,1557,289,79,86,91.9,27,43,62.8,5,10,50.0,2,0.5,+1.5,4,5,3,2,4,Matches
382,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,26,1990,33.0,888,1246,71.3,26513,16640,127,127,100.0,432,442,97.7,329,677,48.6,0,0.0,0.0,0,13,0,0,4,Matches
383,Patrick Burner,mq MTQ,DF,Nice,fr Ligue 1,21,1996,10.0,513,599,85.6,8253,3204,261,279,93.5,212,237,89.5,31,64,48.4,0,0.6,-0.6,12,44,8,1,38,Matches
384,Dženis Burnić,de GER,MFDF,Stuttgart,de Bundesliga,19,1998,3.4,241,269,89.6,4556,679,92,98,93.9,121,130,93.1,28,38,73.7,0,0.4,-0.4,5,10,2,0,15,Matches
385,Sergio Busquets,es ESP,MF,Barcelona,es La Liga,29,1988,28.8,1968,2196,89.6,38218,11221,753,834,90.3,902,975,92.5,284,337,84.3,4,1.6,+2.4,23,206,15,0,173,Matches
386,Unai Bustinza,es ESP,DF,Leganés,es La Liga,25,1992,18.2,524,683,76.7,11015,4341,188,226,83.2,240,285,84.2,95,161,59.0,0,0.4,-0.4,5,33,4,2,33,Matches
387,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,34,1983,18.4,218,392,55.6,7082,4439,22,23,95.7,96,96,100.0,98,269,36.4,0,0.0,0.0,0,5,0,0,0,Matches
388,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,24,1993,35.0,645,1270,50.8,31939,25650,31,33,93.9,156,165,94.5,458,1072,42.7,0,0.0,0.0,1,51,0,0,0,Matches
389,Sam Byram,eng ENG,DF,West Ham,eng Premier League,23,1993,2.8,72,117,61.5,1193,660,35,47,74.5,30,44,68.2,5,21,23.8,0,0.2,-0.2,2,5,4,2,13,Matches
390,Jakub Błaszczykowski,pl POL,FWMF,Wolfsburg,de Bundesliga,31,1985,5.8,136,199,68.3,2463,793,66,88,75.0,55,78,70.5,14,28,50.0,0,0.8,-0.8,6,8,3,3,19,Matches
391,Erick Cabaco,uy URU,DF,Levante,es La Liga,22,1995,11.6,225,322,69.9,5211,2362,51,60,85.0,129,154,83.8,41,100,41.0,0,0.0,0.0,1,18,2,0,22,Matches
392,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,35,1981,3.0,76,99,76.8,2214,1490,15,15,100.0,36,36,100.0,23,44,52.3,0,0.0,0.0,0,0,0,0,0,Matches
393,Yohan Cabaye,fr FRA,MF,Crystal Palace,eng Premier League,31,1986,26.4,1120,1440,77.8,21033,7441,492,541,90.9,416,489,85.1,175,350,50.0,1,4.0,-3.0,44,107,16,0,122,Matches
394,Rémy Cabella,fr FRA,MF,Marseille,fr Ligue 1,27,1990,0.7,30,36,83.3,435,146,17,20,85.0,6,8,75.0,4,5,80.0,0,0.0,0.0,0,5,1,0,3,Matches
395,Rémy Cabella,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,27,1990,25.1,1212,1521,79.7,20536,5675,606,708,85.6,450,542,83.0,125,207,60.4,6,6.3,-0.3,57,130,39,8,150,Matches
396,Gustavo Cabral,ar ARG,DF,Celta Vigo,es La Liga,31,1985,21.0,1129,1294,87.2,25438,7032,241,273,88.3,675,727,92.8,207,283,73.1,1,0.4,+0.6,3,52,1,0,47,Matches
397,Leandro Cabrera,uy URU,DF,Crotone,it Serie A,26,1991,4.1,76,118,64.4,1856,976,14,21,66.7,45,58,77.6,16,37,43.2,0,0.1,-0.1,1,10,1,0,8,Matches
398,Leandro Cabrera,uy URU,DF,Getafe,es La Liga,26,1991,8.0,148,308,48.1,3475,2132,43,67,64.2,66,106,62.3,37,125,29.6,0,0.1,-0.1,2,28,9,3,28,Matches
399,Fabrizio Cacciatore,it ITA,DF,Chievo,it Serie A,30,1986,31.9,1494,1975,75.6,29003,13071,587,675,87.0,665,814,81.7,227,427,53.2,2,3.6,-1.6,38,105,68,26,193,Matches
400,Martín Cáceres,uy URU,DF,Hellas Verona,it Serie A,30,1987,12.9,409,556,73.6,8054,3759,169,206,82.0,171,225,76.0,60,108,55.6,1,0.7,+0.3,5,36,5,3,42,Matches
401,Martín Cáceres,uy URU,DF,Lazio,it Serie A,30,1987,4.9,185,227,81.5,3996,1287,58,68,85.3,85,98,86.7,41,54,75.9,0,0.2,-0.2,5,17,3,2,14,Matches
402,Cafú,pt POR,MF,Metz,fr Ligue 1,24,1993,7.6,231,281,82.2,4435,999,94,109,86.2,105,124,84.7,29,35,82.9,0,0.1,-0.1,4,23,2,0,26,Matches
403,Jonathan Cafu,br BRA,FWMF,Bordeaux,fr Ligue 1,26,1991,7.0,242,307,78.8,3597,860,144,164,87.8,82,103,79.6,12,21,57.1,1,1.0,0.0,14,6,7,0,15,Matches
404,Gary Cahill,eng ENG,DF,Chelsea,eng Premier League,31,1985,23.2,1189,1336,89.0,24165,8068,377,412,91.5,628,682,92.1,173,223,77.6,0,0.1,-0.1,3,67,2,0,52,Matches
405,Yannick Cahuzac,fr FRA,MF,Toulouse,fr Ligue 1,32,1985,16.9,460,579,79.4,8603,2376,179,222,80.6,201,239,84.1,65,89,73.0,0,0.4,-0.4,5,49,2,1,39,Matches
406,Felipe Caicedo,ec ECU,FW,Lazio,it Serie A,28,1988,8.0,143,178,80.3,1922,435,86,100,86.0,36,49,73.5,9,13,69.2,2,0.8,+1.2,8,8,6,0,16,Matches
407,Caiuby,br BRA,FWMF,Augsburg,de Bundesliga,29,1988,31.7,700,1046,66.9,12080,3650,363,492,73.8,240,359,66.9,81,136,59.6,7,3.7,+3.3,30,68,34,18,84,Matches
408,Cala,es ESP,DF,Getafe,es La Liga,27,1989,20.0,416,654,63.6,12700,4967,75,98,76.5,156,222,70.3,180,319,56.4,2,0.3,+1.7,5,45,0,0,30,Matches
409,Davide Calabria,it ITA,DF,Milan,it Serie A,20,1996,17.4,885,1126,78.6,15630,6143,404,459,88.0,385,478,80.5,85,158,53.8,2,1.7,+0.3,17,64,22,15,72,Matches
410,Mattia Caldara,it ITA,DF,Atalanta,it Serie A,23,1994,24.0,870,1011,86.1,21097,4478,166,201,82.6,433,483,89.6,258,303,85.1,1,0.1,+0.9,2,27,0,0,25,Matches
411,Carlos Calderón,es ESP,FW,Getafe,es La Liga,22,1995,0.0,1,2,50.0,11,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
412,Luca Caldirola,it ITA,DF,Werder Bremen,de Bundesliga,26,1991,1.0,23,34,67.6,565,110,3,5,60.0,12,14,85.7,7,13,53.8,0,0.0,0.0,0,1,0,0,0,Matches
413,Hakan Çalhanoğlu,tr TUR,FWMF,Milan,it Serie A,23,1994,24.1,1023,1346,76.0,19914,4931,458,537,85.3,383,454,84.4,165,306,53.9,6,8.1,-2.1,70,87,47,18,115,Matches
414,Fabrizio Caligara,it ITA,MF,Cagliari,it Serie A,17,2000,0.2,5,5,100.0,69,0,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
415,Daniel Caligiuri,it ITA,DFMF,Schalke 04,de Bundesliga,29,1988,32.4,1246,1786,69.8,23776,10803,488,580,84.1,580,763,76.0,160,381,42.0,10,4.7,+5.3,46,73,24,10,147,Matches
416,José Callejón,es ESP,FW,Napoli,it Serie A,30,1987,36.0,1290,1675,77.0,21170,4220,729,838,87.0,389,487,79.9,141,288,49.0,9,7.5,+1.5,72,62,41,20,88,Matches
417,Jonathan Calleri,ar ARG,FW,Las Palmas,es La Liga,23,1993,34.5,462,725,63.7,7339,1450,254,371,68.5,155,228,68.0,37,82,45.1,3,1.7,+1.3,21,29,18,1,41,Matches
418,Simone Calvano,it ITA,MF,Hellas Verona,it Serie A,24,1993,7.2,188,242,77.7,3580,983,90,109,82.6,69,86,80.2,25,39,64.1,0,0.2,-0.2,2,21,1,1,22,Matches
419,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,20,1997,20.9,317,503,63.0,4249,1001,195,276,70.7,85,146,58.2,12,25,48.0,6,2.0,+4.0,19,12,13,5,30,Matches
420,Ignacio Camacho,es ESP,MFDF,Wolfsburg,de Bundesliga,27,1990,10.6,397,532,74.6,7717,2874,162,194,83.5,168,212,79.2,58,108,53.7,0,0.4,-0.4,4,40,2,0,44,Matches
421,Abdoul Camara,gn GUI,FWMF,Guingamp,fr Ligue 1,27,1990,9.9,223,313,71.2,3301,793,129,160,80.6,71,100,71.0,14,33,42.4,1,0.8,+0.2,9,9,9,3,20,Matches
422,Souleymane Camara,sn SEN,FW,Montpellier,fr Ligue 1,34,1982,10.4,169,257,65.8,2725,437,83,118,70.3,60,85,70.6,14,27,51.9,2,1.1,+0.9,11,8,7,1,15,Matches
423,Víctor Camarasa,es ESP,MF,Betis,es La Liga,23,1994,13.9,543,628,86.5,9744,1634,238,269,88.5,241,268,89.9,57,73,78.1,0,1.3,-1.3,13,61,4,2,33,Matches
424,Geoff Cameron,us USA,DFMF,Stoke City,eng Premier League,32,1985,16.9,403,580,69.5,8181,3428,148,171,86.5,180,224,80.4,66,167,39.5,0,0.1,-0.1,6,42,4,1,46,Matches
425,José Campaña,es ESP,MF,Levante,es La Liga,24,1993,30.4,1300,1609,80.8,25257,7959,526,605,86.9,555,647,85.8,199,305,65.2,4,4.5,-0.5,52,136,38,12,173,Matches
426,Joel Campbell,cr CRC,MFFW,Betis,es La Liga,25,1992,2.4,80,94,85.1,1318,321,42,47,89.4,30,35,85.7,7,11,63.6,1,0.4,+0.6,4,4,4,0,8,Matches
427,Tyrese Campbell,eng ENG,FW,Stoke City,eng Premier League,17,1999,0.9,10,17,58.8,140,44,4,8,50.0,6,6,100.0,0,1,0.0,0,0.0,0.0,0,1,4,0,4,Matches
428,Emre Can,de GER,MF,Liverpool,eng Premier League,23,1994,23.2,1327,1535,86.4,25257,5197,530,584,90.8,609,666,91.4,170,243,70.0,4,2.9,+1.1,23,123,23,0,110,Matches
429,Sergio Canales,es ESP,MFFW,Real Sociedad,es La Liga,26,1991,21.4,1038,1299,79.9,19757,4703,457,517,88.4,416,486,85.6,148,261,56.7,5,5.5,-0.5,56,96,43,11,86,Matches
430,João Cancelo,pt POR,DF,Inter,it Serie A,23,1994,20.6,1244,1616,77.0,22159,9080,592,652,90.8,490,603,81.3,148,320,46.3,2,4.0,-2.0,39,98,41,13,133,Matches
431,João Cancelo,pt POR,MF,Valencia,es La Liga,23,1994,1.0,28,44,63.6,483,156,12,20,60.0,13,18,72.2,3,5,60.0,0,0.5,-0.5,5,1,4,0,6,Matches
432,Antonio Candreva,it ITA,FW,Inter,it Serie A,30,1987,28.2,1160,1614,71.9,20339,5880,622,715,87.0,370,509,72.7,147,327,45.0,7,9.5,-2.5,71,60,74,37,114,Matches
433,Paolo Cannavaro,it ITA,DF,Sassuolo,it Serie A,36,1981,16.0,441,560,78.8,9516,3943,142,156,91.0,224,251,89.2,74,145,51.0,0,0.1,-0.1,3,49,1,0,40,Matches
434,Ander Capa,es ESP,DF,Eibar,es La Liga,25,1992,25.0,1036,1471,70.4,20598,9060,393,499,78.8,467,597,78.2,163,316,51.6,1,1.3,-0.3,16,82,31,16,109,Matches
435,Pierrick Capelle,fr FRA,MFFW,Angers,fr Ligue 1,30,1987,20.9,631,815,77.4,11205,3667,285,338,84.3,255,310,82.3,72,120,60.0,1,2.5,-1.5,32,63,19,4,83,Matches
436,Leonardo Capezzi,it ITA,MF,Sampdoria,it Serie A,22,1995,2.4,103,132,78.0,1667,689,56,58,96.6,37,48,77.1,9,25,36.0,1,0.8,+0.2,9,15,4,0,18,Matches
437,Étienne Capoue,fr FRA,MF,Watford,eng Premier League,29,1988,17.1,712,860,82.8,14111,3368,303,343,88.3,281,323,87.0,114,169,67.5,0,0.9,-0.9,8,69,8,1,62,Matches
438,Elio Capradossi,it ITA,DF,Roma,it Serie A,21,1996,0.9,46,51,90.2,941,280,18,18,100.0,19,21,90.5,9,11,81.8,0,0.0,0.0,0,4,0,0,2,Matches
439,Gianluca Caprari,it ITA,FWMF,Sampdoria,it Serie A,24,1993,20.1,505,676,74.7,7385,2026,304,358,84.9,152,206,73.8,35,79,44.3,3,3.3,-0.3,30,28,39,3,65,Matches
440,Marco Capuano,it ITA,DF,Crotone,it Serie A,25,1991,15.6,493,615,80.2,9619,3260,163,187,87.2,263,296,88.9,64,127,50.4,0,0.0,0.0,0,24,0,0,29,Matches
441,Marco Capuano,it ITA,DF,Cagliari,it Serie A,25,1991,7.7,299,390,76.7,4996,2256,151,166,91.0,127,168,75.6,17,46,37.0,0,0.1,-0.1,2,14,2,1,22,Matches
442,Antonio Caracciolo,it ITA,DF,Hellas Verona,it Serie A,27,1990,31.7,788,978,80.6,17933,5240,196,222,88.3,406,460,88.3,178,280,63.6,4,0.8,+3.2,3,25,2,1,32,Matches
443,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,23,1994,10.0,160,200,80.0,4247,2665,40,40,100.0,67,67,100.0,50,90,55.6,0,0.0,0.0,0,0,0,0,0,Matches
444,Diego Carlos,br BRA,DF,Nantes,fr Ligue 1,24,1993,25.5,680,909,74.8,15139,6811,214,254,84.3,317,369,85.9,139,264,52.7,0,0.5,-0.5,7,72,2,1,58,Matches
445,Lionel Carole,fr FRA,DF,Sevilla,es La Liga,26,1991,6.0,280,350,80.0,4879,1832,132,151,87.4,123,146,84.2,23,46,50.0,1,0.1,+0.9,2,21,4,0,23,Matches
446,Yannick Carrasco,be BEL,MFFW,Atlético Madrid,es La Liga,23,1993,10.0,254,344,73.8,3738,947,150,178,84.3,85,114,74.6,12,29,41.4,4,2.3,+1.7,16,18,7,3,23,Matches
447,Michael Carrick,eng ENG,MF,Manchester Utd,eng Premier League,36,1981,1.2,83,99,83.8,1727,845,35,37,94.6,29,31,93.5,18,28,64.3,0,0.0,0.0,1,14,0,0,14,Matches
448,Daniel Carriço,pt POR,DF,Sevilla,es La Liga,28,1988,5.1,218,251,86.9,4638,1743,74,79,93.7,105,114,92.1,38,55,69.1,0,0.0,0.0,0,12,1,0,12,Matches
449,André Carrillo,pe PER,FWMF,Watford,eng Premier League,26,1991,17.1,571,767,74.4,9266,2528,318,365,87.1,174,244,71.3,63,112,56.3,2,2.5,-0.5,17,37,25,8,63,Matches
450,Guido Carrillo,ar ARG,FW,Southampton,eng Premier League,26,1991,5.0,86,120,71.7,1233,241,59,76,77.6,19,29,65.5,7,9,77.8,1,0.4,+0.6,4,6,3,0,9,Matches
451,Guido Carrillo,ar ARG,FWMF,Monaco,fr Ligue 1,26,1991,4.7,60,94,63.8,738,75,38,51,74.5,17,29,58.6,1,6,16.7,0,0.2,-0.2,3,3,1,0,3,Matches
452,Thomas Carrique,fr FRA,DF,Bordeaux,fr Ligue 1,18,1999,1.0,38,46,82.6,608,313,18,22,81.8,17,19,89.5,1,2,50.0,0,0.0,0.0,1,3,1,0,5,Matches
453,Andy Carroll,eng ENG,FW,West Ham,eng Premier League,28,1989,8.3,154,253,60.9,2568,506,73,103,70.9,56,92,60.9,16,37,43.2,0,0.5,-0.5,6,9,8,3,12,Matches
454,Tom Carroll,eng ENG,MF,Swansea City,eng Premier League,25,1992,28.6,1228,1556,78.9,23278,7282,547,601,91.0,471,545,86.4,179,340,52.6,4,3.9,+0.1,48,159,32,7,160,Matches
455,Federico Cartabia,ar ARG,FWMF,La Coruña,es La Liga,24,1993,14.7,444,601,73.9,7948,2110,207,256,80.9,182,242,75.2,49,82,59.8,1,1.6,-0.6,23,30,20,7,44,Matches
456,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,25,1992,24.7,1546,1839,84.1,27420,8230,738,822,89.8,632,731,86.5,161,243,66.3,2,2.9,-0.9,35,100,51,26,139,Matches
457,Casemiro,br BRA,MF,Real Madrid,es La Liga,25,1992,28.8,1538,1757,87.5,30731,7951,630,691,91.2,636,704,90.3,251,317,79.2,3,2.1,+0.9,20,146,15,3,117,Matches
458,Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,30,1986,10.0,162,215,75.3,4630,2647,29,30,96.7,77,80,96.3,56,105,53.3,0,0.0,0.0,0,1,0,0,0,Matches
459,Francesco Cassata,it ITA,MF,Sassuolo,it Serie A,20,1997,5.1,86,132,65.2,1677,498,45,53,84.9,18,26,69.2,21,43,48.8,0,0.0,0.0,1,13,3,1,14,Matches
460,Timothy Castagne,be BEL,DFMF,Atalanta,it Serie A,21,1995,16.7,776,963,80.6,12809,4527,375,432,86.8,346,425,81.4,48,77,62.3,1,2.2,-1.2,18,54,21,7,86,Matches
461,Leandro Castán,br BRA,DF,Cagliari,it Serie A,30,1986,12.7,412,537,76.7,8508,2940,133,145,91.7,201,233,86.3,71,141,50.4,1,0.4,+0.6,1,33,2,0,31,Matches
462,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,25,1992,34.0,842,1296,65.0,29055,19027,86,87,98.9,350,357,98.0,406,850,47.8,0,0.1,-0.1,1,12,1,0,0,Matches
463,Dani Castellano,es ESP,DF,Las Palmas,es La Liga,29,1987,22.5,815,1052,77.5,13563,5661,400,462,86.6,348,440,79.1,50,113,44.2,2,0.7,+1.3,13,59,8,5,52,Matches
464,Javi Castellano,es ESP,MF,Las Palmas,es La Liga,29,1987,17.4,943,1065,88.5,16190,4258,435,492,88.4,405,439,92.3,88,107,82.2,0,0.3,-0.3,4,60,2,1,34,Matches
465,Samu Castillejo,es ESP,MFFW,Villarreal,es La Liga,22,1995,23.0,762,1000,76.2,13950,3840,342,408,83.8,316,386,81.9,95,177,53.7,5,3.3,+1.7,42,51,28,9,79,Matches
466,Chory Castro,uy URU,MFFW,Málaga,es La Liga,32,1984,22.9,655,995,65.8,12263,4400,313,391,80.1,223,327,68.2,102,233,43.8,2,2.3,-0.3,37,60,33,13,96,Matches
467,Gonzalo Castro,de GER,MF,Dortmund,de Bundesliga,30,1987,13.4,691,841,82.2,12214,3210,313,341,91.8,302,358,84.4,71,130,54.6,2,3.4,-1.4,36,74,22,2,82,Matches
468,Jonny Castro,es ESP,DF,Celta Vigo,es La Liga,23,1994,35.6,1696,2068,82.0,30447,10669,706,803,87.9,816,962,84.8,154,250,61.6,1,2.0,-1.0,24,110,29,10,121,Matches
469,Lucas Castro,ar ARG,MF,Chievo,it Serie A,28,1989,22.1,756,1026,73.7,13541,3953,339,417,81.3,318,407,78.1,88,162,54.3,4,2.2,+1.8,30,84,23,9,101,Matches
470,Rubén Castro,es ESP,FW,Betis,es La Liga,36,1981,4.0,45,55,81.8,687,158,24,29,82.8,16,19,84.2,4,6,66.7,1,0.5,+0.5,2,3,0,0,4,Matches
471,Danilo Cataldi,it ITA,MF,Benevento,it Serie A,22,1994,25.4,1109,1358,81.7,20887,5446,473,537,88.1,479,546,87.7,150,248,60.5,4,1.8,+2.2,31,102,24,5,100,Matches
472,Craig Cathcart,nir NIR,DF,Watford,eng Premier League,28,1989,5.8,140,173,80.9,3530,1208,40,42,95.2,54,58,93.1,44,70,62.9,0,0.0,0.0,0,11,1,0,10,Matches
473,Edinson Cavani,uy URU,FW,Paris S-G,fr Ligue 1,30,1987,28.7,395,506,78.1,6065,990,217,272,79.8,137,159,86.2,27,41,65.9,6,4.8,+1.2,31,14,21,0,38,Matches
474,Marijan Ćavar,ba BIH,FWMF,Eint Frankfurt,de Bundesliga,19,1998,0.4,7,8,87.5,103,10,5,6,83.3,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
475,Dani Ceballos,es ESP,MFFW,Real Madrid,es La Liga,20,1996,4.5,335,357,93.8,5743,1277,173,179,96.6,121,128,94.5,35,41,85.4,0,0.4,-0.4,5,34,5,3,25,Matches
476,Federico Ceccherini,it ITA,DF,Crotone,it Serie A,25,1992,35.9,1015,1263,80.4,22209,6625,244,283,86.2,602,672,89.6,158,284,55.6,0,0.4,-0.4,7,65,7,1,78,Matches
477,Emanuel Cecchini,ar ARG,MFDF,Málaga,es La Liga,20,1996,0.3,15,18,83.3,248,56,10,12,83.3,3,3,100.0,2,2,100.0,0,0.0,0.0,0,3,0,0,1,Matches
478,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,35,1982,33.8,741,1038,71.4,23670,14941,65,68,95.6,361,361,100.0,315,608,51.8,0,0.0,0.0,0,8,0,0,1,Matches
479,Ricardo Centurión,ar ARG,MFFW,Genoa,it Serie A,24,1993,0.6,13,21,61.9,160,72,9,14,64.3,3,4,75.0,0,1,0.0,0,0.0,0.0,0,1,1,0,1,Matches
480,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,27,1989,24.7,907,1160,78.2,22054,8910,231,267,86.5,414,476,87.0,254,394,64.5,0,0.8,-0.8,6,93,7,0,72,Matches
481,Fabio Ceravolo,it ITA,FW,Benevento,it Serie A,30,1987,0.6,7,11,63.6,105,26,6,8,75.0,0,2,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
482,Alessio Cerci,it ITA,FWMF,Hellas Verona,it Serie A,30,1987,18.2,318,487,65.3,5397,1547,153,199,76.9,117,183,63.9,36,78,46.2,1,3.0,-2.0,21,17,17,4,38,Matches
483,Boštjan Cesar,si SVN,DF,Chievo,it Serie A,35,1982,6.1,186,238,78.2,4187,1531,43,53,81.1,98,119,82.4,42,62,67.7,0,0.0,0.0,0,12,0,0,16,Matches
484,Damir Ceter,co COL,FWMF,Cagliari,it Serie A,19,1997,2.2,37,58,63.8,522,103,23,35,65.7,12,20,60.0,1,2,50.0,0,0.2,-0.2,4,4,2,0,3,Matches
485,Nacer Chadli,be BEL,MFFW,West Brom,eng Premier League,27,1989,2.9,56,80,70.0,796,172,33,40,82.5,21,26,80.8,1,9,11.1,0,0.1,-0.1,2,3,2,0,4,Matches
