,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
215,Gil Bastião Dias,pt POR,FW,Monaco,fr Ligue 1,20,1996,0.1,1,1,100.0,8,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
216,Samuel Bastien,cd COD,MFFW,Chievo,it Serie A,20,1996,15.1,403,487,82.8,7184,1405,180,212,84.9,169,189,89.4,47,68,69.1,0,0.3,-0.3,7,26,8,2,28,Matches
217,Borja Bastón,es ESP,FW,Málaga,es La Liga,24,1992,10.9,181,236,76.7,2375,279,118,141,83.7,46,63,73.0,7,13,53.8,0,0.6,-0.6,5,9,2,0,3,Matches
218,Alessandro Bastoni,it ITA,DF,Atalanta,it Serie A,18,1999,1.0,72,84,85.7,1302,384,28,34,82.4,38,41,92.7,5,6,83.3,0,0.1,-0.1,2,6,0,0,7,Matches
219,Bastos,ao ANG,DF,Lazio,it Serie A,26,1991,15.6,786,866,90.8,15922,4527,268,282,95.0,393,416,94.5,120,156,76.9,0,0.1,-0.1,3,45,2,1,35,Matches
220,Michy Batshuayi,be BEL,FW,Dortmund,de Bundesliga,23,1993,9.3,128,183,69.9,1863,418,78,105,74.3,35,46,76.1,9,15,60.0,1,0.5,+0.5,4,8,6,0,12,Matches
221,Michy Batshuayi,be BEL,FW,Chelsea,eng Premier League,23,1993,4.0,68,91,74.7,978,129,40,46,87.0,19,28,67.9,4,5,80.0,1,0.2,+0.8,2,5,1,0,4,Matches
222,Moritz Bauer,at AUT,DFMF,Stoke City,eng Premier League,25,1992,14.5,291,470,61.9,5797,2759,120,159,75.5,103,154,66.9,62,135,45.9,0,1.0,-1.0,14,18,11,9,17,Matches
223,Robert Bauer,de GER,DF,Werder Bremen,de Bundesliga,22,1995,10.6,368,503,73.2,7727,3818,111,135,82.2,193,248,77.8,56,101,55.4,0,0.2,-0.2,5,33,5,3,37,Matches
224,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34.0,975,1405,69.4,27957,17825,220,222,99.1,417,427,97.7,329,745,44.2,0,0.0,0.0,0,13,0,0,1,Matches
225,Timo Baumgartl,de GER,DF,Stuttgart,de Bundesliga,21,1996,29.0,1263,1544,81.8,27413,10156,366,408,89.7,632,717,88.1,258,397,65.0,0,0.4,-0.4,6,90,12,2,102,Matches
226,Julian Baumgartlinger,at AUT,MFDF,Leverkusen,de Bundesliga,29,1988,15.5,867,951,91.2,16036,3676,401,430,93.3,333,357,93.3,125,140,89.3,0,0.5,-0.5,10,57,6,0,56,Matches
227,Jon Bautista,es ESP,FWMF,Real Sociedad,es La Liga,22,1995,2.0,25,35,71.4,290,68,12,18,66.7,6,9,66.7,1,2,50.0,0,0.2,-0.2,1,2,3,0,3,Matches
228,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,29,1988,6.3,243,293,82.9,5449,1627,70,79,88.6,116,134,86.6,55,73,75.3,0,0.0,0.0,0,24,0,0,14,Matches
229,Paul Baysse,fr FRA,DF,Málaga,es La Liga,29,1988,13.8,436,554,78.7,9830,2797,118,146,80.8,228,265,86.0,88,138,63.8,0,0.0,0.0,0,14,1,0,14,Matches
230,Noah Joel Sarenren Bazee,ng NGA,FWMF,Hannover 96,de Bundesliga,20,1996,1.3,11,25,44.0,151,53,6,13,46.2,5,10,50.0,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
231,Hervé Bazile,ht HAI,FWMF,Caen,fr Ligue 1,27,1990,9.7,178,323,55.1,3408,1038,86,109,78.9,60,100,60.0,30,94,31.9,1,1.5,-0.5,14,11,10,6,16,Matches
232,Riechedly Bazoer,nl NED,MF,Wolfsburg,de Bundesliga,20,1996,6.6,213,249,85.5,4416,680,71,79,89.9,101,115,87.8,36,48,75.0,0,0.1,-0.1,2,11,1,1,10,Matches
233,Enrico Bearzotti,it ITA,DFFW,Hellas Verona,it Serie A,20,1996,4.6,128,174,73.6,2415,1037,46,55,83.6,69,83,83.1,12,30,40.0,0,0.1,-0.1,1,9,1,0,15,Matches
234,Claudio Beauvue,gp GLP,FW,Leganés,es La Liga,29,1988,18.6,210,317,66.2,2786,515,136,179,76.0,60,97,61.9,6,22,27.3,0,1.1,-1.1,11,12,8,1,16,Matches
