,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
750,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,31,1986,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
751,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,25,1992,13,11,867,9.6,0,1,0,0,0,3,1,0.00,0.10,0.10,0.00,0.10,0.4,0.4,1.0,1.5,0.05,0.11,0.15,0.05,0.15,Matches
752,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,23,1994,19,18,1596,17.7,3,2,3,0,0,1,0,0.17,0.11,0.28,0.17,0.28,1.0,1.0,0.6,1.6,0.05,0.04,0.09,0.05,0.09,Matches
753,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,20,1996,33,33,2914,32.4,2,2,2,0,0,6,0,0.06,0.06,0.12,0.06,0.12,0.9,0.9,1.3,2.3,0.03,0.04,0.07,0.03,0.07,Matches
754,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,23,1993,31,30,2691,29.9,1,0,1,0,0,11,1,0.03,0.00,0.03,0.03,0.03,1.1,1.1,0.1,1.1,0.04,0.00,0.04,0.04,0.04,Matches
755,Breel Embolo,ch SUI,FWMF,Schalke 04,de Bundesliga,20,1997,21,9,919,10.2,3,0,3,0,0,4,0,0.29,0.00,0.29,0.29,0.29,3.8,3.8,0.2,4.0,0.38,0.01,0.39,0.38,0.39,Matches
756,Youssef En-Nesyri,ma MAR,FW,Málaga,es La Liga,20,1997,25,16,1596,17.7,4,0,4,0,1,2,1,0.23,0.00,0.23,0.23,0.23,4.8,4.0,0.9,5.0,0.27,0.05,0.32,0.23,0.28,Matches
757,Sergi Enrich,es ESP,FW,Eibar,es La Liga,27,1990,19,14,1330,14.8,3,1,3,0,0,2,0,0.20,0.07,0.27,0.20,0.27,2.9,2.9,0.9,3.8,0.20,0.06,0.26,0.20,0.26,Matches
758,Javier Eraso,es ESP,MFFW,Leganés,es La Liga,27,1990,34,31,2533,28.1,4,3,4,0,0,4,0,0.14,0.11,0.25,0.14,0.25,4.1,4.1,2.9,7.0,0.15,0.10,0.25,0.15,0.25,Matches
759,Christian Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,25,1992,37,37,3218,35.8,10,10,10,0,0,0,0,0.28,0.28,0.56,0.28,0.56,6.9,6.9,12.4,19.3,0.19,0.35,0.54,0.19,0.54,Matches
760,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,24,1993,28,16,1565,17.4,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,1.3,1.3,0.5,1.8,0.07,0.03,0.10,0.07,0.10,Matches
761,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,27,1989,27,26,2332,25.9,0,2,0,0,0,10,0,0.00,0.08,0.08,0.00,0.08,1.2,1.2,1.2,2.4,0.04,0.05,0.09,0.04,0.09,Matches
762,Bernardo Espinosa,co COL,DF,Girona,es La Liga,28,1989,34,32,2868,31.9,0,3,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09,1.7,1.7,0.8,2.5,0.05,0.02,0.08,0.05,0.08,Matches
763,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,29,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
764,Alexander Esswein,de GER,FWMF,Hertha BSC,de Bundesliga,27,1990,16,6,617,6.9,2,1,2,0,0,0,0,0.29,0.15,0.44,0.29,0.44,0.8,0.8,0.2,1.0,0.12,0.03,0.15,0.12,0.15,Matches
765,Oghenekaro Etebo,ng NGA,MF,Las Palmas,es La Liga,21,1995,14,14,1215,13.5,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,0.3,0.9,0.04,0.02,0.06,0.04,0.06,Matches
766,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,30,1987,24,12,1120,12.4,0,2,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,0.4,0.4,1.7,2.1,0.03,0.14,0.17,0.03,0.17,Matches
767,Xabier Etxeita,es ESP,DF,Athletic Club,es La Liga,29,1987,5,5,376,4.2,1,0,1,0,0,2,0,0.24,0.00,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.07,0.00,0.07,0.07,0.07,Matches
768,Jonny Evans,nir NIR,DF,West Brom,eng Premier League,29,1988,28,26,2270,25.2,2,2,2,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.9,1.9,0.4,2.3,0.08,0.02,0.09,0.08,0.09,Matches
769,Franck Evina,cm CMR,FW,Bayern Munich,de Bundesliga,17,2000,2,2,110,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.08,0.06,0.14,0.08,0.14,Matches
770,Patrice Evra,fr FRA,DF,Marseille,fr Ligue 1,36,1981,4,4,349,3.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.04,0.03,0.07,0.04,0.07,Matches
771,Patrice Evra,fr FRA,DF,West Ham,eng Premier League,36,1981,5,3,228,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
772,Edu Expósito,es ESP,MFFW,La Coruña,es La Liga,20,1996,3,0,96,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
773,Erik Expósito,es ESP,FW,Las Palmas,es La Liga,21,1996,10,4,467,5.2,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,1.1,1.1,0.2,1.3,0.21,0.04,0.25,0.21,0.25,Matches
774,Valentin Eysseric,fr FRA,MFFW,Nice,fr Ligue 1,25,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.18,0.20,0.02,0.20,Matches
775,Valentin Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,25,1992,21,8,706,7.8,1,1,1,0,0,2,0,0.13,0.13,0.25,0.13,0.25,1.1,1.1,1.5,2.5,0.13,0.19,0.32,0.13,0.32,Matches
776,Imoh Ezekiel,ng NGA,FWMF,Las Palmas,es La Liga,23,1993,10,5,469,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,1.2,0.21,0.01,0.23,0.21,0.23,Matches
777,Marco Fabián,mx MEX,FWMF,Eint Frankfurt,de Bundesliga,28,1989,7,3,422,4.7,1,0,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,1.3,1.3,0.9,2.3,0.29,0.20,0.49,0.29,0.49,Matches
778,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,32,1985,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
779,Fabinho,br BRA,MF,Monaco,fr Ligue 1,23,1993,34,34,3060,34.0,7,3,3,4,4,8,0,0.21,0.09,0.29,0.09,0.18,5.5,2.4,3.7,6.1,0.16,0.11,0.27,0.07,0.18,Matches
780,Cesc Fàbregas,es ESP,MF,Chelsea,eng Premier League,30,1987,32,25,2307,25.6,2,4,2,0,0,5,2,0.08,0.16,0.23,0.08,0.23,2.7,2.7,6.9,9.6,0.11,0.27,0.38,0.11,0.38,Matches
781,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,28,1988,34,34,3015,33.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
782,Fayçal Fajr,ma MAR,MFFW,Getafe,es La Liga,28,1988,31,26,2385,26.5,1,4,1,0,1,7,0,0.04,0.15,0.19,0.04,0.19,1.7,1.0,3.0,3.9,0.06,0.11,0.18,0.04,0.15,Matches
783,Radamel Falcao,co COL,FW,Monaco,fr Ligue 1,31,1986,26,25,2129,23.7,18,4,15,3,4,1,0,0.76,0.17,0.93,0.63,0.80,12.8,9.7,2.0,11.7,0.54,0.08,0.63,0.41,0.49,Matches
784,Diego Falcinelli,it ITA,FWMF,Fiorentina,it Serie A,26,1991,12,3,440,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.9,2.5,0.32,0.18,0.50,0.32,0.50,Matches
785,Diego Falcinelli,it ITA,FW,Sassuolo,it Serie A,26,1991,20,15,1314,14.6,2,1,2,0,0,2,0,0.14,0.07,0.21,0.14,0.21,5.0,4.9,0.4,5.3,0.34,0.03,0.37,0.34,0.37,Matches
786,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,25,1992,27,25,2211,24.6,1,0,1,0,0,10,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.3,1.6,0.05,0.01,0.07,0.05,0.07,Matches
787,Simon Falette,gn GUI,DF,Metz,fr Ligue 1,25,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
788,Cesar Falletti,uy URU,FWMF,Bologna,it Serie A,24,1992,13,1,321,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,1.4,1.4,0.1,1.5,0.39,0.03,0.42,0.39,0.42,Matches
789,Iago Falque,es ESP,FW,Torino,it Serie A,27,1990,37,34,2821,31.3,12,8,12,0,0,2,0,0.38,0.26,0.64,0.38,0.64,9.3,9.3,6.8,16.1,0.30,0.22,0.51,0.30,0.51,Matches
790,Paolo Faragò,it ITA,DFMF,Cagliari,it Serie A,24,1993,35,25,2457,27.3,2,4,2,0,0,2,0,0.07,0.15,0.22,0.07,0.22,2.4,2.4,4.7,7.1,0.09,0.17,0.26,0.09,0.26,Matches
791,Imad Faraj,ma MAR,DFMF,Lille,fr Ligue 1,18,1999,7,1,162,1.8,0,1,0,0,0,0,0,0.00,0.56,0.56,0.00,0.56,0.3,0.3,0.8,1.0,0.15,0.43,0.58,0.15,0.58,Matches
792,Davide Faraoni,it ITA,DF,Crotone,it Serie A,25,1991,28,18,1754,19.5,2,4,2,0,0,3,0,0.10,0.21,0.31,0.10,0.31,1.0,1.0,0.8,1.9,0.05,0.04,0.10,0.05,0.10,Matches
793,Mohamed Fares,dz ALG,DFMF,Hellas Verona,it Serie A,21,1996,30,29,2604,28.9,0,1,0,0,0,12,0,0.00,0.03,0.03,0.00,0.03,1.6,1.6,2.4,4.0,0.05,0.08,0.14,0.05,0.14,Matches
794,Diego Farias,br BRA,FWMF,Cagliari,it Serie A,27,1990,28,14,1609,17.9,1,4,1,0,1,4,0,0.06,0.22,0.28,0.06,0.28,5.3,4.6,1.6,6.2,0.30,0.09,0.39,0.26,0.35,Matches
795,Federico Fazio,ar ARG,DF,Roma,it Serie A,30,1987,34,32,2922,32.5,2,1,2,0,0,6,0,0.06,0.03,0.09,0.06,0.09,2.4,2.4,0.3,2.6,0.07,0.01,0.08,0.07,0.08,Matches
796,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,28,1989,15,14,1257,14.0,3,0,3,0,0,7,0,0.21,0.00,0.21,0.21,0.21,0.6,0.6,0.1,0.7,0.04,0.01,0.05,0.04,0.05,Matches
797,Nabil Fekir,fr FRA,MFFW,Lyon,fr Ligue 1,24,1993,30,28,2477,27.5,18,8,15,3,4,8,0,0.65,0.29,0.94,0.55,0.84,12.2,9.2,5.6,14.8,0.44,0.20,0.65,0.33,0.54,Matches
798,Felipe,br BRA,DF,Hannover 96,de Bundesliga,30,1987,6,6,457,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.01,0.03,0.02,0.03,Matches
799,Luiz Felipe,it ITA,DF,Lazio,it Serie A,20,1997,18,12,1168,13.0,0,1,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.1,0.6,0.04,0.00,0.04,0.04,0.04,Matches
800,Ohis Felix Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,19,1997,19,17,1560,17.3,1,0,1,0,0,2,1,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches
801,Marouane Fellaini,be BEL,MF,Manchester Utd,eng Premier League,29,1987,16,5,683,7.6,4,0,4,0,0,1,0,0.53,0.00,0.53,0.53,0.53,2.1,2.1,0.1,2.2,0.30,0.02,0.32,0.30,0.32,Matches
802,Kiko Femenía,es ESP,DFFW,Watford,eng Premier League,26,1991,23,19,1713,19.0,1,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,2.5,2.8,0.02,0.13,0.15,0.02,0.15,Matches
803,Leroy Fer,nl NED,MF,Swansea City,eng Premier League,27,1990,20,15,1397,15.5,1,1,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,1.4,1.4,1.3,2.7,0.09,0.08,0.17,0.09,0.17,Matches
804,Julien Féret,fr FRA,MF,Caen,fr Ligue 1,35,1982,37,36,3060,34.0,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,1.0,1.0,4.0,4.9,0.03,0.12,0.15,0.03,0.15,Matches
805,Edimilson Fernandes,ch SUI,MFFW,West Ham,eng Premier League,21,1996,14,9,845,9.4,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.4,0.4,0.4,0.7,0.04,0.04,0.08,0.04,0.08,Matches
806,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,30,1986,19,12,1036,11.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
807,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,30,1986,3,3,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
808,Augusto Fernández,ar ARG,MFFW,Atlético Madrid,es La Liga,31,1986,5,1,107,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.03,0.05,0.02,0.05,Matches
809,Brian Fernández,ar ARG,FW,Metz,fr Ligue 1,22,1994,7,0,128,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.18,0.08,0.27,0.18,0.27,Matches
810,Carlos Fernández,es ESP,FW,Sevilla,es La Liga,21,1996,2,2,137,1.5,1,0,1,0,0,0,0,0.66,0.00,0.66,0.66,0.66,0.7,0.7,0.1,0.8,0.44,0.08,0.53,0.44,0.53,Matches
811,Enzo Fernández,es ESP,MF,Alavés,es La Liga,22,1995,2,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
812,Federico Fernández,ar ARG,DF,Swansea City,eng Premier League,28,1989,30,30,2676,29.7,1,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,0.7,0.7,0.8,1.5,0.02,0.03,0.05,0.02,0.05,Matches
813,Raúl Fernández,es ESP,GK,Levante,es La Liga,29,1988,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
814,Fernandinho,br BRA,MF,Manchester City,eng Premier League,32,1985,34,33,2881,32.0,5,3,5,0,0,7,0,0.16,0.09,0.25,0.16,0.25,2.7,2.7,2.5,5.3,0.08,0.08,0.16,0.08,0.16,Matches
815,Alex Ferrari,it ITA,DF,Hellas Verona,it Serie A,23,1994,25,25,2136,23.7,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.4,1.1,0.03,0.02,0.05,0.03,0.05,Matches
816,Jordan Ferri,fr FRA,MF,Lyon,fr Ligue 1,25,1992,24,4,638,7.1,0,1,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,1.1,1.5,0.06,0.15,0.21,0.06,0.21,Matches
817,Sam Field,eng ENG,MF,West Brom,eng Premier League,19,1998,10,7,537,6.0,1,0,1,0,0,3,0,0.17,0.00,0.17,0.17,0.17,0.4,0.4,0.2,0.6,0.07,0.03,0.10,0.07,0.10,Matches
818,Afonso Figueiredo,pt POR,DFFW,Rennes,fr Ligue 1,24,1993,5,1,223,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
819,Gian Filippo Felicioli,it ITA,FWDF,Hellas Verona,it Serie A,19,1997,6,2,277,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
820,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,28,1989,22,22,1814,20.2,12,3,9,3,3,2,0,0.60,0.15,0.74,0.45,0.60,10.6,8.4,2.8,11.2,0.53,0.14,0.67,0.41,0.56,Matches
821,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,25,1991,37,32,2763,30.7,15,7,14,1,1,1,0,0.49,0.23,0.72,0.46,0.68,12.1,11.4,5.4,16.7,0.40,0.18,0.57,0.37,0.55,Matches
822,Junior Firpo,es ESP,DFMF,Betis,es La Liga,20,1996,14,14,1189,13.2,2,2,2,0,0,4,0,0.15,0.15,0.30,0.15,0.30,1.5,1.5,1.2,2.7,0.11,0.09,0.21,0.11,0.21,Matches
823,Viktor Fischer,dk DEN,FWMF,Mainz 05,de Bundesliga,23,1994,10,3,336,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,1.0,0.11,0.16,0.27,0.11,0.27,Matches
824,Mathieu Flamini,fr FRA,MF,Getafe,es La Liga,33,1984,8,6,480,5.3,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.01,0.03,0.02,0.03,Matches
825,Darren Fletcher,sct SCO,MF,Stoke City,eng Premier League,33,1984,27,25,2219,24.7,1,1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,0.3,0.3,1.2,1.4,0.01,0.05,0.06,0.01,0.06,Matches
826,Sergio Floccari,it ITA,FWMF,SPAL,it Serie A,35,1981,20,9,883,9.8,3,0,3,0,0,0,0,0.31,0.00,0.31,0.31,0.31,3.6,3.6,0.4,4.0,0.37,0.04,0.40,0.37,0.40,Matches
827,Alessandro Florenzi,it ITA,DF,Roma,it Serie A,26,1991,32,26,2387,26.5,1,3,1,0,1,2,0,0.04,0.11,0.15,0.04,0.15,4.0,3.2,4.5,7.7,0.15,0.17,0.32,0.12,0.29,Matches
828,Phil Foden,eng ENG,MFFW,Manchester City,eng Premier League,17,2000,5,0,49,0.5,0,1,0,0,0,0,0,0.00,1.84,1.84,0.00,1.84,0.0,0.0,0.3,0.3,0.00,0.64,0.64,0.00,0.64,Matches
829,Guessouma Fofana,mr MTN,MF,Amiens,fr Ligue 1,24,1992,16,7,743,8.3,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.9,0.11,0.00,0.11,0.11,0.11,Matches
830,Seko Fofana,ci CIV,MF,Udinese,it Serie A,22,1995,27,22,1868,20.8,3,0,2,1,1,4,1,0.14,0.00,0.14,0.10,0.10,2.6,1.8,1.2,3.0,0.12,0.06,0.18,0.09,0.14,Matches
831,Andreu Fontàs,es ESP,DF,Celta Vigo,es La Liga,27,1989,12,9,885,9.8,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
832,José Fonte,pt POR,DF,West Ham,eng Premier League,33,1983,8,8,688,7.6,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.6,0.6,0.6,1.3,0.08,0.08,0.17,0.08,0.17,Matches
833,Pablo Fornals,es ESP,MFFW,Villarreal,es La Liga,21,1996,35,30,2620,29.1,3,12,3,0,0,4,0,0.10,0.41,0.52,0.10,0.52,3.5,3.5,7.6,11.1,0.12,0.26,0.38,0.12,0.38,Matches
834,Emil Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,25,1991,21,15,1370,15.2,2,2,1,1,1,0,1,0.13,0.13,0.26,0.07,0.20,3.8,3.0,3.2,6.2,0.25,0.21,0.46,0.20,0.41,Matches
835,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,29,1988,20,20,1800,20.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
836,Steven Fortes,cv CPV,DF,Toulouse,fr Ligue 1,25,1992,2,1,155,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
837,Marco Fossati,it ITA,MF,Hellas Verona,it Serie A,24,1992,17,11,1101,12.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.03,0.03,0.05,0.03,0.05,Matches
838,Iver Fossum,no NOR,MF,Hannover 96,de Bundesliga,21,1996,19,13,1306,14.5,1,1,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,1.1,1.1,2.1,3.2,0.07,0.15,0.22,0.07,0.22,Matches
839,Ben Foster,eng ENG,GK,West Brom,eng Premier League,34,1983,37,37,3330,37.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
840,Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,eng Premier League,19,1998,21,17,1596,17.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.02,0.04,0.06,0.02,0.06,Matches
841,Dimitri Foulquier,fr FRA,DF,Strasbourg,fr Ligue 1,24,1993,16,13,1239,13.8,0,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,0.0,0.0,1.0,1.0,0.00,0.07,0.07,0.00,0.07,Matches
842,Lilian Fournier,fr FRA,MF,Metz,fr Ligue 1,19,1998,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
843,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,21,1995,9,7,696,7.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.4,1.4,0.00,0.18,0.18,0.00,0.18,Matches
844,Simon Francis,eng ENG,DF,Bournemouth,eng Premier League,32,1985,32,31,2705,30.1,0,1,0,0,0,9,2,0.00,0.03,0.03,0.00,0.03,0.4,0.4,2.3,2.7,0.01,0.08,0.09,0.01,0.09,Matches
845,Mike Frantz,de GER,MF,Freiburg,de Bundesliga,30,1986,15,12,1041,11.6,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.9,0.9,0.9,1.8,0.08,0.08,0.16,0.08,0.16,Matches
846,Ryan Fraser,sct SCO,MFDF,Bournemouth,eng Premier League,23,1994,26,23,2004,22.3,5,3,5,0,0,0,0,0.22,0.13,0.36,0.22,0.36,2.1,2.1,3.8,5.9,0.09,0.17,0.26,0.09,0.26,Matches
847,Fabian Frei,ch SUI,MF,Mainz 05,de Bundesliga,28,1989,11,10,802,8.9,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.5,0.5,0.4,1.0,0.06,0.05,0.11,0.06,0.11,Matches
848,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,25,1992,35,33,3006,33.4,5,2,5,0,0,4,1,0.15,0.06,0.21,0.15,0.21,5.9,5.9,2.5,8.4,0.18,0.08,0.25,0.18,0.25,Matches
849,Marco Friedl,at AUT,DF,Bayern Munich,de Bundesliga,19,1998,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.18,0.18,0.00,0.18,Matches
850,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,19,1998,9,6,600,6.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.02,0.10,0.13,0.02,0.13,Matches
851,Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,31,1986,25,21,1921,21.3,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,0.6,1.0,0.02,0.03,0.05,0.02,0.05,Matches
852,Javi Fuego,es ESP,MF,Villarreal,es La Liga,33,1984,11,6,537,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
853,Javi Fuego,es ESP,MF,Espanyol,es La Liga,33,1984,17,17,1341,14.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches
854,Chris Führich,de GER,MFFW,Köln,de Bundesliga,19,1998,2,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.06,0.09,0.03,0.09,Matches
855,Angelo Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,20,1996,29,16,1529,17.0,3,5,3,0,0,4,0,0.18,0.29,0.47,0.18,0.47,2.6,2.6,3.4,6.0,0.15,0.20,0.35,0.15,0.35,Matches
856,Niclas Füllkrug,de GER,FW,Hannover 96,de Bundesliga,24,1993,34,26,2387,26.5,14,3,11,3,4,2,0,0.53,0.11,0.64,0.41,0.53,12.6,9.5,3.8,13.2,0.48,0.14,0.62,0.36,0.50,Matches
857,Jay Fulton,sct SCO,MF,Swansea City,eng Premier League,23,1994,2,0,19,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
858,Ramiro Funes Mori,ar ARG,DF,Everton,eng Premier League,26,1991,4,1,121,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
859,Manolo Gabbiadini,it ITA,FWMF,Southampton,eng Premier League,25,1991,28,11,1081,12.0,5,0,4,1,1,2,0,0.42,0.00,0.42,0.33,0.33,2.5,1.7,0.6,2.3,0.21,0.05,0.26,0.15,0.19,Matches
860,Gabi,es ESP,MF,Atlético Madrid,es La Liga,34,1983,34,25,2349,26.1,0,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,0.4,0.4,1.6,2.0,0.02,0.06,0.08,0.02,0.08,Matches
