,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
50,Thiago Alcántara,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,19,12,1247,13.9,2,2,2,0,0,3,0,0.14,0.14,0.29,0.14,0.29,2.3,2.3,2.4,4.7,0.16,0.17,0.34,0.16,0.34,Matches
51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,3,2,208,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,0.1,0.1,0.2,0.2,0.03,0.08,0.10,0.03,0.10,Matches
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,14,13,1178,13.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.03,0.02,0.05,0.03,0.05,Matches
53,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
54,Álex Alegría,es ESP,FW,Levante,es La Liga,24,1992,9,8,628,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.17,0.01,0.18,0.17,0.18,Matches
55,Iván Alejo,es ESP,FWMF,Eibar,es La Liga,22,1995,22,14,1102,12.2,1,3,1,0,0,5,0,0.08,0.25,0.33,0.08,0.33,0.4,0.4,1.3,1.8,0.03,0.11,0.14,0.03,0.14,Matches
56,Alexander,ar ARG,FWMF,Leganés,es La Liga,28,1988,13,13,1060,11.8,2,2,1,1,1,1,0,0.17,0.17,0.34,0.08,0.25,2.4,1.6,2.0,3.6,0.20,0.17,0.37,0.14,0.31,Matches
57,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,19,18,1573,17.5,1,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,2.2,3.5,0.07,0.13,0.20,0.07,0.20,Matches
58,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,28,25,2184,24.3,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.1,0.8,0.03,0.00,0.03,0.03,0.03,Matches
59,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,37,3330,37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
