,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,55,35,39,14,2,27,46,58.7,19,264,92,34.8,139,93,32,35,5,0,30,45,100,69,2,Matches
2,Rolando Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,5,4,3,1,1,2,4,50.0,2,39,9,23.1,15,16,8,3,0,0,3,2,7,0,0,Matches
3,Rolando Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,12,9,4,5,3,1,5,20.0,4,117,32,27.4,23,60,34,4,0,0,4,1,13,0,0,Matches
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,21,15,12,8,1,11,18,61.1,7,141,46,32.6,53,58,30,29,2,0,27,4,25,17,0,Matches
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,6,6,5,1,0,4,7,57.1,3,23,8,34.8,17,6,0,6,3,0,3,2,8,8,1,Matches
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,3,1,1,2,0,1,1,100.0,0,9,4,44.4,7,2,0,2,0,0,2,1,4,2,0,Matches
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,21,14,11,9,1,4,23,17.4,19,206,68,33.0,63,120,23,23,4,0,19,15,36,14,0,Matches
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,43,28,31,11,1,24,41,58.5,17,221,74,33.5,148,66,7,39,16,0,23,23,66,130,1,Matches
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,14,6,2,8,4,2,12,16.7,10,251,72,28.7,15,114,122,9,1,0,8,5,19,10,0,Matches
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,37,26,14,22,1,11,21,52.4,10,215,57,26.5,71,118,26,20,5,0,15,11,48,19,2,Matches
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,55,34,33,18,4,17,33,51.5,16,328,111,33.8,187,113,28,73,26,0,47,47,102,225,2,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,11,7,2,7,2,1,12,8.3,11,161,32,19.9,44,100,17,10,1,0,9,10,21,7,1,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,10,6,2,7,1,5,13,38.5,8,83,20,24.1,28,44,11,8,1,0,7,6,16,12,0,Matches
14,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,1,0,0,1,0,0,2,1,Matches
15,Aday,es ESP,DFMF,Girona,es La Liga,29,1987,20.4,16,7,12,2,2,5,19,26.3,14,275,73,26.5,110,104,61,38,5,1,33,26,42,26,1,Matches
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,41,27,27,13,1,9,32,28.1,23,209,78,37.3,148,58,3,50,24,0,26,50,91,166,3,Matches
17,Claud Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,29,19,16,8,5,6,10,60.0,4,278,79,28.4,125,102,51,31,3,0,28,11,40,30,0,Matches
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,4,0,Matches
19,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Ali Adnan Kadhim,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,57,23,38,16,3,29,54,53.7,25,259,72,27.8,156,75,28,41,7,0,34,31,88,72,0,Matches
21,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,0,0,0,0,0,0,2,0.0,2,5,0,0.0,5,0,0,0,0,0,0,0,0,1,0,Matches
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,12,9,3,5,4,2,7,28.6,5,323,82,25.4,18,141,164,12,1,0,11,7,19,17,0,Matches
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,2,2,0,2,0,1,1,100.0,0,24,3,12.5,9,11,4,0,0,0,0,1,3,1,0,Matches
24,Benik Afobe,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,6.8,6,3,4,1,1,2,7,28.6,5,110,37,33.6,8,51,51,6,1,0,5,2,8,9,0,Matches
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,35,19,22,11,2,13,35,37.1,22,201,61,30.3,120,67,14,33,6,0,27,28,63,38,0,Matches
26,Imanol Agirretxe,es ESP,FWMF,Real Sociedad,es La Liga,30,1987,2.6,0,0,0,0,0,0,4,0.0,4,40,13,32.5,2,18,20,1,0,0,1,1,1,2,0,Matches
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,13,8,2,6,5,2,13,15.4,11,246,80,32.5,18,88,140,14,2,0,12,14,27,5,0,Matches
28,Ruben Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,27.3,71,27,33,27,11,28,57,49.1,29,465,131,28.2,243,157,65,57,2,0,55,33,104,54,1,Matches
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,24,15,13,10,1,10,28,35.7,18,173,45,26.0,75,67,31,28,1,0,27,18,42,13,0,Matches
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,33.4,59,42,27,27,5,13,40,32.5,27,381,107,28.1,158,193,30,46,8,0,38,71,130,53,3,Matches
31,Ailton,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,1.2,5,2,3,2,0,3,7,42.9,4,41,12,29.3,21,15,5,5,0,0,5,1,6,1,0,Matches
32,Youssef Aït Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,22.7,43,28,15,23,5,14,62,22.6,48,504,115,22.8,156,292,56,37,2,0,35,37,80,17,0,Matches
33,Arlind Ajeti,al ALB,DFMF,Crotone,it Serie A,23,1993,14.1,41,24,22,17,2,14,28,50.0,14,174,55,31.6,114,58,2,34,17,0,17,13,54,86,2,Matches
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10.0,20,12,14,6,0,3,8,37.5,5,122,46,37.7,64,52,6,14,4,0,10,7,27,58,0,Matches
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,59,31,39,18,2,18,36,50.0,18,369,116,31.4,244,107,18,65,28,1,37,58,117,306,0,Matches
36,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,0.4,1,0,1,0,0,0,1,0.0,1,8,2,25.0,2,2,4,2,0,0,2,0,1,0,0,Matches
37,Chadrac Akolo,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,12.2,14,10,2,11,1,4,14,28.6,10,343,94,27.4,43,185,115,18,1,0,17,7,21,2,1,Matches
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,48,29,30,14,4,18,33,54.5,15,266,102,38.3,157,97,12,32,5,0,27,24,72,65,0,Matches
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,23,15,10,9,4,9,13,69.2,4,202,75,37.1,73,76,53,27,5,1,22,10,33,30,0,Matches
40,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,17.2,11,10,1,5,5,2,10,20.0,8,386,112,29.0,27,192,167,16,4,0,12,6,17,14,0,Matches
41,David Alba,es ESP,DF,Getafe,es La Liga,18,1999,0.7,1,1,1,0,0,1,1,100.0,0,1,0,0.0,1,0,0,0,0,0,0,0,1,4,0,Matches
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,43,31,22,16,5,15,38,39.5,23,461,134,29.1,194,184,83,68,6,0,62,59,102,39,0,Matches
43,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,16,12,13,3,0,6,16,37.5,10,119,21,17.6,91,23,5,24,17,0,7,13,29,72,0,Matches
44,Luis Alberto,es ESP,MFFW,Lazio,it Serie A,24,1992,29.7,31,28,5,19,7,5,38,13.2,33,525,156,29.7,78,274,173,38,4,0,34,10,41,3,0,Matches
