,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,43,25,21,22,0,17,28,60.7,11,164,61,37.2,76,82,6,32,15,1,17,12,55,107,1,Matches
46,Miiko Albornoz,cl CHI,DF,Hannover 96,de Bundesliga,26,1990,7.8,23,13,14,5,4,9,21,42.9,12,132,37,28.0,69,42,21,19,3,0,16,5,28,26,0,Matches
47,Marc Albrighton,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,28.2,62,42,26,26,10,18,60,30.0,42,545,144,26.4,211,224,110,44,4,0,40,40,102,37,0,Matches
48,Paco Alcácer,es ESP,MFFW,Barcelona,es La Liga,23,1993,7.7,4,3,1,2,1,1,7,14.3,6,116,33,28.4,10,48,58,10,1,0,9,7,11,2,0,Matches
49,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28,1989,7.7,7,4,5,2,0,3,6,50.0,3,36,13,36.1,23,11,2,10,5,0,5,8,15,29,0,Matches
50,Thiago Alcántara,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,13.9,32,26,7,19,6,6,22,27.3,16,263,99,37.6,57,133,73,21,2,0,19,20,52,7,0,Matches
51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,7,1,4,1,2,3,3,100.0,0,13,1,7.7,10,3,0,8,3,1,5,4,11,5,0,Matches
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,21,10,9,11,1,11,20,55.0,9,99,39,39.4,53,39,7,20,6,0,14,6,27,62,0,Matches
53,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22,1995,1.0,1,0,0,1,0,1,1,100.0,0,6,1,16.7,3,3,0,0,0,0,0,1,2,6,0,Matches
54,Álex Alegría,es ESP,FW,Levante,es La Liga,24,1992,7.0,6,2,1,3,2,2,5,40.0,3,131,35,26.7,2,80,49,7,0,0,7,5,11,7,0,Matches
55,Iván Alejo,es ESP,FWMF,Eibar,es La Liga,22,1995,12.2,14,13,3,6,5,1,12,8.3,11,251,86,34.3,41,108,102,12,0,0,12,9,23,0,0,Matches
56,Alexander,ar ARG,FWMF,Leganés,es La Liga,28,1988,11.8,13,12,3,10,0,4,13,30.8,9,195,58,29.7,46,95,54,21,1,0,20,17,30,1,0,Matches
57,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,39,22,26,8,5,21,44,47.7,23,237,84,35.4,101,90,46,30,6,0,24,53,92,42,0,Matches
58,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,24.3,32,20,23,8,1,19,44,43.2,25,167,44,26.3,109,49,9,47,18,0,29,36,68,78,4,Matches
59,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,1,2,Matches
60,Allan,br BRA,MF,Napoli,it Serie A,26,1991,31.7,111,80,23,66,22,27,103,26.2,76,925,292,31.6,163,489,273,55,2,0,53,19,130,14,0,Matches
61,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,27,1990,34.9,106,64,45,52,9,35,104,33.7,69,904,258,28.5,337,440,127,60,9,0,51,63,169,66,0,Matches
62,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,32.9,53,40,14,27,12,9,33,27.3,24,601,193,32.1,94,285,222,38,8,0,30,31,84,19,1,Matches
63,José Alonso Lara,es ESP,FW,Sevilla,es La Liga,17,2000,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0,Matches
64,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,50,26,30,19,1,13,43,30.2,30,195,61,31.3,123,66,6,43,16,0,27,42,92,115,1,Matches
65,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,26,1990,31.7,59,32,32,22,5,30,53,56.6,23,411,133,32.4,170,164,77,57,7,0,50,61,120,56,1,Matches
66,Ricky Álvarez,ar ARG,MFFW,Sampdoria,it Serie A,29,1988,3.0,6,3,3,2,1,3,9,33.3,6,84,18,21.4,13,40,31,5,0,0,5,2,8,3,0,Matches
67,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,1,0,0,1,0,0,1,1,Matches
68,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,9,4,6,3,0,2,6,33.3,4,41,18,43.9,19,22,0,7,2,0,5,8,17,12,0,Matches
69,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,73,52,44,22,7,19,45,42.2,26,354,121,34.2,159,123,72,36,3,0,33,28,101,11,0,Matches
70,Ibrahim Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,26.7,43,30,32,11,0,13,37,35.1,24,249,80,32.1,126,113,10,49,17,0,32,31,74,56,1,Matches
71,Eloi Amagat,es ESP,FWMF,Girona,es La Liga,32,1985,0.2,0,0,0,0,0,0,1,0.0,1,5,3,60.0,1,3,1,0,0,0,0,0,0,0,0,Matches
72,Morgan Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,32,1985,8.3,3,1,0,3,0,2,3,66.7,1,103,20,19.4,34,47,22,4,0,0,4,8,11,6,0,Matches
73,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,30.0,46,34,14,28,4,11,61,18.0,50,532,139,26.1,182,287,63,43,5,0,38,68,114,21,0,Matches
74,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,9,2,6,2,1,2,6,33.3,4,76,22,28.9,37,31,8,10,2,0,8,8,17,20,0,Matches
75,Jordi Amat,es ESP,DFMF,Betis,es La Liga,25,1992,22.7,30,15,16,12,2,6,18,33.3,12,184,56,30.4,98,80,6,26,3,0,23,25,55,68,1,Matches
76,Amath,sn SEN,MFFW,Getafe,es La Liga,21,1996,31.8,71,45,32,30,9,19,77,24.7,58,831,204,24.5,227,398,206,58,5,0,53,29,100,13,0,Matches
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,44,22,34,7,3,16,44,36.4,28,227,74,32.6,129,72,26,47,8,2,39,49,93,32,2,Matches
78,Stephan Ambrosius,de GER,DF,Hamburger SV,de Bundesliga,18,1998,0.5,1,1,1,0,0,1,1,100.0,0,4,3,75.0,3,1,0,1,1,0,0,0,1,5,0,Matches
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35.0,51,24,41,8,2,17,28,60.7,11,319,104,32.6,205,88,26,54,11,0,43,36,87,82,1,Matches
80,Nadiem Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,20,1996,19.4,31,16,10,16,5,10,41,24.4,31,434,114,26.3,116,240,78,36,6,0,30,17,48,10,0,Matches
81,Ethan Ampadu,wls WAL,DF,Chelsea,eng Premier League,16,2000,0.1,1,0,0,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,0,1,2,0,Matches
82,Nordin Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,2.2,6,4,2,4,0,1,3,33.3,2,59,20,33.9,20,23,16,0,0,0,0,0,6,2,0,Matches
83,Nordin Amrabat,ma MAR,FWMF,Leganés,es La Liga,30,1987,18.0,15,8,6,8,1,3,21,14.3,18,325,91,28.0,52,132,141,17,0,0,17,6,21,0,0,Matches
84,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,8,4,6,2,0,4,4,100.0,0,29,7,24.1,23,4,2,6,4,0,2,5,13,41,0,Matches
86,Felipe Anderson,br BRA,MFFW,Lazio,it Serie A,24,1993,12.9,28,19,4,13,11,7,33,21.2,26,265,79,29.8,41,128,96,17,0,0,17,10,38,3,0,Matches
87,Florin Andone,ro ROU,FW,La Coruña,es La Liga,24,1993,18.2,10,8,4,6,0,2,13,15.4,11,338,64,18.9,25,142,171,13,3,0,10,4,14,10,0,Matches
88,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,0,0,0,0,0,0,2,0.0,2,4,0,0.0,4,0,0,2,0,0,2,0,0,3,2,Matches
89,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,26,1990,33.5,69,50,29,32,8,24,99,24.2,75,620,179,28.9,146,353,121,67,4,0,63,66,135,69,2,Matches
90,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,28,19,19,7,2,7,15,46.7,8,180,58,32.2,125,47,8,33,19,0,14,13,41,141,2,Matches
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23.0,36,25,30,4,2,10,23,43.5,13,201,56,27.9,139,42,20,43,6,0,37,42,78,27,2,Matches
92,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,27,1990,16.0,7,3,0,1,6,3,8,37.5,5,367,80,21.8,15,187,165,17,0,0,17,6,13,13,0,Matches
93,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Miguel Ángel Rubio,es ESP,DF,Getafe,es La Liga,19,1998,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
95,José Ángel,es ESP,DF,Eibar,es La Liga,27,1989,27.0,58,39,32,19,7,30,56,53.6,26,334,122,36.5,148,137,49,49,1,0,48,47,105,44,0,Matches
96,Gabriele Angella,it ITA,DF,Udinese,it Serie A,28,1989,9.9,18,13,13,4,1,7,11,63.6,4,90,34,37.8,61,25,4,19,10,1,9,13,31,80,0,Matches
97,Cristian Ansaldi,ar ARG,DFMF,Torino,it Serie A,30,1986,20.8,52,33,29,18,5,16,42,38.1,26,325,110,33.8,152,110,63,42,5,0,37,14,66,41,0,Matches
98,Luca Antei,it ITA,DF,Benevento,it Serie A,25,1992,6.6,23,13,17,6,0,6,14,42.9,8,83,27,32.5,62,20,1,10,8,0,2,16,39,32,1,Matches
99,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,32,1984,28.6,17,12,7,6,4,2,24,8.3,22,369,83,22.5,41,180,148,19,2,0,17,13,30,11,0,Matches
100,Waldemar Anton,de GER,DFMF,Hannover 96,de Bundesliga,21,1996,25.3,57,35,35,17,5,27,62,43.5,35,390,136,34.9,217,153,20,70,28,3,42,31,88,143,2,Matches
101,Luca Antonelli,it ITA,DFMF,Milan,it Serie A,30,1987,1.6,4,3,2,2,0,0,2,0.0,2,19,7,36.8,7,10,2,2,0,0,2,0,4,6,0,Matches
102,Michail Antonio,jm JAM,FWMF,West Ham,eng Premier League,27,1990,15.0,15,12,8,5,2,3,13,23.1,10,195,60,30.8,42,76,77,14,0,0,14,14,29,18,0,Matches
103,Mirko Antonucci,it ITA,FW,Roma,it Serie A,18,1999,0.3,1,1,0,0,1,0,0,,0,4,2,50.0,2,0,2,0,0,0,0,0,1,0,0,Matches
104,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,30,1987,31.1,50,23,36,11,3,28,66,42.4,38,350,98,28.0,187,125,38,57,6,0,51,55,105,58,0,Matches
105,Dennis Aogo,de GER,MFDF,Stuttgart,de Bundesliga,30,1987,21.7,37,15,20,14,3,9,21,42.9,12,317,70,22.1,106,173,38,29,5,1,24,21,58,28,0,Matches
106,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,19,1998,27.0,49,31,22,23,4,16,46,34.8,30,607,160,26.4,173,308,126,35,2,0,33,45,94,22,0,Matches
107,Alberto Aquilani,it ITA,MF,Las Palmas,es La Liga,33,1984,14.4,36,19,21,11,4,12,30,40.0,18,256,81,31.6,83,144,29,20,5,0,15,22,58,21,0,Matches
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,21,1995,23.6,45,37,18,21,6,11,39,28.2,28,560,129,23.0,174,331,55,41,5,0,36,27,72,17,0,Matches
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,0,0,0,0,0,0,1,0.0,1,10,2,20.0,7,2,1,1,0,0,1,2,2,4,0,Matches
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,25.6,70,51,26,36,8,26,78,33.3,52,603,204,33.8,218,302,83,53,5,0,48,37,107,32,1,Matches
111,Luiz Araújo,br BRA,FWMF,Lille,fr Ligue 1,21,1996,22.4,30,17,17,10,3,8,41,19.5,33,364,98,26.9,101,193,70,29,1,0,28,6,36,5,0,Matches
112,Sergio Araujo,ar ARG,MF,Las Palmas,es La Liga,25,1992,0.4,2,1,0,0,2,2,2,100.0,0,9,2,22.2,1,1,7,1,0,0,1,0,2,0,0,Matches
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,30,1987,26.8,31,17,21,9,1,15,36,41.7,21,208,70,33.7,101,95,12,39,10,0,29,69,100,77,1,Matches
114,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,0,0,0,0,0,0,2,0.0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,Matches
115,Scott Arfield,ca CAN,MF,Burnley,eng Premier League,28,1988,14.8,36,23,20,13,3,19,43,44.2,24,392,96,24.5,133,167,92,27,1,0,26,16,52,20,0,Matches
116,Samuel Armenteros,se SWE,FW,Benevento,it Serie A,27,1990,4.8,4,1,0,4,0,0,3,0.0,3,114,20,17.5,8,64,42,3,0,0,3,1,5,4,0,Matches
117,Yoël Armougom,fr FRA,MFDF,Caen,fr Ligue 1,19,1998,1.5,3,2,0,1,2,1,1,100.0,0,13,1,7.7,5,5,3,1,1,0,0,0,3,2,0,Matches
118,José Arnaiz,es ESP,MF,Barcelona,es La Liga,22,1995,0.1,1,0,0,1,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,1,0,0,Matches
119,Marko Arnautović,at AUT,FWMF,West Ham,eng Premier League,28,1989,25.7,21,17,10,3,8,6,22,27.3,16,404,125,30.9,74,157,173,28,7,0,21,18,39,31,0,Matches
120,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,23,1994,27.3,54,41,28,23,3,15,58,25.9,43,521,150,28.8,175,285,61,37,3,0,34,17,71,44,0,Matches
121,Jann-Fiete Arp,de GER,FW,Hamburger SV,de Bundesliga,17,2000,9.4,6,5,0,2,4,1,10,10.0,9,220,62,28.2,14,79,127,9,1,0,8,2,8,8,0,Matches
122,Alejandro Arribas,es ESP,DF,La Coruña,es La Liga,28,1989,3.0,2,2,1,1,0,0,5,0.0,5,24,9,37.5,19,5,0,5,3,0,2,6,8,7,0,Matches
123,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
124,Harry Arter,ie IRL,MF,Bournemouth,eng Premier League,27,1989,10.7,21,14,10,7,4,8,26,30.8,18,232,52,22.4,64,131,37,16,4,0,12,13,34,5,0,Matches
125,Aythami Artiles,es ESP,DF,Las Palmas,es La Liga,31,1986,2.0,2,0,2,0,0,0,1,0.0,1,16,9,56.3,14,2,0,3,1,0,2,1,3,19,0,Matches
126,Kwadwo Asamoah,gh GHA,DF,Juventus,it Serie A,28,1988,17.4,28,17,13,13,2,12,26,46.2,14,183,58,31.7,98,64,21,32,1,0,31,12,40,16,0,Matches
127,Takuma Asano,jp JPN,FWMF,Stuttgart,de Bundesliga,22,1994,8.0,5,5,1,3,1,2,9,22.2,7,209,46,22.0,23,113,73,9,1,0,8,4,9,3,0,Matches
128,Santiago Ascacíbar,ar ARG,MF,Stuttgart,de Bundesliga,20,1997,26.5,70,49,36,28,6,25,75,33.3,50,685,217,31.7,259,365,61,44,11,0,33,30,100,41,0,Matches
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23.0,0,0,0,0,0,0,4,0.0,4,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0,Matches
130,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,21,1996,20.5,24,17,7,12,5,7,22,31.8,15,277,70,25.3,38,137,102,14,0,0,14,10,34,2,0,Matches
131,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,29,1987,32.6,21,15,6,8,7,4,29,13.8,25,542,139,25.6,59,239,244,30,0,0,30,17,38,6,0,Matches
132,Benoît Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,33,1984,11.7,15,10,6,8,1,6,15,40.0,9,78,23,29.5,53,21,4,22,4,0,18,33,48,6,0,Matches
133,Simon Asta,de GER,MF,Augsburg,de Bundesliga,16,2001,0.1,1,0,1,0,0,0,0,,0,3,0,0.0,1,0,2,1,0,0,1,0,1,0,0,Matches
134,Davide Astori,it ITA,DF,Fiorentina,it Serie A,30,1987,25.0,54,32,35,19,0,15,29,51.7,14,234,86,36.8,124,96,14,40,16,0,24,33,87,141,1,Matches
135,Christian Atsu,gh GHA,FWMF,Newcastle Utd,eng Premier League,25,1992,19.8,18,6,13,4,1,7,23,30.4,16,328,79,24.1,113,134,81,46,5,0,41,18,36,18,0,Matches
136,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,28,1989,11.7,9,7,3,5,1,1,9,11.1,8,137,35,25.5,18,66,53,10,2,0,8,6,15,11,0,Matches
137,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,28,1989,15.7,4,2,1,0,3,1,10,10.0,9,299,69,23.1,7,132,160,20,3,0,17,1,5,0,0,Matches
138,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,20,1997,14.1,13,8,3,7,3,2,8,25.0,6,245,74,30.2,11,116,118,18,1,0,17,5,18,5,0,Matches
139,Ludwig Augustinsson,se SWE,DFMF,Werder Bremen,de Bundesliga,23,1994,28.1,48,25,27,19,2,20,32,62.5,12,370,109,29.5,138,158,74,42,4,0,38,25,73,64,0,Matches
140,Yann Aurel Bisseck,de GER,DFFW,Köln,de Bundesliga,16,2000,1.7,3,2,3,0,0,2,2,100.0,0,17,5,29.4,11,4,2,2,1,0,1,0,3,11,0,Matches
141,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,24,1992,15.9,55,29,27,19,9,19,46,41.3,27,255,91,35.7,103,103,49,33,1,0,32,31,86,46,0,Matches
