,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
30,Leon Bailey,jm JAM,FWMF,Aston Villa,24-222,1997,13,4,499,5.5,1,2,1,0,0,2,0,0.18,0.36,0.54,0.18,0.54,1.2,1.2,0.6,1.8,0.22,0.11,0.33,0.22,0.33,Matches
31,Eric Bailly,ci CIV,DF,Manchester Utd,27-341,1994,4,3,217,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Folarin Balogun,eng ENG,FW,Arsenal,20-259,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.35,0.00,0.35,0.35,0.35,Matches
33,Patrick Bamford,eng ENG,FW,Leeds United,28-195,1993,9,7,559,6.2,2,2,2,0,0,2,0,0.32,0.32,0.64,0.32,0.64,4.0,4.0,1.0,5.0,0.64,0.16,0.80,0.64,0.80,Matches
34,Shandon Baptiste,gd GRN,MF,Brentford,23-345,1998,19,9,845,9.4,1,1,1,0,0,2,1,0.11,0.11,0.21,0.11,0.21,0.5,0.5,0.4,0.9,0.05,0.04,0.10,0.05,0.10,Matches
35,Ross Barkley,eng ENG,MF,Chelsea,28-104,1993,5,1,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.5,1.4,0.48,0.32,0.80,0.48,0.80,Matches
36,Ashley Barnes,eng ENG,FW,Burnley,32-140,1989,15,4,425,4.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.8,1.4,0.14,0.17,0.31,0.14,0.31,Matches
37,Harvey Barnes,eng ENG,FWMF,Leicester City,24-100,1997,21,18,1476,16.4,3,5,3,0,0,2,0,0.18,0.30,0.49,0.18,0.49,4.5,4.5,2.5,7.0,0.27,0.16,0.43,0.27,0.43,Matches
38,Lewis Bate,eng ENG,MF,Leeds United,19-141,2002,1,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
39,Mads Bech Sørensen,dk DEN,DF,Brentford,23-071,1999,5,4,380,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
40,Jan Bednarek,pl POL,DF,Southampton,25-341,1996,24,23,1999,22.2,3,0,3,0,0,7,0,0.14,0.00,0.14,0.14,0.14,2.2,2.2,0.6,2.7,0.10,0.03,0.12,0.10,0.12,Matches
41,Donny van de Beek,nl NED,MF,Manchester Utd,24-335,1997,8,0,75,0.8,1,0,1,0,0,0,0,1.20,0.00,1.20,1.20,1.20,0.7,0.7,0.5,1.2,0.88,0.58,1.46,0.88,1.46,Matches
42,Donny van de Beek,nl NED,MF,Everton,24-335,1997,6,5,429,4.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.01,0.04,0.03,0.04,Matches
43,Asmir Begović,ba BIH,GK,Everton,34-272,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
44,Saïd Benrahma,dz ALG,FWMF,West Ham,26-221,1995,25,21,1705,18.9,5,6,5,0,0,0,0,0.26,0.32,0.58,0.26,0.58,3.9,3.9,2.7,6.6,0.21,0.14,0.35,0.21,0.35,Matches
45,Rodrigo Bentancur,uy URU,MF,Tottenham,24-287,1997,7,6,523,5.8,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,0.8,0.9,0.03,0.13,0.16,0.03,0.16,Matches
46,Christian Benteke,be BEL,FW,Crystal Palace,31-106,1990,22,11,1115,12.4,4,1,4,0,0,3,0,0.32,0.08,0.40,0.32,0.40,5.4,5.4,1.1,6.4,0.43,0.09,0.52,0.43,0.52,Matches
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,31-143,1990,18,13,1102,12.2,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,1.7,1.7,0.3,2.0,0.14,0.03,0.16,0.14,0.16,Matches
48,Steven Bergwijn,nl NED,FWMF,Tottenham,24-162,1997,17,4,496,5.5,2,1,2,0,0,1,0,0.36,0.18,0.54,0.36,0.54,2.3,2.3,0.5,2.8,0.41,0.09,0.51,0.41,0.51,Matches
49,Ryan Bertrand,eng ENG,DF,Leicester City,32-226,1989,4,4,337,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.08,0.08,0.00,0.08,Matches
50,Mads Bidstrup,dk DEN,MF,Brentford,21-022,2001,4,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
51,Yves Bissouma,ml MLI,MF,Brighton,25-201,1996,20,19,1633,18.1,0,1,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,0.8,0.8,0.6,1.4,0.04,0.03,0.08,0.04,0.08,Matches
52,Willy Boly,ci CIV,DF,Wolves,31-044,1991,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
53,Jarrod Bowen,eng ENG,FW,West Ham,25-089,1996,28,27,2356,26.2,8,8,8,0,0,3,0,0.31,0.31,0.61,0.31,0.61,8.9,8.9,5.1,14.0,0.34,0.19,0.53,0.34,0.53,Matches
54,Jarrad Branthwaite,eng ENG,DF,Everton,19-265,2002,3,1,191,2.1,1,0,1,0,0,0,0,0.47,0.00,0.47,0.47,0.47,0.4,0.4,0.0,0.4,0.20,0.00,0.20,0.20,0.20,Matches
55,Armando Broja,al ALB,FW,Southampton,20-190,2001,25,16,1514,16.8,6,0,6,0,0,1,0,0.36,0.00,0.36,0.36,0.36,6.3,6.3,1.0,7.3,0.37,0.06,0.43,0.37,0.43,Matches
56,Josh Brownhill,eng ENG,MF,Burnley,26-090,1995,24,22,2013,22.4,1,1,1,0,0,8,0,0.04,0.04,0.09,0.04,0.09,1.0,1.0,1.5,2.5,0.04,0.07,0.11,0.04,0.11,Matches
57,Bryan,es ESP,FWMF,Tottenham,21-036,2001,9,0,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.07,0.10,0.03,0.10,Matches
58,Emi Buendía,ar ARG,FWMF,Aston Villa,25-084,1996,25,18,1469,16.3,2,4,2,0,0,1,0,0.12,0.25,0.37,0.12,0.37,2.2,2.2,3.4,5.5,0.13,0.21,0.34,0.13,0.34,Matches
59,Dan Burn,eng ENG,DF,Brighton,29-314,1992,13,12,1022,11.4,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,1.3,1.3,0.0,1.3,0.11,0.00,0.12,0.11,0.12,Matches
60,Dan Burn,eng ENG,DF,Newcastle Utd,29-314,1992,7,7,630,7.0,0,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.3,0.3,0.2,0.5,0.04,0.03,0.07,0.04,0.07,Matches
61,Jack Butland,eng ENG,GK,Crystal Palace,29-009,1993,6,5,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
62,Sam Byram,eng ENG,DFMF,Norwich City,28-184,1993,6,2,272,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.17,0.03,0.20,0.17,0.20,Matches
63,Willy Caballero,ar ARG,GK,Southampton,40-172,1981,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
64,Dominic Calvert-Lewin,eng ENG,FW,Everton,25-003,1997,10,9,762,8.5,3,1,1,2,3,2,0,0.35,0.12,0.47,0.12,0.24,5.7,3.5,0.7,4.2,0.68,0.09,0.76,0.41,0.49,Matches
65,João Cancelo,pt POR,DF,Manchester City,27-296,1994,27,27,2417,26.9,1,5,1,0,0,5,0,0.04,0.19,0.22,0.04,0.22,2.9,2.9,3.3,6.2,0.11,0.12,0.23,0.11,0.23,Matches
66,Sergi Canós,es ESP,DF,Brentford,25-045,1997,28,25,2050,22.8,2,2,2,0,0,6,0,0.09,0.09,0.18,0.09,0.18,2.9,2.9,1.9,4.9,0.13,0.09,0.21,0.13,0.21,Matches
67,Todd Cantwell,eng ENG,FWMF,Norwich City,24-020,1998,8,5,441,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.03,0.04,0.07,0.03,0.07,Matches
68,Matty Cash,pl POL,DF,Aston Villa,24-224,1997,28,28,2477,27.5,3,3,3,0,0,8,0,0.11,0.11,0.22,0.11,0.22,1.7,1.7,1.8,3.6,0.06,0.07,0.13,0.06,0.13,Matches
69,Timothy Castagne,be BEL,DF,Leicester City,26-104,1995,16,12,1273,14.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.00,0.03,0.03,0.00,0.03,Matches
70,Jonny Castro,es ESP,DF,Wolves,28-016,1994,5,3,356,4.0,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.5,0.5,0.3,0.7,0.12,0.07,0.19,0.12,0.19,Matches
71,Craig Cathcart,nir NIR,DF,Watford,33-041,1989,26,25,2184,24.3,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.1,0.1,0.3,0.4,0.00,0.01,0.02,0.00,0.02,Matches
72,Edinson Cavani,uy URU,FW,Manchester Utd,35-033,1987,12,6,615,6.8,2,1,2,0,0,0,0,0.29,0.15,0.44,0.29,0.44,3.1,3.1,1.1,4.2,0.45,0.17,0.62,0.45,0.62,Matches
73,Kayky Chagas,br BRA,FW,Manchester City,18-281,2003,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
74,Trevoh Chalobah,eng ENG,DF,Chelsea,22-257,1999,17,14,1179,13.1,3,1,3,0,0,2,0,0.23,0.08,0.31,0.23,0.31,0.8,0.8,0.1,0.9,0.06,0.01,0.07,0.06,0.07,Matches
75,Calum Chambers,eng ENG,DF,Arsenal,27-058,1995,2,2,170,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07,Matches
76,Calum Chambers,eng ENG,DF,Aston Villa,27-058,1995,6,5,452,5.0,1,0,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
77,Daniel Chesters,eng ENG,MF,West Ham,19-349,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
78,Ben Chilwell,eng ENG,DF,Chelsea,25-088,1996,6,6,540,6.0,3,1,3,0,0,0,0,0.50,0.17,0.67,0.50,0.67,1.2,1.2,0.9,2.1,0.19,0.15,0.35,0.19,0.35,Matches
79,Chiquinho,pt POR,MFDF,Wolves,22-042,2000,4,0,51,0.6,0,1,0,0,0,0,0,0.00,1.76,1.76,0.00,1.76,0.3,0.3,0.1,0.3,0.45,0.13,0.59,0.45,0.59,Matches
80,Hamza Choudhury,eng ENG,DFMF,Leicester City,24-169,1997,5,4,284,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
81,Andreas Christensen,dk DEN,DF,Chelsea,25-343,1996,16,14,1271,14.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.03,0.02,0.05,0.03,0.05,Matches
82,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,18-071,2004,9,1,194,2.2,0,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,0.5,0.5,1.0,1.5,0.22,0.46,0.67,0.22,0.67,Matches
83,Ciaran Clark,ie IRL,DF,Newcastle Utd,32-174,1989,13,12,1014,11.3,0,1,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,0.8,0.8,0.3,1.1,0.07,0.03,0.10,0.07,0.10,Matches
84,Tom Cleverley,eng ENG,MF,Watford,32-219,1989,23,17,1365,15.2,0,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,0.8,0.8,1.5,2.3,0.05,0.10,0.15,0.05,0.15,Matches
85,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30-348,1991,7,6,541,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
86,Conor Coady,eng ENG,DF,Wolves,29-022,1993,30,30,2686,29.8,3,0,3,0,0,2,0,0.10,0.00,0.10,0.10,0.10,1.8,1.8,0.0,1.8,0.06,0.00,0.06,0.06,0.06,Matches
87,Séamus Coleman,ie IRL,DF,Everton,33-159,1988,22,22,1943,21.6,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,1.0,1.0,1.0,2.0,0.05,0.04,0.09,0.05,0.09,Matches
88,Nathan Collins,ie IRL,DF,Burnley,20-323,2001,9,8,770,8.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.05,0.05,0.10,0.05,0.10,Matches
89,Aaron Connolly,ie IRL,FW,Brighton,22-050,2000,4,1,156,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.8,0.26,0.20,0.47,0.26,0.47,Matches
90,Liam Cooper,sct SCO,DF,Leeds United,30-201,1991,15,15,1274,14.2,0,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches
91,Jack Cork,eng ENG,MF,Burnley,32-267,1989,11,11,880,9.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.01,0.01,0.02,0.01,0.02,Matches
92,Maxwel Cornet,ci CIV,FWMF,Burnley,25-173,1996,17,14,1097,12.2,6,0,6,0,0,2,0,0.49,0.00,0.49,0.49,0.49,3.0,3.0,0.7,3.7,0.25,0.05,0.30,0.25,0.30,Matches
93,Hélder Costa,ao ANG,MF,Leeds United,28-066,1994,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.11,0.00,0.11,0.11,0.11,Matches
94,Vladimír Coufal,cz CZE,DF,West Ham,29-209,1992,22,19,1679,18.7,0,3,0,0,0,4,1,0.00,0.16,0.16,0.00,0.16,0.6,0.6,2.1,2.7,0.03,0.11,0.15,0.03,0.15,Matches
95,Philippe Coutinho,br BRA,FWMF,Aston Villa,29-280,1992,9,8,684,7.6,4,3,4,0,0,0,0,0.53,0.39,0.92,0.53,0.92,3.3,3.3,2.3,5.6,0.43,0.31,0.73,0.43,0.73,Matches
96,Aaron Cresswell,eng ENG,DF,West Ham,32-094,1989,22,22,1916,21.3,1,3,1,0,0,1,0,0.05,0.14,0.19,0.05,0.19,0.7,0.7,2.5,3.2,0.03,0.12,0.15,0.03,0.15,Matches
97,Charlie Cresswell,eng ENG,DF,Leeds United,19-102,2002,5,1,141,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
98,Cucho,co COL,FWMF,Watford,22-333,1999,22,9,1013,11.3,5,2,5,0,0,2,0,0.44,0.18,0.62,0.44,0.62,2.5,2.5,1.9,4.4,0.22,0.17,0.39,0.22,0.39,Matches
99,Marc Cucurella,es ESP,DF,Brighton,23-240,1998,26,26,2279,25.3,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,0.4,0.4,2.3,2.7,0.02,0.09,0.11,0.02,0.11,Matches
100,Luke Cundle,eng ENG,MF,Wolves,19-327,2002,2,1,84,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.24,0.24,0.00,0.24,Matches
101,Patson Daka,zm ZAM,FW,Leicester City,23-161,1998,14,8,762,8.5,4,3,4,0,0,1,0,0.47,0.35,0.83,0.47,0.83,3.3,3.3,1.4,4.7,0.39,0.17,0.56,0.39,0.56,Matches
102,Stuart Dallas,nir NIR,DFMF,Leeds United,30-334,1991,30,30,2605,28.9,1,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,1.9,1.9,2.2,4.0,0.06,0.08,0.14,0.06,0.14,Matches
103,Diogo Dalot,pt POR,DF,Manchester Utd,23-001,1999,16,11,1093,12.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.03,0.04,0.07,0.03,0.07,Matches
104,Karl Darlow,eng ENG,GK,Newcastle Utd,31-162,1990,8,8,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
105,Josh Dasilva,eng ENG,MFFW,Brentford,23-147,1998,4,2,136,1.5,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches
106,Ben Davies,wls WAL,DF,Tottenham,28-329,1993,19,18,1647,18.3,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,1.3,1.3,0.5,1.8,0.07,0.03,0.10,0.07,0.10,Matches
107,Tom Davies,eng ENG,MF,Everton,23-262,1998,5,1,158,1.8,1,0,1,0,0,0,0,0.57,0.00,0.57,0.57,0.57,0.9,0.9,0.0,0.9,0.52,0.00,0.52,0.52,0.52,Matches
108,Keinan Davis,eng ENG,FW,Aston Villa,24-034,1998,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
109,Craig Dawson,eng ENG,DF,West Ham,31-317,1990,26,22,2063,22.9,2,1,2,0,0,4,0,0.09,0.04,0.13,0.09,0.13,2.4,2.4,0.5,2.9,0.11,0.02,0.13,0.11,0.13,Matches
110,Kevin De Bruyne,be BEL,MF,Manchester City,30-264,1991,22,17,1536,17.1,9,3,9,0,0,0,0,0.53,0.18,0.70,0.53,0.70,4.5,4.5,5.5,10.0,0.26,0.32,0.58,0.26,0.58,Matches
111,Troy Deeney,eng ENG,FW,Watford,33-263,1988,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,1.45,0.32,1.77,1.45,1.77,Matches
112,Liam Delap,eng ENG,FW,Manchester City,19-039,2003,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
113,Fabian Delph,eng ENG,MF,Everton,32-118,1989,6,3,249,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02,Matches
114,Leander Dendoncker,be BEL,MFFW,Wolves,26-338,1995,24,15,1411,15.7,1,2,1,0,0,4,0,0.06,0.13,0.19,0.06,0.19,1.6,1.6,0.9,2.5,0.10,0.06,0.16,0.10,0.16,Matches
