Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Unnamed: 0,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,38,3420,38.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.1,1.8,0.04,0.0,0.05,0.04,0.05,Matches,38.0,67,35,51,15,1,26,43,60.5,17,359,128,35.7,271,80,8,78,24,0,54,46,113,240,2,,,,,,,,,,,,,,,,1318,1576,83.6,30166,10127,286,339,84.4,758,818,92.7,269,394,68.3,0,0.1,-0.1,3,51,3,0,59,238,9230.76923076923,480000,5000.0,260000,7691.192307692308,399942,4166.057692307692,216635,10450.365384615385,543419,5660.615384615385,294352,1-yr,480000,260000,399942,216635,543419,294352,Starter,D,CB,34,Morocco,Reims
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,37,37,3309,36.8,3,1,3,0,0,4,1,0.08,0.03,0.11,0.08,0.11,3.0,3.0,0.6,3.6,0.08,0.02,0.1,0.08,0.1,Matches,36.8,51,30,29,16,6,14,26,53.8,12,259,96,37.1,173,71,15,63,31,0,32,43,94,181,2,,,,,,,,,,,,,,,,1554,1787,87.0,33525,10694,443,500,88.6,810,875,92.6,287,389,73.8,1,0.6,0.4,8,112,6,2,94,49,89038.46153846153,4630000,48076.92307692308,2500000,74188.0,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,4-yrs,18520000,10000000,15431104,8332130,20966905,11321223,Reserve,D,CB,33,Italy,Lazio
12,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,10,8,721,8.0,0,2,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,0.2,0.2,0.7,0.9,0.03,0.09,0.12,0.03,0.12,Matches,8.0,27,21,12,11,4,11,22,50.0,11,210,81,38.6,65,112,33,13,1,0,12,11,38,11,0,,,,,,,,,,,,,,,,416,516,80.6,6997,2224,208,249,83.5,162,193,83.9,40,56,71.4,2,0.7,1.3,5,49,4,0,52,193,19230.76923076923,1000000,10192.307692307691,530000,16023.326923076924,833213,8492.365384615385,441603,21771.57692307692,1132122,11538.942307692309,600025,4-yrs,4000000,2120000,3332852,1766411,4528489,2400099,Reserve,M,DM,22,United States,Leipzig
17,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,7,2,216,2.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.01,0.38,0.39,0.01,0.39,Matches,2.4,3,1,0,2,1,2,4,50.0,2,57,16,28.1,13,29,15,3,0,0,3,1,4,1,0,,,,,,,,,,,,,,,,111,151,73.5,1935,591,48,60,80.0,49,63,77.8,11,23,47.8,0,0.9,-0.9,6,13,3,1,16,159,15961.53846153846,830000,8846.153846153846,460000,13299.365384615385,691567,7370.7307692307695,383278,18070.42307692308,939662,10014.923076923076,520776,1-yr,830000,460000,691567,383278,939662,520776,Starter,F,AM,21,France,Bordeaux
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,12,1050,11.7,3,0,3,0,0,4,1,0.26,0.0,0.26,0.26,0.26,1.5,1.5,0.1,1.5,0.13,0.0,0.13,0.13,0.13,Matches,11.7,20,14,11,9,0,6,17,35.3,11,137,38,27.7,82,50,5,23,8,0,15,4,24,95,1,,,,,,,,,,,,,,,,452,577,78.3,10088,4103,130,143,90.9,233,260,89.6,85,162,52.5,0,0.1,-0.1,2,37,3,1,24,352,4230.769230769231,220000,2307.692307692308,120000,3525.1346153846152,183307,1922.8076923076924,99986,4789.75,249067,2612.596153846154,135855,4-yrs,880000,480000,733227,399942,996268,543419,Starter,D,CB,25,Morocco,Rennes
24,Ruben Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,29,29,2528,28.1,1,4,1,0,0,8,0,0.04,0.14,0.18,0.04,0.18,0.7,0.7,3.2,3.9,0.03,0.11,0.14,0.03,0.14,Matches,28.1,97,55,39,35,23,36,75,48.0,39,555,160,28.8,235,247,73,45,5,0,40,26,123,48,2,,,,,,,,,,,,,,,,1328,1642,80.9,22716,9218,666,747,89.2,541,646,83.7,112,204,54.9,4,3.2,0.8,46,77,47,24,145,109,23461.53846153846,1220000,20384.615384615383,1060000,19548.46153846154,1016520,16984.73076923077,883206,26561.32692307692,1381189,23077.884615384617,1200050,3-yrs,3660000,3180000,3049559,2649617,4143568,3600149,Starter,D,RB,28,France,Monaco
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,17,12,1075,11.9,0,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,0.6,0.6,0.2,0.8,0.05,0.01,0.07,0.05,0.07,Matches,11.9,25,17,11,10,4,9,22,40.9,13,219,63,28.8,65,134,20,10,0,0,10,11,36,13,0,,,,,,,,,,,,,,,,465,552,84.2,8682,2135,177,207,85.5,228,251,90.8,51,80,63.8,1,0.2,0.8,4,48,4,0,53,137,17884.615384615383,930000,9807.692307692309,510000,14901.692307692309,774888,8171.903846153846,424939,20247.57692307692,1052874,11103.5,577382,1-yr,930000,510000,774888,424939,1052874,577382,Reserve,M,DM,27,Cote d&#39;Ivoire,Strasbourg
29,Ola Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,30,22,2160,24.0,1,3,1,0,0,5,1,0.04,0.12,0.17,0.04,0.17,1.9,1.9,2.1,4.1,0.08,0.09,0.17,0.08,0.17,Matches,24.0,64,44,40,17,7,21,53,39.6,32,468,152,32.5,212,194,62,67,4,1,63,34,98,41,0,,,,,,,,,,,,,,,,845,1160,72.8,14588,6204,418,479,87.3,314,430,73.0,94,194,48.5,3,2.1,0.9,24,52,31,14,89,192,35576.92307692308,1850000,19230.76923076923,1000000,29643.153846153848,1541444,16023.326923076924,833213,40277.42307692308,2094426,21771.57692307692,1132122,2-yrs,3700000,2000000,3082888,1666426,4188853,2264245,Reserve,D,RB,25,Nigeria,Torino
33,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,25,18,1531,17.0,9,1,9,0,0,5,0,0.53,0.06,0.59,0.53,0.59,5.7,5.7,1.0,6.8,0.34,0.06,0.4,0.34,0.4,Matches,17.0,15,7,0,8,7,6,17,35.3,11,277,57,20.6,14,155,108,9,2,0,7,6,21,9,0,,,,,,,,,,,,,,,,355,467,76.0,5737,672,204,261,78.2,105,133,78.9,38,50,76.0,1,1.0,0.0,12,18,7,2,20,236,9423.076923076924,490000,5192.307692307692,270000,7851.423076923077,408274,4326.307692307692,224968,10668.076923076924,554740,5878.326923076923,305673,3-yrs,1470000,810000,1224823,674903,1664220,917019,Starter,F,CF,27,France,Strasbourg
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,25,25,2205,24.5,1,0,1,0,0,1,0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.4,1.2,0.03,0.01,0.05,0.03,0.05,Matches,24.5,34,25,19,11,4,5,19,26.3,14,161,60,37.3,92,63,6,27,12,0,15,17,51,102,1,,,,,,,,,,,,,,,,1698,1828,92.9,37754,11043,444,474,93.7,902,938,96.2,343,400,85.8,0,0.4,-0.4,6,110,4,3,93,79,48076.92307692308,2500000,25576.92307692308,1330000,40058.307692307695,2083032,21311.01923076923,1108173,54428.96153846154,2830306,28956.21153846154,1505723,2-yrs,5000000,2660000,4166065,2216347,5660612,3011445,Starter,D,CB,26,Switzerland,Borussia Dortmund
