Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
437,Alex Petxa,es ESP,DFMF,Athletic Club,25-042,1997,1.4,3,3,1,2,0,2,2,100.0,0,26,11,42.3,9,14,3,1,0,0,1,0,3,0,0,Matches
438,Germán Pezzella,ar ARG,DF,Betis,30-266,1991,13.2,19,13,17,2,0,10,22,45.5,12,93,26,28.0,58,33,2,23,9,0,14,36,55,61,1,Matches
439,Pablo Piatti,ar ARG,MFFW,Elche,32-354,1989,2.3,3,1,2,1,0,1,3,33.3,2,34,3,8.8,12,16,6,5,0,0,5,3,6,1,0,Matches
440,Cristiano Piccini,it ITA,DF,Valencia,29-175,1992,3.6,16,11,11,4,1,7,13,53.8,6,72,23,31.9,36,23,13,4,2,0,2,9,25,9,0,Matches
441,Tomás Pina Isla,es ESP,MF,Alavés,34-157,1987,13.9,31,22,11,17,3,6,18,33.3,12,259,71,27.4,95,139,25,18,3,0,15,20,51,22,0,Matches
442,Orbelín Pineda,mx MEX,MF,Celta Vigo,25-361,1996,0.3,1,0,1,0,0,0,0,,0,8,3,37.5,4,3,1,0,0,0,0,0,1,0,0,Matches
443,Yeremi Pino,es ESP,MFFW,Villarreal,19-151,2002,16.0,26,11,10,8,8,7,23,30.4,16,236,60,25.4,54,87,95,38,4,0,34,19,45,9,0,Matches
444,Gerard Piqué,es ESP,DF,Barcelona,35-046,1987,20.0,16,11,12,4,0,7,10,70.0,3,135,62,45.9,68,64,3,28,13,0,15,28,44,95,1,Matches
445,Ezequiel Ponce,ar ARG,FW,Elche,24-356,1997,2.3,2,2,0,1,1,1,2,50.0,1,45,13,28.9,5,21,19,1,0,0,1,0,2,1,0,Matches
446,Pere Pons,es ESP,MF,Alavés,29-028,1993,12.6,18,14,5,11,2,4,14,28.6,10,282,82,29.1,59,142,81,16,1,0,15,8,26,8,1,Matches
447,Portu,es ESP,FWMF,Real Sociedad,29-303,1992,14.5,18,9,6,5,7,7,22,31.8,15,263,68,25.9,67,103,93,21,1,0,20,10,28,7,0,Matches
448,Sergio Postigo,es ESP,DF,Levante,33-136,1988,4.3,5,3,4,0,1,2,5,40.0,3,36,14,38.9,17,16,3,3,1,0,2,8,13,21,0,Matches
449,Darío Poveda,es ESP,FWMF,Getafe,25-007,1997,4.2,4,1,0,3,1,1,6,16.7,5,83,19,22.9,6,39,38,7,1,0,6,3,7,2,0,Matches
450,José Pozo,es ESP,MF,Rayo Vallecano,26-005,1996,0.8,1,1,0,1,0,1,2,50.0,1,17,4,23.5,3,9,5,2,0,0,2,1,2,0,0,Matches
451,Abdón Prats,es ESP,FW,Mallorca,29-103,1992,4.8,2,2,0,0,2,1,3,33.3,2,53,18,34.0,0,13,40,3,0,0,3,1,3,4,0,Matches
452,Javi Puado,es ESP,MFFW,Espanyol,23-299,1998,16.4,23,16,15,8,0,9,22,40.9,13,222,69,31.1,66,95,61,13,2,1,11,19,42,8,0,Matches
453,Pubill,es ESP,DF,Levante,18-273,2003,4.7,12,10,9,3,0,2,5,40.0,3,79,21,26.6,31,30,18,8,2,0,6,6,18,4,1,Matches
454,Antonio Puertas,es ESP,MFFW,Granada,30-027,1992,17.9,23,13,12,10,1,14,29,48.3,15,259,76,29.3,76,104,79,30,3,0,27,6,29,17,0,Matches
455,Riqui Puig,es ESP,MF,Barcelona,22-219,1999,3.6,4,3,1,3,0,0,5,0.0,5,65,15,23.1,7,39,19,1,0,0,1,3,7,0,0,Matches
456,Yacine Qasmi,ma MAR,MF,Rayo Vallecano,31-076,1991,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
457,Quini,es ESP,DF,Granada,32-177,1989,18.7,56,36,32,19,5,28,55,50.9,27,286,95,33.2,150,113,23,36,10,0,26,36,92,48,0,Matches
458,Dani Raba,es ESP,MF,Granada,26-142,1995,0.2,1,0,0,0,1,1,1,100.0,0,3,0,0.0,0,1,2,1,0,0,1,2,3,0,0,Matches
459,Dani Raba,es ESP,MFFW,Villarreal,26-142,1995,1.0,1,1,0,1,0,0,1,0.0,1,16,3,18.8,4,6,6,1,0,0,1,2,3,2,0,Matches
460,Uroš Račić,rs SRB,MF,Valencia,24-003,1998,8.7,18,15,6,11,1,7,22,31.8,15,215,63,29.3,69,120,26,18,4,0,14,16,34,21,0,Matches
461,Nemanja Radoja,rs SRB,MF,Levante,29-042,1993,7.2,12,8,4,6,2,3,5,60.0,2,111,32,28.8,34,68,9,15,7,0,8,15,27,14,1,Matches
462,Rafinha,br BRA,MFFW,Real Sociedad,29-036,1993,4.4,15,10,8,4,3,5,8,62.5,3,96,28,29.2,32,48,16,6,1,0,5,6,21,4,0,Matches
463,Antonio Raillo,es ESP,DF,Mallorca,30-163,1991,8.0,8,4,7,1,0,1,4,25.0,3,76,29,38.2,46,25,5,9,3,0,6,14,22,28,0,Matches
