Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
25,Amath,sn SEN,FWMF,Mallorca,25-247,1996,18,8,829,9.2,0,1,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,1.3,1.3,0.2,1.5,0.14,0.02,0.16,0.14,0.16,Matches
26,Florin Andone,ro ROU,FW,Cádiz,28-343,1993,5,1,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.13,0.02,0.15,0.13,0.15,Matches
27,José Ángel,es ESP,DF,Osasuna,32-196,1989,18,8,773,8.6,1,1,1,0,0,1,1,0.12,0.12,0.23,0.12,0.23,0.2,0.2,1.1,1.3,0.02,0.13,0.15,0.02,0.15,Matches
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21-256,2000,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
29,Mauro Arambarri,uy URU,MF,Getafe,26-171,1995,23,23,1943,21.6,0,5,0,0,0,9,0,0.00,0.23,0.23,0.00,0.23,0.9,0.9,1.5,2.4,0.04,0.07,0.11,0.04,0.11,Matches
30,Néstor Araujo,mx MEX,DF,Celta Vigo,30-203,1991,25,20,1844,20.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
31,Ronald Araújo,uy URU,DF,Barcelona,23-013,1999,21,16,1521,16.9,3,0,3,0,0,4,0,0.18,0.00,0.18,0.18,0.18,0.9,0.9,0.4,1.3,0.05,0.02,0.08,0.05,0.08,Matches
32,Jesús Areso,es ESP,DF,Osasuna,22-261,1999,2,2,172,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
33,Matias Arezo,uy URU,FW,Granada,19-119,2002,3,1,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.41,0.06,0.47,0.41,0.47,Matches
34,Santiago Arias,co COL,DF,Granada,30-066,1992,8,3,327,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.6,0.6,0.2,0.8,0.17,0.05,0.22,0.17,0.22,Matches
35,Santiago Arzamendia,py PAR,MFDF,Cádiz,23-319,1998,12,5,453,5.0,1,0,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches
36,Sergio Asenjo,es ESP,GK,Villarreal,32-265,1989,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
37,Marco Asensio,es ESP,FWMF,Real Madrid,26-058,1996,23,14,1265,14.1,8,0,8,0,0,2,0,0.57,0.00,0.57,0.57,0.57,5.6,5.6,1.8,7.4,0.40,0.13,0.53,0.40,0.53,Matches
38,Iago Aspas,es ESP,FW,Celta Vigo,34-231,1987,27,26,2212,24.6,13,4,10,3,5,9,0,0.53,0.16,0.69,0.41,0.57,9.9,6.0,5.1,11.1,0.40,0.21,0.61,0.24,0.45,Matches
39,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32-275,1989,6,4,370,4.1,5,0,5,0,0,0,0,1.22,0.00,1.22,1.22,1.22,2.3,2.3,0.2,2.5,0.56,0.05,0.61,0.56,0.61,Matches
40,Ludwig Augustinsson,se SWE,DF,Sevilla,27-333,1994,14,7,569,6.3,0,1,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,0.0,0.0,0.2,0.2,0.01,0.03,0.03,0.01,0.03,Matches
41,Serge Aurier,ci CIV,DF,Villarreal,29-086,1992,12,7,682,7.6,0,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,0.6,0.6,1.1,1.7,0.08,0.14,0.22,0.08,0.22,Matches
42,Ezequiel Ávila,ar ARG,FWMF,Osasuna,28-042,1994,27,14,1255,13.9,5,1,5,0,0,7,1,0.36,0.07,0.43,0.36,0.43,2.7,2.7,1.0,3.6,0.19,0.07,0.26,0.19,0.26,Matches
43,Iddrisu Baba,gh GHA,MF,Mallorca,26-057,1996,20,17,1476,16.4,2,0,2,0,0,7,0,0.12,0.00,0.12,0.12,0.12,1.3,1.3,0.2,1.5,0.08,0.01,0.09,0.08,0.09,Matches
44,Carlos Bacca,co COL,FW,Granada,35-193,1986,15,4,492,5.5,0,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.7,0.7,0.5,1.2,0.13,0.08,0.21,0.13,0.21,Matches
45,Édgar Badía,es ESP,GK,Elche,30-036,1992,17,17,1530,17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
46,Miguel Baeza,es ESP,DF,Celta Vigo,21-358,2000,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
47,Alejandro Balde,es ESP,FWDF,Barcelona,18-153,2003,4,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
48,Gareth Bale,wls WAL,FW,Real Madrid,32-247,1989,4,4,263,2.9,1,0,1,0,0,2,0,0.34,0.00,0.34,0.34,0.34,1.1,1.1,0.0,1.1,0.37,0.01,0.38,0.37,0.38,Matches
