Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
135,Matteo Darmian,it ITA,DF,Inter,32-108,1989,14.3,467,587,79.6,8271,3201,201,223,90.1,219,265,82.6,39,68,57.4,1,1.3,-0.3,13,22,18,9,52,Matches
136,Paweł Dawidowicz,pl POL,DF,Hellas Verona,26-304,1995,13.2,520,603,86.2,9812,2884,195,207,94.2,245,282,86.9,68,89,76.4,0,0.1,-0.1,4,38,3,0,28,Matches
137,Sebastien De Maio,fr FRA,DF,Udinese,35-015,1987,2.0,53,75,70.7,1202,529,13,15,86.7,31,35,88.6,9,24,37.5,0,0.3,-0.3,1,3,0,0,2,Matches
138,Tommaso De Nipoti,it ITA,MF,Atalanta,18-240,2003,0.1,1,2,50.0,9,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
139,Mattia De Sciglio,it ITA,DF,Juventus,29-151,1992,8.8,347,433,80.1,6912,2599,141,166,84.9,149,170,87.6,53,84,63.1,0,1.2,-1.2,15,25,11,10,33,Matches
140,Lorenzo De Silvestri,it ITA,DF,Bologna,33-301,1988,19.4,787,1034,76.1,13329,6339,385,458,84.1,325,395,82.3,65,136,47.8,1,1.1,-0.1,18,71,20,11,78,Matches
141,Grégoire Defrel,mq MTQ,FW,Sassuolo,30-276,1991,12.0,270,315,85.7,3617,507,178,197,90.4,71,85,83.5,10,16,62.5,2,1.5,+0.5,15,12,10,0,18,Matches
142,Alessandro Deiola,it ITA,MF,Cagliari,26-231,1995,18.5,488,608,80.3,9842,2085,174,202,86.1,214,265,80.8,86,111,77.5,1,1.1,-0.1,9,32,9,1,47,Matches
143,Filippo Delli Carri,it ITA,DF,Salernitana,22-321,1999,4.7,86,120,71.7,1419,772,40,48,83.3,38,50,76.0,6,14,42.9,0,0.1,-0.1,1,5,1,1,4,Matches
144,Merih Demiral,tr TUR,DF,Atalanta,24-015,1998,16.9,551,633,87.0,12070,2609,133,149,89.3,307,335,91.6,105,134,78.4,1,0.0,+1.0,1,19,0,0,16,Matches
145,Diego Demme,de GER,MF,Napoli,30-119,1991,6.2,436,480,90.8,7303,1742,216,226,95.6,176,191,92.1,34,51,66.7,0,0.3,-0.3,3,33,4,2,24,Matches
146,Fabio Depaoli,it ITA,MFDF,Sampdoria,24-330,1997,1.2,22,33,66.7,401,153,10,10,100.0,9,11,81.8,3,6,50.0,0,0.0,0.0,0,3,0,0,4,Matches
147,Fabio Depaoli,it ITA,DF,Hellas Verona,24-330,1997,4.6,114,176,64.8,2042,1056,54,73,74.0,46,60,76.7,12,31,38.7,1,0.2,+0.8,2,8,10,4,18,Matches
148,Mattia Destro,it ITA,FW,Genoa,31-000,1991,15.8,177,291,60.8,2523,652,111,165,67.3,51,89,57.3,9,18,50.0,1,1.0,0.0,9,18,5,1,24,Matches
149,Gerard Deulofeu,es ESP,FWMF,Udinese,28-007,1994,21.9,542,773,70.1,9303,3368,278,337,82.5,197,236,83.5,60,140,42.9,2,4.6,-2.6,52,27,45,4,79,Matches
150,Jacopo Dezi,it ITA,MF,Venezia,30-038,1992,0.2,22,26,84.6,495,144,5,6,83.3,14,15,93.3,3,5,60.0,0,0.0,0.0,1,3,3,1,5,Matches
151,Samuel Di Carmine,it ITA,FW,Hellas Verona,33-181,1988,0.4,5,5,100.0,81,8,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
152,Federico Di Francesco,it ITA,FWMF,Empoli,27-279,1994,11.8,214,323,66.3,3463,1142,119,147,81.0,65,98,66.3,19,51,37.3,0,1.0,-1.0,15,20,12,1,32,Matches
153,Giovanni Di Lorenzo,it ITA,DF,Napoli,28-228,1993,29.0,1903,2162,88.0,32245,11593,916,992,92.3,808,888,91.0,147,198,74.2,3,2.6,+0.4,28,142,37,5,149,Matches
154,Francesco Di Mariano,it ITA,FW,Venezia,25-334,1996,0.7,11,14,78.6,230,28,3,4,75.0,5,6,83.3,3,4,75.0,0,0.1,-0.1,1,0,1,1,0,Matches
155,Francesco Di Tacchio,it ITA,MF,Salernitana,31-334,1990,13.9,433,536,80.8,7982,2557,182,206,88.3,175,203,86.2,63,102,61.8,0,0.1,-0.1,3,50,8,0,50,Matches
156,Amadou Diawara,gn GUI,MF,Roma,24-246,1997,1.9,55,70,78.6,944,222,27,30,90.0,24,29,82.8,3,8,37.5,0,0.0,0.0,1,4,0,0,3,Matches
157,Brahim Díaz,es ESP,MF,Milan,22-229,1999,17.4,555,650,85.4,9031,2015,291,326,89.3,202,227,89.0,43,66,65.2,3,2.1,+0.9,25,50,24,2,60,Matches
158,Mitchell Dijks,nl NED,DF,Bologna,29-039,1993,3.6,104,134,77.6,1807,796,46,55,83.6,46,56,82.1,11,18,61.1,0,0.2,-0.2,3,4,2,2,7,Matches
159,Federico Dimarco,it ITA,DF,Inter,24-130,1997,11.8,724,886,81.7,13705,5011,342,358,95.5,258,299,86.3,107,185,57.8,2,4.2,-2.2,40,52,25,13,69,Matches
160,Filippo Distefano,it ITA,FW,Fiorentina,18-204,2003,0.0,2,2,100.0,45,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
161,Koffi Djidji,ci CIV,DF,Torino,29-110,1992,17.4,656,769,85.3,13217,3713,230,258,89.1,308,329,93.6,108,160,67.5,0,0.1,-0.1,2,41,7,2,47,Matches
162,Berat Djimsiti,al ALB,DF,Atalanta,29-029,1993,18.0,895,1064,84.1,16523,5801,395,437,90.4,366,405,90.4,121,189,64.0,1,0.7,+0.3,6,63,7,4,58,Matches
163,Nicolás Domínguez,ar ARG,MF,Bologna,23-265,1998,18.9,851,1020,83.4,15912,4154,374,413,90.6,347,391,88.7,119,178,66.9,2,1.4,+0.6,22,79,25,2,81,Matches
164,Bartłomiej Drągowski,pl POL,GK,Fiorentina,24-213,1997,6.2,271,344,78.8,7848,3865,40,40,100.0,114,117,97.4,115,185,62.2,0,0.0,0.0,0,4,0,0,0,Matches
165,Radu Drăgușin,ro ROU,DF,Sampdoria,20-045,2002,6.9,179,258,69.4,3990,1538,40,57,70.2,98,130,75.4,38,65,58.5,0,0.1,-0.1,3,10,3,1,12,Matches
166,Radu Drăgușin,ro ROU,DF,Salernitana,20-045,2002,5.0,125,146,85.6,2697,923,38,41,92.7,61,68,89.7,24,31,77.4,0,0.0,0.0,1,3,0,0,6,Matches
167,Denzel Dumfries,nl NED,DF,Inter,25-336,1996,16.0,454,605,75.0,7520,2705,229,270,84.8,178,236,75.4,36,69,52.2,3,3.5,-0.5,21,23,21,6,58,Matches
168,Alfred Duncan,gh GHA,MF,Fiorentina,29-010,1993,14.5,444,578,76.8,9307,2741,168,200,84.0,185,232,79.7,83,117,70.9,2,1.5,+0.5,17,57,22,3,70,Matches
169,Paulo Dybala,ar ARG,FWMF,Juventus,28-125,1993,16.1,678,824,82.3,12866,2700,314,367,85.6,251,288,87.2,103,143,72.0,5,3.0,+2.0,29,53,22,4,73,Matches
170,Edin Džeko,ba BIH,FW,Inter,36-003,1986,22.0,484,673,71.9,8485,2072,242,308,78.6,163,216,75.5,63,96,65.6,5,4.3,+0.7,34,39,36,8,66,Matches
171,Tyronne Ebuehi,ng NGA,DF,Venezia,26-094,1995,10.0,328,424,77.4,5944,2048,143,166,86.1,146,177,82.5,35,56,62.5,0,0.2,-0.2,3,15,5,3,20,Matches
172,Éderson,br BRA,MF,Salernitana,22-256,1999,3.6,117,136,86.0,2157,365,55,65,84.6,43,47,91.5,16,19,84.2,0,0.0,0.0,0,7,2,0,6,Matches
173,Albin Ekdal,se SWE,MF,Sampdoria,32-235,1989,15.7,498,620,80.3,8718,2282,235,267,88.0,202,249,81.1,53,81,65.4,0,0.2,-0.2,4,41,7,0,63,Matches
174,Caleb Ekuban,gh GHA,FWMF,Genoa,27-362,1994,15.6,239,346,69.1,3340,663,158,198,79.8,62,94,66.0,12,18,66.7,1,2.2,-1.2,12,13,6,0,19,Matches
175,Elif Elmas,mk MKD,FWMF,Napoli,22-177,1999,15.9,630,722,87.3,9056,1793,383,419,91.4,194,214,90.7,32,54,59.3,2,1.9,+0.1,19,41,18,2,32,Matches
176,Martin Erlic,hr CRO,DF,Spezia,24-055,1998,22.2,690,833,82.8,15752,4427,171,193,88.6,367,405,90.6,141,217,65.0,0,0.3,-0.3,4,27,1,0,16,Matches
177,Gonzalo Escalante,ar ARG,MF,Lazio,28-358,1993,0.1,4,5,80.0,72,10,1,1,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
178,Diego Falcinelli,it ITA,FWMF,Bologna,30-267,1991,0.7,8,14,57.1,97,14,7,11,63.6,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
179,Wladimiro Falcone,it ITA,GK,Sampdoria,26-342,1995,9.5,250,358,69.8,7775,4587,47,48,97.9,90,92,97.8,112,217,51.6,0,0.0,0.0,0,3,0,0,0,Matches
180,Paolo Faragò,it ITA,MF,Cagliari,29-036,1993,0.2,7,8,87.5,97,10,2,2,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
181,Davide Faraoni,it ITA,DF,Hellas Verona,30-146,1991,22.7,781,1093,71.5,14613,7558,362,428,84.6,295,395,74.7,113,234,48.3,5,2.7,+2.3,18,70,50,17,121,Matches
182,Mohamed Fares,dz ALG,DFFW,Genoa,26-033,1996,6.5,178,258,69.0,3326,1352,94,113,83.2,52,78,66.7,31,54,57.4,1,0.5,+0.5,5,10,11,6,25,Matches
183,Diego Farias,br BRA,MFFW,Cagliari,31-314,1990,0.7,29,35,82.9,510,59,14,15,93.3,13,16,81.3,1,2,50.0,0,0.0,0.0,0,0,1,0,1,Matches
184,Andrea Favilli,it ITA,FW,Genoa,24-307,1997,0.4,5,6,83.3,66,0,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
185,Federico Fazio,ar ARG,DF,Salernitana,35-003,1987,6.0,222,253,87.7,4353,1415,74,81,91.4,122,130,93.8,24,38,63.2,0,0.0,0.0,1,14,1,0,14,Matches
186,Luiz Felipe,br BRA,DF,Lazio,24-363,1997,25.5,1539,1673,92.0,30184,10046,525,563,93.3,778,821,94.8,201,244,82.4,0,0.1,-0.1,2,80,3,0,64,Matches
187,Alex Ferrari,it ITA,DF,Sampdoria,27-262,1994,9.8,352,437,80.5,7366,2157,97,115,84.3,191,217,88.0,56,88,63.6,0,0.0,0.0,0,19,3,0,21,Matches
188,Salvador Ferrer,es ESP,DFMF,Spezia,24-058,1998,13.3,482,605,79.7,9495,3080,189,220,85.9,212,254,83.5,76,111,68.5,0,0.9,-0.9,13,38,13,8,43,Matches
189,Riccardo Fiamozzi,it ITA,DF,Empoli,28-306,1993,5.0,235,320,73.4,4560,2048,103,117,88.0,95,118,80.5,35,65,53.8,0,0.3,-0.3,4,15,4,1,29,Matches
190,Luca Fiordilino,it ITA,MF,Venezia,25-238,1996,4.5,156,181,86.2,2746,554,75,81,92.6,59,64,92.2,17,24,70.8,0,0.2,-0.2,4,6,1,1,10,Matches
191,Vincenzo Fiorillo,it ITA,GK,Salernitana,32-066,1990,2.0,23,31,74.2,955,675,0,0,,7,7,100.0,16,24,66.7,0,0.0,0.0,0,0,0,0,0,Matches
192,Alessandro Florenzi,it ITA,DFFW,Milan,31-009,1991,12.3,628,778,80.7,12707,4340,217,234,92.7,294,325,90.5,102,183,55.7,0,1.0,-1.0,11,54,25,7,60,Matches
193,Fernando Forestieri,it ITA,FWMF,Udinese,32-064,1990,0.6,16,23,69.6,228,84,10,10,100.0,6,7,85.7,0,5,0.0,1,0.1,+0.9,1,2,1,0,4,Matches
194,Francesco Forte,it ITA,FW,Venezia,28-323,1993,4.7,55,77,71.4,784,127,31,39,79.5,22,31,71.0,0,1,0.0,0,0.1,-0.1,3,2,1,0,5,Matches
195,Davide Frattesi,it ITA,MF,Sassuolo,22-149,1999,25.8,842,1012,83.2,14584,3442,423,479,88.3,318,370,85.9,85,114,74.6,1,2.8,-1.8,23,69,22,4,89,Matches
196,Morten Frendrup,dk DEN,DFMF,Genoa,20-347,2001,2.0,59,92,64.1,1056,553,22,29,75.9,25,37,67.6,8,18,44.4,0,0.0,0.0,1,5,2,1,6,Matches
197,Remo Freuler,ch SUI,MF,Atalanta,29-339,1992,19.7,1118,1294,86.4,19831,5371,466,516,90.3,512,573,89.4,105,151,69.5,3,2.0,+1.0,21,120,33,5,124,Matches
198,Matteo Gabbia,it ITA,DF,Milan,22-150,1999,5.1,307,349,88.0,6967,1969,68,77,88.3,173,182,95.1,65,87,74.7,0,0.1,-0.1,1,18,1,0,16,Matches
199,Manolo Gabbiadini,it ITA,FWMF,Sampdoria,30-114,1991,12.7,225,340,66.2,3552,1106,127,161,78.9,66,98,67.3,23,53,43.4,1,1.7,-0.7,16,22,14,4,33,Matches
200,Gianluca Gaetano,it ITA,MF,Napoli,21-319,2000,0.2,9,11,81.8,141,40,4,5,80.0,5,6,83.3,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
201,Luca Gagliano,it ITA,MFDF,Cagliari,21-249,2000,0.1,6,8,75.0,98,5,3,3,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
202,Roberto Gagliardini,it ITA,MF,Inter,27-347,1994,5.4,229,269,85.1,3628,853,124,134,92.5,89,105,84.8,12,21,57.1,1,1.0,0.0,5,18,2,0,18,Matches
203,Riccardo Gagliolo,se SWE,DF,Salernitana,31-326,1990,12.3,378,479,78.9,8184,3361,114,130,87.7,177,211,83.9,80,122,65.6,1,0.0,+1.0,1,36,2,0,36,Matches
204,Nicolas Galazzi,it ITA,DF,Venezia,21-092,2000,0.2,5,8,62.5,78,25,4,5,80.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
205,Pablo Galdames Millán,cl CHI,MF,Genoa,25-080,1996,5.3,147,191,77.0,3025,733,58,66,87.9,68,78,87.2,21,39,53.8,0,0.3,-0.3,4,6,5,1,15,Matches
206,Luca Gemello,it ITA,GK,Torino,21-260,2000,1.0,15,34,44.1,617,468,1,1,100.0,5,5,100.0,9,28,32.1,0,0.0,0.0,0,1,0,0,0,Matches
207,Paolo Ghiglione,it ITA,DF,Genoa,25-046,1997,6.7,215,339,63.4,4028,1914,97,110,88.2,84,129,65.1,32,81,39.5,1,0.4,+0.6,7,9,9,5,22,Matches
208,Faouzi Ghoulam,dz ALG,DF,Napoli,31-047,1991,2.3,149,179,83.2,2562,920,69,74,93.2,65,74,87.8,12,25,48.0,0,0.3,-0.3,6,21,5,3,13,Matches
209,Sebastian Giovinco,it ITA,MF,Sampdoria,35-053,1987,0.4,6,10,60.0,126,16,4,5,80.0,0,0,,2,4,50.0,0,0.0,0.0,0,1,1,0,1,Matches
210,Olivier Giroud,fr FRA,FW,Milan,35-171,1986,15.1,255,347,73.5,3218,487,167,216,77.3,56,83,67.5,11,16,68.8,3,1.5,+1.5,16,8,9,1,18,Matches
211,Diego Godín,uy URU,DF,Cagliari,36-032,1986,9.1,393,434,90.6,9063,2728,97,106,91.5,191,204,93.6,99,117,84.6,1,0.4,+0.6,3,26,0,0,12,Matches
212,Edoardo Goldaniga,it ITA,DF,Cagliari,28-138,1993,8.8,290,401,72.3,6553,3064,90,111,81.1,131,163,80.4,64,114,56.1,0,0.1,-0.1,3,18,5,2,24,Matches
213,Edoardo Goldaniga,it ITA,MFDF,Sassuolo,28-138,1993,0.0,1,1,100.0,17,17,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
214,Cedric Gondo,ci CIV,FW,Salernitana,25-115,1996,7.8,130,174,74.7,1901,349,79,98,80.6,30,37,81.1,13,18,72.2,0,0.6,-0.6,13,3,5,2,9,Matches
215,Nicolás González,ar ARG,FW,Fiorentina,23-348,1998,17.6,452,600,75.3,9130,1949,177,237,74.7,182,226,80.5,83,102,81.4,5,3.0,+2.0,26,32,28,9,57,Matches
216,Robin Gosens,de GER,DF,Inter,27-258,1994,0.9,46,56,82.1,720,227,29,32,90.6,14,14,100.0,2,6,33.3,1,0.4,+0.6,2,2,2,1,5,Matches
217,Robin Gosens,de GER,DF,Atalanta,27-258,1994,5.1,214,260,82.3,3691,1491,102,116,87.9,95,114,83.3,14,25,56.0,0,0.4,-0.4,5,13,7,1,35,Matches
218,Alberto Grassi,it ITA,MF,Cagliari,27-013,1995,17.7,587,719,81.6,10702,2166,252,286,88.1,254,307,82.7,70,101,69.3,1,0.8,+0.2,7,41,4,1,36,Matches
219,Koray Günter,de GER,DF,Hellas Verona,27-216,1994,21.2,804,964,83.4,18546,6485,200,234,85.5,410,456,89.9,183,254,72.0,0,0.7,-0.7,5,44,1,0,73,Matches
220,Albert Guðmundsson,is ISL,FWMF,Genoa,24-278,1997,3.1,62,99,62.6,1009,423,35,46,76.1,14,22,63.6,9,21,42.9,0,0.2,-0.2,6,5,2,1,5,Matches
221,Emmanuel Gyasi,gh GHA,FWMF,Spezia,28-068,1994,26.9,655,782,83.8,9436,2094,383,433,88.5,204,240,85.0,38,52,73.1,0,1.2,-1.2,17,21,16,3,47,Matches
222,Norbert Gyömbér,sk SVK,DF,Salernitana,29-260,1992,18.8,531,667,79.6,11669,4254,174,199,87.4,243,286,85.0,110,176,62.5,0,0.0,0.0,1,39,4,3,41,Matches
223,Nicolas Haas,ch SUI,MF,Empoli,26-056,1996,11.1,374,477,78.4,6402,2076,189,215,87.9,143,174,82.2,35,63,55.6,2,0.9,+1.1,13,29,16,4,51,Matches
224,Samir Handanović,si SVN,GK,Inter,37-249,1984,29.0,833,967,86.1,21606,12549,203,204,99.5,378,380,99.5,245,376,65.2,0,0.0,0.0,0,11,0,0,0,Matches
225,Ridgeciano Haps,sr SUR,DF,Venezia,28-281,1993,14.7,432,565,76.5,8236,3506,181,206,87.9,180,226,79.6,62,105,59.0,1,0.4,+0.6,10,23,9,5,34,Matches
226,Abdou Harroui,nl NED,MF,Sassuolo,24-066,1998,4.8,244,283,86.2,4351,859,117,129,90.7,95,106,89.6,29,37,78.4,0,0.2,-0.2,5,32,0,0,14,Matches
227,Hans Hateboer,nl NED,DF,Atalanta,28-070,1994,8.4,418,500,83.6,6394,1972,258,281,91.8,136,162,84.0,23,40,57.5,0,0.7,-0.7,8,28,9,4,27,Matches
228,Silvan Hefti,ch SUI,DF,Genoa,24-146,1997,8.7,237,334,71.0,3986,2015,126,148,85.1,82,112,73.2,23,56,41.1,0,0.6,-0.6,6,20,13,7,26,Matches
229,Liam Henderson,sct SCO,MF,Empoli,25-329,1996,18.9,506,724,69.9,8899,3194,224,275,81.5,208,279,74.6,59,119,49.6,2,3.0,-1.0,38,50,23,6,67,Matches
230,Dalbert Henrique,br BRA,DFMF,Cagliari,28-193,1993,17.5,455,631,72.1,9209,3328,163,202,80.7,205,261,78.5,78,136,57.4,1,1.4,-0.4,22,27,14,9,41,Matches
231,Matheus Henrique,br BRA,MF,Sassuolo,24-091,1997,6.6,295,328,89.9,4988,1134,146,156,93.6,107,115,93.0,34,41,82.9,1,0.5,+0.5,4,24,5,1,19,Matches
232,Thomas Henry,fr FRA,FW,Venezia,27-181,1994,16.7,198,333,59.5,3311,543,104,154,67.5,53,92,57.6,30,42,71.4,2,3.1,-1.1,15,16,6,1,15,Matches
233,Theo Hernández,fr FRA,DF,Milan,24-165,1997,22.1,1074,1307,82.2,19019,6474,536,590,90.8,413,480,86.0,105,179,58.7,5,4.5,+0.5,33,56,27,11,89,Matches
234,Hernani,br BRA,MFFW,Genoa,27-358,1994,6.4,142,199,71.4,2383,538,80,100,80.0,43,60,71.7,14,26,53.8,0,0.3,-0.3,2,8,3,1,11,Matches
235,Daan Heymans,be BEL,MFFW,Venezia,22-278,1999,2.8,79,97,81.4,1357,270,34,42,81.0,37,42,88.1,7,10,70.0,1,0.3,+0.7,2,5,2,1,5,Matches
236,Aaron Hickey,sct SCO,DF,Bologna,19-283,2002,22.7,763,930,82.0,11796,3344,416,458,90.8,291,358,81.3,40,77,51.9,1,0.8,+0.2,14,18,10,4,32,Matches
237,Martin Hongla,cm CMR,MF,Hellas Verona,24-004,1998,3.7,118,150,78.7,2365,435,44,52,84.6,49,62,79.0,22,30,73.3,0,0.0,0.0,1,9,0,0,6,Matches
238,Sydney van Hooijdonk,nl NED,FWMF,Bologna,22-042,2000,0.4,16,17,94.1,204,34,10,11,90.9,5,5,100.0,0,0,,0,0.0,0.0,1,2,0,0,0,Matches
239,Petko Hristov,bg BUL,DF,Spezia,23-019,1999,11.4,441,526,83.8,9803,3252,105,117,89.7,251,271,92.6,80,129,62.0,0,0.1,-0.1,2,20,1,0,22,Matches
240,Elseid Hysaj,al ALB,DF,Lazio,28-028,1994,21.6,1181,1351,87.4,19216,6614,613,655,93.6,462,513,90.1,84,135,62.2,0,0.6,-0.6,10,76,16,4,66,Matches
241,Roger Ibanez,br BRA,DF,Roma,23-117,1998,23.1,1223,1403,87.2,26019,8403,383,418,91.6,618,675,91.6,212,290,73.1,0,0.4,-0.4,9,62,7,1,73,Matches
242,Zlatan Ibrahimović,se SWE,FW,Milan,40-168,1981,10.2,291,403,72.2,4338,1143,165,222,74.3,93,122,76.2,19,29,65.5,1,1.6,-0.6,22,32,19,2,40,Matches
243,Igor,br BRA,DF,Fiorentina,24-041,1998,16.5,1029,1122,91.7,23579,6443,224,246,91.1,582,612,95.1,217,248,87.5,0,0.1,-0.1,4,69,2,0,53,Matches
244,Jonathan Ikone,fr FRA,FW,Fiorentina,23-322,1998,3.2,85,112,75.9,1670,388,27,38,71.1,46,56,82.1,12,15,80.0,0,0.4,-0.4,5,9,6,2,15,Matches
245,Ivan Ilić,rs SRB,MF,Hellas Verona,21-003,2001,21.4,868,1063,81.7,16904,3867,328,393,83.5,383,443,86.5,138,185,74.6,3,1.1,+1.9,15,73,15,5,71,Matches
246,Josip Iličić,si SVN,FWMF,Atalanta,34-050,1988,9.2,361,485,74.4,7239,2255,165,208,79.3,131,170,77.1,61,93,65.6,3,3.4,-0.4,31,38,24,3,54,Matches
247,Ciro Immobile,it ITA,FW,Lazio,32-028,1990,23.1,534,682,78.3,7732,927,330,391,84.4,136,175,77.7,41,58,70.7,2,2.2,-0.2,18,23,9,1,25,Matches
248,Lorenzo Insigne,it ITA,FW,Napoli,30-289,1991,18.9,908,1135,80.0,16528,4106,442,493,89.7,335,391,85.7,116,209,55.5,5,4.4,+0.6,49,55,42,6,99,Matches
249,Ardian Ismajli,al ALB,DF,Empoli,25-171,1996,12.0,494,577,85.6,10578,3550,131,143,91.6,269,299,90.0,89,118,75.4,0,0.1,-0.1,2,44,1,0,30,Matches
250,Armando Izzo,it ITA,DF,Torino,30-018,1992,2.6,129,162,79.6,2508,594,48,56,85.7,62,74,83.8,17,29,58.6,0,0.0,0.0,0,11,1,0,8,Matches
251,Mato Jajalo,ba BIH,MF,Udinese,33-299,1988,5.5,197,248,79.4,3570,848,86,100,86.0,83,101,82.2,24,37,64.9,1,0.6,+0.4,7,13,7,0,22,Matches
252,Paweł Jaroszyński,pl POL,DF,Salernitana,27-169,1994,5.5,152,234,65.0,3141,1353,46,56,82.1,71,95,74.7,31,70,44.3,0,0.4,-0.4,6,8,3,3,12,Matches
253,Juan Jesus,br BRA,DF,Napoli,30-283,1991,11.1,593,661,89.7,10892,3595,222,239,92.9,282,298,94.6,69,95,72.6,0,0.2,-0.2,4,32,1,0,22,Matches
254,Dennis Johnsen,no NOR,FWMF,Venezia,24-031,1998,12.6,152,243,62.6,2747,811,81,113,71.7,43,68,63.2,24,38,63.2,2,2.3,-0.3,21,8,15,5,22,Matches
255,Kaio Jorge,br BRA,MFFW,Juventus,20-055,2002,1.3,29,38,76.3,502,61,16,20,80.0,8,12,66.7,5,5,100.0,0,0.3,-0.3,2,2,0,0,1,Matches
256,Flavio Junior Bianchi,it ITA,FWMF,Genoa,22-055,2000,3.5,65,78,83.3,849,115,43,51,84.3,17,22,77.3,2,2,100.0,0,0.1,-0.1,3,1,1,0,4,Matches
257,Hamed Junior Traorè,ci CIV,FWMF,Sassuolo,22-032,2000,15.0,501,625,80.2,8979,2549,236,265,89.1,201,234,85.9,56,97,57.7,2,2.9,-0.9,30,49,24,2,71,Matches
258,Nikola Kalinić,hr CRO,FW,Hellas Verona,34-074,1988,4.5,85,102,83.3,1158,147,50,57,87.7,26,31,83.9,4,6,66.7,0,0.9,-0.9,7,2,2,0,4,Matches
259,Yayah Kallon,sl SLE,FWMF,Genoa,20-263,2001,7.1,119,181,65.7,1776,365,70,97,72.2,39,58,67.2,7,16,43.8,1,1.0,0.0,9,4,4,1,9,Matches
260,Pierre Kalulu,fr FRA,DF,Milan,21-288,2000,13.6,647,732,88.4,13168,4293,202,218,92.7,340,369,92.1,100,134,74.6,1,0.2,+0.8,4,33,9,5,34,Matches
261,Rick Karsdorp,nl NED,DF,Roma,27-037,1995,24.8,1152,1415,81.4,23122,8192,410,468,87.6,562,648,86.7,170,259,65.6,1,3.5,-2.5,34,82,47,17,136,Matches
262,Denso Kasius,nl NED,DF,Bologna,19-165,2002,0.7,42,49,85.7,675,174,21,22,95.5,19,21,90.5,2,2,100.0,0,0.4,-0.4,5,0,2,1,3,Matches
263,Grigoris Kastanos,cy CYP,MFFW,Salernitana,24-049,1998,13.4,352,501,70.3,6070,2252,174,216,80.6,124,152,81.6,43,94,45.7,1,1.3,-0.3,23,31,12,1,46,Matches
264,Moise Kean,it ITA,FW,Juventus,22-020,2000,9.2,139,186,74.7,2105,230,77,99,77.8,43,53,81.1,12,18,66.7,0,0.1,-0.1,3,5,3,1,5,Matches
265,Wajdi Kechrida,tn TUN,DFMF,Salernitana,26-135,1995,10.6,249,344,72.4,4109,2096,123,139,88.5,101,133,75.9,18,52,34.6,0,1.0,-1.0,13,21,14,8,38,Matches
266,Dimitrios Keramitsis,,DF,Roma,17-262,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
267,Franck Kessié,ci CIV,MF,Milan,25-091,1996,18.5,891,1004,88.7,16770,3709,354,388,91.2,418,452,92.5,107,139,77.0,0,1.0,-1.0,20,68,16,3,75,Matches
268,Jakub Kiwior,pl POL,MF,Spezia,22-033,2000,13.8,370,460,80.4,7434,1588,130,151,86.1,174,205,84.9,57,84,67.9,0,0.1,-0.1,4,21,1,0,21,Matches
269,Sofian Kiyine,ma MAR,MFFW,Venezia,24-169,1997,11.0,311,421,73.9,6969,2182,104,128,81.3,126,160,78.8,76,117,65.0,0,1.9,-1.9,15,33,19,0,47,Matches
270,Simon Kjær,dk DEN,DF,Milan,32-359,1989,8.9,401,454,88.3,8921,2843,117,124,94.4,200,215,93.0,83,111,74.8,0,0.3,-0.3,2,27,3,2,27,Matches
271,Aleksandr Kokorin,ru RUS,FWMF,Fiorentina,31-001,1991,0.6,14,21,66.7,236,33,9,13,69.2,3,5,60.0,2,3,66.7,0,0.0,0.0,0,0,0,0,1,Matches
272,Aleksandar Kolarov,rs SRB,DF,Inter,36-130,1985,0.5,30,37,81.1,563,235,12,14,85.7,11,14,78.6,5,7,71.4,0,0.0,0.0,0,4,1,0,3,Matches
273,Teun Koopmeiners,nl NED,MF,Atalanta,24-020,1998,17.0,896,1130,79.3,17586,5403,348,400,87.0,388,445,87.2,133,238,55.9,1,3.3,-2.3,30,88,26,8,97,Matches
