Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
31,Tiemoué Bakayoko,fr FRA,MF,Milan,27-215,1994,5.4,275,311,88.4,4915,932,129,148,87.2,104,113,92.0,35,40,87.5,0,0.5,-0.5,3,22,3,0,18,Matches
32,Keita Baldé,sn SEN,FWMF,Cagliari,27-012,1995,10.3,137,191,71.7,1811,339,84,108,77.8,39,54,72.2,5,9,55.6,1,0.8,+0.2,7,12,3,0,8,Matches
33,Fodé Ballo-Touré,sn SEN,DF,Milan,25-076,1997,4.9,228,270,84.4,3880,1077,102,110,92.7,101,119,84.9,20,27,74.1,0,0.2,-0.2,3,12,8,4,18,Matches
34,Filippo Bandinelli,it ITA,MF,Empoli,26-356,1995,14.9,392,521,75.2,6985,2321,185,206,89.8,161,204,78.9,40,83,48.2,1,1.7,-0.7,21,34,32,11,67,Matches
35,Mattia Bani,it ITA,DF,Genoa,28-100,1993,8.5,208,270,77.0,4519,1650,53,59,89.8,113,132,85.6,38,71,53.5,0,0.0,0.0,0,10,0,0,20,Matches
36,Antonín Barák,cz CZE,MFFW,Hellas Verona,27-107,1994,21.6,757,949,79.8,11325,3136,416,485,85.8,270,327,82.6,39,64,60.9,3,2.5,+0.5,23,60,18,1,90,Matches
37,Nicolò Barella,it ITA,MF,Inter,25-041,1997,24.7,1173,1408,83.3,20468,6358,596,661,90.2,427,493,86.6,130,193,67.4,9,5.8,+3.2,42,113,59,16,132,Matches
38,Musa Barrow,gm GAM,FWMF,Bologna,23-126,1998,17.6,495,648,76.4,8691,1866,259,291,89.0,161,207,77.8,63,126,50.0,4,2.8,+1.2,31,29,23,5,39,Matches
39,Daniele Baselli,it ITA,MFFW,Torino,30-008,1992,1.7,64,87,73.6,1228,364,24,33,72.7,29,36,80.6,10,14,71.4,0,0.0,0.0,1,8,0,0,3,Matches
40,Daniele Baselli,it ITA,MF,Cagliari,30-008,1992,2.4,77,105,73.3,1532,564,28,36,77.8,33,38,86.8,13,26,50.0,0,0.5,-0.5,5,13,4,1,12,Matches
41,Toma Bašić,hr CRO,MF,Lazio,25-115,1996,8.2,282,336,83.9,4506,700,154,169,91.1,105,125,84.0,19,30,63.3,2,0.7,+1.3,2,12,0,0,6,Matches
42,Alessandro Bastoni,it ITA,DF,Inter,22-341,1999,21.8,1377,1541,89.4,27538,8246,513,552,92.9,626,675,92.7,211,267,79.0,1,1.2,-0.2,9,100,15,4,87,Matches
43,Simone Bastoni,it ITA,DFMF,Spezia,25-135,1996,22.1,805,1087,74.1,15004,6217,362,417,86.8,318,393,80.9,104,220,47.3,2,3.1,-1.1,38,77,27,12,87,Matches
44,Rodrigo Becão,br BRA,DF,Udinese,26-060,1996,26.8,828,1021,81.1,16251,5715,295,323,91.3,413,469,88.1,105,195,53.8,1,0.6,+0.4,5,35,5,1,40,Matches
45,Valon Behrami,ch SUI,MF,Genoa,36-335,1985,3.5,51,70,72.9,877,243,20,25,80.0,22,27,81.5,5,9,55.6,0,0.1,-0.1,1,4,0,0,4,Matches
46,Vid Belec,si SVN,GK,Salernitana,31-287,1990,20.0,336,541,62.1,13124,9592,38,39,97.4,111,111,100.0,185,387,47.8,0,0.0,0.0,0,12,1,0,0,Matches
47,Raoul Bellanova,it ITA,DF,Cagliari,21-276,2000,20.1,501,695,72.1,9197,2356,225,280,80.4,204,267,76.4,65,117,55.6,2,3.1,-1.1,25,19,20,15,30,Matches
48,Andrea Belotti,it ITA,FW,Torino,28-090,1993,10.1,165,230,71.7,2196,293,109,132,82.6,42,57,73.7,5,14,35.7,1,0.9,+0.1,6,10,3,0,10,Matches
49,Marco Benassi,it ITA,DFMF,Fiorentina,27-193,1994,1.8,108,131,82.4,2140,618,44,49,89.8,45,56,80.4,19,23,82.6,0,0.1,-0.1,1,10,1,0,9,Matches
50,Marco Benassi,it ITA,MF,Empoli,27-193,1994,2.4,66,94,70.2,1154,468,33,39,84.6,27,35,77.1,6,10,60.0,0,0.1,-0.1,2,11,4,0,13,Matches
51,Ismaël Bennacer,dz ALG,MF,Milan,24-109,1997,14.0,850,972,87.4,16668,4723,348,376,92.6,353,390,90.5,131,184,71.2,1,1.9,-0.9,17,84,19,3,99,Matches
52,Rodrigo Bentancur,uy URU,MF,Juventus,24-288,1997,12.8,660,756,87.3,12365,2858,256,279,91.8,316,346,91.3,76,100,76.0,1,0.3,+0.7,8,79,5,0,56,Matches
53,Domenico Berardi,it ITA,FW,Sassuolo,27-231,1994,26.0,838,1182,70.9,17357,5299,341,430,79.3,312,416,75.0,164,248,66.1,7,7.0,0.0,65,74,51,7,164,Matches
54,Bartosz Bereszyński,pl POL,DF,Sampdoria,29-251,1992,23.7,888,1153,77.0,14170,5925,460,530,86.8,324,411,78.8,69,136,50.7,3,0.9,+2.1,14,48,22,9,70,Matches
55,Etrit Berisha,al ALB,GK,Torino,33-010,1989,3.0,49,91,53.8,1836,1336,6,6,100.0,14,16,87.5,29,69,42.0,0,0.0,0.0,0,1,0,0,0,Matches
56,Federico Bernardeschi,it ITA,FWMF,Juventus,28-032,1994,12.0,352,455,77.4,6273,1570,169,191,88.5,142,165,86.1,35,72,48.6,3,1.5,+1.5,14,22,17,2,46,Matches
57,Daniel Bessa,it ITA,MFFW,Hellas Verona,29-065,1993,5.9,287,359,79.9,4957,1521,133,158,84.2,117,132,88.6,28,55,50.9,0,0.4,-0.4,8,24,9,0,31,Matches
58,Beto,gw GNB,FW,Udinese,24-048,1998,23.3,241,346,69.7,3551,556,143,192,74.5,68,104,65.4,16,24,66.7,0,1.4,-1.4,16,15,6,0,19,Matches
59,Luis Binks,eng ENG,DF,Bologna,20-199,2001,6.0,219,264,83.0,5371,1693,52,68,76.5,108,119,90.8,58,71,81.7,0,0.0,0.0,1,15,0,0,14,Matches
60,Cristiano Biraghi,it ITA,DF,Fiorentina,29-200,1992,26.4,1572,1943,80.9,32370,11812,566,608,93.1,738,848,87.0,253,432,58.6,0,3.2,-3.2,45,88,46,26,115,Matches
