Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
360,Mert Müldür,tr TUR,DF,Sassuolo,22-351,1999,24,17,1450,16.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.03,0.02,0.04,0.03,0.04,Matches
361,Luis Muriel,co COL,FW,Atalanta,30-338,1991,18,10,930,10.3,4,4,4,0,0,0,0,0.39,0.39,0.77,0.39,0.77,3.8,3.8,2.7,6.5,0.37,0.26,0.63,0.37,0.63,Matches
362,Vedat Muriqi,xk KVX,FW,Lazio,27-330,1994,11,1,215,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.17,0.00,0.17,0.17,0.17,Matches
363,Nicola Murru,it ITA,DF,Sampdoria,27-094,1994,17,9,701,7.8,1,0,1,0,0,5,0,0.13,0.00,0.13,0.13,0.13,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches
364,Juan Musso,ar ARG,GK,Atalanta,27-318,1994,24,24,2122,23.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
365,Joakim Mæhle,dk DEN,DF,Atalanta,24-304,1997,21,14,1296,14.4,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.5,1.5,1.0,2.5,0.10,0.07,0.17,0.10,0.17,Matches
366,Nahitan Nández,uy URU,MFDF,Cagliari,26-082,1995,17,15,1344,14.9,0,2,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,1.3,2.0,0.05,0.09,0.13,0.05,0.13,Matches
367,Nani,pt POR,MFFW,Venezia,35-123,1986,7,2,194,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.02,0.13,0.15,0.02,0.15,Matches
368,Matija Nastasić,rs SRB,DF,Fiorentina,28-357,1993,5,2,219,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
369,Ilija Nestorovski,mk MKD,FW,Udinese,32-008,1990,1,0,12,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.33,0.00,1.33,1.33,1.33,Matches
370,Aurélien Nguiamba,fr FRA,MF,Spezia,23-061,1999,2,0,33,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
371,Dimitris Nikolaou,gr GRE,DF,Spezia,23-219,1998,28,28,2520,28.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,Matches
372,Jean-Pierre Nsame,cm CMR,FW,Venezia,28-323,1993,6,1,132,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches
373,Bram Nuytinck,nl NED,DF,Udinese,31-320,1990,22,20,1734,19.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.04,0.01,0.05,0.04,0.05,Matches
374,Simeon Nwankwo,ng NGA,FW,Salernitana,29-317,1992,19,10,842,9.4,1,1,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,3.4,3.4,0.4,3.8,0.36,0.05,0.41,0.36,0.41,Matches
375,M'Bala Nzola,ao ANG,FW,Spezia,25-214,1996,19,10,1049,11.7,2,1,2,0,0,2,0,0.17,0.09,0.26,0.17,0.26,2.9,2.9,1.4,4.3,0.25,0.12,0.37,0.25,0.37,Matches
376,Adam Obert,sk SVK,DF,Cagliari,19-209,2002,5,3,262,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
377,Joel Obi,ng NGA,MF,Salernitana,30-302,1991,20,11,1108,12.3,0,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,1.7,1.7,1.6,3.2,0.15,0.14,0.29,0.15,0.29,Matches
378,Brain Oddei,it ITA,FW,Sassuolo,19-183,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,10.29,0.00,10.29,10.29,10.29,Matches
379,Álvaro Odriozola,es ESP,DF,Fiorentina,26-096,1995,22,17,1581,17.6,1,1,1,0,0,4,1,0.06,0.06,0.11,0.06,0.11,0.5,0.5,3.5,4.0,0.03,0.20,0.23,0.03,0.23,Matches
