,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
33,Fodé Ballo-Touré,sn SEN,DF,Milan,25-076,1997,4.9,19,12,6,12,1,3,7,42.9,4,92,31,33.7,33,38,21,12,3,1,9,4,23,4,0,Matches
34,Filippo Bandinelli,it ITA,MF,Empoli,26-356,1995,14.9,36,14,15,17,4,10,22,45.5,12,290,70,24.1,86,144,60,18,4,0,14,19,55,21,0,Matches
35,Mattia Bani,it ITA,DF,Genoa,28-100,1993,8.5,14,4,10,4,0,7,10,70.0,3,96,31,32.3,69,23,4,15,6,0,9,25,39,47,0,Matches
36,Antonín Barák,cz CZE,MFFW,Hellas Verona,27-107,1994,21.6,23,14,15,7,1,5,19,26.3,14,333,100,30.0,84,164,85,36,5,0,31,8,31,26,0,Matches
37,Nicolò Barella,it ITA,MF,Inter,25-041,1997,24.7,49,28,11,28,10,14,38,36.8,24,298,89,29.9,79,151,68,25,2,0,23,28,77,13,1,Matches
38,Musa Barrow,gm GAM,FWMF,Bologna,23-126,1998,17.6,13,10,4,6,3,4,13,30.8,9,256,58,22.7,45,97,114,15,0,0,15,12,25,5,0,Matches
39,Daniele Baselli,it ITA,MFFW,Torino,30-008,1992,1.7,2,0,1,0,1,1,5,20.0,4,34,10,29.4,19,10,5,1,0,0,1,3,5,4,0,Matches
40,Daniele Baselli,it ITA,MF,Cagliari,30-008,1992,2.4,4,2,1,0,3,0,1,0.0,1,30,11,36.7,6,16,8,1,0,0,1,2,6,3,0,Matches
41,Toma Bašić,hr CRO,MF,Lazio,25-115,1996,8.2,7,4,2,5,0,3,10,30.0,7,146,41,28.1,43,75,28,11,4,0,7,8,15,12,0,Matches
42,Alessandro Bastoni,it ITA,DF,Inter,22-341,1999,21.8,44,29,26,17,1,14,25,56.0,11,249,98,39.4,107,108,34,28,13,0,15,30,74,66,2,Matches
43,Simone Bastoni,it ITA,DFMF,Spezia,25-135,1996,22.1,48,28,20,20,8,23,50,46.0,27,408,105,25.7,154,192,62,46,11,0,35,44,92,28,0,Matches
44,Rodrigo Becão,br BRA,DF,Udinese,26-060,1996,26.8,69,52,44,22,3,29,53,54.7,24,332,148,44.6,188,122,22,38,15,1,23,42,111,74,3,Matches
45,Valon Behrami,ch SUI,MF,Genoa,36-335,1985,3.5,6,3,2,3,1,1,5,20.0,4,75,26,34.7,20,42,13,4,1,0,3,5,11,5,1,Matches
46,Vid Belec,si SVN,GK,Salernitana,31-287,1990,20.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
47,Raoul Bellanova,it ITA,DF,Cagliari,21-276,2000,20.1,31,15,13,16,2,7,30,23.3,23,220,58,26.4,71,97,52,39,4,0,35,40,71,31,0,Matches
48,Andrea Belotti,it ITA,FW,Torino,28-090,1993,10.1,3,2,0,0,3,0,5,0.0,5,125,37,29.6,7,48,70,12,5,0,7,7,10,3,0,Matches
49,Marco Benassi,it ITA,DFMF,Fiorentina,27-193,1994,1.8,3,3,3,0,0,2,2,100.0,0,25,7,28.0,12,8,5,3,0,0,3,4,7,4,1,Matches
50,Marco Benassi,it ITA,MF,Empoli,27-193,1994,2.4,4,1,1,2,1,1,4,25.0,3,56,14,25.0,11,28,17,4,0,0,4,1,5,1,0,Matches
51,Ismaël Bennacer,dz ALG,MF,Milan,24-109,1997,14.0,43,33,20,19,4,14,36,38.9,22,330,109,33.0,109,170,51,16,4,0,12,38,81,17,0,Matches
52,Rodrigo Bentancur,uy URU,MF,Juventus,24-288,1997,12.8,35,27,12,19,4,6,24,25.0,18,285,95,33.3,88,146,51,21,5,0,16,37,72,18,0,Matches
53,Domenico Berardi,it ITA,FW,Sassuolo,27-231,1994,26.0,25,16,6,14,5,9,34,26.5,25,432,111,25.7,92,210,130,43,2,0,41,40,65,22,0,Matches
54,Bartosz Bereszyński,pl POL,DF,Sampdoria,29-251,1992,23.7,56,33,29,20,7,19,48,39.6,29,373,122,32.7,141,167,65,57,10,0,47,37,93,43,2,Matches
55,Etrit Berisha,al ALB,GK,Torino,33-010,1989,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,2,Matches
56,Federico Bernardeschi,it ITA,FWMF,Juventus,28-032,1994,12.0,13,11,4,6,3,5,11,45.5,6,181,58,32.0,57,84,40,16,3,0,13,9,22,4,1,Matches
57,Daniel Bessa,it ITA,MFFW,Hellas Verona,29-065,1993,5.9,7,6,3,3,1,2,7,28.6,5,103,32,31.1,23,64,16,13,1,0,12,7,14,13,0,Matches
58,Beto,gw GNB,FW,Udinese,24-048,1998,23.3,16,8,2,10,4,3,10,30.0,7,352,92,26.1,19,175,158,23,2,0,21,9,25,23,0,Matches
59,Luis Binks,eng ENG,DF,Bologna,20-199,2001,6.0,7,2,4,2,1,3,4,75.0,1,55,19,34.5,31,21,3,10,4,0,6,19,26,36,0,Matches
60,Cristiano Biraghi,it ITA,DF,Fiorentina,29-200,1992,26.4,28,11,15,9,4,15,39,38.5,24,238,72,30.3,73,116,49,39,9,0,30,22,50,23,3,Matches
61,Davide Biraschi,it ITA,DF,Genoa,27-261,1994,10.3,34,18,20,10,4,16,29,55.2,13,167,67,40.1,95,60,12,25,10,0,15,14,48,34,0,Matches
62,Bjarki Bjarkason,is ISL,FW,Venezia,21-313,2000,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
63,Jeremie Boga,ci CIV,FWMF,Sassuolo,25-076,1997,7.4,7,3,1,2,4,2,4,50.0,2,65,18,27.7,13,26,26,10,0,0,10,3,10,1,2,Matches
64,Jeremie Boga,ci CIV,FWMF,Atalanta,25-076,1997,3.7,2,2,0,1,1,1,5,20.0,4,41,10,24.4,5,23,13,3,0,0,3,2,4,3,0,Matches
65,Luka Bogdan,hr CRO,DF,Salernitana,25-359,1996,5.4,6,4,6,0,0,2,6,33.3,4,36,8,22.2,29,5,2,5,2,0,3,15,21,19,0,Matches
66,Emil Bohinen,no NOR,MF,Salernitana,23-008,1999,0.3,1,0,0,1,0,1,1,100.0,0,7,2,28.6,0,3,4,0,0,0,0,0,1,0,0,Matches
