,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
140,Lorenzo De Silvestri,it ITA,DF,Bologna,33-301,1988,19.4,24,12,15,8,1,8,27,29.6,19,191,56,29.3,85,65,41,39,5,0,34,23,47,46,1,Matches
141,Grégoire Defrel,mq MTQ,FW,Sassuolo,30-276,1991,12.0,16,14,6,8,2,4,11,36.4,7,214,65,30.4,26,89,99,9,1,0,8,5,21,9,0,Matches
142,Alessandro Deiola,it ITA,MF,Cagliari,26-231,1995,18.5,26,15,9,16,1,8,39,20.5,31,315,76,24.1,103,157,55,35,8,0,27,29,55,31,0,Matches
143,Filippo Delli Carri,it ITA,DF,Salernitana,22-321,1999,4.7,11,5,9,2,0,7,14,50.0,7,66,9,13.6,45,18,3,10,3,0,7,7,18,13,0,Matches
144,Merih Demiral,tr TUR,DF,Atalanta,24-015,1998,16.9,33,19,18,13,2,9,15,60.0,6,265,103,38.9,127,123,15,34,13,1,21,46,79,66,1,Matches
145,Diego Demme,de GER,MF,Napoli,30-119,1991,6.2,14,11,5,6,3,8,20,40.0,12,180,48,26.7,58,87,35,10,1,0,9,12,26,5,0,Matches
146,Fabio Depaoli,it ITA,MFDF,Sampdoria,24-330,1997,1.2,3,0,2,1,0,0,1,0.0,1,36,5,13.9,13,13,10,2,1,0,1,2,5,1,0,Matches
147,Fabio Depaoli,it ITA,DF,Hellas Verona,24-330,1997,4.6,7,3,3,2,2,1,4,25.0,3,80,26,32.5,30,36,14,8,2,0,6,6,13,14,0,Matches
148,Mattia Destro,it ITA,FW,Genoa,31-000,1991,15.8,9,5,1,4,4,3,5,60.0,2,216,62,28.7,17,100,99,15,1,0,14,6,15,15,0,Matches
149,Gerard Deulofeu,es ESP,FWMF,Udinese,28-007,1994,21.9,14,8,3,4,7,3,22,13.6,19,385,111,28.8,63,173,149,18,0,0,18,24,38,3,0,Matches
150,Jacopo Dezi,it ITA,MF,Venezia,30-038,1992,0.2,0,0,0,0,0,0,1,0.0,1,4,0,0.0,0,4,0,1,0,0,1,1,1,0,0,Matches
151,Samuel Di Carmine,it ITA,FW,Hellas Verona,33-181,1988,0.4,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0,Matches
152,Federico Di Francesco,it ITA,FWMF,Empoli,27-279,1994,11.8,13,9,1,6,6,4,17,23.5,13,216,58,26.9,31,96,89,16,2,0,14,7,20,7,0,Matches
153,Giovanni Di Lorenzo,it ITA,DF,Napoli,28-228,1993,29.0,63,42,41,17,5,30,58,51.7,28,336,125,37.2,151,119,66,45,11,1,34,41,104,34,0,Matches
154,Francesco Di Mariano,it ITA,FW,Venezia,25-334,1996,0.7,1,1,0,0,1,1,2,50.0,1,6,1,16.7,1,2,3,2,1,0,1,0,1,0,0,Matches
155,Francesco Di Tacchio,it ITA,MF,Salernitana,31-334,1990,13.9,17,11,6,10,1,9,26,34.6,17,197,55,27.9,98,86,13,25,9,0,16,36,53,23,0,Matches
156,Amadou Diawara,gn GUI,MF,Roma,24-246,1997,1.9,4,2,3,1,0,2,4,50.0,2,30,7,23.3,19,10,1,2,0,0,2,0,4,2,0,Matches
157,Brahim Díaz,es ESP,MF,Milan,22-229,1999,17.4,29,23,5,15,9,7,17,41.2,10,287,87,30.3,29,149,109,6,1,0,5,11,40,5,0,Matches
158,Mitchell Dijks,nl NED,DF,Bologna,29-039,1993,3.6,10,5,9,1,0,7,10,70.0,3,73,13,17.8,43,19,11,6,0,0,6,8,18,2,1,Matches
159,Federico Dimarco,it ITA,DF,Inter,24-130,1997,11.8,16,9,7,6,3,7,20,35.0,13,147,38,25.9,38,63,46,18,1,0,17,17,33,13,0,Matches
160,Filippo Distefano,it ITA,FW,Fiorentina,18-204,2003,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
161,Koffi Djidji,ci CIV,DF,Torino,29-110,1992,17.4,43,19,20,18,5,9,16,56.3,7,271,91,33.6,109,144,18,24,7,0,17,44,87,60,0,Matches
162,Berat Djimsiti,al ALB,DF,Atalanta,29-029,1993,18.0,35,24,19,16,0,15,30,50.0,15,203,71,35.0,80,108,15,25,8,0,17,39,74,64,1,Matches
163,Nicolás Domínguez,ar ARG,MF,Bologna,23-265,1998,18.9,64,38,31,29,4,25,56,44.6,31,457,136,29.8,198,204,55,35,10,0,25,38,102,26,1,Matches
164,Bartłomiej Drągowski,pl POL,GK,Fiorentina,24-213,1997,6.2,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
165,Radu Drăgușin,ro ROU,DF,Sampdoria,20-045,2002,6.9,6,2,4,2,0,3,7,42.9,4,92,28,30.4,47,41,4,14,4,0,10,13,19,29,0,Matches
166,Radu Drăgușin,ro ROU,DF,Salernitana,20-045,2002,5.0,6,4,5,1,0,2,7,28.6,5,46,13,28.3,26,18,2,6,3,0,3,19,25,19,0,Matches
167,Denzel Dumfries,nl NED,DF,Inter,25-336,1996,16.0,27,17,10,10,7,10,23,43.5,13,221,68,30.8,57,94,70,18,5,0,13,11,38,23,0,Matches
168,Alfred Duncan,gh GHA,MF,Fiorentina,29-010,1993,14.5,27,16,11,9,7,8,22,36.4,14,259,77,29.7,58,119,82,20,2,0,18,15,42,4,0,Matches
169,Paulo Dybala,ar ARG,FWMF,Juventus,28-125,1993,16.1,19,10,6,6,7,4,24,16.7,20,219,66,30.1,52,86,81,17,0,0,17,17,36,1,0,Matches
170,Edin Džeko,ba BIH,FW,Inter,36-003,1986,22.0,16,13,6,6,4,6,18,33.3,12,216,68,31.5,23,100,93,23,7,0,16,6,22,21,0,Matches
171,Tyronne Ebuehi,ng NGA,DF,Venezia,26-094,1995,10.0,19,12,12,4,3,7,13,53.8,6,142,38,26.8,62,57,23,24,3,0,21,15,34,25,0,Matches
172,Éderson,br BRA,MF,Salernitana,22-256,1999,3.6,13,7,7,5,1,5,11,45.5,6,88,25,28.4,33,39,16,7,2,0,5,10,23,4,0,Matches
173,Albin Ekdal,se SWE,MF,Sampdoria,32-235,1989,15.7,39,23,15,18,6,17,44,38.6,27,308,88,28.6,122,143,43,34,7,0,27,35,74,23,0,Matches
174,Caleb Ekuban,gh GHA,FWMF,Genoa,27-362,1994,15.6,20,12,4,12,4,6,19,31.6,13,256,80,31.3,25,131,100,30,6,0,24,8,28,9,0,Matches
175,Elif Elmas,mk MKD,FWMF,Napoli,22-177,1999,15.9,18,11,5,7,6,9,22,40.9,13,249,65,26.1,42,120,87,20,2,0,18,15,33,13,0,Matches
176,Martin Erlic,hr CRO,DF,Spezia,24-055,1998,22.2,23,12,16,4,3,9,17,52.9,8,214,65,30.4,138,67,9,59,35,1,24,52,75,106,0,Matches
177,Gonzalo Escalante,ar ARG,MF,Lazio,28-358,1993,0.1,1,0,1,0,0,1,1,100.0,0,3,0,0.0,3,0,0,2,1,0,1,0,1,1,0,Matches
178,Diego Falcinelli,it ITA,FWMF,Bologna,30-267,1991,0.7,4,2,2,0,2,1,1,100.0,0,21,7,33.3,2,7,12,0,0,0,0,2,6,1,0,Matches
179,Wladimiro Falcone,it ITA,GK,Sampdoria,26-342,1995,9.5,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0,Matches
180,Paolo Faragò,it ITA,MF,Cagliari,29-036,1993,0.2,2,1,1,0,1,0,0,,0,5,3,60.0,2,0,3,3,0,0,3,0,2,0,0,Matches
181,Davide Faraoni,it ITA,DF,Hellas Verona,30-146,1991,22.7,57,36,37,15,5,15,52,28.8,37,291,101,34.7,126,117,48,58,8,0,50,28,85,45,0,Matches
182,Mohamed Fares,dz ALG,DFFW,Genoa,26-033,1996,6.5,10,4,3,7,0,3,7,42.9,4,83,25,30.1,30,36,17,11,3,0,8,16,26,5,0,Matches
183,Diego Farias,br BRA,MFFW,Cagliari,31-314,1990,0.7,1,0,0,1,0,1,3,33.3,2,14,5,35.7,5,7,2,0,0,0,0,0,1,0,0,Matches
184,Andrea Favilli,it ITA,FW,Genoa,24-307,1997,0.4,0,0,0,0,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,0,2,0,Matches
185,Federico Fazio,ar ARG,DF,Salernitana,35-003,1987,6.0,2,2,1,1,0,2,5,40.0,3,53,15,28.3,27,25,1,17,12,0,5,18,20,32,0,Matches
186,Luiz Felipe,br BRA,DF,Lazio,24-363,1997,25.5,45,22,26,17,2,14,27,51.9,13,166,61,36.7,86,71,9,50,35,2,15,40,85,105,0,Matches
187,Alex Ferrari,it ITA,DF,Sampdoria,27-262,1994,9.8,25,16,16,9,0,15,25,60.0,10,146,62,42.5,77,64,5,25,11,0,14,37,62,40,1,Matches
188,Salvador Ferrer,es ESP,DFMF,Spezia,24-058,1998,13.3,29,18,16,10,3,12,28,42.9,16,153,46,30.1,69,64,20,31,10,1,21,19,48,40,0,Matches
189,Riccardo Fiamozzi,it ITA,DF,Empoli,28-306,1993,5.0,7,5,2,2,3,2,2,100.0,0,39,16,41.0,17,13,9,7,3,0,4,9,16,6,0,Matches
190,Luca Fiordilino,it ITA,MF,Venezia,25-238,1996,4.5,15,7,9,5,1,8,15,53.3,7,93,23,24.7,56,28,9,11,1,0,10,12,27,3,0,Matches
191,Vincenzo Fiorillo,it ITA,GK,Salernitana,32-066,1990,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
192,Alessandro Florenzi,it ITA,DFFW,Milan,31-009,1991,12.3,26,16,10,10,6,8,30,26.7,22,180,56,31.1,67,84,29,15,2,0,13,32,58,14,2,Matches
193,Fernando Forestieri,it ITA,FWMF,Udinese,32-064,1990,0.6,1,1,0,1,0,1,2,50.0,1,7,3,42.9,1,3,3,0,0,0,0,1,2,1,0,Matches
194,Francesco Forte,it ITA,FW,Venezia,28-323,1993,4.7,5,3,0,3,2,3,5,60.0,2,78,13,16.7,4,38,36,4,0,0,4,1,6,3,0,Matches
195,Davide Frattesi,it ITA,MF,Sassuolo,22-149,1999,25.8,39,21,17,18,4,13,37,35.1,24,419,117,27.9,126,217,76,46,8,0,38,37,76,40,2,Matches
196,Morten Frendrup,dk DEN,DFMF,Genoa,20-347,2001,2.0,6,4,4,1,1,3,3,100.0,0,42,25,59.5,17,18,7,8,0,0,8,7,13,2,0,Matches
197,Remo Freuler,ch SUI,MF,Atalanta,29-339,1992,19.7,45,30,14,23,8,19,48,39.6,29,359,118,32.9,94,191,74,35,4,1,31,41,86,19,1,Matches
198,Matteo Gabbia,it ITA,DF,Milan,22-150,1999,5.1,4,3,1,3,0,0,3,0.0,3,47,21,44.7,25,20,2,1,1,0,0,9,13,11,0,Matches
199,Manolo Gabbiadini,it ITA,FWMF,Sampdoria,30-114,1991,12.7,10,4,4,2,4,1,12,8.3,11,121,25,20.7,16,59,46,8,1,0,7,5,15,10,0,Matches
200,Gianluca Gaetano,it ITA,MF,Napoli,21-319,2000,0.2,2,1,2,0,0,1,2,50.0,1,8,2,25.0,3,3,2,0,0,0,0,2,4,0,0,Matches
201,Luca Gagliano,it ITA,MFDF,Cagliari,21-249,2000,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,1,0,0,1,0,0,0,0,Matches
202,Roberto Gagliardini,it ITA,MF,Inter,27-347,1994,5.4,8,6,2,4,2,2,9,22.2,7,130,40,30.8,26,71,33,9,3,0,6,12,20,4,0,Matches
203,Riccardo Gagliolo,se SWE,DF,Salernitana,31-326,1990,12.3,25,12,14,8,3,10,22,45.5,12,130,42,32.3,81,39,10,20,9,0,11,40,65,57,0,Matches
204,Nicolas Galazzi,it ITA,DF,Venezia,21-092,2000,0.2,1,1,1,0,0,0,1,0.0,1,5,1,20.0,3,0,2,0,0,0,0,0,1,0,0,Matches
205,Pablo Galdames Millán,cl CHI,MF,Genoa,25-080,1996,5.3,7,4,2,4,1,4,12,33.3,8,91,21,23.1,17,53,21,10,2,0,8,9,16,5,0,Matches
206,Luca Gemello,it ITA,GK,Torino,21-260,2000,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
207,Paolo Ghiglione,it ITA,DF,Genoa,25-046,1997,6.7,15,8,7,7,1,9,16,56.3,7,81,22,27.2,20,41,20,27,5,0,22,13,28,14,0,Matches
208,Faouzi Ghoulam,dz ALG,DF,Napoli,31-047,1991,2.3,2,2,1,1,0,0,1,0.0,1,16,5,31.3,6,4,6,4,1,0,3,1,3,7,0,Matches
209,Sebastian Giovinco,it ITA,MF,Sampdoria,35-053,1987,0.4,0,0,0,0,0,0,0,,0,9,3,33.3,1,4,4,0,0,0,0,0,0,0,0,Matches
210,Olivier Giroud,fr FRA,FW,Milan,35-171,1986,15.1,11,7,3,4,4,1,8,12.5,7,267,68,25.5,17,99,151,14,5,0,9,3,14,15,0,Matches
211,Diego Godín,uy URU,DF,Cagliari,36-032,1986,9.1,20,13,16,2,2,8,15,53.3,7,114,42,36.8,74,36,4,13,5,0,8,17,37,47,0,Matches
212,Edoardo Goldaniga,it ITA,DF,Cagliari,28-138,1993,8.8,13,11,8,5,0,6,18,33.3,12,102,29,28.4,48,50,4,17,5,0,12,29,42,32,0,Matches
213,Edoardo Goldaniga,it ITA,MFDF,Sassuolo,28-138,1993,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
214,Cedric Gondo,ci CIV,FW,Salernitana,25-115,1996,7.8,4,2,2,1,1,2,2,100.0,0,119,26,21.8,9,49,61,4,1,0,3,5,9,2,0,Matches
215,Nicolás González,ar ARG,FW,Fiorentina,23-348,1998,17.6,20,14,7,6,7,7,23,30.4,16,272,83,30.5,33,119,120,22,0,0,22,22,42,3,0,Matches
216,Robin Gosens,de GER,DF,Inter,27-258,1994,0.9,3,2,1,2,0,1,2,50.0,1,10,5,50.0,3,5,2,1,1,1,0,0,3,1,0,Matches
217,Robin Gosens,de GER,DF,Atalanta,27-258,1994,5.1,6,3,3,3,0,3,7,42.9,4,48,28,58.3,14,16,18,6,0,0,6,11,17,5,0,Matches
218,Alberto Grassi,it ITA,MF,Cagliari,27-013,1995,17.7,36,16,12,20,4,8,22,36.4,14,231,65,28.1,87,115,29,28,7,0,21,54,90,24,0,Matches
219,Koray Günter,de GER,DF,Hellas Verona,27-216,1994,21.2,26,16,12,12,2,9,17,52.9,8,182,60,33.0,102,73,7,39,19,2,20,61,87,124,1,Matches
220,Albert Guðmundsson,is ISL,FWMF,Genoa,24-278,1997,3.1,5,2,2,0,3,3,4,75.0,1,61,15,24.6,12,28,21,3,0,0,3,2,7,6,0,Matches
221,Emmanuel Gyasi,gh GHA,FWMF,Spezia,28-068,1994,26.9,49,27,36,5,8,18,37,48.6,19,332,102,30.7,119,130,83,29,4,0,25,22,71,31,1,Matches
222,Norbert Gyömbér,sk SVK,DF,Salernitana,29-260,1992,18.8,32,20,27,5,0,18,31,58.1,13,175,45,25.7,111,51,13,38,23,1,15,29,61,78,2,Matches
223,Nicolas Haas,ch SUI,MF,Empoli,26-056,1996,11.1,40,25,17,12,11,19,44,43.2,25,258,72,27.9,74,110,74,26,4,0,22,10,50,15,0,Matches
224,Samir Handanović,si SVN,GK,Inter,37-249,1984,29.0,0,0,0,0,0,0,2,0.0,2,1,1,100.0,1,0,0,1,0,0,1,0,0,1,0,Matches
225,Ridgeciano Haps,sr SUR,DF,Venezia,28-281,1993,14.7,24,9,18,3,3,8,20,40.0,12,154,43,27.9,80,54,20,40,7,2,33,39,63,28,0,Matches
226,Abdou Harroui,nl NED,MF,Sassuolo,24-066,1998,4.8,14,9,5,8,1,7,14,50.0,7,126,34,27.0,38,59,29,14,0,0,14,6,20,3,0,Matches
227,Hans Hateboer,nl NED,DF,Atalanta,28-070,1994,8.4,14,5,6,5,3,8,21,38.1,13,93,20,21.5,27,36,30,12,2,0,10,4,18,11,0,Matches
228,Silvan Hefti,ch SUI,DF,Genoa,24-146,1997,8.7,37,20,17,13,7,19,37,51.4,18,190,56,29.5,99,63,28,19,2,0,17,21,58,17,0,Matches
229,Liam Henderson,sct SCO,MF,Empoli,25-329,1996,18.9,19,10,7,8,4,4,16,25.0,12,406,77,19.0,112,188,106,19,3,0,16,9,28,12,0,Matches
230,Dalbert Henrique,br BRA,DFMF,Cagliari,28-193,1993,17.5,39,21,24,12,3,3,21,14.3,18,315,81,25.7,110,142,63,33,4,0,29,28,67,22,0,Matches
231,Matheus Henrique,br BRA,MF,Sassuolo,24-091,1997,6.6,9,6,4,2,3,6,20,30.0,14,109,27,24.8,29,62,18,11,1,0,10,6,15,9,0,Matches
232,Thomas Henry,fr FRA,FW,Venezia,27-181,1994,16.7,4,3,1,2,1,1,3,33.3,2,165,40,24.2,15,72,78,8,5,0,3,3,7,21,1,Matches
233,Theo Hernández,fr FRA,DF,Milan,24-165,1997,22.1,42,29,31,9,2,12,19,63.2,7,251,87,34.7,107,97,47,23,3,0,20,42,84,28,2,Matches
234,Hernani,br BRA,MFFW,Genoa,27-358,1994,6.4,13,8,5,7,1,9,25,36.0,16,165,38,23.0,40,90,35,18,4,0,14,9,22,3,0,Matches
235,Daan Heymans,be BEL,MFFW,Venezia,22-278,1999,2.8,4,4,1,2,1,2,7,28.6,5,44,7,15.9,13,26,5,8,3,0,5,4,8,3,0,Matches
236,Aaron Hickey,sct SCO,DF,Bologna,19-283,2002,22.7,37,18,20,10,7,11,21,52.4,10,315,88,27.9,145,111,59,49,10,0,39,29,66,31,0,Matches
237,Martin Hongla,cm CMR,MF,Hellas Verona,24-004,1998,3.7,9,6,5,3,1,1,3,33.3,2,54,15,27.8,17,31,6,3,1,0,2,4,13,10,0,Matches
238,Sydney van Hooijdonk,nl NED,FWMF,Bologna,22-042,2000,0.4,1,1,0,1,0,0,0,,0,15,0,0.0,5,8,2,1,0,0,1,0,1,0,0,Matches
239,Petko Hristov,bg BUL,DF,Spezia,23-019,1999,11.4,12,6,5,7,0,3,10,30.0,7,101,33,32.7,50,51,0,29,19,0,10,21,33,58,0,Matches
240,Elseid Hysaj,al ALB,DF,Lazio,28-028,1994,21.6,40,24,21,16,3,21,33,63.6,12,189,69,36.5,82,72,35,32,6,0,26,27,67,32,0,Matches
241,Roger Ibanez,br BRA,DF,Roma,23-117,1998,23.1,50,33,34,13,3,22,35,62.9,13,254,86,33.9,168,72,14,28,5,0,23,70,120,75,1,Matches
242,Zlatan Ibrahimović,se SWE,FW,Milan,40-168,1981,10.2,0,0,0,0,0,0,2,0.0,2,94,36,38.3,4,25,65,3,2,0,1,6,6,10,0,Matches
243,Igor,br BRA,DF,Fiorentina,24-041,1998,16.5,41,22,26,15,0,19,31,61.3,12,199,60,30.2,86,109,4,38,12,1,26,38,79,38,1,Matches
244,Jonathan Ikone,fr FRA,FW,Fiorentina,23-322,1998,3.2,6,4,0,4,2,2,7,28.6,5,71,28,39.4,14,31,26,6,1,0,5,0,6,0,0,Matches
245,Ivan Ilić,rs SRB,MF,Hellas Verona,21-003,2001,21.4,37,27,13,20,4,13,40,32.5,27,329,105,31.9,88,179,62,32,8,0,24,33,70,44,0,Matches
246,Josip Iličić,si SVN,FWMF,Atalanta,34-050,1988,9.2,12,9,4,3,5,4,15,26.7,11,118,38,32.2,17,38,63,9,1,0,8,2,14,1,0,Matches
247,Ciro Immobile,it ITA,FW,Lazio,32-028,1990,23.1,8,6,4,2,2,2,14,14.3,12,343,73,21.3,23,121,199,11,1,0,10,9,17,11,0,Matches
248,Lorenzo Insigne,it ITA,FW,Napoli,30-289,1991,18.9,18,14,7,8,3,7,35,20.0,28,276,74,26.8,76,128,72,24,1,0,23,28,46,0,0,Matches
249,Ardian Ismajli,al ALB,DF,Empoli,25-171,1996,12.0,13,6,10,2,1,5,12,41.7,7,133,43,32.3,77,53,3,22,9,0,13,23,36,73,0,Matches
250,Armando Izzo,it ITA,DF,Torino,30-018,1992,2.6,9,5,7,2,0,4,4,100.0,0,34,11,32.4,22,10,2,2,0,0,2,7,16,20,0,Matches
251,Mato Jajalo,ba BIH,MF,Udinese,33-299,1988,5.5,13,10,9,2,2,3,10,30.0,7,91,30,33.0,48,36,7,12,0,0,12,11,24,4,0,Matches
252,Paweł Jaroszyński,pl POL,DF,Salernitana,27-169,1994,5.5,9,5,6,2,1,3,6,50.0,3,64,19,29.7,43,14,7,11,0,0,11,10,19,12,1,Matches
253,Juan Jesus,br BRA,DF,Napoli,30-283,1991,11.1,26,20,11,15,0,7,13,53.8,6,125,55,44.0,61,60,4,23,11,0,12,11,37,25,0,Matches
254,Dennis Johnsen,no NOR,FWMF,Venezia,24-031,1998,12.6,6,4,3,3,0,2,14,14.3,12,194,36,18.6,33,72,89,10,0,0,10,6,12,6,0,Matches
255,Kaio Jorge,br BRA,MFFW,Juventus,20-055,2002,1.3,3,1,0,3,0,0,2,0.0,2,24,6,25.0,3,12,9,1,0,0,1,0,3,2,0,Matches
256,Flavio Junior Bianchi,it ITA,FWMF,Genoa,22-055,2000,3.5,4,3,1,2,1,0,2,0.0,2,50,12,24.0,11,23,16,1,0,0,1,3,7,0,0,Matches
257,Hamed Junior Traorè,ci CIV,FWMF,Sassuolo,22-032,2000,15.0,26,10,7,11,8,6,27,22.2,21,318,60,18.9,84,146,88,21,4,0,17,20,46,6,0,Matches
258,Nikola Kalinić,hr CRO,FW,Hellas Verona,34-074,1988,4.5,2,1,0,1,1,0,0,,0,35,6,17.1,5,11,19,3,0,0,3,0,2,2,0,Matches
259,Yayah Kallon,sl SLE,FWMF,Genoa,20-263,2001,7.1,13,8,4,4,5,3,11,27.3,8,141,42,29.8,21,66,54,12,1,0,11,8,21,2,0,Matches
260,Pierre Kalulu,fr FRA,DF,Milan,21-288,2000,13.6,39,21,25,10,4,9,11,81.8,2,218,73,33.5,105,91,22,33,10,0,23,32,71,34,0,Matches
261,Rick Karsdorp,nl NED,DF,Roma,27-037,1995,24.8,52,30,29,15,8,22,40,55.0,18,285,81,28.4,121,99,65,26,5,0,21,40,92,28,0,Matches
262,Denso Kasius,nl NED,DF,Bologna,19-165,2002,0.7,2,1,0,1,1,0,1,0.0,1,12,6,50.0,1,4,7,2,0,0,2,3,5,2,0,Matches
263,Grigoris Kastanos,cy CYP,MFFW,Salernitana,24-049,1998,13.4,28,22,11,14,3,4,19,21.1,15,219,57,26.0,56,108,55,19,5,0,14,26,54,11,0,Matches
264,Moise Kean,it ITA,FW,Juventus,22-020,2000,9.2,7,3,3,3,1,3,6,50.0,3,119,33,27.7,16,47,56,3,0,0,3,2,9,3,1,Matches
265,Wajdi Kechrida,tn TUN,DFMF,Salernitana,26-135,1995,10.6,16,12,10,6,0,5,10,50.0,5,131,36,27.5,72,32,27,19,2,0,17,7,23,14,0,Matches
266,Dimitrios Keramitsis,,DF,Roma,17-262,2004,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
267,Franck Kessié,ci CIV,MF,Milan,25-091,1996,18.5,34,21,15,15,4,14,23,60.9,9,320,100,31.3,80,144,96,33,7,0,26,34,68,21,0,Matches
268,Jakub Kiwior,pl POL,MF,Spezia,22-033,2000,13.8,38,21,20,14,4,14,33,42.4,19,310,103,33.2,128,155,27,38,11,0,27,33,71,40,0,Matches
269,Sofian Kiyine,ma MAR,MFFW,Venezia,24-169,1997,11.0,26,16,8,14,4,15,29,51.7,14,269,66,24.5,86,138,45,19,1,0,18,15,41,8,0,Matches
270,Simon Kjær,dk DEN,DF,Milan,32-359,1989,8.9,23,14,15,4,4,9,19,47.4,10,121,40,33.1,61,53,7,25,14,0,11,12,35,39,0,Matches
271,Aleksandr Kokorin,ru RUS,FWMF,Fiorentina,31-001,1991,0.6,1,0,1,0,0,1,1,100.0,0,9,2,22.2,2,2,5,1,0,0,1,0,1,0,0,Matches
272,Aleksandar Kolarov,rs SRB,DF,Inter,36-130,1985,0.5,1,1,1,0,0,1,1,100.0,0,1,0,0.0,1,0,0,0,0,0,0,1,2,1,0,Matches
273,Teun Koopmeiners,nl NED,MF,Atalanta,24-020,1998,17.0,31,18,8,17,6,13,35,37.1,22,301,95,31.6,49,181,71,34,1,0,33,17,48,11,0,Matches
274,Kalidou Koulibaly,sn SEN,DF,Napoli,30-273,1991,19.7,38,25,26,8,4,16,27,59.3,11,170,73,42.9,96,65,9,36,21,0,15,28,66,58,0,Matches
275,Christos Kourfalidis,gr GRE,MFDF,Cagliari,19-129,2002,0.2,1,0,0,0,1,1,1,100.0,0,8,3,37.5,2,4,2,1,0,0,1,0,1,0,0,Matches
276,Viktor Kovalenko,ua UKR,MFFW,Spezia,26-034,1996,11.7,11,8,4,6,1,5,17,29.4,12,156,45,28.8,49,74,33,18,3,0,15,12,23,5,0,Matches
277,Julian Kristoffersen,no NOR,FW,Salernitana,24-314,1997,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
278,Rade Krunić,ba BIH,MFFW,Milan,28-164,1993,12.4,21,13,9,11,1,6,26,23.1,20,216,70,32.4,41,125,50,17,1,0,16,20,41,17,0,Matches
279,Dejan Kulusevski,se SWE,FWMF,Juventus,21-329,2000,8.6,17,11,10,6,1,7,19,36.8,12,227,61,26.9,63,90,74,11,0,0,11,15,32,2,0,Matches
280,Marash Kumbulla,al ALB,DF,Roma,22-040,2000,8.4,17,11,12,4,1,6,14,42.9,8,130,45,34.6,83,45,2,13,8,0,5,14,31,22,0,Matches
281,Giorgos Kyriakopoulos,gr GRE,DFFW,Sassuolo,26-043,1996,16.9,29,17,14,10,5,13,26,50.0,13,241,66,27.4,85,101,55,38,7,0,31,16,45,40,0,Matches
282,Andrea La Mantia,it ITA,FW,Empoli,30-318,1991,2.9,2,1,0,0,2,0,1,0.0,1,25,3,12.0,2,15,8,2,1,0,1,1,3,2,0,Matches
283,Sam Lammers,nl NED,FW,Atalanta,24-324,1997,0.4,0,0,0,0,0,0,0,,0,7,3,42.9,0,2,5,1,0,0,1,0,0,0,0,Matches
284,Kevin Lasagna,it ITA,FWMF,Hellas Verona,29-222,1992,9.8,8,6,4,2,2,4,16,25.0,12,151,42,27.8,18,51,82,14,0,0,14,3,11,6,0,Matches
285,Darko Lazović,rs SRB,DF,Hellas Verona,31-186,1990,24.4,35,18,18,9,8,12,35,34.3,23,197,63,32.0,79,72,46,43,2,1,41,32,67,28,0,Matches
286,Manuel Lazzari,it ITA,DF,Lazio,28-111,1993,10.5,12,4,7,5,0,6,16,37.5,10,93,26,28.0,31,43,19,14,2,0,12,15,27,10,0,Matches
287,Rafael Leão,pt POR,FW,Milan,22-283,1999,21.2,17,13,5,8,4,7,17,41.2,10,193,58,30.1,32,80,81,17,2,0,15,20,37,4,0,Matches
288,Lucas Leiva,br BRA,MF,Lazio,35-070,1987,14.6,49,27,25,19,5,15,42,35.7,27,295,83,28.1,117,146,32,25,8,0,17,29,78,27,0,Matches
289,Luca Lezzerini,it ITA,GK,Venezia,26-361,1995,5.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,Matches
290,Ben Lhassine Kone,ci CIV,MF,Torino,22-006,2000,0.9,3,2,1,2,0,1,1,100.0,0,26,7,26.9,12,12,2,0,0,0,0,1,4,2,0,Matches
