name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Valon Berisha,14230.76923076923,740000,7884.615384615385,410000,11857.26923076923,616578,6569.557692307692,341617,16110.98076923077,837771,8926.346153846154,464170,3-yrs,2220000,1230000,1849733,1024852,2513312,1392510,Reserve,M,CM,28,Kosovo,Reims
Konrad de la Fuente,14038.461538461539,730000,7692.307692307692,400000,11697.01923076923,608245,6409.326923076923,333285,15893.25,826449,8708.634615384615,452849,4-yrs,2920000,1600000,2432982,1333141,3305797,1811396,Reserve,F,LW,20,United States,Marseille
Gabriel Silva,14038.461538461539,730000,7692.307692307692,400000,11697.01923076923,608245,6409.326923076923,333285,15893.25,826449,8708.634615384615,452849,2-yrs,1460000,800000,1216491,666570,1652899,905698,Reserve,D,LB,30,Brazil,St-Etienne
Pedro Chirivella,13846.153846153846,720000,7692.307692307692,400000,11536.788461538461,599913,6409.326923076923,333285,15675.538461538461,815128,8708.634615384615,452849,2-yrs,1440000,800000,1199827,666570,1630256,905698,Starter,M,DM,24,Spain,Nantes
Jens Cajuste,13846.153846153846,720000,7692.307692307692,400000,11536.788461538461,599913,6409.326923076923,333285,15675.538461538461,815128,8708.634615384615,452849,5-yrs,3600000,2000000,2999567,1666426,4075640,2264245,Reserve,M,DM,22,Sweden,Reims
Axel Disasi,13846.153846153846,720000,12115.384615384615,630000,11536.788461538461,599913,10094.692307692309,524924,15675.538461538461,815128,13716.096153846154,713237,4-yrs,2880000,2520000,2399653,2099697,3260512,2852948,Starter,D,CB,23,France,Monaco
Anastasios Donis,13846.153846153846,720000,7692.307692307692,400000,11536.788461538461,599913,6409.326923076923,333285,15675.538461538461,815128,8708.634615384615,452849,3-yrs,2160000,1200000,1799740,999856,2445384,1358547,Reserve,F,CF,25,Greece,Reims
Predrag Rajkovic,13846.153846153846,720000,7692.307692307692,400000,11536.788461538461,599913,6409.326923076923,333285,15675.538461538461,815128,8708.634615384615,452849,2-yrs,1440000,800000,1199827,666570,1630256,905698,Starter,K,GK,26,Serbia,Reims
Thomas Foket,13846.153846153846,720000,7692.307692307692,400000,11536.788461538461,599913,6409.326923076923,333285,15675.538461538461,815128,8708.634615384615,452849,2-yrs,1440000,800000,1199827,666570,1630256,905698,Starter,D,RB,27,Belgium,Reims
Youcef Belaïli,13846.153846153846,720000,7692.307692307692,400000,11536.788461538461,599913,6409.326923076923,333285,15675.538461538461,815128,8708.634615384615,452849,1-yr,720000,400000,599913,333285,815128,452849,Starter,F,LW,29,Algeria,Brest
